elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,167584.0,40290.0,40020.0,43660.0,43614.0,67933.2,56123.2,15200.9,13201.9,0.0,48661.8,0.0,15021.2,49981.6,18180.4,68914.8,108500.4,128652.3,116595.0,148
1.0,167584.0,40290.0,40020.0,43660.0,43614.0,67933.2,56123.2,15200.9,13201.9,0.0,48695.7,0.0,15820.1,50015.6,18981.2,69749.5,107699.6,128652.3,116628.9,148
2.1,167900.0,40562.0,40064.0,43660.0,43614.0,67933.3,56123.4,15201.0,13202.0,0.0,48695.4,0.0,16424.7,50015.3,19585.3,70353.4,107095.5,128652.3,116628.7,148
3.2,167900.0,40562.0,40064.0,43660.0,43614.0,68070.3,56154.2,15335.8,13232.9,0.0,48695.4,0.0,15699.0,50015.9,18977.5,69746.2,107703.3,128652.3,116765.8,148
4.2,167900.0,40562.0,40064.0,43660.0,43614.0,68071.1,56154.5,15336.5,13233.2,0.0,48696.2,0.0,15700.5,50016.3,18976.5,69745.6,107704.3,128652.3,116767.2,148
5.2,167900.0,40562.0,40064.0,43660.0,43614.0,68071.1,56154.6,15336.5,13233.3,0.0,48696.3,0.0,15700.7,50016.4,18977.2,69746.5,107703.6,128652.3,116767.4,148
6.2,167900.0,40562.0,40064.0,43660.0,43614.0,68071.2,56154.6,15336.6,13233.3,0.0,48696.4,0.0,15700.7,50016.6,18978.3,69747.6,107702.6,128652.3,116767.6,148
7.3,167900.0,40562.0,40064.0,43660.0,43614.0,68071.3,56154.8,15336.7,13233.4,0.0,48696.4,0.0,15700.7,50016.6,18977.5,69746.9,107703.3,128652.3,116767.7,148
8.3,167900.0,40562.0,40064.0,43660.0,43614.0,68071.7,56155.2,15337.1,13233.9,0.0,48696.4,0.0,15701.1,50016.6,18977.1,69746.5,107703.7,128652.3,116768.1,148
9.3,167900.0,40562.0,40064.0,43660.0,43614.0,68071.7,56155.2,15337.1,13233.9,0.0,48696.4,0.0,15701.5,50016.6,18979.4,69748.8,107701.4,128652.3,116768.1,148
10.3,167900.0,40562.0,40064.0,43660.0,43614.0,68071.7,56155.2,15337.2,13233.9,0.0,48696.4,0.0,15701.5,50016.6,18979.3,69748.7,107701.5,128652.3,116768.1,148
11.3,167900.0,40562.0,40064.0,43660.0,43614.0,68071.8,56155.3,15337.2,13233.9,0.0,48696.4,0.0,15701.5,50016.6,18977.5,69746.8,107703.4,128652.3,116768.2,148
12.4,167900.0,40562.0,40064.0,43660.0,43614.0,68071.8,56155.3,15337.2,13233.9,0.0,48696.5,0.0,15701.6,50016.7,18978.5,69748.0,107702.4,128652.3,116768.3,148
13.4,167900.0,40562.0,40064.0,43660.0,43614.0,68072.0,56155.4,15337.4,13234.1,0.0,48696.5,0.0,15701.7,50016.7,18979.0,69748.5,107701.8,128652.3,116768.5,148
14.4,167900.0,40562.0,40064.0,43660.0,43614.0,68072.0,56155.5,15337.5,13234.2,0.0,48696.5,0.0,15702.0,50016.7,18979.4,69748.8,107701.4,128652.3,116768.6,148
15.4,167900.0,40562.0,40064.0,43660.0,43614.0,68072.1,56155.5,15337.5,13234.2,0.0,48696.6,0.0,15702.0,50016.7,18979.6,69749.1,107701.2,128652.3,116768.6,148
16.5,167900.0,40562.0,40064.0,43660.0,43614.0,68072.1,56155.6,15337.5,13234.3,0.0,48696.6,0.0,15702.6,50016.7,18979.4,69748.8,107701.5,128652.3,116768.7,148
17.5,167900.0,40562.0,40064.0,43660.0,43614.0,68072.1,56155.6,15337.6,13234.3,0.0,48696.6,0.0,15701.6,50016.7,18978.7,69748.2,107702.1,128652.3,116768.7,148
18.5,167900.0,40562.0,40064.0,43660.0,43614.0,68072.3,56155.8,15337.7,13234.4,0.0,48696.6,0.0,15701.9,50016.7,18979.3,69748.8,107701.5,128652.3,116768.9,148
19.5,167900.0,40562.0,40064.0,43660.0,43614.0,68072.3,56155.8,15337.8,13234.5,0.0,48696.6,0.0,15702.5,50016.7,18980.8,69750.3,107700.0,128652.3,116768.9,148
20.5,167900.0,40562.0,40064.0,43660.0,43614.0,68072.4,56155.8,15337.8,13234.5,0.0,48696.6,0.0,15702.1,50016.7,18981.1,69750.6,107699.7,128652.3,116769.0,148
21.6,167900.0,40562.0,40064.0,43660.0,43614.0,68072.4,56155.9,15337.9,13234.6,0.0,48696.6,0.0,15702.1,50016.7,18980.1,69749.6,107700.7,128652.3,116769.0,148
22.6,167900.0,40562.0,40064.0,43660.0,43614.0,68072.4,56155.9,15337.9,13234.6,0.0,48696.6,0.0,15702.2,50016.8,18979.4,69748.9,107701.4,128652.3,116769.1,148
23.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.6,56156.1,15338.0,13234.7,0.0,48696.6,0.0,15702.3,50016.8,18980.7,69750.2,107700.1,128652.3,116769.2,148
24.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.6,56156.1,15338.0,13234.8,0.0,48696.6,0.0,15702.4,50016.8,18980.6,69750.2,107700.1,128652.3,116769.3,148
25.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.6,56156.1,15338.0,13234.8,0.0,48696.6,0.0,15702.4,50016.8,18980.6,69750.2,107700.2,128652.3,116769.3,148
26.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.7,56156.2,15338.1,13234.8,0.0,48696.6,0.0,15702.4,50016.8,18980.5,69750.1,107700.3,128652.3,116769.3,148
27.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.7,56156.2,15338.1,13234.8,0.0,48696.7,0.0,15702.4,50016.9,18981.1,69750.7,107699.7,128652.3,116769.4,148
28.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.8,56156.3,15338.2,13235.0,0.0,48696.7,0.0,15702.6,50016.9,18980.4,69750.1,107700.4,128652.3,116769.5,148
29.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.8,56156.3,15338.3,13235.0,0.0,48696.7,0.0,15702.7,50016.8,18983.1,69752.6,107697.7,128652.3,116769.6,148
30.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.8,56156.3,15338.3,13235.0,0.0,48696.8,0.0,15702.6,50016.8,18983.4,69753.0,107697.4,128652.3,116769.6,148
31.7,167900.0,40562.0,40064.0,43660.0,43614.0,68072.9,56156.3,15338.3,13235.0,0.0,48696.8,0.0,15702.6,50016.8,18983.5,69753.2,107697.3,128652.3,116769.6,148
32.8,167900.0,40562.0,40064.0,43660.0,43614.0,68072.9,56156.4,15338.3,13235.0,0.0,48696.8,0.0,15702.7,50016.8,18984.4,69754.0,107696.4,128652.3,116769.6,148
33.8,167900.0,40562.0,40064.0,43660.0,43614.0,68073.0,56156.5,15338.4,13235.2,0.0,48696.8,0.0,15702.9,50016.8,18984.9,69754.5,107695.9,128652.3,116769.8,148
34.8,167900.0,40562.0,40064.0,43660.0,43614.0,68073.0,56156.5,15338.4,13235.2,0.0,48696.8,0.0,15702.9,50016.8,18984.5,69754.2,107696.2,128652.3,116769.8,148
