elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,151466.0,32669.0,32667.0,43065.0,43065.0,66910.0,55882.6,14196.8,12972.6,0.0,60813.3,0.0,16564.2,62316.3,18495.7,81912.0,107837.8,128652.3,127723.2,148
1.0,151466.0,32669.0,32667.0,43065.0,43065.0,66910.2,55882.9,14197.0,12972.8,0.0,60813.3,0.0,17411.4,62316.3,19346.4,82762.7,106987.1,128652.3,127723.5,148
2.0,151474.0,32675.0,32669.0,43065.0,43065.0,66910.2,55882.9,14197.0,12972.8,0.0,60813.3,0.0,18001.3,62316.3,19941.5,83357.9,106392.0,128652.3,127723.5,148
3.0,151474.0,32675.0,32669.0,43065.0,43065.0,66929.9,55898.8,14213.6,12988.8,0.0,60813.4,0.0,17241.3,62315.9,19212.2,82628.2,107121.3,128652.3,127743.3,148
4.0,151474.0,32675.0,32669.0,43065.0,43065.0,66930.4,55898.8,14214.0,12988.8,0.0,60813.6,0.0,17236.4,62315.6,19185.7,82601.4,107147.8,128652.3,127744.0,148
5.0,151474.0,32675.0,32669.0,43065.0,43065.0,66930.6,55898.9,14214.1,12988.9,0.0,60813.7,0.0,17237.0,62315.7,19186.4,82602.2,107147.1,128652.3,127744.3,148
6.0,151474.0,32675.0,32669.0,43065.0,43065.0,66931.7,55900.0,14215.2,12990.0,0.0,60813.8,0.0,17235.6,62315.8,19188.5,82604.4,107145.0,128652.3,127745.5,148
7.0,151474.0,32675.0,32669.0,43065.0,43065.0,66931.7,55900.0,14215.2,12990.0,0.0,60813.8,0.0,17235.7,62315.8,19189.5,82605.4,107144.0,128652.3,127745.5,148
8.0,151514.0,32715.0,32669.0,43065.0,43065.0,66934.7,55902.9,14218.2,12992.9,0.0,60813.8,0.0,17235.7,62315.8,19189.7,82605.6,107143.9,128652.3,127748.5,148
9.0,151514.0,32715.0,32669.0,43065.0,43065.0,66935.4,55903.7,14218.9,12993.6,0.0,60813.8,0.0,17239.4,62315.8,19195.0,82610.9,107138.5,128652.3,127749.2,148
10.0,151514.0,32715.0,32669.0,43065.0,43065.0,66935.4,55903.7,14218.9,12993.6,0.0,60813.8,0.0,17239.4,62315.8,19193.3,82609.2,107140.2,128652.3,127749.2,148
11.0,151514.0,32715.0,32669.0,43065.0,43065.0,66935.7,55903.9,14219.2,12993.9,0.0,60813.8,0.0,17239.8,62315.8,19192.4,82608.3,107141.1,128652.3,127749.5,148
12.0,151514.0,32715.0,32669.0,43065.0,43065.0,66935.7,55903.9,14219.2,12993.9,0.0,60813.8,0.0,17239.8,62315.8,19193.0,82608.9,107140.5,128652.3,127749.5,148
