elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,151466.0,32667.0,32669.0,43065.0,43065.0,66858.0,55873.5,14171.7,12973.4,0.0,46003.3,0.0,15255.8,47308.9,17584.0,65604.9,109137.6,128652.3,112861.3,148
1.0,151466.0,32667.0,32669.0,43065.0,43065.0,66858.0,55873.5,14171.7,12973.4,0.0,46003.5,0.0,16091.9,47308.8,18422.4,66443.3,108299.1,128652.3,112861.5,148
2.0,151526.0,32689.0,32707.0,43065.0,43065.0,66858.0,55873.5,14171.7,12973.4,0.0,46003.6,0.0,16678.1,47308.9,19008.6,67029.6,107712.9,128652.3,112861.6,148
3.0,151526.0,32689.0,32707.0,43065.0,43065.0,66880.4,55894.3,14192.6,12994.2,0.0,46003.8,0.0,15954.3,47308.6,18285.8,66306.4,108435.8,128652.3,112884.1,148
4.0,151526.0,32689.0,32707.0,43065.0,43065.0,66880.9,55894.3,14193.0,12994.2,0.0,46004.0,0.0,15929.4,47307.9,18263.9,66283.8,108457.7,128652.3,112884.9,148
5.0,151526.0,32689.0,32707.0,43065.0,43065.0,66882.1,55895.5,14194.2,12995.4,0.0,46004.0,0.0,15930.5,47307.9,18267.9,66287.9,108453.6,128652.3,112886.1,148
6.0,151526.0,32689.0,32707.0,43065.0,43065.0,66882.3,55895.6,14194.4,12995.5,0.0,46004.2,0.0,15930.7,47308.2,18268.2,66288.4,108453.4,128652.3,112886.5,148
7.0,151526.0,32689.0,32707.0,43065.0,43065.0,66882.3,55895.6,14194.4,12995.5,0.0,46004.2,0.0,15930.8,47308.2,18268.9,66289.1,108452.7,128652.3,112886.5,148
8.0,151526.0,32689.0,32707.0,43065.0,43065.0,66882.4,55895.6,14194.4,12995.5,0.0,46004.2,0.0,15930.8,47308.2,18269.2,66289.5,108452.3,128652.3,112886.6,148
9.0,151526.0,32689.0,32707.0,43065.0,43065.0,66884.5,55897.7,14196.4,12997.6,0.0,46004.2,0.0,15932.7,47308.1,18274.9,66295.1,108446.6,128652.3,112888.7,148
10.0,151526.0,32689.0,32707.0,43065.0,43065.0,66884.8,55898.0,14196.7,12997.9,0.0,46004.2,0.0,15933.2,47308.1,18276.0,66296.1,108445.6,128652.3,112889.0,148
11.0,151526.0,32689.0,32707.0,43065.0,43065.0,66884.8,55898.0,14196.7,12997.9,0.0,46004.2,0.0,15933.2,47308.1,18274.6,66294.8,108446.9,128652.3,112889.0,148
12.0,151526.0,32689.0,32707.0,43065.0,43065.0,66884.8,55898.0,14196.8,12997.9,0.0,46004.2,0.0,15933.2,47308.1,18275.0,66295.1,108446.6,128652.3,112889.0,148
13.0,151526.0,32689.0,32707.0,43065.0,43065.0,66884.8,55898.0,14196.8,12997.9,0.0,46004.3,0.0,15933.2,47308.2,18274.8,66295.1,108446.7,128652.3,112889.2,148
14.0,151526.0,32689.0,32707.0,43065.0,43065.0,66884.8,55898.0,14196.8,12997.9,0.0,46004.4,0.0,15933.3,47308.2,18275.0,66295.3,108446.6,128652.3,112889.2,148
15.0,151552.0,32715.0,32707.0,43065.0,43065.0,66885.0,55898.2,14196.9,12998.1,0.0,46004.4,0.0,15933.5,47308.2,18276.0,66296.3,108445.5,128652.3,112889.4,148
16.0,151552.0,32715.0,32707.0,43065.0,43065.0,66885.4,55898.5,14197.2,12998.4,0.0,46004.4,0.0,15933.5,47308.2,18276.0,66296.3,108445.5,128652.3,112889.8,148
17.0,151552.0,32715.0,32707.0,43065.0,43065.0,66885.4,55898.5,14197.3,12998.4,0.0,46004.4,0.0,15933.9,47308.3,18276.3,66296.6,108445.3,128652.3,112889.8,148
18.0,151552.0,32715.0,32707.0,43065.0,43065.0,66885.4,55898.5,14197.3,12998.4,0.0,46004.4,0.0,15933.8,47308.3,18276.6,66296.9,108444.9,128652.3,112889.8,148
19.0,151552.0,32715.0,32707.0,43065.0,43065.0,66885.6,55898.6,14197.3,12998.5,0.0,46004.4,0.0,15933.9,47308.3,18281.5,66301.9,108440.0,128652.3,112890.0,148
20.0,151552.0,32715.0,32707.0,43065.0,43065.0,66885.8,55898.8,14197.5,12998.7,0.0,46004.4,0.0,15934.1,47308.3,18283.7,66304.1,108437.8,128652.3,112890.2,148
21.0,151584.0,32747.0,32707.0,43065.0,43065.0,66885.8,55898.8,14197.5,12998.7,0.0,46004.4,0.0,15934.2,47308.3,18283.6,66303.9,108437.9,128652.3,112890.2,148
22.0,151620.0,32783.0,32707.0,43065.0,43065.0,66887.1,55900.0,14198.8,12999.9,0.0,46004.4,0.0,15935.2,47308.3,18287.1,66307.4,108434.5,128652.3,112891.5,148
