t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784181511.2,0.0,98528,28142,28142,21086,21158,27877,30727
1784181512.3,1.1,99802,28788,28770,21086,21158,28244,30733
1784181513.4,2.2,100322,29308,28770,21086,21158,28261,30803
1784181514.6,3.4,100344,29310,28770,21106,21158,28299,31160
1784181515.6,4.4,100490,29310,28772,21172,21236,28341,31760
1784181516.7,5.5,100558,29310,28772,21172,21304,28390,32935
1784181517.8,6.6,100558,29310,28772,21172,21304,28392,33905
1784181518.9,7.7,100558,29310,28772,21172,21304,28476,34928
1784181520.0,8.8,100558,29310,28772,21172,21304,28472,35810
1784181521.1,9.9,100558,29310,28772,21172,21304,28508,36496
1784181522.2,11.0,100558,29310,28772,21172,21304,28533,37427
1784181523.2,12.0,100580,29312,28772,21192,21304,28538,38340
1784181524.3,13.1,100580,29312,28772,21192,21304,28552,39391
1784181525.4,14.2,100580,29312,28772,21192,21304,28550,39608
1784181526.5,15.3,100580,29312,28772,21192,21304,28585,39720
1784181527.6,16.4,100580,29312,28772,21192,21304,28555,39731
1784181528.7,17.5,100582,29312,28774,21192,21304,28570,39740
1784181529.8,18.6,100582,29312,28774,21192,21304,28589,40002
1784181530.9,19.6,100582,29312,28774,21192,21304,28612,40339
1784181531.9,20.7,100582,29312,28774,21192,21304,28628,41038
1784181533.0,21.8,100582,29312,28774,21192,21304,28622,41806
1784181534.1,22.9,100582,29312,28774,21192,21304,28630,42611
1784181535.2,24.0,100582,29312,28774,21192,21304,28675,42801
1784181536.3,25.1,100582,29312,28774,21192,21304,28655,43301
1784181537.4,26.2,100582,29312,28774,21192,21304,28655,43476
1784181538.5,27.3,100582,29312,28774,21192,21304,28762,43913
1784181539.6,28.4,100582,29312,28774,21192,21304,28657,44231
1784181540.7,29.5,100582,29312,28774,21192,21304,28905,44590
1784181541.8,30.6,100582,29312,28774,21192,21304,28661,44822
1784181542.8,31.6,100582,29312,28774,21192,21304,28741,45163
1784181544.0,32.8,100582,29312,28774,21192,21304,28673,45488
1784181545.0,33.8,100582,29312,28774,21192,21304,28718,45757
1784181546.1,34.9,100582,29312,28774,21192,21304,28710,46305
1784181547.2,36.0,100582,29312,28774,21192,21304,28796,47082
1784181548.3,37.1,100582,29312,28774,21192,21304,29021,47788
1784181549.4,38.2,100582,29312,28774,21192,21304,28709,48439
1784181550.6,39.4,100582,29312,28774,21192,21304,28709,49007
1784181551.7,40.5,100582,29312,28774,21192,21304,28701,49164
1784181552.8,41.6,100582,29312,28774,21192,21304,28747,49183
1784181553.9,42.7,100582,29312,28774,21192,21304,28736,49215
1784181555.0,43.8,100582,29312,28774,21192,21304,28830,49839
1784181556.0,44.8,100582,29312,28774,21192,21304,28775,50331
1784181557.1,45.9,100582,29312,28774,21192,21304,28808,50887
1784181558.2,47.0,100582,29312,28774,21192,21304,28792,51152
1784181559.4,48.2,100582,29312,28774,21192,21304,28847,51472
1784181560.5,49.3,100582,29312,28774,21192,21304,28776,51729
1784181561.6,50.4,100582,29312,28774,21192,21304,28778,51742
1784181562.7,51.5,100582,29312,28774,21192,21304,28959,52116
1784181563.8,52.6,100582,29312,28774,21192,21304,28938,52560
1784181564.9,53.7,100582,29312,28774,21192,21304,28868,52747
1784181566.0,54.8,100582,29312,28774,21192,21304,28854,53728
1784181567.2,55.9,100582,29312,28774,21192,21304,28866,54422
1784181568.3,57.1,100582,29312,28774,21192,21304,28863,55270
1784181569.4,58.2,100582,29312,28774,21192,21304,28978,55808
1784181570.5,59.3,100582,29312,28774,21192,21304,28879,56803
1784181571.6,60.4,100582,29312,28774,21192,21304,29060,57499
1784181572.7,61.5,100582,29312,28774,21192,21304,28890,57966
1784181573.8,62.6,100582,29312,28774,21192,21304,29091,58577
1784181574.9,63.7,100582,29312,28774,21192,21304,28922,59186
1784181576.0,64.8,100582,29312,28774,21192,21304,28909,59807
1784181577.1,65.9,100582,29312,28774,21192,21304,28946,60326
1784181578.2,67.0,100582,29312,28774,21192,21304,28901,60623
1784181579.3,68.1,100582,29312,28774,21192,21304,28964,61088
1784181580.4,69.2,100582,29312,28774,21192,21304,28946,61538
1784181581.5,70.3,100582,29312,28774,21192,21304,28903,62370
1784181582.6,71.4,100582,29312,28774,21192,21304,28931,62495
1784181583.7,72.5,100582,29312,28774,21192,21304,28913,62869
1784181584.8,73.6,100582,29312,28774,21192,21304,28905,63371
1784181585.9,74.7,100582,29312,28774,21192,21304,28948,63811
1784181587.0,75.8,100582,29312,28774,21192,21304,29052,64339
1784181588.2,77.0,100582,29312,28774,21192,21304,28970,64555
1784181589.3,78.1,100582,29312,28774,21192,21304,28989,64720
1784181590.3,79.1,100582,29312,28774,21192,21304,28953,65693
1784181591.4,80.2,100582,29312,28774,21192,21304,28923,66148
1784181592.5,81.3,100582,29312,28774,21192,21304,28906,66307
1784181593.7,82.5,100582,29312,28774,21192,21304,28942,66924
1784181594.8,83.6,100582,29312,28774,21192,21304,29001,67741
1784181595.9,84.7,100582,29312,28774,21192,21304,29101,68654
1784181597.0,85.8,100582,29312,28774,21192,21304,28981,68795
1784181598.1,86.9,100582,29312,28774,21192,21304,28925,69353
1784181599.2,88.0,100582,29312,28774,21192,21304,28937,69826
1784181600.3,89.1,100582,29312,28774,21192,21304,28952,70620
1784181601.4,90.2,100582,29312,28774,21192,21304,28907,71286
1784181602.5,91.3,100582,29312,28774,21192,21304,28982,71595
1784181603.6,92.4,100582,29312,28774,21192,21304,28971,72014
1784181604.7,93.5,100582,29312,28774,21192,21304,29098,72367
1784181605.8,94.6,100582,29312,28774,21192,21304,29020,72746
1784181607.0,95.8,100582,29312,28774,21192,21304,28919,72971
