t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784787202.3,0.0,81580,20313,20313,20477,20477,26374,17492
1784787203.4,1.1,82094,20827,20313,20477,20477,26430,17503
1784787204.5,2.2,82094,20827,20313,20477,20477,26432,17503
1784787205.6,3.3,82094,20827,20313,20477,20477,26456,17547
1784787206.6,4.3,82094,20827,20313,20477,20477,26507,17602
1784787207.7,5.4,82096,20829,20313,20477,20477,26532,17714
1784787208.8,6.5,82096,20829,20313,20477,20477,26543,17851
1784787209.9,7.6,82096,20829,20313,20477,20477,26543,17913
1784787211.0,8.7,82096,20829,20313,20477,20477,26540,17988
1784787212.1,9.8,82098,20829,20313,20477,20479,26551,18170
1784787213.2,10.9,82098,20829,20313,20477,20479,26550,18232
1784787214.2,11.9,82098,20829,20313,20477,20479,26558,18300
1784787215.3,13.0,82098,20829,20313,20477,20479,26560,18371
1784787216.4,14.1,82100,20831,20313,20477,20479,26561,18562
1784787217.5,15.2,82190,20921,20313,20477,20479,26575,18843
1784787218.6,16.3,82190,20921,20313,20477,20479,26583,18895
1784787219.7,17.4,82190,20921,20313,20477,20479,26588,18941
1784787220.7,18.4,82190,20921,20313,20477,20479,26594,19008
1784787221.8,19.5,82190,20921,20313,20477,20479,26594,19123
1784787222.9,20.6,82190,20921,20313,20477,20479,26593,19188
1784787223.9,21.6,82190,20921,20313,20477,20479,26603,19244
1784787225.0,22.7,82190,20921,20313,20477,20479,26614,19368
1784787226.1,23.8,82192,20921,20313,20479,20479,26619,19436
1784787227.2,24.9,82192,20921,20313,20479,20479,26624,19493
1784787228.2,26.0,82192,20921,20313,20479,20479,26625,19542
1784787229.3,27.0,82192,20921,20313,20479,20479,26633,19683
1784787230.4,28.1,82706,20921,20827,20479,20479,26696,19737
1784787231.5,29.2,82706,20921,20827,20479,20479,26698,19803
1784787232.6,30.3,82706,20921,20827,20479,20479,26697,19861
1784787233.7,31.4,82706,20921,20827,20479,20479,26701,19943
1784787234.8,32.5,82706,20921,20827,20479,20479,26705,19989
1784787235.9,33.6,82708,20921,20829,20479,20479,26728,20145
1784787236.9,34.6,82708,20921,20829,20479,20479,26732,20209
1784787238.0,35.7,82708,20921,20829,20479,20479,26742,20255
1784787239.1,36.8,82708,20921,20829,20479,20479,26749,20306
1784787240.2,37.9,82710,20921,20831,20479,20479,26772,20465
1784787241.3,39.0,82710,20921,20831,20479,20479,26779,20521
1784787242.4,40.1,82710,20921,20831,20479,20479,26783,20573
1784787243.4,41.1,82712,20921,20833,20479,20479,26733,20638
1784787244.5,42.2,82712,20921,20833,20479,20479,26739,20720
1784787245.6,43.3,82712,20921,20833,20479,20479,26739,20726
1784787246.7,44.4,82712,20921,20833,20479,20479,26739,20729
1784787247.7,45.4,82712,20921,20833,20479,20479,26759,20777
1784787248.8,46.5,82712,20921,20833,20479,20479,26762,20780
1784787249.9,47.6,82712,20921,20833,20479,20479,26776,21035
1784787251.0,48.7,82712,20921,20833,20479,20479,26777,21035
1784787252.0,49.7,82712,20921,20833,20479,20479,26778,21035
1784787253.1,50.8,82712,20921,20833,20479,20479,26778,21037
1784787254.2,51.9,82824,20921,20945,20479,20479,26776,21116
1784787255.3,53.0,82824,20921,20945,20479,20479,26775,21116
1784787256.3,54.0,82824,20921,20945,20479,20479,26776,21119
1784787257.4,55.1,82824,20921,20945,20479,20479,26777,21128
1784787258.5,56.2,82824,20921,20945,20479,20479,26780,21189
1784787259.6,57.3,82824,20921,20945,20479,20479,26781,21261
1784787260.6,58.3,82824,20921,20945,20479,20479,26781,21267
1784787261.7,59.4,82824,20921,20945,20479,20479,26782,21301
1784787262.8,60.5,82824,20921,20945,20479,20479,26787,21419
1784787263.9,61.6,82824,20921,20945,20479,20479,26790,21427
1784787264.9,62.6,82824,20921,20945,20479,20479,26788,21709
1784787266.0,63.7,82824,20921,20945,20479,20479,26785,21711
1784787267.1,64.8,82824,20921,20945,20479,20479,26785,21712
1784787268.1,65.9,82824,20921,20945,20479,20479,26782,21714
1784787269.2,66.9,82824,20921,20945,20479,20479,26784,21849
1784787270.3,68.0,82824,20921,20945,20479,20479,26780,21861
1784787271.4,69.1,82824,20921,20945,20479,20479,26781,21873
1784787272.5,70.2,82824,20921,20945,20479,20479,26779,21894
1784787273.6,71.3,82824,20921,20945,20479,20479,26795,22302
1784787274.6,72.3,82824,20921,20945,20479,20479,26800,22310
1784787275.7,73.4,82824,20921,20945,20479,20479,26802,22318
1784787276.7,74.4,82824,20921,20945,20479,20479,26801,22322
1784787277.8,75.5,82824,20921,20945,20479,20479,26804,22395
