t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784184458.1,0.0,98472,28128,28128,21072,21144,20455,27279
1784184459.2,1.1,99812,28842,28754,21072,21144,20923,27287
1784184460.3,2.3,100290,29186,28756,21138,21210,20822,27307
1784184461.4,3.4,100292,29186,28758,21138,21210,20850,27307
1784184462.5,4.4,100292,29186,28758,21138,21210,20862,27307
1784184463.6,5.5,100292,29186,28758,21138,21210,20922,27307
1784184464.7,6.6,100292,29186,28758,21138,21210,20907,27308
1784184465.8,7.7,100598,29412,28758,21138,21290,20930,27314
1784184466.9,8.8,100598,29412,28758,21138,21290,20976,27314
1784184468.0,9.9,100620,29414,28758,21158,21290,20979,27314
1784184469.1,11.0,100622,29416,28758,21158,21290,21079,27314
1784184470.2,12.1,100622,29416,28758,21158,21290,21021,27314
1784184471.3,13.2,100622,29416,28758,21158,21290,21218,27314
1784184472.4,14.3,100622,29416,28758,21158,21290,21059,27314
1784184473.5,15.4,100642,29416,28758,21178,21290,21060,27314
1784184474.6,16.5,100642,29416,28758,21178,21290,21136,27314
1784184475.7,17.6,100642,29416,28758,21178,21290,21076,27314
1784184476.8,18.7,100642,29416,28758,21178,21290,21078,27314
1784184477.9,19.8,100642,29416,28758,21178,21290,21075,27315
1784184479.0,20.9,100642,29416,28758,21178,21290,21085,27315
1784184480.1,22.1,100642,29416,28758,21178,21290,21102,27315
1784184481.2,23.2,100642,29416,28758,21178,21290,21096,27315
1784184482.3,24.3,100642,29416,28758,21178,21290,21096,27315
1784184483.4,25.3,100642,29416,28758,21178,21290,21091,27315
1784184484.5,26.4,100642,29416,28758,21178,21290,21118,27315
1784184485.6,27.5,100642,29416,28758,21178,21290,21233,27315
1784184486.7,28.6,100642,29416,28758,21178,21290,21108,27315
1784184487.8,29.7,100642,29416,28758,21178,21290,21121,27315
1784184488.9,30.8,100642,29416,28758,21178,21290,21120,27315
1784184490.0,31.9,100642,29416,28758,21178,21290,21126,27315
1784184491.1,33.0,100642,29416,28758,21178,21290,21518,27315
1784184492.2,34.1,100642,29416,28758,21178,21290,21117,27315
1784184493.3,35.3,100642,29416,28758,21178,21290,21346,27315
1784184494.4,36.3,100644,29416,28760,21178,21290,21143,27315
1784184495.5,37.4,100644,29416,28760,21178,21290,21144,27315
1784184496.6,38.5,100644,29416,28760,21178,21290,21131,27315
1784184497.7,39.6,100644,29416,28760,21178,21290,21259,27315
1784184498.8,40.7,100644,29416,28760,21178,21290,21182,27315
1784184499.9,41.8,100644,29416,28760,21178,21290,21183,27315
1784184501.0,42.9,100644,29416,28760,21178,21290,21514,27315
1784184502.1,44.0,100644,29416,28760,21178,21290,21180,27315
1784184503.2,45.1,100644,29416,28760,21178,21290,21446,27315
1784184504.2,46.2,100644,29416,28760,21178,21290,21177,27315
1784184505.3,47.3,100644,29416,28760,21178,21290,21173,27315
1784184506.4,48.4,100644,29416,28760,21178,21290,21179,27315
1784184507.5,49.5,100644,29416,28760,21178,21290,21186,27315
1784184508.6,50.5,100644,29416,28760,21178,21290,21183,27315
1784184509.7,51.6,100644,29416,28760,21178,21290,21180,27315
1784184510.8,52.7,100644,29416,28760,21178,21290,21179,27315
1784184511.9,53.8,100644,29416,28760,21178,21290,21188,27315
1784184513.0,54.9,100644,29416,28760,21178,21290,21223,27315
1784184514.1,56.0,100644,29416,28760,21178,21290,21332,27315
1784184515.2,57.1,100644,29416,28760,21178,21290,21201,27315
1784184516.3,58.2,100644,29416,28760,21178,21290,21209,27315
1784184517.4,59.3,100644,29416,28760,21178,21290,21217,27315
1784184518.5,60.4,100644,29416,28760,21178,21290,21214,27315
1784184519.6,61.5,100644,29416,28760,21178,21290,21210,27315
1784184520.7,62.6,100644,29416,28760,21178,21290,21472,27315
1784184521.7,63.7,100644,29416,28760,21178,21290,21505,27315
1784184522.8,64.7,100644,29416,28760,21178,21290,21206,27315
