t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784789694.1,0.0,81568,20307,20307,20477,20477,19463,20156
1784789695.2,1.1,82082,20307,20821,20477,20477,19510,20156
1784789696.3,2.2,82082,20307,20821,20477,20477,19512,20156
1784789697.4,3.3,82082,20307,20821,20477,20477,19512,20156
1784789698.4,4.3,82082,20307,20821,20477,20477,19512,20156
1784789699.5,5.4,82594,20819,20821,20477,20477,19537,20157
1784789700.6,6.5,82598,20821,20821,20477,20479,19551,20157
1784789701.7,7.6,82598,20821,20821,20477,20479,19551,20157
1784789702.7,8.6,82598,20821,20821,20477,20479,19551,20157
1784789703.8,9.7,82598,20821,20821,20477,20479,19551,20157
1784789704.9,10.8,82598,20821,20821,20477,20479,19562,20157
1784789706.0,11.9,82598,20821,20821,20477,20479,19564,20157
1784789707.1,12.9,82598,20821,20821,20477,20479,19565,20157
1784789708.1,14.0,82598,20821,20821,20477,20479,19564,20157
1784789709.2,15.0,82600,20821,20821,20479,20479,19569,20157
1784789710.3,16.1,82600,20821,20821,20479,20479,19568,20157
1784789711.4,17.2,82602,20821,20823,20479,20479,19566,20157
1784789712.4,18.3,82602,20821,20823,20479,20479,19566,20157
1784789713.5,19.4,82602,20821,20823,20479,20479,19567,20157
1784789714.5,20.4,82602,20821,20823,20479,20479,19568,20157
1784789715.6,21.5,82602,20821,20823,20479,20479,19568,20157
1784789716.7,22.6,82602,20821,20823,20479,20479,19567,20157
1784789717.8,23.7,82602,20821,20823,20479,20479,19568,20157
1784789718.8,24.7,82602,20821,20823,20479,20479,19568,20157
1784789719.9,25.8,82602,20821,20823,20479,20479,19570,20157
1784789721.0,26.8,82602,20821,20823,20479,20479,19571,20157
1784789722.0,27.9,82602,20821,20823,20479,20479,19570,20157
1784789723.1,29.0,82602,20821,20823,20479,20479,19571,20157
1784789724.1,30.0,82602,20821,20823,20479,20479,19590,20157
1784789725.2,31.1,82602,20821,20823,20479,20479,19607,20157
1784789726.3,32.2,82602,20821,20823,20479,20479,19607,20157
1784789727.4,33.3,82602,20821,20823,20479,20479,19608,20157
1784789728.5,34.4,82602,20821,20823,20479,20479,19608,20157
1784789729.6,35.4,82602,20821,20823,20479,20479,19610,20157
1784789730.6,36.5,82602,20821,20823,20479,20479,19609,20157
1784789731.7,37.6,82602,20821,20823,20479,20479,19610,20157
1784789732.8,38.6,82602,20821,20823,20479,20479,19611,20157
1784789733.8,39.7,82602,20821,20823,20479,20479,19612,20157
1784789734.9,40.8,82602,20821,20823,20479,20479,19612,20157
1784789736.0,41.8,82604,20823,20823,20479,20479,19608,20157
