t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784815071.2,0.0,81580,20313,20313,20477,20477,27186,21562
1784815072.3,1.1,81580,20313,20313,20477,20477,28082,21562
1784815073.4,2.1,81580,20313,20313,20477,20477,28707,21562
1784815074.4,3.2,81584,20317,20313,20477,20477,27836,21563
1784815075.5,4.3,81584,20317,20313,20477,20477,27837,21563
1784815076.6,5.3,81584,20317,20313,20477,20477,27837,21563
1784815077.6,6.4,81584,20317,20313,20477,20477,27837,21563
1784815078.7,7.5,81584,20317,20313,20477,20477,27837,21563
1784815079.8,8.5,81584,20317,20313,20477,20477,27840,21563
1784815080.9,9.6,81584,20317,20313,20477,20477,27839,21563
1784815081.9,10.7,81584,20317,20313,20477,20477,27840,21563
1784815083.0,11.7,81584,20317,20313,20477,20477,27840,21563
1784815084.1,12.8,81584,20317,20313,20477,20477,27841,21563
1784815085.1,13.9,81584,20317,20313,20477,20477,27842,21563
1784815086.2,15.0,81584,20317,20313,20477,20477,27846,21563
1784815087.3,16.0,81584,20317,20313,20477,20477,27845,21563
1784815088.3,17.1,81584,20317,20313,20477,20477,27843,21563
1784815089.4,18.2,81656,20389,20313,20477,20477,27855,21572
1784815090.5,19.2,81656,20389,20313,20477,20477,27856,21572
1784815091.5,20.3,81656,20389,20313,20477,20477,27857,21572
1784815092.7,21.4,81656,20389,20313,20477,20477,27856,21572
1784815093.7,22.5,81656,20389,20313,20477,20477,27858,21572
1784815094.8,23.6,81656,20389,20313,20477,20477,27859,21572
1784815095.9,24.6,81656,20389,20313,20477,20477,27858,21572
1784815096.9,25.7,81656,20389,20313,20477,20477,27857,21572
1784815098.0,26.8,81656,20389,20313,20477,20477,27856,21572
1784815099.1,27.9,81656,20389,20313,20477,20477,27856,21572
1784815100.2,28.9,81656,20389,20313,20477,20477,27857,21572
1784815101.2,30.0,81656,20389,20313,20477,20477,27857,21572
1784815102.3,31.1,81656,20389,20313,20477,20477,27856,21572
1784815103.4,32.1,81656,20389,20313,20477,20477,27865,21604
1784815104.5,33.2,81656,20389,20313,20477,20477,27870,21642
1784815105.5,34.3,81656,20389,20313,20477,20477,27871,21642
1784815106.6,35.4,81656,20389,20313,20477,20477,27871,21642
1784815107.7,36.4,81656,20389,20313,20477,20477,27871,21642
1784815108.7,37.5,81656,20389,20313,20477,20477,27871,21642
1784815109.8,38.6,81656,20389,20313,20477,20477,27871,21642
1784815110.9,39.7,81656,20389,20313,20477,20477,27871,21642
1784815112.0,40.8,81656,20389,20313,20477,20477,27869,21642
1784815113.1,41.8,81656,20389,20313,20477,20477,27870,21642
1784815114.1,42.9,81656,20389,20313,20477,20477,27870,21642
1784815115.2,44.0,81656,20389,20313,20477,20477,27871,21642
1784815116.3,45.0,81656,20389,20313,20477,20477,27870,21642
1784815117.3,46.1,81656,20389,20313,20477,20477,27870,21642
1784815118.4,47.2,81878,20389,20535,20477,20477,27885,21658
1784815119.5,48.2,81878,20389,20535,20477,20477,27889,21658
1784815120.5,49.3,81878,20389,20535,20477,20477,27889,21658
1784815121.6,50.4,81878,20389,20535,20477,20477,27889,21658
1784815122.6,51.4,81878,20389,20535,20477,20477,27890,21658
1784815123.7,52.5,81878,20389,20535,20477,20477,27892,21658
1784815124.8,53.5,81878,20389,20535,20477,20477,27892,21658
1784815125.8,54.6,81878,20389,20535,20477,20477,27892,21658
1784815126.9,55.7,81878,20389,20535,20477,20477,27892,21659
1784815128.0,56.8,81878,20389,20535,20477,20477,27891,21659
1784815129.1,57.8,81878,20389,20535,20477,20477,27892,21659
1784815130.1,58.9,81878,20389,20535,20477,20477,27904,21674
1784815131.2,60.0,81878,20389,20535,20477,20477,27903,21675
1784815132.3,61.0,81878,20389,20535,20477,20477,27903,21675
1784815133.3,62.1,81878,20389,20535,20477,20477,27904,21675
1784815134.3,63.1,81938,20449,20535,20477,20477,27914,21726
1784815135.4,64.2,81938,20449,20535,20477,20477,27912,21726
1784815136.5,65.2,81938,20449,20535,20477,20477,27911,21726
1784815137.6,66.3,81938,20449,20535,20477,20477,27911,21726
1784815138.6,67.4,81938,20449,20535,20477,20477,27911,21726
1784815139.7,68.5,81938,20449,20535,20477,20477,27912,21726
1784815140.8,69.6,81938,20449,20535,20477,20477,27912,21726
1784815141.8,70.6,81938,20449,20535,20477,20477,27912,21726
1784815142.9,71.7,81938,20449,20535,20477,20477,27911,21726
1784815144.0,72.8,81938,20449,20535,20477,20477,27912,21726
1784815145.1,73.8,81938,20449,20535,20477,20477,27913,21726
1784815146.1,74.9,81938,20449,20535,20477,20477,27914,21726
1784815147.2,76.0,81938,20449,20535,20477,20477,27913,21726
1784815148.3,77.1,81938,20449,20535,20477,20477,27914,21726
1784815149.4,78.1,81938,20449,20535,20477,20477,27917,21840
1784815150.4,79.2,81938,20449,20535,20477,20477,27919,21844
1784815151.5,80.3,81938,20449,20535,20477,20477,27918,21846
1784815152.6,81.3,81938,20449,20535,20477,20477,27917,21847
1784815153.6,82.4,81938,20449,20535,20477,20477,27919,21848
1784815154.7,83.5,81938,20449,20535,20477,20477,27921,21850
1784815155.8,84.6,81938,20449,20535,20477,20477,27918,21851
1784815156.9,85.6,81938,20449,20535,20477,20477,27917,21854
1784815158.0,86.7,81938,20449,20535,20477,20477,27919,21857
1784815159.1,87.9,81938,20449,20535,20477,20477,27921,21862
1784815160.1,88.9,81938,20449,20535,20477,20477,27920,21862
1784815161.2,90.0,81944,20449,20541,20477,20477,27921,21863
1784815162.3,91.1,81944,20449,20541,20477,20477,27923,21863
1784815163.4,92.1,81944,20449,20541,20477,20477,27923,21863
1784815164.4,93.2,81944,20449,20541,20477,20477,27924,21863
1784815165.5,94.3,81944,20449,20541,20477,20477,27924,21863
1784815166.6,95.3,81944,20449,20541,20477,20477,27924,21863
1784815167.6,96.4,81944,20449,20541,20477,20477,27924,21863
1784815168.7,97.5,81944,20449,20541,20477,20477,27924,21863
1784815169.8,98.6,81944,20449,20541,20477,20477,27924,21863
1784815170.9,99.6,81944,20449,20541,20477,20477,27924,21863
1784815171.9,100.7,81944,20449,20541,20477,20477,27924,21863
1784815173.0,101.8,81944,20449,20541,20477,20477,27921,21913
1784815174.1,102.8,81944,20449,20541,20477,20477,27922,21921
1784815175.2,103.9,81944,20449,20541,20477,20477,27921,21924
1784815176.2,105.0,81944,20449,20541,20477,20477,27920,21927
1784815177.3,106.1,81944,20449,20541,20477,20477,27920,21929
1784815178.4,107.1,81944,20449,20541,20477,20477,27921,21930
1784815179.4,108.2,81944,20449,20541,20477,20477,27922,21930
