t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784626635.7,0.0,98604,28132,28228,21142,21102,19769,59618
1784626636.8,1.1,98604,28132,28228,21142,21102,20594,59618
1784626637.9,2.2,98604,28132,28228,21142,21102,21213,59618
1784626639.0,3.3,99254,28714,28296,21142,21102,20623,59634
1784626640.0,4.3,99254,28714,28296,21142,21102,20628,59635
1784626641.2,5.4,99254,28714,28296,21142,21102,20629,59635
1784626642.3,6.5,99254,28714,28296,21142,21102,20631,59635
1784626643.3,7.6,99254,28714,28296,21142,21102,20632,59635
1784626644.4,8.7,99254,28714,28296,21142,21102,20636,59635
1784626645.5,9.8,99254,28714,28296,21142,21102,20636,59635
1784626646.6,10.9,99302,28716,28296,21188,21102,20641,59641
1784626647.7,11.9,99302,28716,28296,21188,21102,20642,59641
1784626648.7,13.0,99304,28716,28298,21188,21102,20655,59641
1784626649.8,14.1,99304,28716,28298,21188,21102,20655,59641
1784626650.9,15.2,99390,28716,28298,21208,21168,20664,59647
1784626652.0,16.3,99414,28740,28298,21208,21168,20670,59647
1784626653.0,17.3,99414,28740,28298,21208,21168,20669,59647
1784626654.1,18.4,99664,28774,28514,21208,21168,20682,59647
1784626655.2,19.5,99664,28774,28514,21208,21168,20685,59647
1784626656.3,20.5,99684,28774,28514,21228,21168,20686,59647
1784626657.4,21.6,99684,28774,28514,21228,21168,20686,59647
1784626658.5,22.7,99684,28774,28514,21228,21168,20687,59647
1784626659.5,23.8,99684,28774,28514,21228,21168,20695,59647
1784626660.6,24.9,99684,28774,28514,21228,21168,20696,59647
1784626661.7,26.0,99684,28774,28514,21228,21168,20696,59647
1784626662.8,27.0,99684,28774,28514,21228,21168,20697,59647
1784626663.8,28.1,99752,28774,28514,21228,21236,20705,59653
1784626664.9,29.2,99752,28774,28514,21228,21236,20706,59653
1784626666.0,30.3,99752,28774,28514,21228,21236,20705,59653
1784626667.1,31.4,99752,28774,28514,21228,21236,20710,59653
1784626668.2,32.4,99752,28774,28514,21228,21236,20715,59653
1784626669.2,33.5,99752,28774,28514,21228,21236,20726,59653
1784626670.3,34.6,99752,28774,28514,21228,21236,20820,59653
1784626671.4,35.7,99752,28774,28514,21228,21236,20735,59653
1784626672.5,36.8,99752,28774,28514,21228,21236,20735,59653
1784626673.6,37.9,99752,28774,28514,21228,21236,20735,59653
1784626674.7,39.0,99752,28774,28514,21228,21236,20737,59653
1784626675.8,40.0,99752,28774,28514,21228,21236,20738,59653
1784626676.8,41.1,99752,28774,28514,21228,21236,20734,59653
1784626677.9,42.2,99752,28774,28514,21228,21236,20735,59653
1784626679.0,43.3,99752,28774,28514,21228,21236,20731,59654
1784626680.1,44.4,99752,28774,28514,21228,21236,20734,59654
1784626681.2,45.4,99752,28774,28514,21228,21236,20735,59654
1784626682.3,46.6,99752,28774,28514,21228,21236,20730,59654
1784626683.4,47.6,99752,28774,28514,21228,21236,20728,59654
1784626684.5,48.7,99752,28774,28514,21228,21236,20730,59654
1784626685.5,49.8,99752,28774,28514,21228,21236,20741,59654
1784626686.6,50.9,99752,28774,28514,21228,21236,20742,59654
1784626687.7,52.0,99752,28774,28514,21228,21236,20769,59654
1784626688.8,53.0,99752,28774,28514,21228,21236,20776,59654
1784626689.9,54.1,99752,28774,28514,21228,21236,20777,59654
1784626691.0,55.2,99752,28774,28514,21228,21236,20794,59654
1784626692.0,56.3,99752,28774,28514,21228,21236,20795,59654
1784626693.1,57.4,99752,28774,28514,21228,21236,20792,59654
1784626694.2,58.5,99752,28774,28514,21228,21236,20795,59654
1784626695.3,59.6,99752,28774,28514,21228,21236,20800,59654
1784626696.4,60.6,99752,28774,28514,21228,21236,20816,59654
1784626697.5,61.7,99752,28774,28514,21228,21236,20816,59654
1784626698.6,62.9,99786,28808,28514,21228,21236,20822,59654
1784626699.7,63.9,99786,28808,28514,21228,21236,20823,59654
1784626700.7,65.0,99786,28808,28514,21228,21236,20896,59654
1784626701.8,66.1,99786,28808,28514,21228,21236,20869,59654
1784626702.9,67.1,99786,28808,28514,21228,21236,20877,59654
1784626704.0,68.3,99786,28808,28514,21228,21236,21008,59654
1784626705.1,69.3,99786,28808,28514,21228,21236,20927,59654
1784626706.2,70.4,99786,28808,28514,21228,21236,20931,59654
1784626707.2,71.5,99786,28808,28514,21228,21236,20953,59654
1784626708.3,72.6,99786,28808,28514,21228,21236,20955,59654
1784626709.4,73.7,99786,28808,28514,21228,21236,20967,59654
1784626710.5,74.8,99786,28808,28514,21228,21236,20962,59654
1784626711.6,75.9,99786,28808,28514,21228,21236,20965,59654
1784626712.7,77.0,99786,28808,28514,21228,21236,20978,59654
1784626713.8,78.0,99786,28808,28514,21228,21236,20981,59654
1784626714.8,79.1,99786,28808,28514,21228,21236,20996,59654
1784626716.0,80.2,99786,28808,28514,21228,21236,21004,59654
1784626717.0,81.3,99786,28808,28514,21228,21236,20996,59654
1784626718.1,82.4,99786,28808,28514,21228,21236,20987,59654
1784626719.2,83.5,99786,28808,28514,21228,21236,20990,59654
1784626720.3,84.6,99786,28808,28514,21228,21236,20995,59654
1784626721.3,85.6,99786,28808,28514,21228,21236,20997,59654
1784626722.5,86.7,99786,28808,28514,21228,21236,21022,59654
1784626723.6,87.8,99786,28808,28514,21228,21236,20993,59654
