t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784826359.6,0.0,81568,20307,20307,20477,20477,19370,29372
1784826360.7,1.1,81568,20307,20307,20477,20477,20263,29372
1784826361.7,2.1,81568,20307,20307,20477,20477,20889,29372
1784826362.8,3.2,81572,20307,20311,20477,20477,20027,29372
1784826363.8,4.2,81572,20307,20311,20477,20477,20030,29372
1784826364.9,5.3,81572,20307,20311,20477,20477,20027,29372
1784826365.9,6.3,81572,20307,20311,20477,20477,20028,29372
1784826367.0,7.4,81572,20307,20311,20477,20477,20027,29372
1784826368.1,8.5,81572,20307,20311,20477,20477,20027,29372
1784826369.1,9.5,81572,20307,20311,20477,20477,20025,29372
1784826370.2,10.6,81572,20307,20311,20477,20477,20025,29372
1784826371.3,11.7,81572,20307,20311,20477,20477,20022,29372
1784826372.4,12.8,81572,20307,20311,20477,20477,20022,29372
1784826373.4,13.8,81572,20307,20311,20477,20477,20021,29372
1784826374.5,14.9,81572,20307,20311,20477,20477,20025,29372
1784826375.6,16.0,81572,20307,20311,20477,20477,20023,29372
1784826376.6,17.0,81572,20307,20311,20477,20477,20022,29372
1784826377.7,18.1,81646,20307,20385,20477,20477,20024,29372
1784826378.8,19.2,81646,20307,20385,20477,20477,20026,29372
1784826379.9,20.3,81646,20307,20385,20477,20477,20026,29372
1784826380.9,21.3,81646,20307,20385,20477,20477,20025,29372
1784826382.0,22.4,81646,20307,20385,20477,20477,20025,29372
1784826383.1,23.5,81646,20307,20385,20477,20477,20025,29372
1784826384.2,24.6,81646,20307,20385,20477,20477,20026,29372
1784826385.2,25.6,81646,20307,20385,20477,20477,20026,29372
1784826386.3,26.7,81646,20307,20385,20477,20477,20026,29372
1784826387.4,27.8,81646,20307,20385,20477,20477,20026,29372
1784826388.4,28.8,81646,20307,20385,20477,20477,20027,29372
1784826389.5,30.0,81646,20307,20385,20477,20477,20028,29372
1784826390.7,31.1,81646,20307,20385,20477,20477,20027,29372
1784826391.7,32.1,81746,20307,20485,20477,20477,20028,29372
1784826392.8,33.2,81746,20307,20485,20477,20477,20027,29372
1784826393.9,34.3,81746,20307,20485,20477,20477,20025,29372
1784826395.0,35.4,81746,20307,20485,20477,20477,20025,29372
1784826396.0,36.5,81746,20307,20485,20477,20477,20026,29372
1784826397.1,37.5,81746,20307,20485,20477,20477,20025,29372
1784826398.2,38.6,81746,20307,20485,20477,20477,20024,29372
1784826399.3,39.7,81746,20307,20485,20477,20477,20024,29372
1784826400.3,40.7,81746,20307,20485,20477,20477,20024,29372
1784826401.4,41.8,81746,20307,20485,20477,20477,20023,29372
1784826402.5,42.9,81746,20307,20485,20477,20477,20023,29372
1784826403.5,44.0,81746,20307,20485,20477,20477,20024,29372
1784826404.6,45.0,81746,20307,20485,20477,20477,20025,29372
1784826405.7,46.1,81746,20307,20485,20477,20477,20025,29372
1784826406.7,47.2,81842,20307,20581,20477,20477,20025,29372
1784826407.8,48.2,81842,20307,20581,20477,20477,20030,29372
1784826408.9,49.3,81842,20307,20581,20477,20477,20030,29372
1784826409.9,50.3,81842,20307,20581,20477,20477,20030,29372
1784826411.0,51.4,81842,20307,20581,20477,20477,20030,29372
1784826412.1,52.5,81842,20307,20581,20477,20477,20031,29372
1784826413.1,53.5,81842,20307,20581,20477,20477,20031,29372
1784826414.2,54.6,81842,20307,20581,20477,20477,20031,29372
1784826415.2,55.7,81842,20307,20581,20477,20477,20031,29372
1784826416.3,56.7,81842,20307,20581,20477,20477,20032,29372
1784826417.4,57.8,81842,20307,20581,20477,20477,20032,29372
1784826418.5,58.9,81842,20307,20581,20477,20477,20032,29372
1784826419.5,59.9,81842,20307,20581,20477,20477,20035,29372
1784826420.6,61.0,81842,20307,20581,20477,20477,20035,29372
1784826421.7,62.1,81842,20307,20581,20477,20477,20034,29372
1784826422.7,63.1,81966,20307,20705,20477,20477,20038,29372
1784826423.8,64.2,81966,20307,20705,20477,20477,20039,29373
1784826424.9,65.3,81966,20307,20705,20477,20477,20035,29373
1784826426.0,66.4,81966,20307,20705,20477,20477,20033,29373
1784826427.0,67.4,81966,20307,20705,20477,20477,20032,29373
1784826428.1,68.5,81966,20307,20705,20477,20477,20031,29373
1784826429.1,69.6,81966,20307,20705,20477,20477,20032,29373
1784826430.2,70.6,81966,20307,20705,20477,20477,20033,29373
1784826431.3,71.7,81966,20307,20705,20477,20477,20032,29373
1784826432.3,72.7,81966,20307,20705,20477,20477,20031,29373
1784826433.4,73.8,81966,20307,20705,20477,20477,20031,29373
1784826434.5,74.9,81966,20307,20705,20477,20477,20032,29373
1784826435.5,76.0,81966,20307,20705,20477,20477,20033,29373
1784826436.6,77.0,81966,20307,20705,20477,20477,20033,29373
1784826437.7,78.1,82120,20307,20859,20477,20477,20033,29373
1784826438.7,79.1,82120,20307,20859,20477,20477,20038,29373
1784826439.8,80.2,82120,20307,20859,20477,20477,20038,29373
1784826440.9,81.3,82120,20307,20859,20477,20477,20038,29373
1784826442.0,82.4,82120,20307,20859,20477,20477,20038,29373
1784826443.0,83.4,82120,20307,20859,20477,20477,20037,29373
1784826444.1,84.5,82120,20307,20859,20477,20477,20038,29373
1784826445.2,85.6,82120,20307,20859,20477,20477,20038,29373
1784826446.2,86.6,82120,20307,20859,20477,20477,20038,29373
1784826447.3,87.7,82120,20307,20859,20477,20477,20039,29373
1784826448.4,88.8,82120,20307,20859,20477,20477,20040,29373
