elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136902.0,24805.0,24807.0,43645.0,43645.0,84782.5,73775.2,32068.8,30864.5,0.0,21041.6,0.6,33251.1,22383.0,35523.5,58935.5,90881.1,128652.3,105824.1,148
2.0,136922.0,24825.0,24807.0,43645.0,43645.0,84782.8,73775.5,32069.0,30864.8,0.0,21041.4,0.6,34632.8,22382.9,36908.3,60320.2,89496.3,128652.3,105824.2,148
4.0,136922.0,24825.0,24807.0,43645.0,43645.0,84799.6,73790.1,32084.3,30879.4,0.0,21042.9,0.6,33828.3,22384.4,36113.1,59526.5,90291.5,128652.3,105842.6,148
6.0,136922.0,24825.0,24807.0,43645.0,43645.0,84799.7,73790.2,32084.5,30879.5,0.0,21043.1,0.6,33829.6,22384.5,36112.3,59525.9,90292.3,128652.3,105842.8,148
8.0,136922.0,24825.0,24807.0,43645.0,43645.0,84804.6,73795.0,32089.3,30884.3,0.0,21048.1,0.6,33834.0,22389.5,36121.5,59540.0,90283.1,128652.3,105852.7,148
10.0,136926.0,24829.0,24807.0,43645.0,43645.0,84820.4,73809.6,32104.0,30898.9,0.0,21061.5,28.5,33849.0,22402.5,36137.9,59569.5,90266.7,128652.3,105881.8,148
12.0,136926.0,24829.0,24807.0,43645.0,43645.0,84821.3,73810.4,32104.8,30899.7,0.0,21069.9,28.5,33850.6,22411.0,36140.2,59580.2,90264.4,128652.3,105891.2,148
14.0,136950.0,24853.0,24807.0,43645.0,43645.0,84821.7,73810.7,32105.2,30900.1,0.0,21072.1,28.5,33851.1,22412.9,36142.5,59584.4,90262.0,128652.3,105893.9,148
16.0,136950.0,24853.0,24807.0,43645.0,43645.0,84828.2,73817.0,32111.5,30906.3,0.0,21074.6,28.5,33857.9,22415.3,36150.8,59595.1,90253.8,128652.3,105902.8,148
18.0,137024.0,24853.0,24881.0,43645.0,43645.0,84831.7,73820.5,32114.9,30909.8,0.0,21076.6,28.5,33858.3,22417.3,36153.3,59599.6,90251.3,128652.3,105908.3,148
20.0,137024.0,24853.0,24881.0,43645.0,43645.0,84853.0,73841.7,32136.2,30931.0,0.0,21173.2,174.6,33882.8,22513.5,36203.6,59746.2,90200.9,128652.3,106026.2,148
22.0,137084.0,24909.0,24885.0,43645.0,43645.0,84858.0,73846.6,32141.1,30935.9,0.0,21266.7,174.6,33886.2,22607.6,36181.3,59817.9,90223.2,128652.3,106124.7,148
24.0,137084.0,24909.0,24885.0,43645.0,43645.0,84859.6,73848.0,32142.5,30937.3,0.0,21348.6,174.6,33888.2,22689.0,36189.7,59907.8,90214.8,128652.3,106208.2,148
26.0,137084.0,24909.0,24885.0,43645.0,43645.0,84861.0,73849.4,32143.9,30938.7,0.0,21387.1,174.6,33889.9,22727.7,36193.5,59950.3,90211.0,128652.3,106248.1,148
28.0,137120.0,24909.0,24921.0,43645.0,43645.0,84863.6,73852.0,32146.5,30941.3,0.0,21487.7,174.6,33892.6,22828.5,36193.6,60051.2,90210.9,128652.3,106351.3,148
30.0,137120.0,24909.0,24921.0,43645.0,43645.0,84863.6,73852.0,32146.5,30941.4,0.0,21487.7,459.1,33862.5,22828.5,36166.8,60024.4,90237.7,128652.3,106351.4,148
32.0,137120.0,24909.0,24921.0,43645.0,43645.0,84864.5,73852.9,32147.5,30942.3,0.0,21512.3,459.1,33863.1,22853.1,36174.0,60056.2,90230.5,128652.3,106376.8,148
34.0,137156.0,24945.0,24921.0,43645.0,43645.0,84874.1,73862.5,32157.0,30951.8,0.0,21589.0,459.1,33872.9,22930.0,36185.9,60145.0,90218.6,128652.3,106463.1,148
36.0,137206.0,24995.0,24921.0,43645.0,43645.0,84879.5,73867.9,32162.4,30957.3,0.0,21754.8,459.1,33874.2,23095.7,36182.2,60306.9,90222.3,128652.3,106634.3,148
38.0,137262.0,24995.0,24977.0,43645.0,43645.0,84906.3,73878.6,32189.2,30968.0,0.0,22022.9,459.1,33889.2,23364.0,36214.5,60607.6,90190.0,128652.3,106929.2,148
