elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136902.0,24807.0,24805.0,43645.0,43645.0,84809.4,73785.5,32083.0,30880.3,0.0,20433.7,0.6,33214.3,21935.3,35350.6,58478.0,90886.9,128652.3,105243.1,148
2.0,136908.0,24807.0,24811.0,43645.0,43645.0,84809.6,73785.8,32083.2,30880.5,0.0,20451.0,0.6,34582.8,21952.3,36716.8,59861.2,89520.7,128652.3,105260.5,148
4.0,136908.0,24807.0,24811.0,43645.0,43645.0,84827.3,73801.3,32099.4,30896.1,0.0,20456.2,0.6,33803.7,21957.6,35939.6,59089.3,90297.9,128652.3,105283.6,148
6.0,136908.0,24807.0,24811.0,43645.0,43645.0,84827.7,73801.7,32099.8,30896.5,0.0,20456.2,0.6,33804.2,21957.6,35942.1,59091.8,90295.4,128652.3,105284.0,148
8.0,136908.0,24807.0,24811.0,43645.0,43645.0,84835.0,73809.0,32107.1,30903.7,0.0,20468.3,0.6,33811.5,21969.6,35947.2,59108.9,90290.3,128652.3,105303.3,148
10.0,136910.0,24809.0,24811.0,43645.0,43645.0,84840.5,73813.5,32111.6,30908.3,0.0,20471.0,21.9,33816.5,21972.3,35958.6,59123.0,90278.8,128652.3,105311.5,148
12.0,136910.0,24809.0,24811.0,43645.0,43645.0,84842.4,73814.9,32113.3,30909.7,0.0,20472.9,21.9,33817.9,21974.0,35963.5,59129.7,90273.9,128652.3,105315.2,148
14.0,136910.0,24809.0,24811.0,43645.0,43645.0,84842.5,73815.0,32113.4,30909.8,0.0,20475.6,21.9,33818.3,21976.8,35961.2,59130.1,90276.3,128652.3,105318.2,148
16.0,136978.0,24877.0,24811.0,43645.0,43645.0,84852.3,73824.7,32123.1,30919.5,0.0,20484.0,21.9,33828.2,21985.2,35970.7,59148.1,90266.7,128652.3,105336.3,148
18.0,137032.0,24911.0,24831.0,43645.0,43645.0,84853.0,73825.4,32123.8,30920.2,0.0,20486.2,21.9,33828.1,21987.2,35974.5,59153.9,90262.9,128652.3,105339.2,148
20.0,137056.0,24911.0,24855.0,43645.0,43645.0,84873.1,73845.3,32143.8,30940.1,0.0,20591.3,166.9,33847.1,22092.3,36044.2,59328.7,90193.3,128652.3,105464.4,148
22.0,137088.0,24911.0,24887.0,43645.0,43645.0,84875.1,73847.1,32145.6,30941.9,0.0,20638.4,166.9,33849.3,22138.9,35992.6,59323.7,90244.8,128652.3,105513.4,148
24.0,137088.0,24911.0,24887.0,43645.0,43645.0,84877.3,73849.4,32147.8,30944.2,0.0,20737.6,166.9,33853.1,22238.1,35998.6,59428.9,90238.8,128652.3,105614.9,148
26.0,137088.0,24911.0,24887.0,43645.0,43645.0,84879.1,73851.2,32149.6,30945.9,0.0,20798.9,166.9,33855.1,22299.5,36006.2,59497.8,90231.2,128652.3,105678.0,148
28.0,137088.0,24911.0,24887.0,43645.0,43645.0,84884.9,73857.0,32155.4,30951.7,0.0,20834.6,166.9,33860.9,22335.3,36013.5,59541.0,90223.9,128652.3,105719.5,148
30.0,137130.0,24953.0,24887.0,43645.0,43645.0,84884.9,73857.0,32155.4,30951.8,0.0,20869.9,484.1,33860.9,22370.5,36013.8,59576.5,90223.6,128652.3,105754.8,148
32.0,137130.0,24953.0,24887.0,43645.0,43645.0,84886.9,73859.0,32157.4,30953.7,0.0,20946.2,484.1,33863.1,22446.7,36017.0,59655.9,90220.4,128652.3,105833.1,148
34.0,137130.0,24953.0,24887.0,43645.0,43645.0,84889.4,73861.5,32159.9,30956.2,0.0,21073.6,484.1,33865.8,22574.4,36016.8,59783.4,90220.6,128652.3,105963.0,148
36.0,137230.0,24953.0,24987.0,43645.0,43645.0,84914.2,73870.2,32184.7,30965.0,0.0,21225.7,484.1,33874.4,22726.5,36045.6,59964.2,90191.8,128652.3,106139.9,148
38.0,137286.0,25009.0,24987.0,43645.0,43645.0,84934.2,73874.2,32204.7,30969.0,0.0,21383.7,484.1,33878.4,22884.6,36066.7,60143.5,90170.7,128652.3,106317.9,148
40.0,137286.0,25009.0,24987.0,43645.0,43645.0,84937.7,73877.7,32208.2,30972.4,0.0,21477.8,1044.1,33882.3,22979.1,36070.3,60241.6,90167.1,128652.3,106415.6,148
42.0,137412.0,25135.0,24987.0,43645.0,43645.0,84946.7,73886.6,32217.1,30981.4,0.0,21633.9,1044.1,33891.4,23135.1,36089.2,60416.5,90148.2,128652.3,106580.5,148
44.0,137414.0,25137.0,24987.0,43645.0,43645.0,84947.6,73887.5,32218.0,30982.3,0.0,21828.4,1044.1,33892.4,23329.9,36089.4,60611.5,90148.0,128652.3,106775.9,148
46.0,137414.0,25137.0,24987.0,43645.0,43645.0,84948.8,73888.7,32219.2,30983.5,0.0,21915.8,1044.1,33893.7,23418.1,36099.6,60709.9,90137.8,128652.3,106864.6,148
48.0,137414.0,25137.0,24987.0,43645.0,43645.0,84950.0,73889.9,32220.4,30984.7,0.0,21968.5,1044.1,33895.1,23470.8,36097.3,60760.4,90140.0,128652.3,106918.5,148
50.0,137414.0,25137.0,24987.0,43645.0,43645.0,84950.5,73890.5,32221.0,30985.2,0.0,22039.1,1671.3,33895.6,23541.9,36099.3,60833.4,90138.1,128652.3,106989.6,148
52.0,137414.0,25137.0,24987.0,43645.0,43645.0,84961.5,73901.2,32231.7,30996.0,0.0,22199.2,1671.3,33906.6,23704.0,36105.2,61001.4,90132.2,128652.3,107160.7,148
54.0,137416.0,25137.0,24989.0,43645.0,43645.0,84963.9,73903.6,32234.1,30998.4,0.0,22372.9,1671.3,33908.7,23879.3,36110.1,61181.6,90127.3,128652.3,107336.8,148
56.0,137416.0,25137.0,24989.0,43645.0,43645.0,84965.6,73905.2,32235.7,31000.0,0.0,22408.3,1671.3,33911.2,23915.1,36119.7,61227.0,90117.7,128652.3,107373.9,148
58.0,137420.0,25137.0,24989.0,43647.0,43647.0,84967.2,73906.9,32237.4,31001.6,0.0,22436.1,1671.3,33911.0,23942.9,36120.0,61255.1,90117.4,128652.3,107403.3,148
60.0,137420.0,25137.0,24989.0,43647.0,43647.0,84968.6,73908.3,32238.8,31003.0,0.0,22623.3,2387.8,33914.2,24131.6,36120.8,61444.6,90116.6,128652.3,107591.9,148
62.0,137492.0,25209.0,24989.0,43647.0,43647.0,84973.6,73913.2,32243.7,31008.0,0.0,22961.3,2387.8,33918.2,24472.7,36126.9,61791.8,90110.5,128652.3,107934.8,148
64.0,137492.0,25209.0,24989.0,43647.0,43647.0,84984.8,73924.4,32254.9,31019.2,0.0,23406.9,2387.8,33930.5,24923.1,36135.2,62250.5,90102.2,128652.3,108391.6,148
66.0,137570.0,25209.0,25067.0,43647.0,43647.0,84987.8,73927.4,32257.9,31022.2,0.0,23528.2,2387.8,33933.3,25045.5,36128.4,62366.2,90108.9,128652.3,108515.9,148
68.0,137570.0,25209.0,25067.0,43647.0,43647.0,84989.1,73928.7,32259.2,31023.5,0.0,23710.0,2387.8,33934.7,25229.3,36130.1,62551.7,90107.2,128652.3,108699.1,148
70.0,137570.0,25209.0,25067.0,43647.0,43647.0,84991.5,73931.1,32261.6,31025.9,0.0,23832.3,3462.3,33937.7,25353.1,36132.7,62678.1,90104.6,128652.3,108823.7,148
72.0,137660.0,25299.0,25067.0,43647.0,43647.0,85002.9,73942.6,32273.1,31037.3,0.0,23985.3,3462.3,33940.1,25507.9,36134.7,62834.9,90102.6,128652.3,108988.2,148
74.0,137760.0,25299.0,25167.0,43647.0,43647.0,85010.3,73950.0,32280.5,31044.7,0.0,24149.8,3462.3,33956.9,25672.9,36154.1,63019.3,90083.2,128652.3,109160.2,148
76.0,137870.0,25299.0,25277.0,43647.0,43647.0,85014.2,73953.8,32284.3,31048.6,0.0,24608.5,3462.3,33961.1,26136.9,36154.6,63483.8,90082.7,128652.3,109622.7,148
78.0,137870.0,25299.0,25277.0,43647.0,43647.0,85016.3,73955.9,32286.4,31050.6,0.0,24828.6,3462.3,33963.2,26359.3,36157.2,63708.8,90080.1,128652.3,109844.9,148
80.0,137870.0,25299.0,25277.0,43647.0,43647.0,85018.0,73957.6,32288.1,31052.3,0.0,25045.3,4600.4,33964.3,26578.5,36164.9,63935.7,90072.4,128652.3,110063.2,148
82.0,137870.0,25299.0,25277.0,43647.0,43647.0,85023.1,73962.7,32293.2,31057.5,0.0,25117.7,4600.4,33970.2,26652.1,36174.1,64018.6,90063.1,128652.3,110140.9,148
84.0,137870.0,25299.0,25277.0,43647.0,43647.0,85025.6,73965.2,32295.7,31060.0,0.0,25252.6,4600.4,33972.6,26788.3,36168.1,64148.7,90069.2,128652.3,110278.3,148
86.0,137872.0,25301.0,25277.0,43647.0,43647.0,85027.1,73966.7,32297.1,31061.4,0.0,25516.1,4600.4,33974.4,27054.6,36169.7,64416.7,90067.5,128652.3,110543.1,148
88.0,137872.0,25301.0,25277.0,43647.0,43647.0,85029.1,73968.7,32299.2,31063.5,0.0,25718.9,4600.4,33976.6,27260.2,36171.7,64624.3,90065.5,128652.3,110748.0,148
90.0,138034.0,25301.0,25439.0,43647.0,43647.0,85030.0,73969.6,32300.1,31064.3,0.0,25755.8,5667.6,33977.0,27297.7,36175.3,64665.3,90061.9,128652.3,110785.7,148
92.0,138198.0,25301.0,25603.0,43647.0,43647.0,85033.3,73972.9,32303.4,31067.7,0.0,26313.3,5667.6,33981.1,27860.3,36185.7,65238.4,90051.5,128652.3,111346.6,148
94.0,138336.0,25439.0,25603.0,43647.0,43647.0,85034.8,73974.4,32304.9,31069.2,0.0,26682.1,5667.6,33982.8,28233.5,36197.1,65623.0,90040.1,128652.3,111716.9,148
96.0,138336.0,25439.0,25603.0,43647.0,43647.0,85038.1,73977.7,32308.2,31072.5,0.0,26755.0,5667.6,34005.2,28306.9,36221.5,65720.8,90015.7,128652.3,111793.1,148
98.0,138476.0,25579.0,25603.0,43647.0,43647.0,85038.6,73978.2,32308.7,31072.9,0.0,26940.9,5667.6,33987.0,28495.3,36202.2,65889.9,90035.0,128652.3,111979.4,148
100.0,138476.0,25579.0,25603.0,43647.0,43647.0,85040.4,73980.0,32310.5,31074.8,0.0,27186.6,6743.9,33989.2,28743.3,36199.2,66134.9,90038.0,128652.3,112227.0,148
102.0,138476.0,25579.0,25603.0,43647.0,43647.0,85041.5,73981.1,32311.6,31075.9,0.0,27295.6,6743.9,33990.1,28853.7,36202.1,66248.3,90035.0,128652.3,112337.1,148
104.0,138476.0,25579.0,25603.0,43647.0,43647.0,85042.5,73982.1,32312.6,31076.8,0.0,27499.4,6743.9,33991.7,29059.8,36204.3,66456.6,90032.8,128652.3,112541.9,148
106.0,138646.0,25749.0,25603.0,43647.0,43647.0,85044.0,73983.5,32314.0,31078.3,0.0,27745.1,6743.9,34015.5,29308.1,36231.1,66731.7,90006.0,128652.3,112789.1,148
108.0,138648.0,25749.0,25603.0,43647.0,43649.0,85045.6,73985.2,32315.7,31080.0,0.0,27937.5,6743.9,33995.1,29503.0,36206.0,66901.4,90031.1,128652.3,112983.1,148
110.0,138648.0,25749.0,25603.0,43647.0,43649.0,85047.5,73987.0,32317.5,31081.8,0.0,28395.4,8217.8,33997.0,29965.7,36248.1,67406.2,89989.0,128652.3,113442.8,148
112.0,138648.0,25749.0,25603.0,43647.0,43649.0,85049.4,73989.0,32319.5,31083.8,0.0,28759.1,8217.8,33999.2,30333.4,36207.5,67733.3,90029.6,128652.3,113808.5,148
114.0,138648.0,25749.0,25603.0,43647.0,43649.0,85054.6,73990.6,32323.0,31085.4,0.0,29349.9,8217.8,34000.7,30931.1,36205.1,68328.8,90031.9,128652.3,114404.5,148
116.0,138650.0,25749.0,25603.0,43649.0,43649.0,85090.9,74026.7,32357.5,31121.5,0.0,29543.9,8217.8,34056.9,31127.6,36267.7,68587.9,89969.3,128652.3,114634.9,148
118.0,138650.0,25749.0,25603.0,43649.0,43649.0,85093.7,74029.4,32360.2,31124.2,0.0,29857.4,8217.8,34039.8,31444.7,36246.4,68883.6,89990.6,128652.3,114951.1,148
