elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,146586.0,29210.0,28942.0,44240.0,44194.0,67839.8,56017.0,15103.6,13101.1,0.0,19900.6,0.0,15379.7,21246.8,18373.7,40546.5,108133.9,128652.3,87740.3,148
2.0,146590.0,29214.0,28942.0,44240.0,44194.0,67839.9,56017.2,15103.8,13101.2,0.0,19922.7,0.0,16761.3,21269.0,19762.1,41957.0,106745.5,128652.3,87762.6,148
4.0,146590.0,29214.0,28942.0,44240.0,44194.0,67846.9,56023.1,15109.9,13107.1,0.0,19922.7,0.0,15991.2,21269.0,18999.1,41194.1,107508.4,128652.3,87769.6,148
6.0,146590.0,29214.0,28942.0,44240.0,44194.0,67847.2,56023.4,15110.3,13107.5,0.0,19922.9,0.0,15990.0,21269.1,18999.6,41194.8,107508.0,128652.3,87770.1,148
8.0,146860.0,29484.0,28942.0,44240.0,44194.0,67971.5,56043.4,15233.9,13127.4,0.0,19922.9,0.0,15997.7,21269.1,19126.2,41321.3,107381.4,128652.3,87894.3,148
10.0,146860.0,29484.0,28942.0,44240.0,44194.0,67971.8,56043.5,15234.1,13127.5,0.0,19923.4,0.0,16010.6,21269.8,19131.3,41327.1,107376.3,128652.3,87895.2,148
12.0,146860.0,29484.0,28942.0,44240.0,44194.0,67977.2,56047.9,15238.5,13131.9,0.0,19923.5,0.0,16015.1,21269.5,19136.3,41331.8,107371.3,128652.3,87900.6,148
14.0,146860.0,29484.0,28942.0,44240.0,44194.0,67977.3,56048.0,15238.6,13132.0,0.0,19923.5,0.0,16015.2,21269.5,19136.6,41332.1,107371.0,128652.3,87900.7,148
16.0,146948.0,29504.0,28944.0,44240.0,44260.0,67984.0,56048.6,15245.4,13132.6,0.0,19923.5,0.0,16015.3,21269.5,19143.1,41338.6,107364.5,128652.3,87907.5,148
18.0,146948.0,29504.0,28944.0,44240.0,44260.0,67984.2,56048.7,15245.5,13132.7,0.0,19923.6,0.0,16016.1,21269.6,19145.5,41341.1,107362.1,128652.3,87907.8,148
20.0,146950.0,29506.0,28944.0,44240.0,44260.0,67992.6,56056.9,15253.8,13141.0,0.0,19923.6,0.0,16021.8,21269.6,19150.8,41346.5,107356.7,128652.3,87916.2,148
22.0,146952.0,29506.0,28944.0,44242.0,44260.0,67994.9,56059.3,15256.2,13143.4,0.0,19924.0,0.0,16027.2,21270.0,19159.1,41355.1,107348.5,128652.3,87918.9,148
24.0,147016.0,29506.0,28944.0,44306.0,44260.0,68001.0,56059.3,15262.2,13143.4,0.0,19924.0,0.0,16027.1,21270.0,19165.1,41361.1,107342.5,128652.3,87925.0,148
26.0,147016.0,29506.0,28944.0,44306.0,44260.0,68002.3,56060.6,15263.5,13144.6,0.0,19924.0,0.0,16026.6,21270.0,19165.7,41361.7,107341.9,128652.3,87926.3,148
28.0,147016.0,29506.0,28944.0,44306.0,44260.0,68002.3,56060.6,15263.5,13144.7,0.0,19924.0,0.0,16027.8,21270.1,19164.1,41360.3,107343.4,128652.3,87926.3,148
30.0,147016.0,29506.0,28944.0,44306.0,44260.0,68002.4,56060.6,15263.5,13144.7,0.0,19924.0,0.0,16027.8,21270.1,19164.0,41360.1,107343.6,128652.3,87926.4,148
32.0,147102.0,29506.0,28964.0,44306.0,44326.0,68008.8,56061.0,15269.8,13145.1,0.0,19924.0,0.0,16028.1,21270.1,19171.6,41367.8,107335.9,128652.3,87932.9,148
34.0,147102.0,29506.0,28964.0,44306.0,44326.0,68008.9,56061.0,15269.9,13145.1,0.0,19924.0,0.0,16028.4,21270.1,19171.1,41367.3,107336.4,128652.3,87932.9,148
36.0,147102.0,29506.0,28964.0,44306.0,44326.0,68012.6,56064.7,15273.6,13148.8,0.0,19924.0,0.0,16031.8,21270.1,19176.4,41372.6,107331.2,128652.3,87936.6,148
38.0,147102.0,29506.0,28964.0,44306.0,44326.0,68021.3,56073.4,15282.3,13157.4,0.0,19924.2,0.0,16040.7,21270.0,19188.5,41384.6,107319.1,128652.3,87945.5,148
40.0,147102.0,29506.0,28964.0,44306.0,44326.0,68025.7,56077.7,15286.6,13161.7,0.0,19924.2,0.0,16044.5,21269.8,19190.3,41386.1,107317.2,128652.3,87949.9,148
42.0,147102.0,29506.0,28964.0,44306.0,44326.0,68025.9,56077.9,15286.8,13161.9,0.0,19924.2,0.0,16045.4,21269.8,19189.9,41385.7,107317.6,128652.3,87950.1,148
44.0,147102.0,29506.0,28964.0,44306.0,44326.0,68025.9,56077.9,15286.8,13161.9,0.0,19924.2,0.0,16045.4,21269.8,19191.4,41387.3,107316.1,128652.3,87950.1,148
46.0,147102.0,29506.0,28964.0,44306.0,44326.0,68025.9,56077.9,15286.8,13162.0,0.0,19924.2,0.0,16045.4,21269.8,19192.0,41387.9,107315.5,128652.3,87950.2,148
48.0,147102.0,29506.0,28964.0,44306.0,44326.0,68026.0,56078.0,15286.9,13162.0,0.0,19924.2,0.0,16045.4,21269.8,19192.8,41388.7,107314.7,128652.3,87950.3,148
50.0,147102.0,29506.0,28964.0,44306.0,44326.0,68026.1,56078.0,15286.9,13162.1,0.0,19924.2,0.0,16045.5,21269.8,19193.2,41389.1,107314.3,128652.3,87950.4,148
52.0,147106.0,29506.0,28968.0,44306.0,44326.0,68026.5,56078.4,15287.3,13162.5,0.0,19924.2,0.0,16046.1,21269.9,19199.2,41395.2,107308.3,128652.3,87950.7,148
54.0,147106.0,29506.0,28968.0,44306.0,44326.0,68028.5,56080.2,15289.1,13164.3,0.0,19924.3,0.0,16048.0,21270.1,19196.7,41392.9,107310.8,128652.3,87952.7,148
56.0,147106.0,29506.0,28968.0,44306.0,44326.0,68032.6,56084.4,15293.2,13168.4,0.0,19924.4,0.0,16051.9,21270.2,19203.8,41400.1,107303.7,128652.3,87957.0,148
58.0,147106.0,29506.0,28968.0,44306.0,44326.0,68032.6,56084.4,15293.3,13168.5,0.0,19924.4,0.0,16052.3,21270.2,19205.2,41401.5,107302.3,128652.3,87957.0,148
