elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136866.0,24789.0,24787.0,43645.0,43645.0,66788.5,55765.6,14051.5,12850.8,0.0,45805.1,0.0,15394.4,46794.8,17939.9,65211.4,109017.0,128652.3,112593.6,148
2.0,136870.0,24789.0,24791.0,43645.0,43645.0,66788.5,55765.6,14051.6,12850.8,0.0,45805.1,0.0,16761.9,46795.2,19320.4,66592.3,107636.5,128652.3,112593.6,148
4.0,136870.0,24789.0,24791.0,43645.0,43645.0,66796.7,55772.6,14058.8,12857.8,0.0,45805.2,0.0,15936.1,46795.3,18500.3,65772.3,108456.6,128652.3,112601.9,148
6.0,136870.0,24789.0,24791.0,43645.0,43645.0,66797.1,55773.0,14059.2,12858.1,0.0,45805.2,0.0,15937.0,46795.3,18504.5,65776.5,108452.4,128652.3,112602.3,148
8.0,136890.0,24809.0,24791.0,43645.0,43645.0,66803.0,55778.5,14064.7,12863.7,0.0,45805.3,0.0,15942.3,46795.4,18514.9,65787.0,108442.0,128652.3,112608.3,148
10.0,136890.0,24809.0,24791.0,43645.0,43645.0,66803.7,55778.9,14065.3,12864.1,0.0,45805.5,0.0,15943.3,46795.6,18519.5,65791.8,108437.4,128652.3,112609.2,148
12.0,136890.0,24809.0,24791.0,43645.0,43645.0,66805.0,55780.1,14066.5,12865.3,0.0,45805.5,0.0,15945.3,46795.6,18519.9,65792.2,108437.0,128652.3,112610.5,148
14.0,136890.0,24809.0,24791.0,43645.0,43645.0,66805.0,55780.2,14066.5,12865.4,0.0,45805.5,0.0,15945.3,46795.6,18518.8,65791.1,108438.1,128652.3,112610.5,148
16.0,136890.0,24809.0,24791.0,43645.0,43645.0,66805.5,55780.5,14066.9,12865.7,0.0,45805.5,0.0,15946.1,46795.7,18519.4,65791.7,108437.5,128652.3,112611.0,148
18.0,136948.0,24867.0,24791.0,43645.0,43645.0,66805.7,55780.5,14067.0,12865.7,0.0,45805.5,0.0,15946.4,46795.7,18520.7,65793.0,108436.2,128652.3,112611.2,148
