elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,137530.0,24807.0,25433.0,43645.0,43645.0,84769.1,73768.5,32062.6,30864.3,0.0,31491.6,0.6,34808.2,33083.9,37360.3,71540.8,88976.8,128652.3,116260.7,148
2.0,138108.0,25385.0,25433.0,43645.0,43645.0,84820.3,73807.3,32101.9,30903.1,0.0,31495.0,0.6,34871.2,33086.8,37422.7,71606.0,88914.4,128652.3,116315.3,148
4.0,138132.0,25385.0,25437.0,43665.0,43645.0,84854.8,73840.7,32135.6,30936.5,0.0,31989.8,0.6,34905.5,33586.3,37473.0,72155.8,88864.1,128652.3,116844.6,148
6.0,138136.0,25385.0,25437.0,43667.0,43647.0,84878.5,73864.3,32159.3,30960.2,0.0,32576.2,0.6,34928.6,34179.5,37502.3,72778.4,88834.8,128652.3,117454.7,148
8.0,138136.0,25385.0,25437.0,43667.0,43647.0,84882.1,73867.9,32162.9,30963.8,0.0,32843.2,0.6,34937.4,34449.7,37515.2,73061.4,88821.8,128652.3,117725.3,148
10.0,138136.0,25385.0,25437.0,43667.0,43647.0,84882.1,73867.9,32162.9,30963.8,0.0,32846.3,1360.1,34937.7,34453.2,37516.4,73066.2,88820.6,128652.3,117728.4,148
12.0,138136.0,25385.0,25437.0,43667.0,43647.0,84882.1,73868.0,32162.9,30963.8,0.0,32854.3,1360.1,34937.7,34461.3,37515.0,73072.9,88822.0,128652.3,117736.4,148
14.0,138136.0,25385.0,25437.0,43667.0,43647.0,84882.1,73868.0,32162.9,30963.8,0.0,32862.2,1360.1,34937.8,34469.3,37517.3,73083.1,88819.8,128652.3,117744.3,148
16.0,138136.0,25385.0,25437.0,43667.0,43647.0,84886.7,73872.6,32167.6,30968.4,0.0,33209.0,1360.1,34939.2,34820.5,37517.6,73434.6,88819.4,128652.3,118095.7,148
18.0,138136.0,25385.0,25437.0,43667.0,43647.0,84892.2,73878.0,32173.0,30973.9,0.0,33634.8,1360.1,34946.5,35251.3,37663.4,74011.4,88673.6,128652.3,118527.0,148
20.0,138140.0,25389.0,25437.0,43667.0,43647.0,84892.7,73878.5,32173.5,30974.3,0.0,33834.0,2403.4,34948.8,35452.9,37527.7,74077.1,88809.3,128652.3,118726.7,148
22.0,138140.0,25389.0,25437.0,43667.0,43647.0,84893.6,73879.4,32174.4,30975.3,0.0,34251.8,2403.4,34946.8,35876.0,37524.3,74496.8,88812.8,128652.3,119145.4,148
24.0,138140.0,25389.0,25437.0,43667.0,43647.0,84894.0,73879.9,32174.9,30975.7,0.0,34531.4,2403.4,34947.5,36159.2,37528.7,74784.5,88808.3,128652.3,119425.5,148
26.0,138140.0,25389.0,25437.0,43667.0,43647.0,84894.0,73879.9,32174.9,30975.7,0.0,34703.3,2403.4,34947.5,36333.1,37527.6,74957.3,88809.4,128652.3,119597.4,148
28.0,138140.0,25389.0,25437.0,43667.0,43647.0,84894.1,73879.9,32174.9,30975.7,0.0,34792.5,2403.4,34947.5,36423.4,37520.9,75041.0,88816.0,128652.3,119686.5,148
30.0,138140.0,25389.0,25437.0,43667.0,43647.0,84894.9,73880.8,32175.8,30976.6,0.0,34852.1,3835.4,34948.0,36483.7,37522.2,75102.5,88814.7,128652.3,119747.1,148
32.0,138140.0,25389.0,25437.0,43667.0,43647.0,84895.1,73880.9,32175.9,30976.8,0.0,35403.8,3835.4,34948.6,37042.5,37521.5,75660.6,88815.5,128652.3,120298.9,148
34.0,138142.0,25389.0,25437.0,43669.0,43647.0,84895.2,73881.1,32176.1,30976.9,0.0,35553.4,3835.4,34949.0,37197.7,37527.1,75821.5,88809.8,128652.3,120448.6,148
36.0,138142.0,25389.0,25437.0,43669.0,43647.0,84895.2,73881.1,32176.1,30976.9,0.0,35555.4,3835.4,34949.0,37199.8,37529.2,75825.6,88807.7,128652.3,120450.6,148
38.0,138142.0,25389.0,25437.0,43669.0,43647.0,84895.2,73881.1,32176.1,30976.9,0.0,35561.8,3835.4,34948.9,37206.6,37533.2,75836.4,88803.7,128652.3,120457.1,148
40.0,138142.0,25389.0,25437.0,43669.0,43647.0,84897.1,73882.9,32177.9,30978.8,0.0,35570.7,4273.8,34952.3,37215.7,37538.7,75851.2,88798.2,128652.3,120467.8,148
42.0,138142.0,25389.0,25437.0,43669.0,43647.0,84898.8,73884.6,32179.6,30980.5,0.0,36101.2,4273.8,34956.8,37766.8,37555.8,76419.2,88781.2,128652.3,121000.0,148
44.0,138142.0,25389.0,25437.0,43669.0,43647.0,84903.5,73889.3,32184.2,30985.1,0.0,36772.5,4273.8,34962.0,38464.0,37568.6,77129.3,88768.3,128652.3,121675.9,148
46.0,138144.0,25389.0,25439.0,43669.0,43647.0,84914.0,73899.9,32194.9,30995.7,0.0,36895.0,4273.8,34971.1,38590.3,37581.7,77268.7,88755.2,128652.3,121809.0,148
48.0,138144.0,25389.0,25439.0,43669.0,43647.0,84914.4,73900.2,32195.2,30996.0,0.0,36981.4,4273.8,34971.3,38680.4,37584.4,77361.6,88752.5,128652.3,121895.8,148
50.0,138144.0,25389.0,25439.0,43669.0,43647.0,84914.4,73900.2,32195.2,30996.0,0.0,36987.0,5504.3,34972.7,38686.1,37583.7,77366.5,88753.2,128652.3,121901.3,148
52.0,138144.0,25389.0,25439.0,43669.0,43647.0,84914.6,73900.5,32195.4,30996.3,0.0,36988.6,5504.3,34973.1,38688.0,37582.7,77367.4,88754.2,128652.3,121903.3,148
