elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.1,147260.0,29868.0,29004.0,44194.0,44194.0,67698.0,56001.3,15014.3,13087.3,0.0,20347.5,0.0,16724.3,21585.3,20059.8,42482.3,106536.6,128652.3,88045.5,148
2.1,147482.0,29540.0,29534.0,44214.0,44194.0,67943.3,56065.9,15246.9,13151.9,0.0,20347.7,0.0,16778.8,21585.7,20289.8,42712.6,106306.7,128652.3,88291.0,148
4.1,147528.0,29566.0,29534.0,44214.0,44214.0,67972.5,56093.6,15274.6,13179.7,0.0,20348.3,0.0,16811.1,21586.2,20337.9,42761.4,106258.4,128652.3,88320.8,148
6.1,147540.0,29566.0,29546.0,44214.0,44214.0,67989.9,56111.0,15292.0,13197.0,0.0,20348.8,0.0,16841.2,21586.1,20378.1,42801.5,106218.2,128652.3,88338.7,148
8.1,147540.0,29566.0,29546.0,44214.0,44214.0,67990.9,56112.0,15293.1,13198.0,0.0,20349.0,0.0,16836.1,21585.7,20383.4,42806.5,106212.8,128652.3,88339.9,148
10.1,147540.0,29566.0,29546.0,44214.0,44214.0,67990.9,56112.0,15293.1,13198.1,0.0,20349.0,0.0,16834.8,21585.8,20381.1,42804.2,106215.2,128652.3,88339.9,148
12.1,147540.0,29566.0,29546.0,44214.0,44214.0,67991.0,56112.0,15293.1,13198.1,0.0,20349.0,0.0,16837.3,21585.8,20367.5,42790.6,106228.7,128652.3,88340.0,148
14.1,147630.0,29566.0,29636.0,44214.0,44214.0,67991.0,56112.1,15293.1,13198.1,0.0,20349.1,0.0,16832.1,21585.8,20353.8,42777.0,106242.4,128652.3,88340.1,148
16.1,148208.0,30142.0,29638.0,44214.0,44214.0,67991.5,56112.4,15293.6,13198.4,0.0,20349.2,0.0,16835.3,21585.8,20363.2,42786.3,106233.0,128652.3,88340.7,148
18.1,148208.0,30142.0,29638.0,44214.0,44214.0,67999.0,56119.7,15301.0,13205.8,0.0,20349.4,0.0,16839.1,21585.8,20377.1,42800.3,106219.1,128652.3,88348.4,148
20.1,148208.0,30142.0,29638.0,44214.0,44214.0,67999.4,56120.1,15301.3,13206.1,0.0,20349.4,0.0,16843.8,21585.6,20380.7,42803.8,106215.4,128652.3,88348.8,148
22.1,148208.0,30142.0,29638.0,44214.0,44214.0,67999.7,56120.4,15301.6,13206.4,0.0,20349.5,0.0,16839.5,21585.6,20380.5,42803.6,106215.6,128652.3,88349.2,148
