elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,137378.0,25301.0,24787.0,43645.0,43645.0,66762.4,55767.8,14066.0,12868.5,0.0,28896.7,0.0,16941.3,30524.1,18681.4,50844.0,107109.7,128652.3,95659.1,148
2.0,137380.0,25303.0,24787.0,43645.0,43645.0,66778.5,55776.7,14075.6,12877.4,0.0,28897.0,0.0,16949.1,30524.5,18695.1,50858.1,107096.0,128652.3,95675.5,148
4.0,137380.0,25303.0,24787.0,43645.0,43645.0,66781.7,55779.8,14078.7,12880.5,0.0,28897.2,0.0,16952.9,30524.7,18700.6,50863.8,107090.6,128652.3,95678.9,148
6.0,138008.0,25303.0,25415.0,43645.0,43645.0,66821.8,55812.0,14111.0,12912.7,0.0,28897.4,0.0,16987.1,30524.8,18737.9,50901.1,107053.2,128652.3,95719.2,148
8.0,138012.0,25303.0,25417.0,43647.0,43645.0,66828.1,55818.0,14117.1,12918.7,0.0,28897.4,0.0,16739.9,30524.6,18492.9,50655.9,107298.2,128652.3,95725.5,148
10.0,138014.0,25303.0,25417.0,43647.0,43647.0,66829.9,55819.9,14119.0,12920.6,0.0,28897.5,0.0,16743.3,30524.6,18501.5,50664.6,107289.6,128652.3,95727.4,148
12.0,138014.0,25303.0,25417.0,43647.0,43647.0,66834.0,55823.9,14122.9,12924.6,0.0,28897.5,0.0,16749.5,30524.6,18506.5,50669.5,107284.7,128652.3,95731.4,148
14.0,138014.0,25303.0,25417.0,43647.0,43647.0,66834.2,55824.1,14123.2,12924.8,0.0,28897.5,0.0,16746.3,30524.4,18507.4,50670.4,107283.7,128652.3,95731.6,148
16.0,138014.0,25303.0,25417.0,43647.0,43647.0,66835.2,55824.9,14124.0,12925.6,0.0,28897.5,0.0,16749.8,30524.5,18514.3,50677.3,107276.8,128652.3,95732.6,148
18.0,138014.0,25303.0,25417.0,43647.0,43647.0,66835.2,55824.9,14124.0,12925.6,0.0,28897.5,0.0,16751.5,30524.5,18515.6,50678.6,107275.5,128652.3,95732.6,148
20.0,138014.0,25303.0,25417.0,43647.0,43647.0,66835.2,55825.0,14124.1,12925.7,0.0,28897.5,0.0,16753.5,30524.5,18519.5,50682.5,107271.6,128652.3,95732.7,148
22.0,138016.0,25305.0,25417.0,43647.0,43647.0,66835.4,55825.1,14124.2,12925.8,0.0,28897.6,0.0,16748.3,30524.6,18511.2,50674.3,107279.9,128652.3,95733.0,148
24.0,138016.0,25305.0,25417.0,43647.0,43647.0,66857.4,55843.8,14145.2,12944.5,0.0,28897.7,0.0,16770.3,30524.6,18536.2,50699.3,107254.9,128652.3,95755.0,148
26.0,138018.0,25305.0,25419.0,43647.0,43647.0,66879.5,55862.7,14164.0,12963.4,0.0,28897.7,0.0,16791.5,30524.6,18560.2,50723.3,107230.9,128652.3,95777.2,148
28.0,138038.0,25305.0,25419.0,43647.0,43667.0,66882.9,55866.0,14167.4,12966.8,0.0,28897.7,0.0,16788.5,30524.6,18562.0,50725.1,107229.1,128652.3,95780.6,148
30.0,138038.0,25305.0,25419.0,43647.0,43667.0,66884.1,55867.2,14168.6,12967.9,0.0,28897.7,0.0,16794.7,30524.8,18557.8,50721.1,107233.3,128652.3,95781.8,148
32.0,138038.0,25305.0,25419.0,43647.0,43667.0,66884.2,55867.4,14168.7,12968.1,0.0,28897.7,0.0,16798.6,30524.9,18567.1,50730.4,107224.0,128652.3,95781.9,148
34.0,138040.0,25305.0,25419.0,43647.0,43669.0,66891.9,55875.1,14176.4,12975.8,0.0,28897.7,0.0,16800.1,30525.0,18734.8,50898.3,107056.2,128652.3,95789.6,148
36.0,138042.0,25305.0,25419.0,43649.0,43669.0,66895.7,55878.8,14180.2,12979.5,0.0,28897.8,0.0,16809.1,30525.6,18578.3,50742.4,107212.8,128652.3,95793.5,148
38.0,138042.0,25305.0,25419.0,43649.0,43669.0,66895.7,55878.9,14180.2,12979.6,0.0,28897.8,0.0,16809.6,30525.8,18576.9,50741.2,107214.2,128652.3,95793.6,148
40.0,138042.0,25305.0,25419.0,43649.0,43669.0,66895.8,55878.9,14180.3,12979.7,0.0,28897.8,0.0,16805.6,30525.8,18569.8,50734.1,107221.3,128652.3,95793.6,148
42.0,138042.0,25305.0,25419.0,43649.0,43669.0,66895.9,55879.0,14180.4,12979.7,0.0,28898.0,0.0,16807.2,30526.2,18575.3,50740.0,107215.8,128652.3,95793.8,148
44.0,138042.0,25305.0,25419.0,43649.0,43669.0,66895.9,55879.1,14180.4,12979.8,0.0,28898.0,0.0,16809.7,30526.0,18580.4,50745.0,107210.7,128652.3,95793.9,148
46.0,138042.0,25305.0,25419.0,43649.0,43669.0,66896.6,55879.8,14181.1,12980.5,0.0,28898.1,0.0,16806.3,30525.9,18580.0,50744.4,107211.1,128652.3,95794.7,148
48.0,138042.0,25305.0,25419.0,43649.0,43669.0,66897.9,55881.0,14182.4,12981.7,0.0,28898.1,0.0,16809.4,30526.0,18583.6,50748.2,107207.4,128652.3,95795.9,148
50.0,138042.0,25305.0,25419.0,43649.0,43669.0,66898.2,55881.4,14182.7,12982.1,0.0,28898.1,0.0,16922.6,30525.8,18696.5,50860.9,107094.5,128652.3,95796.3,148
52.0,138042.0,25305.0,25419.0,43649.0,43669.0,66898.2,55881.4,14182.7,12982.1,0.0,28898.3,0.0,17098.8,30526.1,18876.8,51041.5,106914.2,128652.3,95796.6,148
54.0,138042.0,25305.0,25419.0,43649.0,43669.0,66898.3,55881.4,14182.7,12982.1,0.0,28898.4,0.0,17130.8,30526.0,18906.9,51071.6,106884.0,128652.3,95796.6,148
56.0,138042.0,25305.0,25419.0,43649.0,43669.0,66898.3,55881.4,14182.8,12982.1,0.0,28898.5,0.0,17164.1,30525.7,18935.0,51099.3,106856.0,128652.3,95796.8,148
58.0,138042.0,25305.0,25419.0,43649.0,43669.0,66898.3,55881.4,14182.8,12982.1,0.0,28898.7,0.0,17067.4,30526.0,18841.0,51005.6,106950.0,128652.3,95797.0,148
60.0,138042.0,25305.0,25419.0,43649.0,43669.0,66898.3,55881.4,14182.8,12982.1,0.0,28898.9,0.0,17072.6,30526.2,18848.3,51013.2,106942.6,128652.3,95797.1,148
