elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136866.0,24787.0,24789.0,43645.0,43645.0,66750.7,55761.6,14050.2,12851.0,0.0,28505.5,0.0,14436.6,29828.9,16386.1,47516.4,109566.1,128652.3,95256.3,148
2.0,136868.0,24787.0,24791.0,43645.0,43645.0,66750.8,55761.6,14050.2,12851.1,0.0,28505.2,0.0,15817.0,29828.6,17769.4,48899.4,108182.8,128652.3,95255.9,148
4.0,136868.0,24787.0,24791.0,43645.0,43645.0,66754.2,55764.8,14053.5,12854.2,0.0,28505.4,0.0,15005.0,29828.8,16963.2,48093.3,108989.0,128652.3,95259.6,148
6.0,136868.0,24787.0,24791.0,43645.0,43645.0,66754.6,55765.2,14053.9,12854.6,0.0,28505.5,0.0,15004.1,29828.9,16963.3,48093.6,108988.9,128652.3,95260.1,148
8.0,136890.0,24809.0,24791.0,43645.0,43645.0,66765.5,55775.1,14064.0,12864.6,0.0,28505.6,0.0,15015.8,29829.0,16985.5,48115.8,108966.7,128652.3,95271.1,148
10.0,136890.0,24809.0,24791.0,43645.0,43645.0,66766.3,55775.8,14064.7,12865.2,0.0,28505.7,0.0,15012.1,29829.1,16982.7,48113.2,108969.5,128652.3,95272.0,148
12.0,136890.0,24809.0,24791.0,43645.0,43645.0,66766.4,55775.8,14064.7,12865.3,0.0,28505.7,0.0,15126.6,29829.1,17094.2,48224.7,108857.9,128652.3,95272.1,148
14.0,136890.0,24809.0,24791.0,43645.0,43645.0,66766.4,55775.9,14064.7,12865.3,0.0,28506.0,0.0,15302.2,29829.3,17272.7,48403.6,108679.3,128652.3,95272.4,148
16.0,136890.0,24809.0,24791.0,43645.0,43645.0,66766.7,55776.1,14065.0,12865.6,0.0,28506.1,0.0,15333.1,29829.4,17301.0,48432.0,108651.1,128652.3,95272.8,148
18.0,136968.0,24809.0,24869.0,43645.0,43645.0,66766.7,55776.1,14065.0,12865.6,0.0,28506.2,0.0,15366.9,29829.5,17338.7,48469.8,108613.3,128652.3,95272.9,148
20.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.0,55780.1,14069.1,12869.6,0.0,28506.4,0.0,15271.9,29829.7,17249.9,48381.1,108702.2,128652.3,95277.3,148
22.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.0,55780.1,14069.1,12869.6,0.0,28506.4,0.0,15281.6,29829.7,17263.1,48394.4,108688.9,128652.3,95277.4,148
24.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.0,55780.1,14069.1,12869.6,0.0,28506.5,0.0,15324.6,29829.8,17308.7,48440.2,108643.2,128652.3,95277.5,148
26.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.2,55780.3,14069.3,12869.8,0.0,28506.1,0.0,15024.1,29829.3,17004.1,48135.1,108947.9,128652.3,95277.3,148
28.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.2,55780.3,14069.3,12869.8,0.0,28506.1,0.0,15019.7,29829.3,16997.8,48128.8,108954.2,128652.3,95277.3,148
30.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.3,55780.5,14069.4,12869.9,0.0,28506.2,0.0,15065.1,29829.3,17047.1,48178.0,108904.9,128652.3,95277.5,148
32.0,136968.0,24809.0,24869.0,43645.0,43645.0,66771.3,55780.5,14069.4,12869.9,0.0,28506.2,0.0,15165.7,29829.4,17145.4,48276.4,108806.5,128652.3,95277.5,148
34.0,137022.0,24809.0,24923.0,43645.0,43645.0,66771.4,55780.5,14069.4,12870.0,0.0,28506.6,0.0,15281.4,29829.8,17262.0,48393.6,108689.8,128652.3,95278.0,148
36.0,137022.0,24809.0,24923.0,43645.0,43645.0,66771.5,55780.6,14069.6,12870.1,0.0,28506.8,0.0,15327.3,29830.0,17307.9,48439.7,108643.9,128652.3,95278.3,148
38.0,137228.0,25015.0,24923.0,43645.0,43645.0,66772.3,55781.3,14070.3,12870.8,0.0,28506.9,0.0,15358.6,29830.1,17340.1,48472.0,108611.7,128652.3,95279.2,148
40.0,137288.0,25015.0,24983.0,43645.0,43645.0,66772.6,55781.7,14070.6,12871.1,0.0,28507.0,0.0,15250.6,29830.3,17233.2,48365.3,108718.6,128652.3,95279.7,148
42.0,137288.0,25015.0,24983.0,43645.0,43645.0,66772.7,55781.8,14070.7,12871.2,0.0,28507.1,0.0,15284.3,29830.1,17266.7,48398.6,108685.0,128652.3,95279.8,148
44.0,137288.0,25015.0,24983.0,43645.0,43645.0,66772.7,55781.8,14070.7,12871.2,0.0,28507.2,0.0,15315.4,29830.2,17299.2,48431.3,108652.5,128652.3,95279.9,148
46.0,137288.0,25015.0,24983.0,43645.0,43645.0,66772.9,55781.9,14070.9,12871.4,0.0,28507.2,0.0,15026.4,29830.2,17013.2,48145.3,108938.5,128652.3,95280.1,148
48.0,137288.0,25015.0,24983.0,43645.0,43645.0,66772.9,55781.9,14070.9,12871.4,0.0,28507.2,0.0,15020.5,29830.2,17007.8,48139.9,108943.8,128652.3,95280.1,148
50.0,137288.0,25015.0,24983.0,43645.0,43645.0,66772.9,55782.0,14071.0,12871.4,0.0,28507.2,0.0,15022.3,29830.2,17011.1,48143.2,108940.6,128652.3,95280.2,148
52.0,137376.0,25015.0,25071.0,43645.0,43645.0,66772.9,55782.0,14070.9,12871.4,0.0,28507.4,0.0,15067.7,29830.3,17058.8,48191.1,108892.8,128652.3,95280.3,148
