elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,136902.0,24807.0,24805.0,43645.0,43645.0,84737.3,73746.2,32044.8,30847.2,0.0,28710.4,0.6,32528.5,30040.6,34734.3,66083.8,91209.9,128652.3,113447.8,148
2.0,136902.0,24807.0,24805.0,43645.0,43645.0,84737.6,73746.5,32045.0,30847.4,0.0,28710.4,0.6,33961.7,30040.8,36175.3,67525.0,89769.4,128652.3,113448.0,148
4.0,136902.0,24807.0,24805.0,43645.0,43645.0,84746.3,73754.0,32053.1,30854.9,0.0,28711.8,0.6,33172.1,30042.3,35407.1,66758.3,90537.6,128652.3,113458.1,148
6.0,136902.0,24807.0,24805.0,43645.0,43645.0,84746.7,73754.4,32053.5,30855.4,0.0,28712.2,0.6,33173.1,30042.7,35420.7,66772.2,90524.0,128652.3,113459.0,148
8.0,136906.0,24811.0,24805.0,43645.0,43645.0,84759.8,73767.2,32066.4,30868.2,0.0,28728.5,0.6,33198.4,30058.9,35443.8,66811.6,90500.9,128652.3,113488.3,148
10.0,136908.0,24811.0,24807.0,43645.0,43645.0,84760.1,73767.3,32066.6,30868.3,0.0,28729.3,18.9,33185.0,30059.2,35437.2,66805.3,90507.5,128652.3,113489.3,148
12.0,136908.0,24811.0,24807.0,43645.0,43645.0,84767.4,73773.8,32073.1,30874.7,0.0,28729.3,18.9,33193.9,30059.0,35446.8,66814.7,90497.9,128652.3,113496.7,148
14.0,136908.0,24811.0,24807.0,43645.0,43645.0,84767.4,73773.8,32073.1,30874.8,0.0,28729.3,18.9,33197.1,30059.0,35448.7,66816.6,90496.0,128652.3,113496.7,148
16.0,136908.0,24811.0,24807.0,43645.0,43645.0,84767.8,73774.1,32073.4,30875.1,0.0,28729.4,18.9,33192.3,30059.1,35446.9,66815.0,90497.8,128652.3,113497.2,148
18.0,137002.0,24811.0,24901.0,43645.0,43645.0,84767.8,73774.1,32073.4,30875.1,0.0,28729.5,18.9,33194.8,30059.3,35449.1,66817.2,90495.6,128652.3,113497.4,148
