elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,146538.0,29210.0,28940.0,44194.0,44194.0,67742.4,56027.4,15036.4,13107.5,0.0,25077.1,0.0,16079.7,26659.0,18640.2,46851.8,107236.8,128652.3,92819.6,148
2.0,146542.0,29210.0,28944.0,44194.0,44194.0,67742.4,56027.4,15036.4,13107.5,0.0,25092.9,0.0,17479.4,26674.7,20043.9,48271.3,105833.0,128652.3,92835.3,148
4.0,146542.0,29210.0,28944.0,44194.0,44194.0,67748.2,56032.4,15041.7,13112.5,0.0,25093.0,0.0,16734.0,26674.8,19300.2,47527.7,106576.7,128652.3,92841.2,148
6.0,146542.0,29210.0,28944.0,44194.0,44194.0,67748.5,56032.8,15042.0,13112.9,0.0,25093.0,0.0,16729.5,26675.0,19297.2,47524.8,106579.8,128652.3,92841.6,148
8.0,146816.0,29484.0,28944.0,44194.0,44194.0,67755.7,56038.9,15048.4,13119.0,0.0,25093.1,0.0,16737.3,26675.0,19308.8,47536.5,106568.1,128652.3,92848.8,148
10.0,146816.0,29484.0,28944.0,44194.0,44194.0,67877.9,56056.6,15169.7,13136.7,0.0,25093.7,0.0,16757.9,26675.7,19444.8,47673.1,106432.1,128652.3,92971.7,148
12.0,146816.0,29484.0,28944.0,44194.0,44194.0,67878.1,56056.7,15169.8,13136.8,0.0,25093.7,0.0,16753.0,26675.4,19442.5,47670.6,106434.4,128652.3,92971.8,148
14.0,146816.0,29484.0,28944.0,44194.0,44194.0,67878.4,56057.0,15170.1,13137.1,0.0,25093.8,0.0,16756.1,26675.4,19443.6,47671.7,106433.3,128652.3,92972.1,148
16.0,146816.0,29484.0,28944.0,44194.0,44194.0,67878.4,56057.0,15170.2,13137.1,0.0,25093.8,0.0,16758.0,26675.4,19448.5,47676.6,106428.4,128652.3,92972.2,148
18.0,146812.0,29480.0,28944.0,44194.0,44194.0,67878.5,56057.1,15170.2,13137.2,0.0,25093.9,0.0,16753.2,26675.5,19444.8,47673.1,106432.1,128652.3,92972.3,148
20.0,146886.0,29534.0,28964.0,44194.0,44194.0,67956.9,56071.1,15248.5,13151.2,0.0,25094.3,0.0,16761.5,26675.9,19518.4,47747.1,106358.5,128652.3,93051.2,148
22.0,146886.0,29534.0,28964.0,44194.0,44194.0,67956.9,56071.2,15248.5,13151.3,0.0,25094.3,0.0,16772.1,26675.7,19532.3,47760.7,106344.6,128652.3,93051.2,148
24.0,146886.0,29534.0,28964.0,44194.0,44194.0,67957.1,56071.3,15248.6,13151.4,0.0,25094.3,0.0,16767.5,26675.7,19529.4,47757.9,106347.5,128652.3,93051.3,148
26.0,146956.0,29534.0,29034.0,44194.0,44194.0,67964.8,56078.8,15256.2,13158.9,0.0,25094.3,0.0,16769.8,26675.7,19533.0,47761.4,106343.9,128652.3,93059.1,148
28.0,146956.0,29534.0,29034.0,44194.0,44194.0,67964.8,56078.8,15256.2,13158.9,0.0,25094.3,0.0,16779.6,26675.7,19540.9,47769.3,106336.0,128652.3,93059.1,148
30.0,146956.0,29534.0,29034.0,44194.0,44194.0,67964.9,56078.9,15256.4,13159.0,0.0,25094.3,0.0,16774.7,26675.7,19537.9,47766.4,106339.0,128652.3,93059.2,148
32.0,146956.0,29534.0,29034.0,44194.0,44194.0,67964.9,56078.9,15256.4,13159.0,0.0,25094.3,0.0,16778.4,26675.7,19538.3,47766.7,106338.6,128652.3,93059.2,148
34.0,146956.0,29534.0,29034.0,44194.0,44194.0,67965.0,56079.0,15256.5,13159.1,0.0,25094.3,0.0,16780.1,26675.8,19540.4,47768.8,106336.5,128652.3,93059.3,148
36.0,147034.0,29554.0,29092.0,44194.0,44194.0,67965.5,56079.4,15256.9,13159.5,0.0,25094.3,0.0,16782.2,26675.8,19549.6,47778.0,106327.3,128652.3,93059.8,148
38.0,147034.0,29554.0,29092.0,44194.0,44194.0,67967.8,56081.6,15259.2,13161.7,0.0,25094.3,0.0,16778.2,26675.8,19545.0,47773.5,106331.8,128652.3,93062.1,148
40.0,147062.0,29582.0,29092.0,44194.0,44194.0,67968.0,56081.8,15259.3,13161.9,0.0,25094.3,0.0,16781.6,26675.8,19547.9,47776.3,106329.0,128652.3,93062.3,148
42.0,147108.0,29628.0,29092.0,44194.0,44194.0,67968.5,56082.1,15259.8,13162.2,0.0,25094.3,0.0,16784.1,26675.8,19552.9,47781.4,106324.0,128652.3,93062.8,148
44.0,147108.0,29628.0,29092.0,44194.0,44194.0,67977.7,56091.3,15268.9,13171.4,0.0,25094.3,0.0,16788.6,26675.8,19557.1,47785.5,106319.8,128652.3,93072.1,148
46.0,147108.0,29628.0,29092.0,44194.0,44194.0,67977.8,56091.4,15269.0,13171.5,0.0,25094.3,0.0,16790.6,26675.8,19558.1,47786.6,106318.8,128652.3,93072.2,148
48.0,147108.0,29628.0,29092.0,44194.0,44194.0,67977.8,56091.4,15269.0,13171.5,0.0,25094.3,0.0,16794.4,26675.8,19562.1,47790.6,106314.8,128652.3,93072.2,148
50.0,147108.0,29628.0,29092.0,44194.0,44194.0,67978.0,56091.5,15269.1,13171.6,0.0,25094.4,0.0,16790.6,26675.8,19560.6,47789.1,106316.3,128652.3,93072.3,148
52.0,147108.0,29628.0,29092.0,44194.0,44194.0,67978.0,56091.5,15269.1,13171.6,0.0,25094.4,0.0,16793.1,26675.8,19562.7,47791.2,106314.2,128652.3,93072.3,148
54.0,147108.0,29628.0,29092.0,44194.0,44194.0,67978.0,56091.6,15269.2,13171.7,0.0,25094.6,0.0,16793.2,26676.0,19563.9,47792.6,106313.0,128652.3,93072.6,148
56.0,147108.0,29628.0,29092.0,44194.0,44194.0,67987.8,56101.2,15278.9,13181.3,0.0,25094.6,0.0,16806.4,26675.5,19573.3,47801.5,106303.6,128652.3,93082.4,148
58.0,147108.0,29628.0,29092.0,44194.0,44194.0,67987.8,56101.2,15278.9,13181.3,0.0,25094.6,0.0,16800.2,26675.5,19566.7,47794.9,106310.2,128652.3,93082.4,148
60.0,147108.0,29628.0,29092.0,44194.0,44194.0,67988.1,56101.5,15279.2,13181.6,0.0,25094.7,0.0,16802.6,26675.7,19564.1,47792.5,106312.8,128652.3,93082.8,148
62.0,147108.0,29628.0,29092.0,44194.0,44194.0,67988.1,56101.5,15279.2,13181.6,0.0,25094.7,0.0,16805.4,26675.7,19564.0,47792.4,106312.9,128652.3,93082.8,148
64.0,147108.0,29628.0,29092.0,44194.0,44194.0,67988.2,56101.5,15279.2,13181.7,0.0,25094.7,0.0,16799.9,26675.6,19562.6,47790.9,106314.3,128652.3,93083.0,148
66.0,147128.0,29628.0,29112.0,44194.0,44194.0,67988.7,56101.9,15279.6,13182.0,0.0,25094.7,0.0,16802.2,26675.6,19564.2,47792.6,106312.7,128652.3,93083.4,148
68.0,147128.0,29628.0,29112.0,44194.0,44194.0,67988.7,56101.9,15279.6,13182.0,0.0,25094.8,0.0,16805.2,26675.5,19572.2,47800.5,106304.7,128652.3,93083.4,148
70.0,147128.0,29628.0,29112.0,44194.0,44194.0,67988.8,56102.0,15279.7,13182.1,0.0,25094.8,0.0,16800.3,26675.6,19569.6,47798.0,106307.2,128652.3,93083.6,148
72.0,147128.0,29628.0,29112.0,44194.0,44194.0,67988.8,56102.0,15279.7,13182.1,0.0,25094.8,0.0,16802.3,26675.6,19572.2,47800.6,106304.6,128652.3,93083.6,148
74.0,147152.0,29650.0,29114.0,44194.0,44194.0,67989.2,56102.4,15280.1,13182.5,0.0,25095.1,0.0,16804.9,26675.9,19580.0,47809.1,106296.4,128652.3,93084.3,148
76.0,147152.0,29650.0,29114.0,44194.0,44194.0,67989.5,56102.7,15280.4,13182.8,0.0,25095.2,0.0,16801.5,26676.0,19577.7,47806.9,106298.6,128652.3,93084.8,148
78.0,147152.0,29650.0,29114.0,44194.0,44194.0,67991.1,56104.3,15281.9,13184.4,0.0,25139.3,0.0,18702.8,26720.0,21483.0,49756.3,104393.3,128652.3,93130.4,148
80.0,147152.0,29650.0,29114.0,44194.0,44194.0,67991.2,56104.4,15282.0,13184.5,0.0,25182.4,0.0,17626.4,26763.1,20407.8,48724.2,105468.5,128652.3,93173.6,148
82.0,147152.0,29650.0,29114.0,44194.0,44194.0,67991.2,56104.4,15282.0,13184.5,0.0,25192.8,0.0,17513.3,26773.6,20294.4,48621.2,105581.9,128652.3,93184.0,148
84.0,147152.0,29650.0,29114.0,44194.0,44194.0,67991.3,56104.5,15282.0,13184.6,0.0,25196.9,0.0,17157.2,26777.7,19931.6,48262.5,105944.7,128652.3,93188.2,148
86.0,147705.0,29650.0,29114.0,44194.0,44747.0,67991.3,56104.5,15281.3,13184.6,0.0,25100.9,0.0,16809.1,26681.5,19663.2,47898.0,106213.1,128652.3,93092.2,148
88.0,147705.0,29650.0,29114.0,44194.0,44747.0,67991.3,56104.5,15281.2,13184.6,0.0,25100.4,0.0,16887.1,26681.0,19762.8,47997.1,106113.5,128652.3,93091.7,148
90.0,147705.0,29650.0,29114.0,44194.0,44747.0,67991.4,56104.5,15281.3,13184.6,0.0,25100.4,0.0,16880.8,26681.0,19757.0,47991.3,106119.3,128652.3,93091.8,148
92.0,147771.0,29650.0,29114.0,44194.0,44813.0,67994.9,56108.0,15284.9,13188.1,0.0,25100.4,0.0,16811.6,26680.7,19663.9,47897.9,106212.4,128652.3,93095.3,148
94.0,147771.0,29650.0,29114.0,44194.0,44813.0,67996.5,56109.6,15286.3,13189.7,0.0,25100.4,0.0,16890.4,26680.3,19760.9,47994.4,106115.4,128652.3,93096.9,148
96.0,147827.0,29706.0,29114.0,44194.0,44813.0,68007.2,56120.4,15297.1,13200.5,0.0,25100.6,0.0,16892.9,26679.9,19966.8,48200.0,105909.5,128652.3,93107.8,148
