elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,152106.0,33301.0,32675.0,43065.0,43065.0,74412.0,63410.9,21704.6,20505.7,0.0,52476.7,0.8,23264.1,53811.1,25553.9,80527.9,100388.8,128652.3,126888.7,148
2.0,152106.0,33301.0,32675.0,43065.0,43065.0,74462.4,63450.2,21744.2,20544.9,0.0,52476.7,0.8,23325.9,53811.3,25629.3,80603.5,100313.4,128652.3,126939.1,148
4.0,152106.0,33301.0,32675.0,43065.0,43065.0,74462.7,63450.2,21744.5,20545.0,0.0,52476.9,0.8,23323.9,53811.0,25631.8,80605.8,100310.9,128652.3,126939.5,148
6.0,152106.0,33301.0,32675.0,43065.0,43065.0,74463.3,63450.9,21745.1,20545.6,0.0,52476.9,0.8,23324.7,53811.0,25634.4,80608.3,100308.3,128652.3,126940.2,148
8.0,152106.0,33301.0,32675.0,43065.0,43065.0,74463.3,63450.9,21745.1,20545.6,0.0,52477.0,0.8,23342.4,53811.2,25666.3,80640.4,100276.3,128652.3,126940.4,148
10.0,152106.0,33301.0,32675.0,43065.0,43065.0,74463.5,63451.1,21745.3,20545.8,0.0,52477.0,0.8,23328.9,53811.2,25654.0,80628.1,100288.7,128652.3,126940.5,148
12.0,152106.0,33301.0,32675.0,43065.0,43065.0,74463.5,63451.1,21745.3,20545.8,0.0,52477.0,0.8,23328.9,53811.2,25654.4,80628.5,100288.3,128652.3,126940.5,148
14.0,152620.0,33301.0,33189.0,43065.0,43065.0,74463.5,63451.1,21745.3,20545.8,0.0,52477.0,0.8,23329.0,53811.2,25653.7,80627.8,100289.0,128652.3,126940.6,148
16.0,152640.0,33301.0,33189.0,43085.0,43065.0,74477.5,63463.5,21757.9,20558.3,0.0,52478.4,0.8,23341.6,53812.0,25667.4,80642.2,100275.3,128652.3,126955.9,148
18.0,152640.0,33301.0,33189.0,43085.0,43065.0,74477.5,63463.5,21757.9,20558.3,0.0,52478.4,0.8,23341.5,53812.0,25669.2,80644.1,100273.5,128652.3,126955.9,148
20.0,152640.0,33301.0,33189.0,43085.0,43065.0,74477.7,63463.7,21758.1,20558.4,0.0,52478.4,2.0,23341.7,53812.0,25670.7,80645.6,100272.0,128652.3,126956.1,148
22.0,152640.0,33301.0,33189.0,43085.0,43065.0,74477.7,63463.7,21758.1,20558.5,0.0,52478.4,2.0,23341.8,53812.0,25671.3,80646.2,100271.4,128652.3,126956.1,148
24.0,152912.0,33301.0,33461.0,43085.0,43065.0,74499.2,63485.1,21779.5,20579.9,0.0,52482.4,2.0,23362.0,53815.9,25691.4,80670.2,100251.3,128652.3,126981.6,148
26.0,152912.0,33301.0,33461.0,43085.0,43065.0,74507.6,63493.5,21787.9,20588.3,0.0,52924.2,2.0,23361.5,54258.1,25691.7,81112.7,100251.0,128652.3,127431.8,148
28.0,152932.0,33301.0,33461.0,43085.0,43085.0,74519.1,63504.8,21799.2,20599.6,0.0,52924.4,2.0,23372.7,54258.2,25702.7,81123.8,100240.0,128652.3,127443.5,148
30.0,152932.0,33301.0,33461.0,43085.0,43085.0,74519.5,63505.1,21799.6,20599.9,0.0,52924.4,448.3,23373.1,54258.2,25706.9,81128.1,100235.7,128652.3,127443.9,148
32.0,152932.0,33301.0,33461.0,43085.0,43085.0,74520.8,63506.4,21800.8,20601.2,0.0,52924.6,448.3,23387.4,54258.6,25721.5,81143.0,100221.2,128652.3,127445.3,148
34.0,152936.0,33301.0,33465.0,43085.0,43085.0,74545.7,63528.0,21825.8,20622.8,0.0,54265.3,448.3,23409.7,55600.6,25744.7,82508.5,100197.7,128652.3,128810.9,148
36.0,152936.0,33301.0,33465.0,43085.0,43085.0,74573.2,63555.5,21853.2,20650.3,0.0,54776.8,448.3,23444.0,56115.2,25779.4,83058.1,100162.7,128652.3,129349.9,148
38.0,152938.0,33301.0,33467.0,43085.0,43085.0,74577.7,63559.8,21857.6,20654.6,0.0,54838.6,448.3,23445.0,56177.4,25782.6,83123.5,100159.5,128652.3,129416.3,148
40.0,153074.0,33437.0,33467.0,43085.0,43085.0,74578.2,63560.3,21858.1,20655.1,0.0,55143.5,2989.4,23425.9,56485.4,25766.8,83415.6,100175.3,128652.3,129721.7,148
42.0,153074.0,33437.0,33467.0,43085.0,43085.0,74583.8,63565.9,21863.4,20660.7,0.0,55590.7,2989.4,23432.8,56936.4,25767.0,83866.8,100175.1,128652.3,130174.5,148
44.0,153074.0,33437.0,33467.0,43085.0,43085.0,74584.2,63566.3,21864.1,20661.1,0.0,55741.6,2989.4,23460.8,57088.1,25805.0,84056.7,100137.0,128652.3,130325.9,148
46.0,153074.0,33437.0,33467.0,43085.0,43085.0,74586.2,63568.3,21866.1,20663.1,0.0,56461.2,2989.4,23451.4,57814.0,25802.5,84780.0,100139.6,128652.3,131047.4,148
48.0,153074.0,33437.0,33467.0,43085.0,43085.0,74620.7,63570.7,21900.5,20665.5,0.0,56643.0,2989.4,23453.5,57997.0,25833.2,84993.8,100108.8,128652.3,131263.7,148
50.0,153074.0,33437.0,33467.0,43085.0,43085.0,74620.9,63570.9,21900.7,20665.7,0.0,56802.2,4338.8,23454.4,58157.5,25837.3,85158.4,100104.8,128652.3,131423.1,148
52.0,153074.0,33437.0,33467.0,43085.0,43085.0,74620.9,63570.9,21900.8,20665.7,0.0,56823.1,4338.8,23454.3,58178.5,25833.5,85175.5,100108.6,128652.3,131444.0,148
54.0,153074.0,33437.0,33467.0,43085.0,43085.0,74656.6,63574.6,21936.4,20669.3,0.0,57662.6,4338.8,23456.3,59024.7,25868.4,86056.7,100073.6,128652.3,132319.2,148
56.0,153074.0,33437.0,33467.0,43085.0,43085.0,74662.4,63580.3,21942.1,20675.1,0.0,57814.3,4338.8,23462.3,59178.0,25871.9,86213.5,100070.1,128652.3,132476.7,148
58.0,153076.0,33439.0,33467.0,43085.0,43085.0,74687.7,63602.2,21964.1,20697.0,0.0,58154.6,4338.8,23484.6,59521.3,25892.2,86577.1,100049.9,128652.3,132842.3,148
60.0,153076.0,33439.0,33467.0,43085.0,43085.0,74698.9,63613.4,21975.2,20708.2,0.0,58155.4,5683.1,23497.0,59522.8,25902.4,86588.8,100039.6,128652.3,132854.3,148
62.0,153076.0,33439.0,33467.0,43085.0,43085.0,74698.9,63613.4,21975.2,20708.2,0.0,58155.4,5683.1,23499.2,59522.9,25903.7,86590.1,100038.3,128652.3,132854.3,148
64.0,153076.0,33439.0,33467.0,43085.0,43085.0,74742.0,63652.9,22018.3,20747.7,0.0,58679.4,5683.1,23538.9,60052.3,25955.9,87171.8,99986.1,128652.3,133421.4,148
66.0,153080.0,33443.0,33467.0,43085.0,43085.0,74742.0,63652.9,22018.3,20747.7,0.0,58679.5,5683.1,23539.0,60052.0,25956.1,87171.7,99985.9,128652.3,133421.5,148
68.0,153080.0,33443.0,33467.0,43085.0,43085.0,74742.9,63653.5,22019.1,20748.3,0.0,58777.0,5683.1,23537.4,60149.9,25960.4,87274.0,99981.5,128652.3,133519.9,148
70.0,153080.0,33443.0,33467.0,43085.0,43085.0,74745.2,63655.8,22021.4,20750.6,0.0,58950.4,6847.8,23540.4,60324.2,25965.1,87453.0,99976.8,128652.3,133695.6,148
72.0,153080.0,33443.0,33467.0,43085.0,43085.0,74745.5,63656.1,22021.7,20750.9,0.0,59318.9,6847.8,23541.1,60696.9,25967.2,87827.7,99974.8,128652.3,134064.4,148
74.0,153080.0,33443.0,33467.0,43085.0,43085.0,74745.5,63656.1,22021.7,20750.9,0.0,59319.0,6847.8,23537.9,60696.9,25964.2,87824.7,99977.8,128652.3,134064.4,148
76.0,153080.0,33443.0,33467.0,43085.0,43085.0,74746.3,63656.9,22022.6,20751.7,0.0,59329.8,6847.8,23538.7,60707.8,25961.4,87832.9,99980.5,128652.3,134076.1,148
78.0,153080.0,33443.0,33467.0,43085.0,43085.0,74751.1,63661.7,22027.4,20756.5,0.0,59417.1,6847.8,23544.0,60795.7,25964.6,87924.0,99977.3,128652.3,134168.2,148
80.0,153080.0,33443.0,33467.0,43085.0,43085.0,74751.1,63661.7,22027.4,20756.5,0.0,59417.1,6945.8,23544.0,60795.7,25962.5,87921.8,99979.5,128652.3,134168.2,148
82.0,153080.0,33443.0,33467.0,43085.0,43085.0,74751.1,63661.7,22027.3,20756.5,0.0,59417.1,6945.8,23545.5,60795.7,25967.1,87926.5,99974.9,128652.3,134168.2,148
84.0,153082.0,33443.0,33467.0,43087.0,43085.0,74773.4,63680.7,22046.3,20775.5,0.0,59440.3,6945.8,23562.3,60819.1,25992.6,87975.3,99949.4,128652.3,134213.7,148
86.0,153082.0,33443.0,33467.0,43087.0,43085.0,74773.9,63681.0,22046.6,20775.8,0.0,59443.3,6945.8,23567.8,60822.5,25994.7,87980.9,99947.2,128652.3,134217.2,148
88.0,153082.0,33443.0,33467.0,43087.0,43085.0,74775.2,63682.3,22047.9,20777.1,0.0,59542.0,6945.8,23568.7,60922.2,25994.4,88080.2,99947.6,128652.3,134317.1,148
90.0,153082.0,33443.0,33467.0,43087.0,43085.0,74775.4,63682.6,22048.2,20777.4,0.0,59542.9,7071.6,23569.3,60922.9,25993.9,88080.4,99948.1,128652.3,134318.3,148
92.0,153082.0,33443.0,33467.0,43087.0,43085.0,74806.8,63710.4,22075.9,20805.1,0.0,59645.2,7071.6,23597.0,61026.2,26020.1,88209.9,99921.9,128652.3,134452.0,148
94.0,153082.0,33443.0,33467.0,43087.0,43085.0,74810.4,63713.9,22079.5,20808.7,0.0,59654.4,7071.6,23600.3,61035.4,26017.3,88216.4,99924.6,128652.3,134464.8,148
96.0,153082.0,33443.0,33467.0,43087.0,43085.0,74810.4,63713.9,22079.5,20808.7,0.0,59654.5,7071.6,23600.3,61035.0,26021.4,88220.1,99920.5,128652.3,134464.9,148
