elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,167760.0,40288.0,40246.0,43614.0,43612.0,67853.6,56117.8,15131.4,13204.7,0.0,34007.1,0.0,15181.2,35268.8,18504.8,54595.8,108106.6,128652.3,101860.6,148
2.0,167120.0,40330.0,39562.0,43614.0,43614.0,67929.5,56129.5,15207.3,13216.4,0.0,34007.1,0.0,15195.9,35269.1,18576.5,54667.8,108034.9,128652.3,101936.6,148
4.0,167120.0,40330.0,39562.0,43614.0,43614.0,67930.5,56130.4,15208.4,13217.3,0.0,34007.3,0.0,15193.5,35269.3,18577.8,54669.3,108033.6,128652.3,101937.8,148
6.0,167120.0,40330.0,39562.0,43614.0,43614.0,67930.6,56130.4,15208.4,13217.3,0.0,34007.3,0.0,15193.1,35269.3,18578.6,54670.1,108032.8,128652.3,101937.8,148
8.0,167120.0,40330.0,39562.0,43614.0,43614.0,67930.7,56130.5,15208.6,13217.4,0.0,34007.3,0.0,15193.2,35269.3,18578.7,54670.3,108032.6,128652.3,101938.0,148
10.0,167120.0,40330.0,39562.0,43614.0,43614.0,67930.7,56130.6,15208.6,13217.5,0.0,34007.4,0.0,15193.3,35269.3,18579.3,54670.9,108032.0,128652.3,101938.1,148
12.0,167120.0,40330.0,39562.0,43614.0,43614.0,67930.9,56130.6,15208.7,13217.5,0.0,34007.4,0.0,15193.3,35269.3,18579.7,54671.3,108031.7,128652.3,101938.3,148
14.0,167614.0,40330.0,40056.0,43614.0,43614.0,67931.1,56130.8,15208.9,13217.7,0.0,34007.5,0.0,15193.4,35269.5,18580.2,54671.8,108031.2,128652.3,101938.6,148
16.0,167882.0,40598.0,40056.0,43614.0,43614.0,68064.9,56155.3,15336.9,13242.2,0.0,34007.5,0.0,15216.9,35269.5,18777.1,54868.8,107834.2,128652.3,102072.4,148
18.0,167882.0,40598.0,40056.0,43614.0,43614.0,68065.4,56155.7,15337.2,13242.6,0.0,34007.5,0.0,15218.4,35269.5,18710.8,54802.5,107900.6,128652.3,102072.9,148
20.0,167882.0,40598.0,40056.0,43614.0,43614.0,68065.4,56155.7,15337.2,13242.6,0.0,34007.6,0.0,15218.8,35269.5,18710.9,54802.6,107900.5,128652.3,102073.0,148
22.0,167882.0,40598.0,40056.0,43614.0,43614.0,68065.4,56155.7,15337.3,13242.6,0.0,34007.6,0.0,15218.7,35269.5,18711.2,54802.9,107900.2,128652.3,102073.0,148
24.0,168014.0,40730.0,40056.0,43614.0,43614.0,68068.2,56157.5,15338.0,13244.4,0.0,34007.7,0.0,15235.1,35269.7,18741.6,54833.6,107869.7,128652.3,102075.9,148
26.0,168758.0,41414.0,40096.0,43634.0,43614.0,68111.4,56194.2,15375.9,13281.1,0.0,34008.1,0.0,15261.4,35270.1,18768.7,54861.0,107842.7,128652.3,102119.5,148
28.0,168758.0,41414.0,40096.0,43634.0,43614.0,68122.7,56205.4,15387.2,13292.3,0.0,34008.1,0.0,15272.9,35269.8,18779.4,54871.4,107831.9,128652.3,102130.9,148
30.0,168758.0,41414.0,40096.0,43634.0,43614.0,68122.8,56205.4,15387.2,13292.3,0.0,34008.1,0.0,15273.2,35269.8,18781.0,54873.1,107830.3,128652.3,102130.9,148
32.0,169302.0,41686.0,40368.0,43634.0,43614.0,68123.2,56205.7,15387.5,13292.6,0.0,34008.1,0.0,15271.1,35269.8,18781.9,54874.0,107829.4,128652.3,102131.3,148
34.0,169322.0,41686.0,40388.0,43634.0,43614.0,68128.0,56210.4,15392.3,13297.3,0.0,34008.3,0.0,15275.5,35270.0,18786.8,54879.0,107824.5,128652.3,102136.3,148
36.0,169342.0,41686.0,40388.0,43634.0,43634.0,68130.1,56212.3,15394.2,13299.2,0.0,34008.3,0.0,15278.2,35270.0,18796.0,54888.3,107815.3,128652.3,102138.4,148
38.0,169342.0,41686.0,40388.0,43634.0,43634.0,68130.5,56212.7,15394.6,13299.6,0.0,34008.6,0.0,15279.3,35270.4,18797.3,54890.0,107814.0,128652.3,102139.1,148
40.0,169344.0,41686.0,40390.0,43634.0,43634.0,68138.1,56220.1,15402.0,13307.0,0.0,34008.7,0.0,15288.4,35270.1,18802.6,54895.0,107808.7,128652.3,102146.7,148
42.0,169348.0,41690.0,40390.0,43634.0,43634.0,68161.9,56240.5,15425.8,13327.4,0.0,34008.7,0.0,15309.3,35270.1,18822.8,54915.2,107788.5,128652.3,102170.5,148
44.0,169350.0,41692.0,40390.0,43634.0,43634.0,68169.1,56247.6,15432.9,13334.5,0.0,34008.7,0.0,15314.0,35269.9,18833.0,54925.1,107778.3,128652.3,102177.8,148
46.0,169350.0,41692.0,40390.0,43634.0,43634.0,68191.5,56266.6,15451.9,13353.5,0.0,34008.8,0.0,15334.6,35269.6,18854.7,54946.7,107756.6,128652.3,102200.2,148
48.0,169350.0,41692.0,40390.0,43634.0,43634.0,68191.6,56266.7,15452.1,13353.7,0.0,34008.8,0.0,15334.9,35269.7,18856.7,54948.6,107754.6,128652.3,102200.4,148
50.0,169350.0,41692.0,40390.0,43634.0,43634.0,68200.0,56275.1,15460.4,13362.0,0.0,34008.8,0.0,15337.5,35269.7,18858.9,54950.8,107752.4,128652.3,102208.7,148
52.0,169350.0,41692.0,40390.0,43634.0,43634.0,68203.5,56278.6,15464.0,13365.5,0.0,34008.8,0.0,15346.7,35269.4,18870.1,54961.8,107741.2,128652.3,102212.4,148
54.0,169350.0,41692.0,40390.0,43634.0,43634.0,68203.6,56278.7,15464.1,13365.6,0.0,34008.8,0.0,15344.3,35269.1,18867.3,54958.8,107744.0,128652.3,102212.4,148
56.0,169350.0,41692.0,40390.0,43634.0,43634.0,68203.6,56278.7,15464.1,13365.6,0.0,34008.9,0.0,15344.5,35269.1,18868.2,54959.6,107743.1,128652.3,102212.5,148
58.0,169354.0,41692.0,40394.0,43634.0,43634.0,68241.5,56312.8,15502.0,13399.7,0.0,34009.0,0.0,15375.0,35268.9,18896.6,54987.8,107714.7,128652.3,102250.5,148
60.0,169354.0,41692.0,40394.0,43634.0,43634.0,68276.7,56344.3,15533.5,13431.2,0.0,34009.0,0.0,15410.9,35269.4,18935.2,55026.9,107676.1,128652.3,102285.7,148
62.0,169354.0,41692.0,40394.0,43634.0,43634.0,68276.7,56344.3,15533.5,13431.2,0.0,34009.0,0.0,15410.9,35269.4,18935.3,55027.1,107675.9,128652.3,102285.8,148
64.0,169354.0,41692.0,40394.0,43634.0,43634.0,68277.4,56345.0,15534.1,13431.9,0.0,34009.0,0.0,15411.6,35269.4,18932.2,55024.0,107679.0,128652.3,102286.4,148
66.0,169354.0,41692.0,40394.0,43634.0,43634.0,68277.4,56345.0,15534.2,13432.0,0.0,34009.0,0.0,15412.0,35269.2,18938.1,55029.7,107673.1,128652.3,102286.5,148
68.0,169354.0,41692.0,40394.0,43634.0,43634.0,68277.4,56345.0,15534.2,13432.0,0.0,34009.0,0.0,15412.2,35269.3,18939.0,55030.7,107672.2,128652.3,102286.5,148
70.0,169354.0,41692.0,40394.0,43634.0,43634.0,68277.5,56345.1,15534.2,13432.0,0.0,34009.0,0.0,15412.0,35269.4,18942.0,55033.7,107669.3,128652.3,102286.5,148
72.0,169354.0,41692.0,40394.0,43634.0,43634.0,68290.3,56357.9,15547.0,13444.8,0.0,34009.1,0.0,15424.7,35269.4,18954.5,55046.3,107656.7,128652.3,102299.3,148
74.0,169356.0,41692.0,40394.0,43636.0,43634.0,68298.8,56366.2,15555.3,13453.1,0.0,34009.2,0.0,15433.8,35269.5,18978.2,55070.0,107633.1,128652.3,102308.0,148
76.0,169386.0,41706.0,40408.0,43638.0,43634.0,68330.7,56394.7,15583.8,13481.6,0.0,34009.2,0.0,15457.1,35269.6,18995.1,55087.0,107616.2,128652.3,102339.9,148
78.0,169386.0,41706.0,40408.0,43638.0,43634.0,68332.6,56396.6,15585.7,13483.5,0.0,34009.2,0.0,15467.1,35269.9,18997.0,55089.2,107614.3,128652.3,102341.8,148
80.0,169386.0,41706.0,40408.0,43638.0,43634.0,68332.6,56396.6,15585.7,13483.5,0.0,34009.2,0.0,15467.4,35269.8,18997.8,55090.0,107613.4,128652.3,102341.8,148
82.0,169386.0,41706.0,40408.0,43638.0,43634.0,68332.6,56396.6,15585.7,13483.5,0.0,34009.2,0.0,15467.4,35269.6,18997.4,55089.4,107613.8,128652.3,102341.8,148
84.0,169386.0,41706.0,40408.0,43638.0,43634.0,68332.6,56396.6,15585.7,13483.5,0.0,34009.5,0.0,15467.5,35269.7,18995.9,55087.9,107615.3,128652.3,102342.1,148
86.0,169386.0,41706.0,40408.0,43638.0,43634.0,68336.5,56400.5,15589.6,13487.4,0.0,34009.5,0.0,15471.3,35270.0,19001.9,55094.3,107609.3,128652.3,102346.1,148
88.0,169386.0,41706.0,40408.0,43638.0,43634.0,68336.5,56400.5,15589.6,13487.4,0.0,34009.5,0.0,15471.3,35270.0,19005.2,55097.6,107606.0,128652.3,102346.1,148
90.0,169386.0,41706.0,40408.0,43638.0,43634.0,68336.5,56400.5,15589.6,13487.4,0.0,34009.5,0.0,15471.4,35270.0,18999.8,55092.1,107611.5,128652.3,102346.1,148
92.0,169386.0,41706.0,40408.0,43638.0,43634.0,68336.5,56400.5,15589.6,13487.4,0.0,34009.7,0.0,15471.4,35270.0,19003.1,55095.5,107608.2,128652.3,102346.2,148
94.0,169386.0,41706.0,40408.0,43638.0,43634.0,68336.8,56400.8,15589.9,13487.7,0.0,34009.7,0.0,15472.4,35270.1,19003.5,55096.0,107607.7,128652.3,102346.5,148
96.0,169386.0,41706.0,40408.0,43638.0,43634.0,68336.8,56400.8,15589.9,13487.7,0.0,34009.7,0.0,15472.5,35270.2,19004.4,55097.0,107606.8,128652.3,102346.5,148
98.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.8,13492.6,0.0,34009.7,0.0,15476.9,35270.2,19010.6,55103.1,107600.6,128652.3,102351.5,148
100.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.8,13492.6,0.0,34009.8,0.0,15477.9,35270.3,19014.4,55107.0,107596.8,128652.3,102351.5,148
102.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.8,13492.6,0.0,34009.8,0.0,15477.9,35270.3,19013.5,55106.2,107597.7,128652.3,102351.6,148
104.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.9,13492.6,0.0,34009.8,0.0,15477.6,35270.3,19003.2,55095.8,107608.1,128652.3,102351.6,148
106.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.9,13492.7,0.0,34012.6,0.0,15524.2,35272.8,19054.3,55149.7,107556.7,128652.3,102354.4,148
108.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.9,13492.7,0.0,34013.1,0.0,15524.4,35273.3,19054.5,55150.4,107556.6,128652.3,102354.9,148
110.0,169388.0,41706.0,40408.0,43638.0,43636.0,68341.8,56405.7,15594.8,13492.7,0.0,34013.2,0.0,15526.3,35273.4,19056.9,55152.9,107554.1,128652.3,102355.0,148
112.0,169388.0,41706.0,40408.0,43638.0,43636.0,68319.3,56383.3,15572.4,13470.2,0.0,34013.3,0.0,15504.2,35273.6,19036.4,55132.6,107574.6,128652.3,102332.6,148
114.0,169390.0,41706.0,40408.0,43638.0,43638.0,68334.2,56394.8,15583.9,13481.7,0.0,34013.3,0.0,15514.6,35273.4,19041.8,55137.8,107569.2,128652.3,102347.4,148
116.0,169390.0,41706.0,40408.0,43638.0,43638.0,68334.2,56394.8,15583.9,13481.7,0.0,34013.3,0.0,15513.3,35273.4,19043.8,55139.8,107567.2,128652.3,102347.5,148
118.0,169390.0,41706.0,40408.0,43638.0,43638.0,68341.7,56402.3,15591.4,13489.2,0.0,34013.4,0.0,15513.9,35273.6,19045.2,55141.4,107565.8,128652.3,102355.1,148
120.0,169390.0,41706.0,40408.0,43638.0,43638.0,68352.5,56413.2,15602.3,13500.1,0.0,34013.4,0.0,15531.8,35274.0,19055.6,55152.2,107555.4,128652.3,102366.0,148
122.0,169390.0,41706.0,40408.0,43638.0,43638.0,68352.5,56413.2,15602.3,13500.1,0.0,34013.4,0.0,15531.8,35274.0,19055.2,55151.8,107555.8,128652.3,102366.0,148
124.0,169390.0,41706.0,40408.0,43638.0,43638.0,68363.1,56423.8,15612.9,13510.7,0.0,34013.5,0.0,15542.4,35274.2,19070.1,55166.8,107540.9,128652.3,102376.6,148
126.0,169390.0,41706.0,40408.0,43638.0,43638.0,68363.2,56423.8,15612.9,13510.7,0.0,34013.6,0.0,15545.8,35274.2,19079.2,55176.0,107531.8,128652.3,102376.8,148
128.0,169390.0,41706.0,40408.0,43638.0,43638.0,68363.2,56423.8,15612.9,13510.7,0.0,34013.6,0.0,15545.7,35274.2,19079.5,55176.4,107531.5,128652.3,102376.8,148
130.0,169390.0,41706.0,40408.0,43638.0,43638.0,68363.4,56424.0,15613.1,13510.9,0.0,34013.6,0.0,15545.9,35274.3,19073.2,55170.1,107537.8,128652.3,102377.0,148
132.0,169390.0,41706.0,40408.0,43638.0,43638.0,68364.5,56425.1,15614.2,13512.1,0.0,34013.8,0.0,15545.9,35274.5,19078.8,55175.9,107532.2,128652.3,102378.3,148
134.0,169390.0,41706.0,40408.0,43638.0,43638.0,68380.7,56441.3,15630.4,13528.3,0.0,34013.8,0.0,15565.2,35278.1,19114.3,55215.0,107496.7,128652.3,102394.5,148
136.0,169390.0,41706.0,40408.0,43638.0,43638.0,68380.7,56441.3,15630.4,13528.3,0.0,34013.8,0.0,15563.6,35276.4,19110.0,55209.1,107501.0,128652.3,102394.5,148
138.0,169390.0,41706.0,40408.0,43638.0,43638.0,68380.7,56441.3,15630.4,13528.3,0.0,34013.8,0.0,15563.8,35276.4,19111.3,55210.4,107499.7,128652.3,102394.5,148
140.0,169390.0,41706.0,40408.0,43638.0,43638.0,68380.8,56441.4,15630.5,13528.3,0.0,34013.8,0.0,15563.7,35275.8,19111.7,55210.1,107499.3,128652.3,102394.6,148
142.0,169390.0,41706.0,40408.0,43638.0,43638.0,68380.8,56441.4,15630.5,13528.3,0.0,34013.8,0.0,15563.8,35275.7,19113.9,55212.3,107497.1,128652.3,102394.6,148
144.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.2,56441.8,15630.9,13528.7,0.0,34013.8,0.0,15565.6,35275.5,19117.1,55215.2,107493.9,128652.3,102395.0,148
146.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.2,56441.8,15630.9,13528.7,0.0,34013.8,0.0,15566.4,35275.0,19108.7,55206.4,107502.2,128652.3,102395.0,148
148.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.2,56441.8,15630.9,13528.7,0.0,34013.9,0.0,15564.2,35275.2,19109.8,55207.5,107501.2,128652.3,102395.1,148
150.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.2,56441.8,15630.9,13528.7,0.0,34014.0,0.0,15564.2,35275.2,19110.3,55208.1,107500.7,128652.3,102395.1,148
152.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.2,56441.8,15630.9,13528.7,0.0,34014.0,0.0,15564.3,35274.8,19105.5,55203.0,107505.4,128652.3,102395.1,148
154.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.3,56441.9,15631.0,13528.9,0.0,34014.0,0.0,15564.3,35277.9,19117.7,55218.2,107493.2,128652.3,102395.3,148
156.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.3,56441.9,15631.1,13528.9,0.0,34014.0,0.0,15561.8,35275.7,19108.7,55207.1,107502.2,128652.3,102395.3,148
158.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.3,56441.9,15631.1,13528.9,0.0,34014.0,0.0,15561.2,35275.3,19109.6,55207.5,107501.4,128652.3,102395.3,148
160.0,169390.0,41706.0,40408.0,43638.0,43638.0,68381.3,56442.0,15631.1,13528.9,0.0,34014.0,0.0,15561.3,35275.3,19106.6,55204.6,107504.3,128652.3,102395.3,148
162.0,169390.0,41706.0,40408.0,43638.0,43638.0,68386.3,56446.9,15636.1,13533.9,0.0,34014.0,0.0,15565.8,35278.5,19119.5,55220.7,107491.5,128652.3,102400.3,148
164.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.0,56461.6,15650.8,13548.5,0.0,34014.0,0.0,15580.0,35279.8,19169.1,55271.5,107441.9,128652.3,102415.0,148
166.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.8,56462.4,15651.5,13549.3,0.0,34014.0,0.0,15581.8,35275.6,19135.4,55233.7,107475.5,128652.3,102415.8,148
168.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.8,56462.4,15651.5,13549.3,0.0,34014.2,0.0,15581.3,35275.8,19136.5,55234.9,107474.4,128652.3,102415.9,148
170.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.8,56462.4,15651.5,13549.3,0.0,34014.2,0.0,15581.2,35275.3,19135.1,55233.1,107475.8,128652.3,102415.9,148
172.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.8,56462.4,15651.5,13549.3,0.0,34014.2,0.0,15581.1,35275.4,19142.2,55240.3,107468.7,128652.3,102415.9,148
174.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.8,56462.4,15651.5,13549.3,0.0,34014.2,0.0,15581.1,35275.2,19135.3,55233.2,107475.6,128652.3,102416.0,148
176.0,169402.0,41706.0,40420.0,43638.0,43638.0,68401.8,56462.4,15651.5,13549.3,0.0,34014.2,0.0,15582.2,35275.3,19141.4,55239.4,107469.5,128652.3,102416.0,148
