elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,152092.0,32669.0,33293.0,43065.0,43065.0,66961.3,55955.6,14242.6,13041.0,0.0,52315.3,0.0,16730.8,53648.9,18935.8,73735.5,107019.0,128652.3,119276.7,148
2.0,152092.0,32669.0,33293.0,43065.0,43065.0,66985.2,55974.3,14261.7,13059.7,0.0,52315.3,0.0,16773.5,53648.6,18984.2,73783.6,106970.6,128652.3,119300.6,148
4.0,152092.0,32669.0,33293.0,43065.0,43065.0,66986.1,55975.0,14262.5,13060.3,0.0,52315.6,0.0,16777.3,53648.9,18988.6,73788.4,106966.1,128652.3,119301.8,148
6.0,152092.0,32669.0,33293.0,43065.0,43065.0,66986.2,55975.0,14262.6,13060.4,0.0,52315.7,0.0,16777.3,53649.0,18991.3,73791.1,106963.5,128652.3,119301.9,148
8.0,152092.0,32669.0,33293.0,43065.0,43065.0,66986.2,55975.0,14262.6,13060.4,0.0,52315.7,0.0,16777.3,53649.0,18992.1,73792.0,106962.6,128652.3,119301.9,148
10.0,152092.0,32669.0,33293.0,43065.0,43065.0,66986.3,55975.2,14262.8,13060.5,0.0,52315.7,0.0,16775.4,53649.1,18993.4,73793.3,106961.3,128652.3,119302.1,148
12.0,152092.0,32669.0,33293.0,43065.0,43065.0,66986.5,55975.2,14262.9,13060.6,0.0,52315.7,0.0,16775.4,53649.1,18993.8,73793.7,106960.9,128652.3,119302.2,148
14.0,152544.0,33121.0,33293.0,43065.0,43065.0,66986.7,55975.4,14263.1,13060.8,0.0,52315.9,0.0,16775.4,53649.2,18993.5,73793.6,106961.2,128652.3,119302.6,148
16.0,152544.0,33121.0,33293.0,43065.0,43065.0,67024.6,56007.0,14294.7,13092.3,0.0,52315.9,0.0,16806.8,53649.2,19024.9,73824.9,106929.9,128652.3,119340.5,148
18.0,152544.0,33121.0,33293.0,43065.0,43065.0,67024.8,56007.0,14294.7,13092.3,0.0,52315.9,0.0,16807.5,53649.2,19024.9,73825.0,106929.9,128652.3,119340.7,148
