t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req
0.013,,,,,,85172.0,,,,,,85172.0,,
0.542,,,,,,85172.0,,,,,,85172.0,,
1.053,,,,,,85172.0,,,,,,85172.0,,
1.568,,,,,,85172.0,,,,,,85172.0,,
2.125,,,,,,85172.0,,,,,,85172.0,,
2.68,,,,,,85172.0,,,,,,85172.0,,
3.235,,,,,,85172.0,,,,,,85172.0,,
3.79,,,,,,85172.0,,,,,,85172.0,,
4.345,,,,,,85172.0,,,,,,85172.0,,
4.9,,,,,,85172.0,,,,,,85172.0,,
5.455,,,,,,85172.0,,,,,,85172.0,,
6.01,,,,,,85172.0,,,,,,85172.0,,
6.565,,,,,,85172.0,,,,,,85172.0,,
7.12,,,,,,85172.0,,,,,,85172.0,,
7.676,,,,,,85172.0,,,,,,85172.0,,
8.23,,,,,,85172.0,,,,,,85172.0,,
8.786,,,,,,85172.0,,,,,,85172.0,,
9.342,,,,,,85172.0,,,,,,85172.0,,
9.897,,,,,,85172.0,,,,,,85172.0,,
10.453,,,,,,85172.0,,,,,,85172.0,,
11.008,,,,,,85172.0,,,,,,85172.0,,
11.564,,,,,,85172.0,,,,,,85172.0,,
12.082,,,,,,85172.0,,,,,,85172.0,,
12.601,,,,,,85172.0,,,,,,85172.0,,
13.12,,,,,,85172.0,,,,,,85172.0,,
13.638,,,,,,85172.0,,,,,,85172.0,,
14.15,,,,,,85172.0,,,,,,85172.0,,
14.659,,,,,,85172.0,,,,,,85172.0,,
15.169,,,,,,85172.0,,,,,,85172.0,,
15.678,,,,,,85172.0,,,,,,85172.0,,
16.187,,,,,,85172.0,,,,,,85172.0,,
16.696,,,,,,85172.0,,,,,,85172.0,,
17.205,,,,,,85172.0,,,,,,85172.0,,
17.714,,,,,,85172.0,,,,,,85172.0,,
18.224,,,,,,85172.0,,,,,,85172.0,,
18.733,,,,,,85172.0,,,,,,85172.0,,
19.242,,,,,,85172.0,,,,,,85172.0,,
