t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
0.032,,,,,,85172.0,,,,,,85172.0,,,
0.592,,,,,,85172.0,,,,,,85172.0,,,
1.156,,,,,,85172.0,,,,,,85172.0,,,
1.712,,,,,,85172.0,,,,,,85172.0,,,
2.266,1342.0,0.02,0.20477294921875,,,85172.0,1374.0,0.016132062180059175,0.20965576171875,1.0,0.0,85172.0,0.0,0.0,0.0
2.825,1342.0,0.02,0.20477294921875,,,85172.0,1374.0,0.016132062180059175,0.20965576171875,1.0,0.0,85172.0,0.0,0.0,0.0
3.38,1342.0,0.02,0.20477294921875,,,85172.0,1374.0,0.016132062180059175,0.20965576171875,1.0,0.0,85172.0,0.0,0.0,0.0
3.935,1342.0,0.02,0.20477294921875,,,85172.0,1414.0,0.016601700089231203,0.21575927734375,1.0,0.0,85172.0,0.0,0.0,0.0
4.49,1342.0,0.02,0.20477294921875,,,85172.0,1414.0,0.016601700089231203,0.21575927734375,1.0,0.0,85172.0,0.0,0.0,0.0
5.046,1342.0,0.02,0.20477294921875,,,85172.0,1414.0,0.016601700089231203,0.21575927734375,1.0,0.0,85172.0,0.0,0.0,0.0
5.601,1342.0,0.02,0.20477294921875,,,85172.0,1454.0,0.01707133799840323,0.22186279296875,1.0,0.0,85172.0,0.0,0.0,0.0
6.152,1342.0,0.02,0.20477294921875,,,85172.0,1454.0,0.01707133799840323,0.22186279296875,1.0,0.0,85172.0,0.0,0.0,0.0
6.712,1342.0,0.02,0.20477294921875,,,85172.0,1454.0,0.01707133799840323,0.22186279296875,1.0,0.0,85172.0,0.0,0.0,0.0
7.268,1342.0,0.02,0.20477294921875,,,85172.0,1494.0,0.01754097590757526,0.22796630859375,1.0,0.0,85172.0,0.0,0.0,0.0
7.824,1342.0,0.02,0.20477294921875,,,85172.0,1494.0,0.01754097590757526,0.22796630859375,1.0,0.0,85172.0,0.0,0.0,0.0
8.379,1342.0,0.02,0.20477294921875,,,85172.0,1494.0,0.01754097590757526,0.22796630859375,1.0,0.0,85172.0,0.0,0.0,0.0
8.935,1342.0,0.02,0.20477294921875,,,85172.0,1534.0,0.01801061381674729,0.23406982421875,1.0,0.0,85172.0,0.0,0.0,0.0
9.491,1342.0,0.02,0.20477294921875,,,85172.0,1534.0,0.01801061381674729,0.23406982421875,1.0,0.0,85172.0,0.0,0.0,0.0
10.047,1342.0,0.02,0.20477294921875,,,85172.0,1534.0,0.01801061381674729,0.23406982421875,1.0,0.0,85172.0,0.0,0.0,0.0
10.603,1342.0,0.02,0.20477294921875,,,85172.0,1574.0,0.018480251725919317,0.24017333984375,1.0,0.0,85172.0,0.0,0.0,0.0
