vllm-ppd KV buffer sweep — 2026-05-28 12:31
buffer_gb | concurrency | status | result_file
----------|-------------|--------|------------
1GB | C=8 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf1g_c8.json
1GB | C=12 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf1g_c12.json
1GB | C=16 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf1g_c16.json
2GB | C=8 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf2g_c8.json
2GB | C=12 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf2g_c12.json
2GB | C=16 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf2g_c16.json
4GB | C=8 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf4g_c8.json
4GB | C=12 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf4g_c12.json
4GB | C=16 | ok | results/vllm-ppd/bfcl_multiturn_results_vllm_ppd_buf4g_c16.json
