elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,139900.0,25385.0,44541.0,25433.0,44541.0,84772.9,73788.1,32079.4,30882.3,0.0,21176.4,2.0,33785.4,22611.5,36123.2,59859.8,90157.3,128652.3,105949.3,148
1.3,139900.0,25385.0,44541.0,25433.0,44541.0,84819.8,73832.6,32124.6,30926.8,0.0,21178.0,2.0,33862.8,22613.2,36194.3,59932.5,90086.2,128652.3,105997.8,148
2.5,139902.0,25385.0,44541.0,25435.0,44541.0,84835.8,73848.6,32140.5,30942.7,0.0,21178.0,2.0,33879.3,22612.8,36221.4,59959.3,90059.1,128652.3,106013.8,148
3.7,139904.0,25385.0,44541.0,25435.0,44543.0,84864.8,73877.4,32169.6,30971.5,0.0,21215.1,2.0,33908.8,22649.5,36416.2,60190.8,89864.3,128652.3,106079.9,148
5.0,139906.0,25385.0,44543.0,25435.0,44543.0,84884.3,73896.7,32189.0,30990.9,0.0,22330.7,2.0,33921.9,23770.6,36279.0,61174.8,90001.5,128652.3,107215.0,148
6.3,139906.0,25385.0,44543.0,25435.0,44543.0,84886.3,73898.5,32190.8,30992.7,0.0,23813.6,2.0,33930.4,25270.1,36303.8,62699.0,89976.7,128652.3,108700.0,148
7.7,139906.0,25385.0,44543.0,25435.0,44543.0,84926.6,73906.4,32230.8,31000.6,0.0,25213.8,2.0,33938.0,26685.3,36353.8,64164.2,89926.7,128652.3,110140.4,148
9.1,139906.0,25385.0,44543.0,25435.0,44543.0,84935.0,73914.9,32239.3,31009.1,0.0,26484.5,2.0,33967.2,27970.7,36398.3,65494.1,89882.2,128652.3,111419.6,148
10.4,139906.0,25385.0,44543.0,25435.0,44543.0,84964.9,73940.1,32266.7,31034.3,0.0,27957.8,8022.0,33954.5,29461.2,36390.7,66977.0,89889.8,128652.3,112922.7,148
11.9,139906.0,25385.0,44543.0,25435.0,44543.0,84995.5,73968.4,32296.2,31062.6,0.0,29430.2,8022.0,34005.4,30950.9,36432.8,68508.9,89847.6,128652.3,114425.7,148
13.2,139908.0,25387.0,44543.0,25435.0,44543.0,85039.0,74008.4,32339.7,31102.6,0.0,30911.3,8022.0,34036.6,32449.0,36468.1,70042.2,89812.4,128652.3,115950.4,148
14.6,139908.0,25387.0,44543.0,25435.0,44543.0,85052.9,74022.3,32353.6,31116.5,0.0,32272.7,8022.0,34050.4,33825.6,36492.2,71443.0,89788.1,128652.3,117325.6,148
