elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150926.0,30068.0,45564.0,29732.0,45562.0,67845.2,56038.5,15116.8,13119.2,0.0,20342.9,0.0,15980.1,21860.3,18826.9,41929.8,107360.1,128652.3,88188.1,148
1.1,151176.0,30318.0,45564.0,29732.0,45562.0,68002.9,56090.2,15272.6,13170.9,0.0,20342.9,0.0,16036.4,21860.6,19220.6,42323.8,106966.4,128652.3,88345.7,148
2.2,151176.0,30318.0,45564.0,29732.0,45562.0,68019.0,56106.1,15288.6,13186.9,0.0,20342.9,0.0,16056.8,21860.6,19042.5,42145.7,107144.5,128652.3,88361.9,148
3.2,150678.0,29756.0,45564.0,29732.0,45626.0,68030.1,56117.2,15299.7,13198.0,0.0,20342.9,0.0,16073.7,21860.7,19040.9,42144.2,107146.1,128652.3,88373.0,148
4.3,151294.0,30324.0,45620.0,29732.0,45618.0,68106.7,56121.5,15376.2,13202.2,0.0,20342.9,0.0,16080.2,21860.2,19145.9,42248.7,107041.1,128652.3,88449.6,148
5.3,151312.0,30324.0,45638.0,29732.0,45618.0,68107.4,56122.1,15376.9,13202.8,0.0,20343.2,0.0,16081.6,21860.5,19126.8,42229.9,107060.2,128652.3,88450.6,148
6.4,151348.0,30324.0,45638.0,29768.0,45618.0,68109.8,56124.3,15379.2,13205.1,0.0,20343.2,0.0,16083.8,21860.3,19142.3,42245.2,107044.7,128652.3,88452.9,148
7.4,151366.0,30324.0,45638.0,29786.0,45618.0,68115.0,56125.6,15384.2,13206.3,0.0,20343.2,0.0,16084.7,21860.3,19143.9,42246.8,107043.1,128652.3,88458.1,148
8.4,151384.0,30324.0,45638.0,29786.0,45636.0,68221.0,56221.3,15481.2,13302.0,0.0,20343.2,0.0,16179.7,21860.1,19244.0,42346.7,106943.0,128652.3,88564.2,148
9.5,151514.0,30324.0,45692.0,29788.0,45710.0,68233.9,56234.1,15494.0,13314.8,0.0,20343.2,0.0,16183.0,21860.1,19258.3,42361.0,106928.7,128652.3,88577.1,148
10.6,151514.0,30324.0,45692.0,29788.0,45710.0,68246.0,56242.4,15506.2,13323.1,0.0,20343.3,0.0,16202.0,21860.6,19283.6,42386.8,106903.4,128652.3,88589.4,148
11.7,151514.0,30324.0,45692.0,29788.0,45710.0,68250.7,56247.1,15510.9,13327.8,0.0,20343.5,0.0,16203.2,21861.4,19284.0,42388.0,106903.0,128652.3,88594.3,148
12.9,151536.0,30324.0,45714.0,29788.0,45710.0,68258.2,56254.5,15518.3,13335.3,0.0,20343.5,0.0,16213.6,21861.3,19299.0,42402.9,106888.0,128652.3,88601.7,148
14.0,151536.0,30324.0,45714.0,29788.0,45710.0,68270.3,56263.0,15526.9,13343.8,0.0,20343.5,0.0,16224.1,21861.5,19385.7,42489.7,106801.3,128652.3,88613.9,148
15.1,151538.0,30324.0,45714.0,29788.0,45712.0,68271.0,56263.7,15527.5,13344.4,0.0,20343.6,0.0,16224.2,21861.8,19314.0,42418.4,106873.0,128652.3,88614.6,148
16.2,151538.0,30324.0,45714.0,29788.0,45712.0,68271.4,56264.1,15527.9,13344.8,0.0,20343.6,0.0,16224.9,21861.7,19433.9,42538.2,106753.1,128652.3,88615.0,148
17.3,151538.0,30324.0,45714.0,29788.0,45712.0,68271.5,56264.2,15528.0,13344.9,0.0,20343.6,0.0,16225.6,21861.6,19311.2,42415.4,106875.8,128652.3,88615.1,148
18.4,151538.0,30324.0,45714.0,29788.0,45712.0,68286.4,56279.1,15542.9,13359.8,0.0,20343.6,0.0,16240.4,21861.8,19324.5,42429.0,106862.4,128652.3,88630.0,148
19.5,151538.0,30324.0,45714.0,29788.0,45712.0,68291.0,56283.6,15547.5,13364.4,0.0,20343.6,0.0,16245.4,21862.6,19513.7,42618.9,106672.6,128652.3,88634.6,148
