elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150904.0,30048.0,45564.0,29730.0,45562.0,67833.6,56036.7,15113.9,13116.6,0.0,20502.6,0.0,15991.1,22016.0,18857.1,42098.0,107183.6,128652.3,88336.3,148
1.1,151176.0,30318.0,45564.0,29732.0,45562.0,67951.3,56069.5,15229.6,13149.4,0.0,20502.8,0.0,16034.9,22015.7,18906.2,42146.9,107134.5,128652.3,88454.1,148
2.1,151304.0,30382.0,45628.0,29732.0,45562.0,68001.7,56098.4,15279.8,13178.3,0.0,20502.8,0.0,16064.8,22015.8,19153.4,42394.1,106887.3,128652.3,88504.5,148
3.2,151260.0,30272.0,45638.0,29732.0,45618.0,68071.9,56104.6,15349.9,13184.4,0.0,20502.8,0.0,16073.8,22015.7,19059.1,42299.7,106981.5,128652.3,88574.7,148
4.3,151278.0,30272.0,45638.0,29732.0,45636.0,68082.6,56107.1,15360.5,13186.9,0.0,20503.2,0.0,16077.2,22015.7,19205.8,42446.4,106834.9,128652.3,88585.8,148
5.3,151314.0,30272.0,45638.0,29768.0,45636.0,68083.7,56107.7,15361.5,13187.6,0.0,20503.3,0.0,16078.1,22015.4,19144.4,42384.8,106896.2,128652.3,88587.0,148
6.4,151386.0,30326.0,45638.0,29786.0,45636.0,68101.8,56125.7,15379.5,13205.6,0.0,20503.4,0.0,16091.6,22015.3,19162.0,42402.2,106878.7,128652.3,88605.2,148
7.5,151458.0,30326.0,45710.0,29786.0,45636.0,68130.7,56150.9,15408.2,13230.8,0.0,20499.5,0.0,16104.5,22011.6,19188.0,42424.5,106852.6,128652.3,88630.2,148
8.6,151514.0,30326.0,45710.0,29786.0,45692.0,68191.8,56204.8,15465.6,13284.7,0.0,20499.2,0.0,16175.6,22011.1,19255.5,42491.5,106785.2,128652.3,88691.0,148
9.7,151514.0,30326.0,45710.0,29786.0,45692.0,68198.9,56208.0,15472.7,13287.9,0.0,20499.2,0.0,16180.1,22011.2,19286.4,42522.5,106754.3,128652.3,88698.1,148
