t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0683,4096,0,60000,0.0683,0.0000,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.00,0.0683,4096,0,60000,0.0683,0.0000,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
1.50,0.0683,4096,0,60000,0.0683,0.0000,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.00,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.50,0.2732,16384,0,60000,0.2731,0.0099,0.2737,16409,0,60000,0.2735,0.0099,,,,,,,,,,,,
3.00,0.3414,20480,0,60000,0.3413,0.0000,0.3420,20505,0,60000,0.3417,0.0000,,,,,,,,,,,,
3.50,0.4097,24576,0,60000,0.4096,0.0104,0.3420,20505,0,60000,0.3417,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
4.00,0.4097,24576,0,60000,0.4096,0.0104,0.4103,16138,0,60000,0.2690,0.0099,0.2353,50913,1,216374,0.2353,0.0000,,,,,,
4.50,0.4779,20229,0,60000,0.3372,0.0000,0.4785,20234,0,60000,0.3372,0.0000,0.2353,50913,1,216374,0.2353,0.0000,,,,,,
5.00,0.4779,20229,0,60000,0.3372,0.0000,0.4785,20234,0,60000,0.3372,0.0000,0.2353,50913,1,216374,0.2353,0.0000,,,,,,
5.50,0.5462,15872,0,60000,0.2645,0.0099,0.5468,15866,0,60000,0.2644,0.0099,0.2353,50913,1,216374,0.2353,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
6.00,0.6145,19968,0,60000,0.3328,0.0000,0.6151,19962,0,60000,0.3327,0.0000,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
6.50,0.6145,19968,0,60000,0.3328,0.0000,0.6151,19962,0,60000,0.3327,0.0000,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
7.00,0.6827,15616,0,60000,0.2603,0.0099,0.6834,15619,0,60000,0.2603,0.0099,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
7.50,0.6827,15616,0,60000,0.2603,0.0099,0.6834,15619,0,60000,0.2603,0.0099,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
8.00,0.7510,19712,0,60000,0.3285,0.0000,0.7516,19715,0,60000,0.3286,0.0000,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
8.50,0.7510,19712,0,60000,0.3285,0.0000,0.8199,15350,0,60000,0.2558,0.0099,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
9.00,0.8193,23796,0,60000,0.3966,0.8398,0.8199,15350,0,60000,0.2558,0.0099,0.2353,50913,1,216374,0.2353,0.0000,0.2750,59503,1,216374,0.2750,0.0000
9.50,0.8463,33865,0,60000,0.5644,0.9960,0.8881,19446,0,60000,0.3241,0.0000,0.2353,50913,1,216374,0.2353,0.0000,0.1967,42554,1,216374,0.1967,0.0000
10.00,0.8463,33865,0,60000,0.5644,0.9960,0.8881,19446,0,60000,0.3241,0.0000,0.2353,50913,1,216374,0.2353,0.0000,0.1967,42554,1,216374,0.1967,0.0000
10.50,0.8463,33865,0,60000,0.5644,0.9960,0.9564,15106,0,60000,0.2518,0.0099,0.2353,50913,1,216374,0.2353,0.0000,0.1967,42554,1,216374,0.1967,0.0000
11.00,0.8463,33865,0,60000,0.5644,0.9960,0.9514,19202,0,60000,0.3200,0.0000,0.2353,50913,1,216374,0.2353,0.0000,0.1967,42554,1,216374,0.1967,0.0000
11.50,0.8463,33865,0,60000,0.5644,0.9960,0.9423,23298,0,60000,0.3883,0.0099,0.3541,76624,1,216374,0.3541,0.0000,0.1967,42554,1,216374,0.1967,0.0000
12.00,0.8463,33865,0,60000,0.5644,0.9960,0.9423,23298,0,60000,0.3883,0.0099,0.3541,76624,1,216374,0.3541,0.0000,0.1967,42554,1,216374,0.1967,0.0000
12.50,0.8468,8476,0,60000,0.1413,0.9960,0.9423,18951,0,60000,0.3159,0.0000,0.3541,76624,1,216374,0.3541,0.0000,0.1967,42554,1,216374,0.1967,0.0000
13.00,0.8468,8476,0,60000,0.1413,0.9960,0.9423,18951,0,60000,0.3159,0.0000,0.3541,76624,1,216374,0.3541,0.0000,0.1967,42554,1,216374,0.1967,0.0000
13.50,0.8468,8476,0,60000,0.1413,0.9960,0.9337,14583,0,60000,0.2430,0.0099,0.2755,59610,1,216374,0.2755,0.0000,0.1967,42554,1,216374,0.1967,0.0000
14.00,0.8474,8503,0,60000,0.1417,0.9960,0.9337,14583,0,60000,0.2430,0.0099,0.2755,59610,1,216374,0.2755,0.0000,0.1967,42554,1,216374,0.1967,0.0000
14.50,0.8474,8503,0,60000,0.1417,0.9960,0.9248,22759,0,60000,0.3793,0.0000,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42639,1,216374,0.1971,0.0000
15.00,0.8480,8525,0,60000,0.1421,0.9958,0.9931,18406,0,60000,0.3068,0.5015,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42639,1,216374,0.1971,0.0000
15.50,0.9168,12657,0,60000,0.2109,0.0000,0.9931,18406,0,60000,0.3068,0.5015,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42639,1,216374,0.1971,0.0000
16.00,0.9168,12657,0,60000,0.2109,0.0000,0.9368,28354,0,60000,0.4726,0.5899,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42639,1,216374,0.1971,0.0000
16.50,0.9851,8233,0,60000,0.1372,0.0000,0.8727,32450,0,60000,0.5408,0.0099,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42639,1,216374,0.1971,0.0000
17.00,0.9851,8233,0,60000,0.1372,0.0000,0.8727,32450,0,60000,0.5408,0.0099,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42639,1,216374,0.1971,0.0000
17.50,0.9851,8233,0,60000,0.1372,0.0000,0.9410,28069,0,60000,0.4678,0.0000,0.2755,59610,1,216374,0.2755,0.0000,0.1971,42641,1,216374,0.1971,0.0000
18.00,0.9851,8233,0,60000,0.1372,0.0000,0.9410,28069,0,60000,0.4678,0.0000,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
18.50,0.9851,8233,0,60000,0.1372,0.0000,0.9327,23722,0,60000,0.3954,0.0099,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
19.00,0.9851,8233,0,60000,0.1372,0.0000,0.9327,19321,0,60000,0.3220,0.0000,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
19.50,0.9851,8233,0,60000,0.1372,0.0000,0.9327,19321,0,60000,0.3220,0.0000,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
20.00,0.9851,8233,0,60000,0.1372,0.0000,0.9150,14930,0,60000,0.2488,0.0099,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
20.50,0.9902,8539,0,60000,0.1423,0.9958,0.9959,19787,0,60000,0.3298,0.0000,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
21.00,0.9902,8539,0,60000,0.1423,0.9958,0.9959,19787,0,60000,0.3298,0.0000,0.2763,59791,1,216374,0.2763,0.0000,0.1971,42641,1,216374,0.1971,0.0000
21.50,0.9815,4137,0,60000,0.0689,0.0000,0.9609,15385,0,60000,0.2564,0.1637,0.2763,59791,1,216374,0.2763,0.0000,0.3157,68314,1,216374,0.3157,0.0000
22.00,0.9685,8233,0,60000,0.1372,0.0000,0.9424,19481,0,60000,0.3247,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
22.50,0.9685,8233,0,60000,0.1372,0.0000,0.9424,19481,0,60000,0.3247,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
23.00,0.9685,8233,0,60000,0.1372,0.0000,0.9183,15104,0,60000,0.2517,0.0099,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
23.50,0.9685,8233,0,60000,0.1372,0.0000,0.9183,15104,0,60000,0.2517,0.0099,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
24.00,0.9685,8233,0,60000,0.1372,0.0000,0.9866,19200,0,60000,0.3200,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
24.50,0.9685,8233,0,60000,0.1372,0.0000,0.9866,14801,0,60000,0.2467,0.0099,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
25.00,0.9742,41,0,60000,0.0007,0.0099,0.9866,14801,0,60000,0.2467,0.0099,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
25.50,0.9742,4137,0,60000,0.0689,0.0000,0.9776,18897,0,60000,0.3150,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
26.00,0.9140,8233,0,60000,0.1372,0.0000,0.9776,18897,0,60000,0.3150,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3157,68314,1,216374,0.3157,0.0000
26.50,0.9193,17083,0,60000,0.2847,0.9959,0.9776,14504,0,60000,0.2417,0.0099,0.2372,51329,1,216374,0.2372,0.0000,0.3159,68351,1,216374,0.3159,0.0000
27.00,0.9881,21214,0,60000,0.3536,0.0000,0.9782,22430,0,60000,0.3738,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3159,68351,1,216374,0.3159,0.0000
27.50,0.9663,25310,0,60000,0.4218,0.0000,0.9782,22430,0,60000,0.3738,0.0000,0.2372,51329,1,216374,0.2372,0.0000,0.3159,68351,1,216374,0.3159,0.0000
28.00,0.9663,25310,0,60000,0.4218,0.0000,0.9643,18056,0,60000,0.3009,0.4859,0.2372,51329,1,216374,0.2372,0.0000,0.3159,68351,1,216374,0.3159,0.0000
28.50,0.9663,25310,0,60000,0.4218,0.0000,0.9351,22152,0,60000,0.3692,0.0099,0.2376,51418,1,216374,0.2376,0.0000,0.3159,68351,1,216374,0.3159,0.0000
29.00,0.9663,25310,0,60000,0.4218,0.0000,0.9351,22152,0,60000,0.3692,0.0099,0.2376,51418,1,216374,0.2376,0.0000,0.3159,68351,1,216374,0.3159,0.0000
29.50,0.9663,25310,0,60000,0.4218,0.0000,0.8953,17735,0,60000,0.2956,0.0000,0.2376,51418,1,216374,0.2376,0.0000,0.3159,68351,1,216374,0.3159,0.0000
30.00,0.9720,4137,0,60000,0.0689,0.0000,0.9636,21831,0,60000,0.3639,0.0099,0.2376,51418,1,216374,0.2376,0.0000,0.3159,68351,1,216374,0.3159,0.0000
30.50,0.9629,8233,0,60000,0.1372,0.0000,0.9636,21831,0,60000,0.3639,0.0099,0.2376,51418,1,216374,0.2376,0.0000,0.3159,68344,1,216374,0.3159,0.0000
31.00,0.9629,8233,0,60000,0.1372,0.0000,0.9000,17450,0,60000,0.2908,0.0000,0.2378,51451,1,216374,0.2378,0.0000,0.3159,68344,1,216374,0.3159,0.0000
31.50,0.9687,17091,0,60000,0.2848,0.0099,0.9000,17450,0,60000,0.2908,0.0000,0.2378,51451,1,216374,0.2378,0.0000,0.3159,68344,1,216374,0.3159,0.0000
32.00,0.9687,21187,0,60000,0.3531,0.0000,0.9683,13043,0,60000,0.2174,0.0104,0.2378,51451,1,216374,0.2378,0.0000,0.3159,68344,1,216374,0.3159,0.0000
