t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0683,4096,0,60000,0.0683,0.0000,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.00,0.1366,8192,0,60000,0.1365,0.0099,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.50,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.00,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.50,0.2732,16384,0,60000,0.2731,0.0099,0.2737,16409,0,60000,0.2735,0.0099,,,,,,,,,,,,
3.00,0.3414,12017,0,60000,0.2003,0.0000,0.3420,12066,0,60000,0.2011,0.0000,,,,,,,,,,,,
3.50,0.3414,12017,0,60000,0.2003,0.0000,0.4103,16162,0,60000,0.2694,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
4.00,0.3414,12017,0,60000,0.2003,0.0000,0.4103,16162,0,60000,0.2694,0.0099,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
4.50,0.4779,11745,0,60000,0.1958,0.0000,0.4785,11805,0,60000,0.1968,0.0000,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
5.00,0.5462,15841,0,60000,0.2640,0.0099,0.5468,15901,0,60000,0.2650,0.0099,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
5.50,0.6145,11494,0,60000,0.1916,0.0000,0.6151,11554,0,60000,0.1926,0.0000,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
6.00,0.6145,11494,0,60000,0.1916,0.0000,0.6834,15650,0,60000,0.2608,0.0099,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
6.50,0.6145,11494,0,60000,0.1916,0.0000,0.6834,15650,0,60000,0.2608,0.0099,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
7.00,0.8922,19686,0,60000,0.3281,0.0000,0.7516,11269,0,60000,0.1878,0.0000,0.5504,84930,2,154304,0.5504,0.0000,,,,,,
7.50,0.9465,15346,0,60000,0.2558,0.0099,0.8199,15365,0,60000,0.2561,0.0000,0.3308,51042,1,154304,0.3308,0.0000,,,,,,
8.00,0.9465,10981,0,60000,0.1830,0.0000,0.8199,15365,0,60000,0.2561,0.0000,0.3308,51042,1,154304,0.3308,0.0000,,,,,,
8.50,0.8153,15077,0,60000,0.2513,0.0099,0.9794,33903,0,60000,0.5651,0.9979,0.3308,51042,1,154304,0.3308,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
9.00,0.8153,15077,0,60000,0.2513,0.0099,0.9794,33903,0,60000,0.5651,0.9979,0.3308,51042,1,154304,0.3308,0.0000,0.3308,51046,1,154304,0.3308,0.0000
9.50,0.8836,10709,0,60000,0.1785,0.0000,0.9794,33903,0,60000,0.5651,0.9979,0.3308,51042,1,154304,0.3308,0.0000,0.3308,51046,1,154304,0.3308,0.0000
10.00,0.9519,14805,0,60000,0.2467,0.0099,0.9797,25457,0,60000,0.4243,0.9960,0.3308,51042,1,154304,0.3308,0.0000,0.3308,51046,1,154304,0.3308,0.0000
10.50,0.9519,14805,0,60000,0.2467,0.0099,0.9797,25457,0,60000,0.4243,0.9960,0.2206,34041,1,154304,0.2206,0.0000,0.3308,51046,1,154304,0.3308,0.0000
11.00,0.7377,10451,0,60000,0.1742,0.0000,0.8219,17008,0,60000,0.2835,0.9979,0.2206,34041,1,154304,0.2206,0.0000,0.3308,51046,1,154304,0.3308,0.0000
11.50,0.8060,14547,0,60000,0.2424,0.0099,0.8219,17008,0,60000,0.2835,0.9979,0.2206,34041,1,154304,0.2206,0.0000,0.2761,42605,1,154304,0.2761,0.0000
12.00,0.8743,10194,0,60000,0.1699,0.0000,0.8219,17008,0,60000,0.2835,0.9979,0.2206,34041,1,154304,0.2206,0.0000,0.2761,42605,1,154304,0.2761,0.0000
12.50,0.7840,14290,0,60000,0.2382,0.0099,0.8219,17008,0,60000,0.2835,0.9979,0.2206,34041,1,154304,0.2206,0.0000,0.2761,42605,1,154304,0.2761,0.0000
13.00,0.9941,9924,0,60000,0.1654,0.0000,0.8219,17008,0,60000,0.2835,0.9979,0.2206,34041,1,154304,0.2206,0.0000,0.2761,42605,1,154304,0.2761,0.0000
13.50,0.9905,14020,0,60000,0.2337,0.0099,0.9633,8506,0,60000,0.1418,0.9978,0.2206,34041,1,154304,0.2206,0.0000,0.2761,42605,1,154304,0.2761,0.0000
14.00,0.9729,9681,0,60000,0.1613,0.0000,0.7077,17002,0,60000,0.2834,0.9975,0.3315,51145,1,154304,0.3315,0.0000,0.2761,42605,1,154304,0.2761,0.0000
14.50,0.9729,9681,0,60000,0.1613,0.0000,0.7077,17002,0,60000,0.2834,0.9975,0.3315,51145,1,154304,0.3315,0.0000,0.2761,42605,1,154304,0.2761,0.0000
15.00,0.9729,13777,0,60000,0.2296,0.0099,0.7083,17065,0,60000,0.2844,0.9976,0.3315,51145,1,154304,0.3315,0.0000,0.2761,42605,1,154304,0.2761,0.0000
15.50,0.9087,9400,0,60000,0.1567,0.0000,0.8503,25560,0,60000,0.4260,0.9975,0.3315,51145,1,154304,0.3315,0.0000,0.3318,51205,2,154304,0.3318,0.0000
16.00,0.9770,13496,0,60000,0.2249,0.0099,0.9919,25511,0,60000,0.4252,0.9978,0.3315,51145,1,154304,0.3315,0.0000,0.3318,51205,2,154304,0.3318,0.0000
16.50,0.9594,17592,0,60000,0.2932,0.0000,0.9919,25511,0,60000,0.4252,0.9978,0.3872,59748,1,154304,0.3872,0.0000,0.3318,51205,2,154304,0.3318,0.0000
17.00,0.9594,17592,0,60000,0.2932,0.0000,0.9919,25511,0,60000,0.4252,0.9978,0.3872,59748,1,154304,0.3872,0.0000,0.3318,51205,2,154304,0.3318,0.0000
17.50,0.9594,13191,0,60000,0.2198,0.0099,0.9915,16987,0,60000,0.2831,0.9978,0.3872,59748,1,154304,0.3872,0.0000,0.3318,51205,2,154304,0.3318,0.0000
18.00,0.8531,8800,0,60000,0.1467,0.0000,0.8496,17009,0,60000,0.2835,0.9975,0.2212,34134,1,154304,0.2212,0.0000,0.3318,51205,2,154304,0.3318,0.0000
18.50,0.7359,12896,0,60000,0.2149,0.0099,0.8496,17009,0,60000,0.2835,0.9975,0.2212,34134,1,154304,0.2212,0.0000,0.3318,51205,2,154304,0.3318,0.0000
19.00,0.8042,8537,0,60000,0.1423,0.0000,0.8496,17009,0,60000,0.2835,0.9975,0.2212,34134,1,154304,0.2212,0.0000,0.2767,42694,1,154304,0.2767,0.0000
19.50,0.8042,8537,0,60000,0.1423,0.0000,0.8496,17009,0,60000,0.2835,0.9975,0.2212,34134,1,154304,0.2212,0.0000,0.2767,42694,1,154304,0.2767,0.0000
20.00,0.8724,12633,0,60000,0.2105,0.0000,0.8499,8524,0,60000,0.1421,0.9958,0.2212,34134,1,154304,0.2212,0.0000,0.2767,42694,1,154304,0.2767,0.0000
20.50,0.7857,8249,0,60000,0.1375,0.0099,0.8508,8566,0,60000,0.1428,0.9977,0.2777,42856,1,154304,0.2777,0.0000,0.2767,42694,1,154304,0.2767,0.0000
21.00,0.8540,12345,0,60000,0.2057,0.0000,0.8508,8566,0,60000,0.1428,0.9977,0.2777,42856,1,154304,0.2777,0.0000,0.2767,42694,1,154304,0.2767,0.0000
21.50,0.8540,12345,0,60000,0.2057,0.0000,0.8511,41,0,60000,0.0007,0.0099,0.2777,42856,1,154304,0.2777,0.0000,0.2767,42694,1,154304,0.2767,0.0000
22.00,0.9185,16441,0,60000,0.2740,0.0099,0.9194,4137,0,60000,0.0689,0.0000,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
22.50,0.9185,16441,0,60000,0.2740,0.0099,0.9876,8233,0,60000,0.1372,0.0000,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
23.00,0.9767,16156,0,60000,0.2693,0.0099,0.9920,17019,0,60000,0.2837,0.9959,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
23.50,0.9176,11754,0,60000,0.1959,0.0000,0.9920,17019,0,60000,0.2837,0.9959,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
24.00,0.9719,15850,0,60000,0.2642,0.0099,0.9920,17019,0,60000,0.2837,0.9959,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
24.50,0.9674,11412,0,60000,0.1902,0.0000,0.9920,17019,0,60000,0.2837,0.9959,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
25.00,0.9674,11412,0,60000,0.1902,0.0000,0.8514,8533,0,60000,0.1422,0.9975,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
25.50,0.9674,15508,0,60000,0.2585,0.0099,0.8514,8533,0,60000,0.1422,0.9975,0.2777,42856,1,154304,0.2777,0.0000,0.3322,51261,1,154304,0.3322,0.0000
26.00,0.8940,11091,0,60000,0.1848,0.0000,0.8514,8533,0,60000,0.1422,0.9975,0.2777,42856,1,154304,0.2777,0.0000,0.2216,34193,1,154304,0.2216,0.0000
26.50,0.9623,15187,0,60000,0.2531,0.0099,0.9200,4137,0,60000,0.0689,0.0000,0.4442,68546,1,154304,0.4442,0.0000,0.2216,34193,1,154304,0.2216,0.0000
27.00,0.8894,10774,0,60000,0.1796,0.0000,0.9883,8233,0,60000,0.1372,0.0000,0.4442,68546,1,154304,0.4442,0.0000,0.2216,34193,1,154304,0.2216,0.0000
27.50,0.8894,10774,0,60000,0.1796,0.0000,0.9883,8233,0,60000,0.1372,0.0000,0.4442,68546,1,154304,0.4442,0.0000,0.2216,34193,1,154304,0.2216,0.0000
28.00,0.9576,14870,0,60000,0.2478,0.0099,0.9930,17109,0,60000,0.2852,0.9977,0.4442,68546,1,154304,0.4442,0.0000,0.2216,34193,1,154304,0.2216,0.0000
28.50,0.9480,10433,0,60000,0.1739,0.0000,0.9710,12707,0,60000,0.2118,0.0000,0.4442,68546,1,154304,0.4442,0.0000,0.2216,34193,1,154304,0.2216,0.0000
29.00,0.8103,14529,0,60000,0.2422,0.0099,0.9153,16748,0,60000,0.2791,0.9684,0.3891,60040,1,154304,0.3891,0.0000,0.2216,34193,1,154304,0.2216,0.0000
29.50,0.8786,10043,0,60000,0.1674,0.0000,0.7735,25555,0,60000,0.4259,0.6776,0.3891,60040,1,154304,0.3891,0.0000,0.2216,34193,1,154304,0.2216,0.0000
30.00,0.8786,10043,0,60000,0.1674,0.0000,0.8418,29651,0,60000,0.4942,0.0000,0.3891,60040,1,154304,0.3891,0.0000,0.2216,34193,1,154304,0.2216,0.0000
30.50,0.7842,14139,0,60000,0.2356,0.0099,0.9101,25294,0,60000,0.4216,0.0000,0.3891,60040,1,154304,0.3891,0.0000,0.4426,68302,1,154304,0.4426,0.0000
31.00,0.8525,9702,0,60000,0.1617,0.0000,0.9827,21120,0,60000,0.3520,0.0000,0.3891,60040,1,154304,0.3891,0.0000,0.4426,68302,1,154304,0.4426,0.0000
31.50,0.9207,13798,0,60000,0.2300,0.0099,0.9827,21120,0,60000,0.3520,0.0000,0.3891,60040,1,154304,0.3891,0.0000,0.3321,51252,1,154304,0.3321,0.0000
32.00,0.9890,9371,0,60000,0.1562,0.0000,0.8456,25202,0,60000,0.4200,0.9658,0.3891,60040,1,154304,0.3891,0.0000,0.3321,51252,1,154304,0.3321,0.0000
32.50,0.9890,13467,0,60000,0.2245,0.0099,0.9189,21167,0,60000,0.3528,0.0000,0.3891,60040,1,154304,0.3891,0.0000,0.3321,51252,1,154304,0.3321,0.0000
