t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0683,4096,0,60000,0.0683,0.0000,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.00,0.1366,8192,0,60000,0.1365,0.0099,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.50,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.00,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.50,0.2732,16384,0,60000,0.2731,0.0099,0.2737,16409,0,60000,0.2735,0.0099,,,,,,,,,,,,
3.00,0.2732,16384,0,60000,0.2731,0.0099,0.3420,20505,0,60000,0.3417,0.0000,,,,,,,,,,,,
3.50,0.2732,16384,0,60000,0.2731,0.0099,0.4103,16158,0,60000,0.2693,0.0099,,,,,,,,,,,,
4.00,0.4097,16113,0,60000,0.2686,0.0099,0.4103,16158,0,60000,0.2693,0.0099,,,,,,,,,,,,
4.50,0.4779,11756,0,60000,0.1959,0.0000,0.4785,11790,0,60000,0.1965,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
5.00,0.5462,15852,0,60000,0.2642,0.0099,0.5468,15886,0,60000,0.2648,0.0099,,,,,,,0.3855,59479,1,154304,0.3855,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
5.50,0.5462,15852,0,60000,0.2642,0.0099,0.6151,11546,0,60000,0.1924,0.0000,0.2200,33953,1,154304,0.2200,0.0000,0.3855,59479,1,154304,0.3855,0.0000
6.00,0.6145,11509,0,60000,0.1918,0.0000,0.6151,11546,0,60000,0.1924,0.0000,0.2200,33953,1,154304,0.2200,0.0000,0.3855,59479,1,154304,0.3855,0.0000
6.50,0.6827,15605,0,60000,0.2601,0.0000,0.6151,11546,0,60000,0.1924,0.0000,0.2200,33953,1,154304,0.2200,0.0000,0.3855,59479,1,154304,0.3855,0.0000
7.00,0.8460,16934,0,60000,0.2822,0.9978,0.8927,19738,0,60000,0.3290,0.0000,0.2200,33953,1,154304,0.2200,0.0000,0.3859,59543,1,154304,0.3859,0.0000
7.50,0.9876,25432,0,60000,0.4239,0.9978,0.9609,15373,0,60000,0.2562,0.0099,0.2200,33953,1,154304,0.2200,0.0000,0.3859,59543,1,154304,0.3859,0.0000
8.00,0.9876,25432,0,60000,0.4239,0.9978,0.9521,19469,0,60000,0.3245,0.0000,0.2200,33953,1,154304,0.2200,0.0000,0.3859,59543,1,154304,0.3859,0.0000
8.50,0.9876,25432,0,60000,0.4239,0.9978,0.7982,15122,0,60000,0.2520,0.0099,0.2200,33953,1,154304,0.2200,0.0000,0.3859,59543,1,154304,0.3859,0.0000
9.00,0.8375,16993,0,60000,0.2832,0.9978,0.7982,15122,0,60000,0.2520,0.0099,0.2200,33953,1,154304,0.2200,0.0000,0.3859,59543,1,154304,0.3859,0.0000
9.50,0.8375,16993,0,60000,0.2832,0.9978,0.8665,19218,0,60000,0.3203,0.0000,0.1655,25540,1,154304,0.1655,0.0000,0.3859,59543,1,154304,0.3859,0.0000
10.00,0.8380,8520,0,60000,0.1420,0.9978,0.9347,14864,0,60000,0.2477,0.0099,0.1655,25540,1,154304,0.1655,0.0000,0.3861,59577,1,154304,0.3861,0.0000
10.50,0.9796,17015,0,60000,0.2836,0.9978,0.9347,10511,0,60000,0.1752,0.0000,0.1655,25540,1,154304,0.1655,0.0000,0.3861,59577,1,154304,0.3861,0.0000
11.00,0.9796,17015,0,60000,0.2836,0.9978,0.8067,14609,0,60000,0.2435,0.0104,0.1655,25540,1,154304,0.1655,0.0000,0.3861,59577,1,154304,0.3861,0.0000
11.50,0.9796,17015,0,60000,0.2836,0.9978,0.8067,14609,0,60000,0.2435,0.0104,0.1655,25540,1,154304,0.1655,0.0000,0.3862,59597,1,154304,0.3862,0.0000
12.00,0.8266,8533,0,60000,0.1422,0.9975,0.8618,10228,0,60000,0.1705,0.0000,0.1655,25540,1,154304,0.1655,0.0000,0.3862,59597,1,154304,0.3862,0.0000
12.50,0.8272,17067,0,60000,0.2844,0.9976,0.8618,10228,0,60000,0.1705,0.0000,0.1655,25540,1,154304,0.1655,0.0000,0.3862,59597,1,154304,0.3862,0.0000
13.00,0.7639,25547,0,60000,0.4258,0.9975,0.9857,9978,0,60000,0.1663,0.0000,0.1655,25540,1,154304,0.1655,0.0000,0.3862,59597,1,154304,0.3862,0.0000
13.50,0.7639,25547,0,60000,0.4258,0.9975,0.9857,14074,0,60000,0.2346,0.0099,0.1655,25540,1,154304,0.1655,0.0000,0.3862,59597,1,154304,0.3862,0.0000
14.00,0.7639,25547,0,60000,0.4258,0.9975,0.9857,14074,0,60000,0.2346,0.0099,0.2208,34070,1,154304,0.2208,0.0000,0.3862,59597,1,154304,0.3862,0.0000
14.50,0.7639,25547,0,60000,0.4258,0.9975,0.8675,9715,0,60000,0.1619,0.0000,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
15.00,0.7639,25547,0,60000,0.4258,0.9975,0.8675,9715,0,60000,0.1619,0.0000,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
15.50,0.7639,25547,0,60000,0.4258,0.9975,0.9619,17907,0,60000,0.2984,0.0000,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
16.00,0.7639,25547,0,60000,0.4258,0.9975,0.9619,13541,0,60000,0.2257,0.0099,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
16.50,0.7639,25547,0,60000,0.4258,0.9975,0.9619,13541,0,60000,0.2257,0.0099,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
17.00,0.7639,25547,0,60000,0.4258,0.9975,0.8597,9155,0,60000,0.1526,0.0000,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
17.50,0.8325,4139,0,60000,0.0690,0.0000,0.7867,13251,0,60000,0.2208,0.0099,0.2208,34070,1,154304,0.2208,0.0000,0.3870,59708,1,154304,0.3870,0.0000
18.00,0.9007,16744,0,60000,0.2791,0.9628,0.8549,8860,0,60000,0.1477,0.0000,0.2208,34070,1,154304,0.2208,0.0000,0.4438,68487,1,154304,0.4438,0.0000
18.50,0.9062,25556,0,60000,0.4259,0.9958,0.9232,12956,0,60000,0.2159,0.0099,0.2208,34070,1,154304,0.2208,0.0000,0.4438,68487,1,154304,0.4438,0.0000
19.00,0.9062,25556,0,60000,0.4259,0.9958,0.9915,8582,0,60000,0.1430,0.0000,0.2208,34070,1,154304,0.2208,0.0000,0.4438,68487,1,154304,0.4438,0.0000
19.50,0.9751,21201,0,60000,0.3533,0.0000,0.9915,8582,0,60000,0.1430,0.0000,0.3317,51181,1,154304,0.3317,0.0000,0.4438,68487,1,154304,0.4438,0.0000
20.00,0.8472,25297,0,60000,0.4216,0.0099,0.9434,12678,0,60000,0.2113,0.0000,0.3317,51181,1,154304,0.3317,0.0000,0.4438,68487,1,154304,0.4438,0.0000
20.50,0.8472,25297,0,60000,0.4216,0.0099,0.9341,8305,0,60000,0.1384,0.0099,0.3317,51181,1,154304,0.3317,0.0000,0.4443,68564,2,154304,0.4443,0.0000
21.00,0.9154,12329,0,60000,0.2055,0.0000,0.9341,12401,0,60000,0.2067,0.0000,0.3317,51181,1,154304,0.3317,0.0000,0.4443,68564,2,154304,0.4443,0.0000
21.50,0.9830,24893,0,60000,0.4149,0.9255,0.8406,16497,0,60000,0.2750,0.0099,0.3317,51181,1,154304,0.3317,0.0000,0.4443,68564,2,154304,0.4443,0.0000
22.00,0.9830,24893,0,60000,0.4149,0.9255,0.8406,16497,0,60000,0.2750,0.0099,0.1657,25564,1,154304,0.1657,0.0000,0.4443,68564,2,154304,0.4443,0.0000
22.50,0.9939,25559,0,60000,0.4260,0.9958,0.8406,16497,0,60000,0.2750,0.0099,0.1657,25564,1,154304,0.1657,0.0000,0.4443,68564,2,154304,0.4443,0.0000
23.00,0.9939,25559,0,60000,0.4260,0.9958,0.9771,16212,0,60000,0.2702,0.0099,0.1657,25564,1,154304,0.1657,0.0000,0.4443,68564,2,154304,0.4443,0.0000
23.50,0.9939,25559,0,60000,0.4260,0.9958,0.9771,16212,0,60000,0.2702,0.0099,0.1657,25564,1,154304,0.1657,0.0000,0.4443,68564,2,154304,0.4443,0.0000
24.00,0.9939,25559,0,60000,0.4260,0.9958,0.6999,11825,0,60000,0.1971,0.0000,0.1657,25564,1,154304,0.1657,0.0000,0.4441,68525,1,154304,0.4441,0.0000
24.50,0.9939,25559,0,60000,0.4260,0.9958,0.9104,15921,0,60000,0.2653,0.0099,0.1657,25564,1,154304,0.1657,0.0000,0.4441,68525,1,154304,0.4441,0.0000
25.00,0.8518,8552,0,60000,0.1425,0.9976,0.9787,11483,0,60000,0.1914,0.0000,0.1657,25564,1,154304,0.1657,0.0000,0.3332,51412,1,154304,0.3332,0.0000
25.50,0.9937,17065,0,60000,0.2844,0.9975,0.9787,15579,0,60000,0.2596,0.0099,0.1657,25564,1,154304,0.1657,0.0000,0.3332,51412,1,154304,0.3332,0.0000
26.00,0.9940,17072,0,60000,0.2845,0.9959,0.9787,15579,0,60000,0.2596,0.0099,0.2772,42769,1,154304,0.2772,0.0000,0.3332,51412,1,154304,0.3332,0.0000
26.50,0.9940,17072,0,60000,0.2845,0.9959,0.9647,11179,0,60000,0.1863,0.0000,0.2772,42769,1,154304,0.2772,0.0000,0.3332,51412,1,154304,0.3332,0.0000
27.00,0.9946,8564,0,60000,0.1427,0.9959,0.9647,15275,0,60000,0.2546,0.0099,0.2772,42769,1,154304,0.2772,0.0000,0.3332,51412,1,154304,0.3332,0.0000
27.50,0.9946,8564,0,60000,0.1427,0.9959,0.8889,10840,0,60000,0.1807,0.0000,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
28.00,0.9946,8564,0,60000,0.1427,0.9959,0.9572,14936,0,60000,0.2489,0.0099,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
28.50,0.9221,4137,0,60000,0.0689,0.0000,0.9380,10570,0,60000,0.1762,0.0000,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
29.00,0.9903,8233,0,60000,0.1372,0.0000,0.9380,10570,0,60000,0.1762,0.0000,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
29.50,0.9936,16972,0,60000,0.2829,0.9937,0.8595,14666,0,60000,0.2444,0.0099,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
30.00,0.9902,29670,0,60000,0.4945,0.0000,0.9277,10214,0,60000,0.1702,0.0000,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
30.50,0.9892,33823,0,60000,0.5637,0.9658,0.9960,14310,0,60000,0.2385,0.0099,0.1666,25707,1,154304,0.1666,0.0000,0.3332,51412,1,154304,0.3332,0.0000
31.00,0.9892,33823,0,60000,0.5637,0.9658,0.8743,9837,0,60000,0.1640,0.0000,0.1666,25707,1,154304,0.1666,0.0000,0.5004,77209,1,154304,0.5004,0.0000
31.50,0.9838,29674,0,60000,0.4946,0.0000,0.8743,9837,0,60000,0.1640,0.0000,0.2770,42748,1,154304,0.2770,0.0000,0.5004,77209,1,154304,0.5004,0.0000
32.00,0.8462,25238,0,60000,0.4206,0.0099,0.9426,13933,0,60000,0.2322,0.0099,0.2770,42748,1,154304,0.2770,0.0000,0.5004,77209,1,154304,0.5004,0.0000
