elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,124284.0,25385.0,36733.0,25433.0,36733.0,84779.3,73787.5,32074.9,30878.8,0.0,18292.0,4.5,33702.8,19399.7,36512.7,56632.0,90185.2,128652.3,103071.4,148
1.2,124288.0,25387.0,36733.0,25435.0,36733.0,84819.7,73822.3,32110.3,30913.5,0.0,18296.0,4.5,33783.6,19403.5,36592.5,56715.7,90105.4,128652.3,103115.7,148
2.4,124288.0,25387.0,36733.0,25435.0,36733.0,84871.4,73867.8,32156.0,30959.1,0.0,18303.9,4.5,33820.1,19411.2,36636.4,56767.3,90061.5,128652.3,103175.2,148
3.6,124310.0,25387.0,36733.0,25435.0,36755.0,84898.4,73894.3,32182.7,30985.6,0.0,18800.9,4.5,33857.8,19908.5,36680.5,57308.7,90017.4,128652.3,103699.3,148
4.8,124312.0,25387.0,36735.0,25435.0,36755.0,84930.7,73910.5,32214.9,31001.8,0.0,19983.3,4.5,33882.2,21092.5,36739.2,58551.4,89958.7,128652.3,104914.0,148
6.0,124312.0,25387.0,36735.0,25435.0,36755.0,84938.4,73918.2,32222.6,31009.4,0.0,21287.5,4.5,33889.4,22406.2,36752.3,59878.2,89945.6,128652.3,106225.9,148
7.2,124312.0,25387.0,36735.0,25435.0,36755.0,84950.6,73930.3,32234.7,31021.6,0.0,22527.9,4.5,33898.0,23661.1,36769.0,61149.9,89928.9,128652.3,107478.4,148
8.5,124334.0,25389.0,36755.0,25435.0,36755.0,84978.5,73954.6,32262.3,31045.9,0.0,23674.1,4.5,33908.7,24819.5,36772.6,62311.9,89925.2,128652.3,108652.6,148
9.7,124334.0,25389.0,36755.0,25435.0,36755.0,84983.0,73959.2,32266.8,31050.4,0.0,24537.4,4.5,33951.4,25692.6,36819.2,63231.6,89878.6,128652.3,109520.4,148
11.1,124334.0,25389.0,36755.0,25435.0,36755.0,85007.4,73980.2,32287.9,31071.5,0.0,25259.6,7946.9,33952.3,26423.5,36822.4,63965.7,89875.4,128652.3,110267.0,148
12.5,124338.0,25389.0,36755.0,25437.0,36757.0,85017.3,73990.2,32297.8,31081.4,0.0,26343.8,7946.9,33957.4,27519.8,36835.2,65074.9,89862.5,128652.3,111361.1,148
13.8,124340.0,25389.0,36757.0,25437.0,36757.0,85021.5,73994.3,32302.0,31085.6,0.0,26943.1,7946.9,33968.1,28125.3,36848.2,65693.4,89849.5,128652.3,111964.6,148
15.1,124342.0,25391.0,36757.0,25437.0,36757.0,85034.2,74007.0,32314.7,31098.3,0.0,28121.7,7946.9,33980.9,29318.2,36863.3,66901.4,89834.4,128652.3,113155.9,148
16.4,124346.0,25391.0,36759.0,25437.0,36759.0,85087.9,74054.1,32361.8,31145.3,0.0,29032.1,7946.9,33982.9,30238.5,36866.5,67824.8,89831.2,128652.3,114120.0,148
17.8,124346.0,25391.0,36759.0,25437.0,36759.0,85102.3,74068.5,32376.2,31159.7,0.0,30209.1,7946.9,34040.7,31429.8,36926.1,69075.9,89771.5,128652.3,115311.4,148
19.0,124346.0,25391.0,36759.0,25437.0,36759.0,85111.2,74077.4,32385.1,31168.6,0.0,31206.3,7946.9,34041.7,32438.6,36928.2,70086.8,89769.4,128652.3,116317.5,148
20.3,124346.0,25391.0,36759.0,25437.0,36759.0,85140.9,74091.0,32414.8,31182.3,0.0,32158.3,7946.9,34062.3,33402.8,37232.1,71354.8,89465.5,128652.3,117299.2,148
21.7,124346.0,25391.0,36759.0,25437.0,36759.0,85143.0,74093.1,32416.8,31184.3,0.0,32981.2,15086.5,34065.8,34234.9,36969.6,71924.5,89728.0,128652.3,118124.3,148
23.4,124346.0,25391.0,36759.0,25437.0,36759.0,85152.2,74102.3,32426.0,31193.5,0.0,33537.8,15086.5,34071.0,34799.0,36968.1,72487.2,89729.4,128652.3,118690.0,148
24.7,124346.0,25391.0,36759.0,25437.0,36759.0,85153.3,74103.4,32427.1,31194.7,0.0,34177.4,15086.5,34076.4,35446.2,36975.9,73142.3,89721.5,128652.3,119330.7,148
26.0,124346.0,25391.0,36759.0,25437.0,36759.0,85160.8,74110.9,32434.6,31202.1,0.0,34870.1,15086.5,34076.8,36145.9,36967.7,73833.8,89729.7,128652.3,120030.9,148
27.3,124346.0,25391.0,36759.0,25437.0,36759.0,85164.1,74114.2,32437.9,31205.4,0.0,35760.3,15086.5,34084.4,37046.1,36989.2,74755.6,89708.1,128652.3,120924.4,148
28.5,124346.0,25391.0,36759.0,25437.0,36759.0,85186.3,74136.4,32460.2,31227.7,0.0,37027.8,15086.5,34106.2,38329.4,37015.4,76065.1,89681.9,128652.3,122214.1,148
29.8,124346.0,25391.0,36759.0,25437.0,36759.0,85186.9,74137.0,32460.7,31228.2,0.0,37876.8,15086.5,34149.5,39187.0,37053.7,76961.0,89643.6,128652.3,123063.7,148
31.0,124346.0,25391.0,36759.0,25437.0,36759.0,85217.4,74163.9,32491.2,31255.2,0.0,38511.1,15086.5,34111.3,39835.0,37013.9,77569.2,89683.4,128652.3,123728.5,148
32.3,124346.0,25391.0,36759.0,25437.0,36759.0,85220.6,74167.1,32494.4,31258.3,0.0,39598.8,22527.7,34140.5,40965.5,37264.2,78949.9,89433.1,128652.3,124819.4,148
34.3,124346.0,25391.0,36759.0,25437.0,36759.0,85237.9,74184.4,32511.7,31275.7,0.0,41096.8,22527.7,34151.8,42518.5,37054.4,80293.2,89642.9,128652.3,126334.8,148
35.7,124346.0,25391.0,36759.0,25437.0,36759.0,85215.5,74162.0,32489.3,31253.3,0.0,42019.2,22527.7,34135.5,43476.8,37041.4,81238.5,89655.9,128652.3,127234.8,148
37.1,124346.0,25391.0,36759.0,25437.0,36759.0,85230.6,74177.1,32504.4,31268.4,0.0,43141.7,22527.7,34154.3,44642.6,37078.3,82441.5,89618.7,128652.3,128372.3,148
38.5,124346.0,25391.0,36759.0,25437.0,36759.0,85233.9,74180.4,32507.6,31271.7,0.0,44494.9,22527.7,34158.1,46047.2,37079.4,83847.2,89617.6,128652.3,129728.8,148
39.9,124346.0,25391.0,36759.0,25437.0,36759.0,85245.6,74192.1,32519.3,31283.3,0.0,45784.6,22527.7,34207.8,47384.8,37282.7,85388.0,89414.4,128652.3,131030.1,148
41.3,124346.0,25391.0,36759.0,25437.0,36759.0,85282.5,74228.9,32556.2,31320.2,0.0,46918.6,22527.7,34238.0,48564.6,37236.1,86521.3,89460.9,128652.3,132201.0,148
42.8,124346.0,25391.0,36759.0,25437.0,36759.0,85282.9,74229.4,32556.7,31320.7,0.0,47960.1,30644.9,34207.8,49646.0,37138.0,87504.8,89558.8,128652.3,133243.0,148
44.9,124346.0,25391.0,36759.0,25437.0,36759.0,85296.3,74242.8,32570.0,31334.1,0.0,49360.2,30644.9,34248.6,51099.4,37169.7,88989.9,89527.1,128652.3,134656.5,148
46.4,124346.0,25391.0,36759.0,25437.0,36759.0,85305.4,74251.9,32579.2,31343.2,0.0,50103.0,30644.9,34230.6,51876.9,37156.4,89754.0,89540.5,128652.3,135408.4,148
47.8,124346.0,25391.0,36759.0,25437.0,36759.0,85307.6,74254.1,32581.3,31345.3,0.0,51170.8,30644.9,34232.7,52983.8,37171.8,90876.5,89524.8,128652.3,136478.4,148
49.1,124348.0,25391.0,36761.0,25437.0,36759.0,85307.9,74254.3,32581.6,31345.6,0.0,52149.2,30644.9,34233.1,54000.6,37165.7,91887.4,89530.9,128652.3,137457.1,148
50.3,124348.0,25391.0,36761.0,25437.0,36759.0,85317.6,74264.1,32591.3,31355.3,0.0,53407.5,30644.9,34284.8,55308.0,37220.9,93249.9,89475.7,128652.3,138725.1,148
51.6,124348.0,25391.0,36761.0,25437.0,36759.0,85323.7,74270.2,32597.4,31361.4,0.0,54576.3,30644.9,34288.8,56520.5,37227.2,94468.9,89469.2,128652.3,139900.1,148
