elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,170768.0,37934.0,47482.0,37806.0,47546.0,67813.0,56079.1,15096.6,13164.8,0.0,18524.3,0.0,16037.4,19724.0,19280.2,39848.9,107128.7,128652.3,86337.3,148
1.1,170894.0,38242.0,47482.0,37688.0,47482.0,68042.1,56133.2,15318.8,13218.9,0.0,18524.6,0.0,16105.2,19724.4,19552.8,40121.9,106856.1,128652.3,86566.7,148
2.2,170920.0,38242.0,47482.0,37714.0,47482.0,68158.1,56178.2,15427.9,13263.8,0.0,18524.6,0.0,16145.3,19724.5,19773.8,40343.0,106635.1,128652.3,86682.8,148
3.3,170944.0,38244.0,47502.0,37716.0,47482.0,68164.9,56184.1,15434.4,13269.8,0.0,18524.8,0.0,16164.9,19724.4,19670.4,40239.5,106738.5,128652.3,86689.7,148
4.3,170982.0,38246.0,47502.0,37716.0,47518.0,68186.9,56199.2,15452.8,13284.8,0.0,18525.3,0.0,16180.2,19724.7,19698.3,40267.7,106710.6,128652.3,86712.2,148
5.5,171074.0,38246.0,47574.0,37716.0,47538.0,68196.5,56208.4,15462.1,13294.1,0.0,18525.6,0.0,16191.2,19725.3,19784.0,40354.1,106624.9,128652.3,86722.1,148
6.6,171076.0,38246.0,47574.0,37718.0,47538.0,68208.3,56220.2,15473.1,13305.9,0.0,18525.8,0.0,16211.3,19726.1,19752.7,40323.6,106656.1,128652.3,86734.1,148
7.7,171076.0,38246.0,47574.0,37718.0,47538.0,68273.0,56277.8,15535.1,13363.5,0.0,18525.8,0.0,16261.3,19727.8,19896.2,40468.7,106512.7,128652.3,86798.8,148
8.8,171076.0,38246.0,47574.0,37718.0,47538.0,68293.0,56297.7,15554.9,13383.3,0.0,18525.8,0.0,16283.3,19727.4,19845.1,40417.2,106563.8,128652.3,86818.9,148
9.9,171078.0,38246.0,47574.0,37720.0,47538.0,68325.8,56330.4,15587.6,13416.0,0.0,18525.8,0.0,16310.0,19726.2,19859.5,40430.5,106549.4,128652.3,86851.6,148
11.0,171078.0,38246.0,47574.0,37720.0,47538.0,68327.0,56331.6,15588.8,13417.3,0.0,18525.8,0.0,16320.6,19726.1,20226.4,40797.2,106182.5,128652.3,86852.9,148
12.0,171078.0,38246.0,47574.0,37720.0,47538.0,68349.6,56350.9,15608.1,13436.5,0.0,18525.8,0.0,16340.8,19726.0,19981.9,40552.6,106427.0,128652.3,86875.4,148
13.2,171078.0,38246.0,47574.0,37720.0,47538.0,68372.5,56373.7,15630.9,13459.4,0.0,18525.9,0.0,16349.5,19726.1,19948.0,40518.8,106460.8,128652.3,86898.3,148
14.4,171078.0,38246.0,47574.0,37720.0,47538.0,68407.1,56404.8,15662.0,13490.5,0.0,18525.9,0.0,16395.5,19726.7,19939.4,40510.8,106469.5,128652.3,86933.0,148
15.5,171078.0,38246.0,47574.0,37720.0,47538.0,68406.9,56404.5,15661.7,13490.2,0.0,18525.9,0.0,16395.7,19725.7,19938.3,40508.8,106470.6,128652.3,86932.8,148
