t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0689,4101,0,60000,0.0683,0.0168,,,,,,,,,,,,
1.00,0.0683,4096,0,60000,0.0683,0.0168,0.0689,4101,0,60000,0.0683,0.0168,,,,,,,,,,,,
1.50,0.0683,4096,0,60000,0.0683,0.0168,0.2055,12293,0,60000,0.2049,0.0168,,,,,,,,,,,,
2.00,0.2049,12288,0,60000,0.2048,0.0000,0.2055,12293,0,60000,0.2049,0.0168,,,,,,,,,,,,
2.50,0.2049,12288,0,60000,0.2048,0.0000,0.2737,16389,0,60000,0.2732,0.0168,,,,,,,,,,,,
3.00,0.3414,20480,0,60000,0.3413,0.0000,0.3420,20485,0,60000,0.3414,0.0168,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
3.50,0.3414,20480,0,60000,0.3413,0.0000,0.4103,14661,0,60000,0.2444,0.0168,0.1756,27093,2,154304,0.1756,0.0000,0.2893,44633,3,154304,0.2893,0.0000
4.00,0.4284,17114,0,60000,0.2852,0.0000,0.4103,14661,0,60000,0.2444,0.0168,0.1756,27093,2,154304,0.1756,0.0000,0.2893,44633,3,154304,0.2893,0.0000
4.50,0.4284,17114,0,60000,0.2852,0.0000,0.4785,15504,0,60000,0.2584,0.0208,0.1972,30430,1,154304,0.1972,0.0000,0.2695,41584,1,154304,0.2695,0.0000
5.00,0.4502,23848,0,60000,0.3975,0.7212,0.5468,14390,0,60000,0.2398,0.0248,0.1972,30430,1,154304,0.1972,0.0000,0.2695,41584,1,154304,0.2695,0.0000
5.50,0.5072,17516,0,60000,0.2919,0.0206,0.6151,15240,0,60000,0.2540,0.0168,0.1972,30430,1,154304,0.1972,0.0000,0.2200,33940,2,154304,0.2200,0.0000
6.00,0.5072,17516,0,60000,0.2919,0.0206,0.6834,14155,0,60000,0.2359,0.0208,0.2487,38371,1,154304,0.2487,0.0000,0.2200,33940,2,154304,0.2200,0.0000
6.50,0.6309,16196,0,60000,0.2699,0.0000,0.6834,14155,0,60000,0.2359,0.0208,0.2487,38371,1,154304,0.2487,0.0000,0.2205,34021,1,154304,0.2205,0.0000
7.00,0.6309,16196,0,60000,0.2699,0.0000,0.7516,22816,0,60000,0.3803,0.7091,0.2492,38456,1,154304,0.2492,0.0000,0.2205,34021,1,154304,0.2205,0.0000
7.50,0.6501,14067,0,60000,0.2344,0.0311,0.8199,23697,0,60000,0.3950,0.0000,0.2492,38456,1,154304,0.2492,0.0000,0.1998,30827,1,154304,0.1998,0.0000
8.00,0.6501,14067,0,60000,0.2344,0.0311,0.8881,24590,0,60000,0.4098,0.0168,0.2490,38426,1,154304,0.2490,0.0000,0.1998,30827,1,154304,0.1998,0.0000
8.50,0.7042,13992,0,60000,0.2332,0.9891,0.8881,24590,0,60000,0.4098,0.0168,0.2490,38426,1,154304,0.2490,0.0000,0.2220,34262,1,154304,0.2220,0.0000
9.00,0.7042,13992,0,60000,0.2332,0.9891,0.8881,24590,0,60000,0.4098,0.0168,0.2490,38426,1,154304,0.2490,0.0000,0.2220,34262,1,154304,0.2220,0.0000
9.50,0.7052,3349,0,60000,0.0558,0.9807,0.9848,56239,0,60000,0.9373,0.8608,0.2270,35025,1,154304,0.2270,0.0000,0.2220,34262,1,154304,0.2220,0.0000
10.00,0.7052,3349,0,60000,0.0558,0.9807,0.9848,56239,0,60000,0.9373,0.8608,0.2270,35025,1,154304,0.2270,0.0000,0.2220,34262,1,154304,0.2220,0.0000
10.50,0.7063,3415,0,60000,0.0569,0.9808,0.9904,54801,0,60000,0.9133,0.3362,0.2278,35156,1,154304,0.2278,0.0000,0.2454,37872,1,154304,0.2454,0.0000
11.00,0.7756,4166,0,60000,0.0694,0.0000,0.9904,54801,0,60000,0.9133,0.3362,0.2278,35156,1,154304,0.2278,0.0000,0.2454,37872,1,154304,0.2454,0.0000
11.50,0.7756,4166,0,60000,0.0694,0.0000,0.9327,55314,0,60000,0.9219,0.9808,0.2284,35243,2,154304,0.2284,0.0000,0.2463,38011,1,154304,0.2463,0.0000
12.00,0.7859,8193,0,60000,0.1366,0.9870,0.9386,56317,0,60000,0.9386,0.9884,0.2284,35243,2,154304,0.2284,0.0000,0.2463,38011,1,154304,0.2463,0.0000
12.50,0.7859,8193,0,60000,0.1366,0.9870,0.9943,56319,0,60000,0.9386,0.9779,0.2284,35243,2,154304,0.2284,0.0000,0.2766,42679,3,154304,0.2766,0.0000
13.00,0.7866,4781,0,60000,0.0797,0.9811,0.9586,57496,0,60000,0.9583,0.9870,0.2284,35243,2,154304,0.2284,0.0000,0.2766,42679,3,154304,0.2766,0.0000
13.50,0.8565,8986,0,60000,0.1498,0.0000,0.9765,58587,0,60000,0.9765,0.9841,0.2538,39162,2,154304,0.2538,0.0000,0.2766,42679,3,154304,0.2766,0.0000
14.00,0.8565,8986,0,60000,0.1498,0.0000,0.9686,58116,0,60000,0.9686,0.9485,0.2538,39162,2,154304,0.2538,0.0000,0.2295,35411,1,154304,0.2295,0.0000
14.50,0.8565,8986,0,60000,0.1498,0.0000,0.9686,58116,0,60000,0.9686,0.9485,0.2545,39268,1,154304,0.2545,0.0000,0.2295,35411,1,154304,0.2295,0.0000
15.00,0.8615,7808,0,60000,0.1301,0.9631,0.9179,55075,0,60000,0.9179,0.9849,0.2545,39268,1,154304,0.2545,0.0000,0.1785,27542,1,154304,0.1785,0.0000
15.50,0.8615,7808,0,60000,0.1301,0.9631,0.9876,53933,0,60000,0.8989,0.0168,0.2545,39268,1,154304,0.2545,0.0000,0.1785,27542,1,154304,0.1785,0.0000
16.00,0.8615,7808,0,60000,0.1301,0.9631,0.9671,52747,0,60000,0.8791,0.0168,0.2992,46172,2,154304,0.2992,0.0000,0.1797,27735,1,154304,0.1797,0.0000
16.50,0.8615,7808,0,60000,0.1301,0.9631,0.9474,56843,0,60000,0.9474,0.0000,0.2992,46172,2,154304,0.2992,0.0000,0.1797,27735,1,154304,0.1797,0.0000
17.00,0.9320,4183,0,60000,0.0697,0.0000,0.9735,55120,0,60000,0.9187,0.9846,0.3356,51785,2,154304,0.3356,0.0000,0.1425,21983,1,154304,0.1425,0.0000
17.50,0.8817,9367,0,60000,0.1561,0.0000,0.9735,55120,0,60000,0.9187,0.9846,0.3356,51785,2,154304,0.3356,0.0000,0.1425,21983,1,154304,0.1425,0.0000
18.00,0.8817,9367,0,60000,0.1561,0.0000,0.9735,55120,0,60000,0.9187,0.9846,0.3342,51573,1,154304,0.3342,0.0000,0.1558,24047,2,154304,0.1558,0.0000
18.50,0.9674,17110,0,60000,0.2852,0.8448,0.9735,55120,0,60000,0.9187,0.9846,0.3342,51573,1,154304,0.3342,0.0000,0.1558,24047,2,154304,0.1558,0.0000
19.00,0.9916,18560,0,60000,0.3093,0.0168,0.9528,39582,0,60000,0.6597,0.0000,0.2768,42719,1,154304,0.2768,0.0000,0.1558,24047,2,154304,0.1558,0.0000
19.50,0.9625,22656,0,60000,0.3776,0.5895,0.9050,42626,0,60000,0.7104,0.0000,0.2768,42719,1,154304,0.2768,0.0000,0.2382,36762,1,154304,0.2382,0.0000
20.00,0.9625,22656,0,60000,0.3776,0.5895,0.9050,42626,0,60000,0.7104,0.0000,0.2768,42719,1,154304,0.2768,0.0000,0.2382,36762,1,154304,0.2382,0.0000
20.50,0.9140,26359,0,60000,0.4393,0.0260,0.9242,28160,0,60000,0.4693,0.0248,0.2443,37691,1,154304,0.2443,0.0000,0.2386,36823,3,154304,0.2386,0.0000
21.00,0.9140,26359,0,60000,0.4393,0.0260,0.9925,32256,0,60000,0.5376,0.0000,0.2443,37691,1,154304,0.2443,0.0000,0.2386,36823,3,154304,0.2386,0.0000
21.50,0.9475,25874,0,60000,0.4312,0.0000,0.9660,34484,0,60000,0.5747,0.0000,0.3169,48892,1,154304,0.3169,0.0000,0.1815,28000,2,154304,0.1815,0.0000
22.00,0.9475,25874,0,60000,0.4312,0.0000,0.9660,34484,0,60000,0.5747,0.0000,0.3169,48892,1,154304,0.3169,0.0000,0.1815,28000,2,154304,0.1815,0.0000
22.50,0.9605,18847,0,60000,0.3141,0.0168,0.9814,35791,0,60000,0.5965,0.0000,0.2881,44458,1,154304,0.2881,0.0000,0.2158,33293,2,154304,0.2158,0.0000
23.00,0.8935,22943,0,60000,0.3824,0.0000,0.9814,35791,0,60000,0.5965,0.0000,0.2881,44458,1,154304,0.2881,0.0000,0.2158,33293,2,154304,0.2158,0.0000
23.50,0.9650,28582,0,60000,0.4764,0.0000,0.9560,34690,0,60000,0.5782,0.5983,0.2689,41486,2,154304,0.2689,0.0000,0.2382,36760,1,154304,0.2382,0.0000
24.00,0.9650,28582,0,60000,0.4764,0.0000,0.9441,38432,0,60000,0.6405,0.0208,0.2689,41486,2,154304,0.2689,0.0000,0.2382,36760,1,154304,0.2382,0.0000
24.50,0.9853,23943,0,60000,0.3991,0.0000,0.9260,37159,0,60000,0.6193,0.0208,0.1981,30572,2,154304,0.1981,0.0000,0.3104,47889,1,154304,0.3104,0.0000
25.00,0.9212,30615,0,60000,0.5102,0.6164,0.9611,38263,0,60000,0.6377,0.5864,0.1981,30572,2,154304,0.1981,0.0000,0.3104,47889,1,154304,0.3104,0.0000
25.50,0.9212,30615,0,60000,0.5102,0.6164,0.9611,38263,0,60000,0.6377,0.5864,0.1543,23810,2,154304,0.1543,0.0000,0.3558,54905,1,154304,0.3558,0.0000
26.00,0.9212,30615,0,60000,0.5102,0.6164,0.9202,41954,0,60000,0.6992,0.7691,0.1543,23810,2,154304,0.1543,0.0000,0.3558,54905,1,154304,0.3558,0.0000
26.50,0.9782,24433,0,60000,0.4072,0.9852,0.9347,51988,0,60000,0.8665,0.9378,0.0894,13801,1,154304,0.0894,0.0000,0.4158,64156,2,154304,0.4158,0.0000
27.00,0.9675,19765,0,60000,0.3294,0.0000,0.9347,51988,0,60000,0.8665,0.9378,0.0894,13801,1,154304,0.0894,0.0000,0.4158,64156,2,154304,0.4158,0.0000
27.50,0.9925,24540,0,60000,0.4090,0.9859,0.9416,46858,0,60000,0.7810,0.9858,0.0894,13801,1,154304,0.0894,0.0000,0.4170,64349,2,154304,0.4170,0.0000
28.00,0.9925,24540,0,60000,0.4090,0.9859,0.9416,46858,0,60000,0.7810,0.9858,0.0894,13801,1,154304,0.0894,0.0000,0.4170,64349,2,154304,0.4170,0.0000
28.50,0.9925,24540,0,60000,0.4090,0.9859,0.9645,38883,0,60000,0.6481,0.9645,0.0901,13896,1,154304,0.0901,0.0000,0.4187,64602,4,154304,0.4187,0.0000
29.00,0.9948,6709,0,60000,0.1118,0.0201,0.9678,43812,0,60000,0.7302,0.9867,0.0901,13896,1,154304,0.0901,0.0000,0.4187,64602,4,154304,0.4187,0.0000
29.50,0.9558,10805,0,60000,0.1801,0.0000,0.9447,37588,0,60000,0.6265,0.0000,0.1324,20426,1,154304,0.1324,0.0000,0.4187,64602,4,154304,0.4187,0.0000
30.00,0.9604,9745,0,60000,0.1624,0.0208,0.9699,34752,0,60000,0.5792,0.0208,0.1324,20426,1,154304,0.1324,0.0000,0.3238,49960,2,154304,0.3238,0.0000
30.50,0.9534,17142,0,60000,0.2857,0.4565,0.8897,44394,0,60000,0.7399,0.7844,0.1321,20386,1,154304,0.1321,0.0000,0.3238,49960,2,154304,0.3238,0.0000
31.00,0.9534,17142,0,60000,0.2857,0.4565,0.9155,50585,0,60000,0.8431,0.9830,0.1321,20386,1,154304,0.1321,0.0000,0.3668,56605,1,154304,0.3668,0.0000
31.50,0.9332,15676,0,60000,0.2613,0.0168,0.9169,50667,0,60000,0.8445,0.9912,0.1415,21835,2,154304,0.1415,0.0000,0.3668,56605,1,154304,0.3668,0.0000
