t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0007,5,0,60000,0.0001,0.0015,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0007,5,0,60000,0.0001,0.0015,0.0683,4096,0,60000,0.0683,0.0168,,,,,,,,,,,,
1.50,0.1245,4166,0,60000,0.0694,0.0168,0.1366,8192,0,60000,0.1365,0.0168,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
2.00,0.1245,4166,0,60000,0.0694,0.0168,0.1366,8192,0,60000,0.1365,0.0168,,,,,,,0.7723,32872,2,42565,0.7723,0.0000
2.50,0.2611,12358,0,60000,0.2060,0.0168,0.1366,8192,0,60000,0.1365,0.0168,,,,,,,0.7723,32872,2,42565,0.7723,0.0000
3.00,0.3293,16471,0,60000,0.2745,0.0208,0.3274,11836,0,60000,0.1973,0.0208,,,,,,,0.8208,34936,1,42565,0.8208,0.0000
3.50,0.3976,12140,0,60000,0.2023,0.0000,0.3956,10606,0,60000,0.1768,0.0208,,,,,,,0.8208,34936,1,42565,0.8208,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.3976,12140,0,60000,0.2023,0.0000,0.4639,11457,0,60000,0.1910,0.0248,0.8462,36020,2,42565,0.8462,0.0000,0.8424,35858,1,42565,0.8424,0.0000
4.50,0.4577,18992,0,60000,0.3165,0.9782,0.5322,10326,0,60000,0.1721,0.0208,0.8462,36020,2,42565,0.8462,0.0000,0.8424,35858,1,42565,0.8424,0.0000
5.00,0.4589,13896,0,60000,0.2316,0.9878,0.5322,10326,0,60000,0.1721,0.0208,0.4751,20222,1,42565,0.4751,0.0000,0.8424,35858,1,42565,0.8424,0.0000
5.50,0.4589,13896,0,60000,0.2316,0.9878,0.7730,9050,0,60000,0.1508,0.0168,0.4751,20222,1,42565,0.4751,0.0000,0.8465,36031,1,42565,0.8465,0.0000
6.00,0.4600,5395,0,60000,0.0899,0.9890,0.8412,16382,0,60000,0.2730,0.4543,0.6049,25749,1,42565,0.6049,0.0000,0.8465,36031,1,42565,0.8465,0.0000
6.50,0.4600,5395,0,60000,0.0899,0.9890,0.9095,42953,0,60000,0.7159,0.9196,0.6049,25749,1,42565,0.6049,0.0000,0.8442,35932,1,42565,0.8442,0.0000
7.00,0.5146,3302,0,60000,0.0550,0.9787,0.9095,42953,0,60000,0.7159,0.9196,0.6083,25894,1,42565,0.6083,0.0000,0.8442,35932,1,42565,0.8442,0.0000
7.50,0.5146,3302,0,60000,0.0550,0.9787,0.9207,42358,0,60000,0.7060,0.0168,0.6083,25894,1,42565,0.6083,0.0000,0.8931,38016,1,42565,0.8931,0.0000
8.00,0.5146,3302,0,60000,0.0550,0.9787,0.9889,52935,0,60000,0.8822,0.8335,0.6083,25894,1,42565,0.6083,0.0000,0.8931,38016,1,42565,0.8931,0.0000
8.50,0.5146,3302,0,60000,0.0550,0.9787,0.9889,52935,0,60000,0.8822,0.8335,0.4781,20352,1,42565,0.4781,0.0000,0.8165,34755,1,42565,0.8165,0.0000
9.00,0.5158,5316,0,60000,0.0886,0.9861,0.9889,52935,0,60000,0.8822,0.8335,0.4781,20352,1,42565,0.4781,0.0000,0.8165,34755,1,42565,0.8165,0.0000
9.50,0.5711,8670,0,60000,0.1445,0.0261,0.9700,42038,0,60000,0.7006,0.9833,0.4781,20352,1,42565,0.4781,0.0000,0.8165,34755,1,42565,0.8165,0.0000
10.00,0.5711,8670,0,60000,0.1445,0.0261,0.9700,42038,0,60000,0.7006,0.9833,0.5311,22607,1,42565,0.5311,0.0000,0.8671,36910,1,42565,0.8671,0.0000
10.50,0.6251,6614,0,60000,0.1102,0.9780,0.9716,41379,0,60000,0.6896,0.9816,0.5311,22607,1,42565,0.5311,0.0000,0.8671,36910,1,42565,0.8671,0.0000
11.00,0.7173,17465,0,60000,0.2911,0.9852,0.9737,40360,0,60000,0.6727,0.9873,0.5311,22607,1,42565,0.5311,0.0000,0.8782,37380,3,42565,0.8782,0.0000
11.50,0.8095,23021,0,60000,0.3837,0.9807,0.9469,35867,0,60000,0.5978,0.0000,0.7423,31595,1,42565,0.7423,0.0000,0.8782,37380,3,42565,0.8782,0.0000
12.00,0.8095,23021,0,60000,0.3837,0.9807,0.9469,35867,0,60000,0.5978,0.0000,0.7423,31595,1,42565,0.7423,0.0000,0.8753,37259,2,42565,0.8753,0.0000
12.50,0.8106,14271,0,60000,0.2379,0.9884,0.9479,44919,0,60000,0.7487,0.9883,0.6141,26140,1,42565,0.6141,0.0000,0.8753,37259,2,42565,0.8753,0.0000
13.00,0.8106,14271,0,60000,0.2379,0.9884,0.9272,49078,0,60000,0.8180,0.0000,0.6141,26140,1,42565,0.6141,0.0000,0.7450,31712,1,42565,0.7450,0.0000
13.50,0.8106,14271,0,60000,0.2379,0.9884,0.9492,39647,0,60000,0.6608,0.0168,0.6837,29100,2,42565,0.6837,0.0000,0.7450,31712,1,42565,0.7450,0.0000
14.00,0.8106,14271,0,60000,0.2379,0.9884,0.9083,43743,0,60000,0.7290,0.0208,0.6837,29100,2,42565,0.6837,0.0000,0.8749,37242,2,42565,0.8749,0.0000
14.50,0.9579,3312,0,60000,0.0552,0.9808,0.9765,42557,0,60000,0.7093,0.0000,0.6837,29100,2,42565,0.6837,0.0000,0.8749,37242,2,42565,0.8749,0.0000
15.00,0.9499,17123,0,60000,0.2854,0.9879,0.9783,39832,0,60000,0.6639,0.0000,0.5475,23305,1,42565,0.5475,0.0000,0.7859,33452,1,42565,0.7859,0.0000
15.50,0.9499,17123,0,60000,0.2854,0.9879,0.9783,39832,0,60000,0.6639,0.0000,0.5475,23305,1,42565,0.5475,0.0000,0.7859,33452,1,42565,0.7859,0.0000
16.00,0.9499,17123,0,60000,0.2854,0.9879,0.9744,37344,0,60000,0.6224,0.0000,0.4666,19862,1,42565,0.4666,0.0000,0.7859,33452,1,42565,0.7859,0.0000
16.50,0.9713,5352,0,60000,0.0892,0.9840,0.9601,33176,0,60000,0.5529,0.9870,0.4666,19862,1,42565,0.4666,0.0000,0.8829,37581,2,42565,0.8829,0.0000
17.00,0.9728,17048,0,60000,0.2841,0.9850,0.9214,38889,0,60000,0.6482,0.0168,0.4666,19862,1,42565,0.4666,0.0000,0.8829,37581,2,42565,0.8829,0.0000
17.50,0.9728,17048,0,60000,0.2841,0.9850,0.9897,42985,0,60000,0.7164,0.0000,0.4666,19862,1,42565,0.4666,0.0000,0.8829,37581,2,42565,0.8829,0.0000
18.00,0.9758,7933,0,60000,0.1322,0.9849,0.9897,42985,0,60000,0.7164,0.0000,0.5849,24896,1,42565,0.5849,0.0000,0.8604,36624,2,42565,0.8604,0.0000
18.50,0.8945,16748,0,60000,0.2791,0.9911,0.9972,39200,0,60000,0.6533,0.9876,0.5849,24896,1,42565,0.5849,0.0000,0.8604,36624,2,42565,0.8604,0.0000
19.00,0.8945,16748,0,60000,0.2791,0.9911,0.9981,38279,0,60000,0.6380,0.9895,0.6792,28912,1,42565,0.6792,0.0000,0.8849,37665,1,42565,0.8849,0.0000
19.50,0.8945,16748,0,60000,0.2791,0.9911,0.9981,38279,0,60000,0.6380,0.9895,0.6792,28912,1,42565,0.6792,0.0000,0.8849,37665,1,42565,0.8849,0.0000
20.00,0.9815,9929,0,60000,0.1655,0.0265,0.9950,37106,0,60000,0.6184,0.0000,0.6792,28912,1,42565,0.6792,0.0000,0.8606,36632,1,42565,0.8606,0.0000
20.50,0.9221,12564,0,60000,0.2094,0.7788,0.9950,37106,0,60000,0.6184,0.0000,0.4286,18244,3,42565,0.4286,0.0000,0.8606,36632,1,42565,0.8606,0.0000
21.00,0.9469,15283,0,60000,0.2547,0.5804,0.9950,37106,0,60000,0.6184,0.0000,0.4286,18244,3,42565,0.4286,0.0000,0.8804,37476,2,42565,0.8804,0.0000
21.50,0.9469,15283,0,60000,0.2547,0.5804,0.9950,37106,0,60000,0.6184,0.0000,0.5820,24773,2,42565,0.5820,0.0000,0.8804,37476,2,42565,0.8804,0.0000
22.00,0.9469,15283,0,60000,0.2547,0.5804,0.9452,13397,0,60000,0.2233,0.0260,0.5820,24773,2,42565,0.5820,0.0000,0.8687,36978,3,42565,0.8687,0.0000
22.50,0.9469,15283,0,60000,0.2547,0.5804,0.9925,21622,0,60000,0.3604,0.9159,0.5820,24773,2,42565,0.5820,0.0000,0.8687,36978,3,42565,0.8687,0.0000
23.00,0.9842,15448,0,60000,0.2575,0.9849,0.9346,27309,0,60000,0.4551,0.9879,0.5454,23216,1,42565,0.5454,0.0000,0.8554,36411,2,42565,0.8554,0.0000
23.50,0.9500,20061,0,60000,0.3343,0.9899,0.9514,48141,0,60000,0.8024,0.8870,0.5454,23216,1,42565,0.5454,0.0000,0.8554,36411,2,42565,0.8554,0.0000
24.00,0.9500,20061,0,60000,0.3343,0.9899,0.9514,48141,0,60000,0.8024,0.8870,0.5454,23216,1,42565,0.5454,0.0000,0.8554,36411,2,42565,0.8554,0.0000
24.50,0.9500,20061,0,60000,0.3343,0.9899,0.9533,48209,0,60000,0.8035,0.9858,0.7640,32518,3,42565,0.7640,0.0000,0.8208,34939,1,42565,0.8208,0.0000
25.00,0.9254,4183,0,60000,0.0697,0.0168,0.9353,51533,0,60000,0.8589,0.9902,0.7640,32518,3,42565,0.7640,0.0000,0.8208,34939,1,42565,0.8208,0.0000
25.50,0.9254,4183,0,60000,0.0697,0.0168,0.9353,51533,0,60000,0.8589,0.9902,0.8384,35686,2,42565,0.8384,0.0000,0.8208,34939,1,42565,0.8208,0.0000
26.00,0.9937,12870,0,60000,0.2145,0.6142,0.9358,46433,0,60000,0.7739,0.9892,0.8384,35686,2,42565,0.8384,0.0000,0.7644,32538,1,42565,0.7644,0.0000
26.50,0.9937,12870,0,60000,0.2145,0.6142,0.9358,46433,0,60000,0.7739,0.9892,0.8276,35226,1,42565,0.8276,0.0000,0.7644,32538,1,42565,0.7644,0.0000
27.00,0.9193,19894,0,60000,0.3316,0.0208,0.9358,46433,0,60000,0.7739,0.9892,0.8276,35226,1,42565,0.8276,0.0000,0.7878,33534,1,42565,0.7878,0.0000
27.50,0.9876,18432,0,60000,0.3072,0.0000,0.9358,46433,0,60000,0.7739,0.9892,0.8276,35226,1,42565,0.8276,0.0000,0.7878,33534,1,42565,0.7878,0.0000
28.00,0.9876,18432,0,60000,0.3072,0.0000,0.9388,32197,0,60000,0.5366,0.9869,0.8557,36422,1,42565,0.8557,0.0000,0.6598,28084,2,42565,0.6598,0.0000
28.50,0.8660,23162,0,60000,0.3860,0.9885,0.8722,32278,0,60000,0.5380,0.9886,0.8557,36422,1,42565,0.8557,0.0000,0.6598,28084,2,42565,0.6598,0.0000
29.00,0.8660,23162,0,60000,0.3860,0.9885,0.8722,32278,0,60000,0.5380,0.9886,0.8557,36422,1,42565,0.8557,0.0000,0.6042,25717,2,42565,0.6042,0.0000
29.50,0.9215,21851,0,60000,0.3642,0.9820,0.8728,29023,0,60000,0.4837,0.9857,0.8540,36349,2,42565,0.8540,0.0000,0.6042,25717,2,42565,0.6042,0.0000
30.00,0.9215,21851,0,60000,0.3642,0.9820,0.8728,29023,0,60000,0.4837,0.9857,0.7754,33003,3,42565,0.7754,0.0000,0.5528,23532,2,42565,0.5528,0.0000
30.50,0.9226,17602,0,60000,0.2934,0.9856,0.9680,30127,0,60000,0.5021,0.9907,0.7754,33003,3,42565,0.7754,0.0000,0.5528,23532,2,42565,0.5528,0.0000
31.00,0.8725,24578,0,60000,0.4096,0.9827,0.9680,30127,0,60000,0.5021,0.9907,0.7754,33003,3,42565,0.7754,0.0000,0.5528,23532,2,42565,0.5528,0.0000
