elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,124312.0,25385.0,36733.0,25461.0,36733.0,84822.7,73824.7,32114.6,30917.1,0.0,18803.8,4.5,34028.2,19814.6,37008.2,57414.8,89833.4,128652.3,103626.4,148
1.1,124424.0,25385.0,36733.0,25573.0,36733.0,84868.7,73859.5,32149.4,30951.9,0.0,18804.2,4.5,34101.9,19815.1,37082.7,57489.8,89758.9,128652.3,103672.9,148
2.3,124428.0,25387.0,36735.0,25573.0,36733.0,84942.9,73917.3,32223.5,31009.7,0.0,19234.0,4.5,34152.9,20245.0,37398.1,58235.1,89443.5,128652.3,104176.9,148
3.5,124428.0,25387.0,36735.0,25573.0,36733.0,84948.3,73922.5,32228.7,31014.9,0.0,20123.4,4.5,34193.8,21135.6,37193.4,58922.8,89646.4,128652.3,105071.7,148
4.7,124470.0,25387.0,36755.0,25573.0,36755.0,84973.3,73947.4,32253.7,31039.9,0.0,21366.8,4.5,34218.5,22386.3,37210.9,60191.1,89628.9,128652.3,106340.1,148
6.0,124470.0,25387.0,36755.0,25573.0,36755.0,84980.2,73953.9,32260.2,31046.3,0.0,22369.8,4.5,34225.8,23399.9,37230.2,61223.9,89609.6,128652.3,107350.0,148
7.2,124474.0,25387.0,36755.0,25577.0,36755.0,84985.6,73959.3,32265.6,31051.7,0.0,23511.9,4.5,34232.2,24555.1,37231.3,62380.2,89608.4,128652.3,108497.5,148
8.4,124474.0,25387.0,36755.0,25577.0,36755.0,85007.7,73965.4,32287.7,31057.8,0.0,24571.0,4.5,34237.5,25626.1,37257.7,63477.6,89582.1,128652.3,109578.8,148
9.6,124476.0,25389.0,36755.0,25577.0,36755.0,85024.2,73981.9,32304.1,31074.3,0.0,25652.9,4.5,34272.3,26720.9,37294.3,64609.1,89545.4,128652.3,110677.1,148
10.8,124476.0,25389.0,36755.0,25577.0,36755.0,85030.5,73988.1,32310.4,31080.6,0.0,26516.8,8376.1,34261.0,27594.6,37277.8,65466.3,89561.9,128652.3,111547.3,148
12.3,124480.0,25389.0,36759.0,25577.0,36755.0,85055.4,74009.8,32335.3,31102.2,0.0,27303.8,8376.1,34279.7,28390.3,37463.0,66447.2,89376.7,128652.3,112359.2,148
13.7,124480.0,25389.0,36759.0,25577.0,36755.0,85103.3,74051.0,32376.6,31143.4,0.0,28178.6,8376.1,34349.5,29276.3,37358.6,67228.8,89481.1,128652.3,113281.9,148
14.9,124480.0,25389.0,36759.0,25577.0,36755.0,85118.8,74066.5,32392.1,31158.9,0.0,28684.9,8376.1,34336.1,29788.3,37368.4,67750.7,89471.2,128652.3,113803.7,148
