elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,151146.0,30242.0,45562.0,29780.0,45562.0,67812.1,56085.0,15097.3,13165.9,0.0,18390.6,0.0,16306.4,19460.8,19731.6,39862.8,107031.6,128652.3,86202.7,148
1.0,150714.0,30242.0,45626.0,29220.0,45626.0,67834.3,56102.2,15114.5,13183.1,0.0,18390.9,0.0,16352.7,19460.8,19777.3,39908.4,106985.9,128652.3,86225.2,148
2.1,151250.0,30292.0,45638.0,29758.0,45562.0,68106.6,56143.0,15386.8,13223.9,0.0,18390.9,0.0,16369.3,19460.8,19867.0,39998.1,106896.3,128652.3,86497.5,148
3.1,151274.0,30304.0,45650.0,29758.0,45562.0,68133.4,56169.4,15413.4,13250.3,0.0,18390.9,0.0,16410.1,19460.8,20091.2,40222.3,106672.0,128652.3,86524.3,148
4.2,151294.0,30304.0,45670.0,29758.0,45562.0,68145.7,56175.0,15419.4,13255.9,0.0,18391.0,0.0,16427.6,19461.1,20144.4,40275.9,106618.8,128652.3,86536.7,148
5.2,151332.0,30304.0,45670.0,29760.0,45598.0,68149.1,56177.9,15422.4,13258.9,0.0,18391.9,0.0,16432.4,19462.2,20140.8,40273.4,106622.4,128652.3,86541.0,148
6.3,151388.0,30304.0,45670.0,29760.0,45654.0,68153.6,56182.2,15426.8,13263.2,0.0,18391.9,0.0,16436.8,19462.4,20149.6,40282.4,106613.6,128652.3,86545.5,148
7.4,151388.0,30304.0,45670.0,29760.0,45654.0,68159.3,56187.9,15432.4,13268.8,0.0,18392.0,0.0,16440.5,19462.4,20157.7,40290.4,106605.5,128652.3,86551.3,148
8.4,151420.0,30316.0,45670.0,29780.0,45654.0,68162.9,56191.4,15435.9,13272.3,0.0,18392.0,0.0,16447.3,19462.2,20165.9,40298.5,106597.3,128652.3,86554.9,148
9.5,151422.0,30318.0,45670.0,29780.0,45654.0,68218.2,56239.7,15491.1,13320.6,0.0,18392.0,0.0,16496.4,19461.6,20215.6,40347.6,106547.6,128652.3,86610.2,148
10.6,151424.0,30320.0,45670.0,29780.0,45654.0,68282.1,56296.6,15548.1,13377.5,0.0,18392.0,0.0,16549.9,19461.4,20273.5,40405.3,106489.7,128652.3,86674.1,148
11.7,151428.0,30320.0,45672.0,29780.0,45656.0,68286.1,56300.7,15552.1,13381.6,0.0,18392.1,0.0,16553.9,19461.7,20335.0,40467.1,106428.2,128652.3,86678.2,148
12.7,151428.0,30320.0,45672.0,29780.0,45656.0,68286.2,56300.8,15552.3,13381.7,0.0,18392.1,0.0,16558.1,19462.7,20285.7,40418.8,106477.5,128652.3,86678.4,148
13.8,151428.0,30320.0,45672.0,29780.0,45656.0,68298.4,56313.0,15564.5,13393.9,0.0,18392.1,0.0,16569.6,19462.4,20286.1,40418.9,106478.1,128652.3,86690.6,148
14.9,151428.0,30320.0,45672.0,29780.0,45656.0,68299.8,56314.4,15565.9,13395.3,0.0,18392.1,0.0,16571.3,19461.9,20273.5,40405.8,106489.7,128652.3,86692.0,148
15.9,151430.0,30320.0,45672.0,29780.0,45658.0,68306.4,56320.9,15572.4,13401.9,0.0,18392.2,0.0,16577.7,19462.2,20283.2,40415.8,106480.0,128652.3,86698.6,148
17.0,151430.0,30320.0,45672.0,29780.0,45658.0,68326.6,56337.8,15589.3,13418.7,0.0,18392.2,0.0,16595.2,19462.5,20309.7,40442.6,106453.5,128652.3,86718.8,148
18.1,151430.0,30320.0,45672.0,29780.0,45658.0,68335.7,56346.9,15598.4,13427.8,0.0,18392.2,0.0,16600.0,19462.3,20305.8,40438.5,106457.4,128652.3,86727.9,148
19.2,151432.0,30320.0,45672.0,29782.0,45658.0,68336.4,56347.6,15599.1,13428.5,0.0,18392.2,0.0,16605.3,19462.5,20311.0,40444.0,106452.2,128652.3,86728.6,148
20.3,151432.0,30320.0,45672.0,29782.0,45658.0,68344.8,56352.7,15604.2,13433.6,0.0,18392.2,0.0,16610.2,19462.5,20329.4,40462.3,106433.8,128652.3,86737.0,148
21.3,151432.0,30320.0,45672.0,29782.0,45658.0,68362.8,56370.7,15622.1,13451.6,0.0,18392.3,0.0,16611.3,19462.1,20311.1,40443.6,106452.1,128652.3,86755.0,148
