t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0689,4101,0,60000,0.0683,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.1458,8714,0,60000,0.1452,0.0168,0.1229,7366,0,60000,0.1228,0.0208,,,,,,,,,,,,
1.50,0.1458,8714,0,60000,0.1452,0.0168,0.1229,7366,0,60000,0.1228,0.0208,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
2.00,0.1458,8714,0,60000,0.1452,0.0168,0.2594,12322,0,60000,0.2054,0.0000,0.2799,43197,1,154304,0.2799,0.0000,0.1848,28511,1,154304,0.1848,0.0000
2.50,0.2824,12358,0,60000,0.2060,0.0168,0.3276,16418,0,60000,0.2736,0.0168,0.2799,43197,1,154304,0.2799,0.0000,0.1848,28511,1,154304,0.1848,0.0000
3.00,0.3506,16454,0,60000,0.2742,0.0208,0.3276,16418,0,60000,0.2736,0.0168,0.2799,43197,1,154304,0.2799,0.0000,0.1848,28511,1,154304,0.1848,0.0000
3.50,0.3506,16454,0,60000,0.2742,0.0208,0.4181,19872,0,60000,0.3312,0.5411,0.2799,43197,1,154304,0.2799,0.0000,0.1848,28511,1,154304,0.1848,0.0000
4.00,0.4189,15224,0,60000,0.2537,0.0168,0.4864,29178,0,60000,0.4863,0.7874,0.2799,43197,1,154304,0.2799,0.0000,0.1848,28511,1,154304,0.1848,0.0000
4.50,0.4872,14093,0,60000,0.2349,0.0208,0.4864,29178,0,60000,0.4863,0.7874,0.1554,23986,1,154304,0.1554,0.0000,0.1848,28511,1,154304,0.1848,0.0000
5.00,0.4872,14093,0,60000,0.2349,0.0208,0.4864,29178,0,60000,0.4863,0.7874,0.1554,23986,1,154304,0.1554,0.0000,0.3117,48095,1,154304,0.3117,0.0000
5.50,0.5554,13008,0,60000,0.2168,0.0000,0.4864,29178,0,60000,0.4863,0.7874,0.1558,24035,2,154304,0.1558,0.0000,0.3117,48095,1,154304,0.3117,0.0000
6.00,0.6237,13842,0,60000,0.2307,0.0168,0.5398,16172,0,60000,0.2695,0.9873,0.1558,24035,2,154304,0.1558,0.0000,0.3270,50463,2,154304,0.3270,0.0000
6.50,0.6237,13842,0,60000,0.2307,0.0168,0.5407,19510,0,60000,0.3252,0.9880,0.1134,17494,1,154304,0.1134,0.0000,0.3270,50463,2,154304,0.3270,0.0000
7.00,0.6920,23136,0,60000,0.3856,0.7247,0.6097,15124,0,60000,0.2521,0.0000,0.1134,17494,1,154304,0.1134,0.0000,0.3209,49520,3,154304,0.3209,0.0000
7.50,0.7602,32429,0,60000,0.5405,0.6796,0.6318,18657,0,60000,0.3110,0.9808,0.2157,33282,1,154304,0.2157,0.0000,0.3209,49520,3,154304,0.3209,0.0000
8.00,0.8285,39771,0,60000,0.6629,0.4538,0.6361,22259,0,60000,0.3710,0.9873,0.2157,33282,1,154304,0.2157,0.0000,0.2568,39630,1,154304,0.2568,0.0000
8.50,0.8285,39771,0,60000,0.6629,0.4538,0.6369,26659,0,60000,0.4443,0.9849,0.2451,37818,1,154304,0.2451,0.0000,0.2568,39630,1,154304,0.2568,0.0000
9.00,0.8968,49222,0,60000,0.8204,0.8832,0.7063,13935,0,60000,0.2323,0.0000,0.2451,37818,1,154304,0.2451,0.0000,0.2568,39630,1,154304,0.2568,0.0000
9.50,0.8968,49222,0,60000,0.8204,0.8832,0.7063,13935,0,60000,0.2323,0.0000,0.3181,49082,1,154304,0.3181,0.0000,0.1914,29530,1,154304,0.1914,0.0000
10.00,0.9889,43943,0,60000,0.7324,0.0000,0.7304,20146,0,60000,0.3358,0.5482,0.3181,49082,1,154304,0.3181,0.0000,0.1914,29530,1,154304,0.1914,0.0000
10.50,0.9943,44264,0,60000,0.7377,0.9861,0.7987,18897,0,60000,0.3150,0.0000,0.3181,49082,1,154304,0.3181,0.0000,0.1914,29530,1,154304,0.1914,0.0000
11.00,0.9955,44339,0,60000,0.7390,0.9808,0.8670,18569,0,60000,0.3095,0.0000,0.3606,55635,2,154304,0.3606,0.0000,0.1914,29530,1,154304,0.1914,0.0000
11.50,0.9885,43296,0,60000,0.7216,0.0000,0.8762,24469,0,60000,0.4078,0.9910,0.3606,55635,2,154304,0.3606,0.0000,0.1510,23302,2,154304,0.1510,0.0000
12.00,0.9885,43296,0,60000,0.7216,0.0000,0.8770,14153,0,60000,0.2359,0.9808,0.3540,54624,3,154304,0.3540,0.0000,0.1510,23302,2,154304,0.1510,0.0000
12.50,0.9952,37231,0,60000,0.6205,0.9684,0.8789,14266,0,60000,0.2378,0.0168,0.3540,54624,3,154304,0.3540,0.0000,0.1298,20029,2,154304,0.1298,0.0000
13.00,0.9772,41507,0,60000,0.6918,0.0000,0.9472,18362,0,60000,0.3060,0.0000,0.3540,54624,3,154304,0.3540,0.0000,0.1298,20029,2,154304,0.1298,0.0000
13.50,0.9686,46105,0,60000,0.7684,0.9506,0.9618,15080,0,60000,0.2513,0.0000,0.3184,49129,5,154304,0.3184,0.0000,0.1740,26848,1,154304,0.1740,0.0000
14.00,0.9755,41072,0,60000,0.6845,0.0252,0.9618,15080,0,60000,0.2513,0.0000,0.3184,49129,5,154304,0.3184,0.0000,0.1740,26848,1,154304,0.1740,0.0000
14.50,0.9722,47495,0,60000,0.7916,0.7508,0.9618,15080,0,60000,0.2513,0.0000,0.3158,48736,3,154304,0.3158,0.0000,0.1744,26906,2,154304,0.1744,0.0000
15.00,0.9685,52574,0,60000,0.8762,0.5241,0.9311,4180,0,60000,0.0697,0.0000,0.3158,48736,3,154304,0.3158,0.0000,0.1744,26906,2,154304,0.1744,0.0000
15.50,0.9685,52574,0,60000,0.8762,0.5241,0.9311,4180,0,60000,0.0697,0.0000,0.3399,52448,1,154304,0.3399,0.0000,0.1450,22376,1,154304,0.1450,0.0000
16.00,0.9618,51344,0,60000,0.8557,0.0248,0.9311,4180,0,60000,0.0697,0.0000,0.3399,52448,1,154304,0.3399,0.0000,0.1450,22376,1,154304,0.1450,0.0000
16.50,0.9240,50119,0,60000,0.8353,0.6647,0.9311,4180,0,60000,0.0697,0.0000,0.3638,56129,2,154304,0.3638,0.0000,0.1083,16718,2,154304,0.1083,0.0000
17.00,0.9719,45379,0,60000,0.7563,0.0369,0.9293,4166,0,60000,0.0694,0.0000,0.3638,56129,2,154304,0.3638,0.0000,0.1083,16718,2,154304,0.1083,0.0000
17.50,0.9470,51504,0,60000,0.8584,0.0000,0.9326,4380,0,60000,0.0730,0.0260,0.3638,56129,2,154304,0.3638,0.0000,0.0804,12402,1,154304,0.0804,0.0000
18.00,0.9267,55600,0,60000,0.9267,0.9039,0.9853,15502,0,60000,0.2584,0.9721,0.3840,59248,1,154304,0.3840,0.0000,0.0804,12402,1,154304,0.0804,0.0000
18.50,0.9267,55600,0,60000,0.9267,0.9039,0.9883,15552,0,60000,0.2592,0.0000,0.3840,59248,1,154304,0.3840,0.0000,0.0804,12402,1,154304,0.0804,0.0000
19.00,0.9936,47711,0,60000,0.7952,0.8908,0.9883,15552,0,60000,0.2592,0.0000,0.4187,64611,2,154304,0.4187,0.0000,0.0666,10283,1,154304,0.0666,0.0000
19.50,0.9936,47711,0,60000,0.7952,0.8908,0.9399,5633,0,60000,0.0939,0.0199,0.4187,64611,2,154304,0.4187,0.0000,0.0666,10283,1,154304,0.0666,0.0000
20.00,0.9463,53382,0,60000,0.8897,0.6133,0.9974,8170,0,60000,0.1362,0.9827,0.4181,64510,1,154304,0.4181,0.0000,0.0666,10283,1,154304,0.0666,0.0000
20.50,0.9374,55343,0,60000,0.9224,0.0000,0.9988,8253,0,60000,0.1376,0.0212,0.4181,64510,1,154304,0.4181,0.0000,0.0672,10376,1,154304,0.0672,0.0000
21.00,0.9374,55343,0,60000,0.9224,0.0000,0.9264,12161,0,60000,0.2027,0.0000,0.4181,64510,1,154304,0.4181,0.0000,0.0672,10376,1,154304,0.0672,0.0000
21.50,0.9346,56079,0,60000,0.9346,0.9690,0.9264,12161,0,60000,0.2027,0.0000,0.4189,64643,2,154304,0.4189,0.0000,0.0672,10376,1,154304,0.0672,0.0000
22.00,0.9290,55742,0,60000,0.9290,0.0000,0.8828,9601,0,60000,0.1600,0.0000,0.4189,64643,2,154304,0.4189,0.0000,0.0672,10376,1,154304,0.0672,0.0000
22.50,0.9386,55416,0,60000,0.9236,0.9874,0.8890,13203,0,60000,0.2200,0.9857,0.4221,65127,2,154304,0.4221,0.0000,0.0672,10376,1,154304,0.0672,0.0000
23.00,0.9267,55585,0,60000,0.9264,0.9746,0.8890,13203,0,60000,0.2200,0.9857,0.4221,65127,2,154304,0.4221,0.0000,0.0661,10194,1,154304,0.0661,0.0000
23.50,0.9973,54133,0,60000,0.9022,0.0000,0.8890,13203,0,60000,0.2200,0.9857,0.4237,65386,2,154304,0.4237,0.0000,0.0661,10194,1,154304,0.0661,0.0000
24.00,0.9973,54133,0,60000,0.9022,0.0000,0.8890,13203,0,60000,0.2200,0.9857,0.4237,65386,2,154304,0.4237,0.0000,0.0661,10194,1,154304,0.0661,0.0000
24.50,0.9379,56277,0,60000,0.9379,0.0000,0.8890,13203,0,60000,0.2200,0.9857,0.3866,59659,1,154304,0.3866,0.0000,0.0661,10194,1,154304,0.0661,0.0000
25.00,0.9623,52337,0,60000,0.8723,0.0208,0.8890,13203,0,60000,0.2200,0.9857,0.3866,59659,1,154304,0.3866,0.0000,0.0661,10194,1,154304,0.0661,0.0000
25.50,0.9405,56433,0,60000,0.9405,0.0000,0.8890,13203,0,60000,0.2200,0.9857,0.3298,50887,1,154304,0.3298,0.0000,0.0661,10194,1,154304,0.0661,0.0000
26.00,0.9763,54062,0,60000,0.9010,0.2474,0.8890,13203,0,60000,0.2200,0.9857,0.3298,50887,1,154304,0.3298,0.0000,0.0661,10194,1,154304,0.0661,0.0000
26.50,0.9763,54062,0,60000,0.9010,0.2474,0.9581,4201,0,60000,0.0700,0.0000,0.3298,50887,1,154304,0.3298,0.0000,0.1604,24758,1,154304,0.1604,0.0000
27.00,0.9957,59743,0,60000,0.9957,0.0000,0.9581,4201,0,60000,0.0700,0.0000,0.3307,51024,1,154304,0.3307,0.0000,0.1604,24758,1,154304,0.1604,0.0000
27.50,0.9957,59743,0,60000,0.9957,0.0000,0.9581,4201,0,60000,0.0700,0.0000,0.3307,51024,1,154304,0.3307,0.0000,0.1607,24798,1,154304,0.1607,0.0000
28.00,0.9813,53401,0,60000,0.8900,0.0000,0.9581,4201,0,60000,0.0700,0.0000,0.3307,51024,1,154304,0.3307,0.0000,0.1607,24798,1,154304,0.1607,0.0000
28.50,0.9813,53401,0,60000,0.8900,0.0000,0.9581,4201,0,60000,0.0700,0.0000,0.3395,52393,1,154304,0.3395,0.0000,0.1612,24874,2,154304,0.1612,0.0000
29.00,0.9818,58907,0,60000,0.9818,0.9682,0.9581,4201,0,60000,0.0700,0.0000,0.3395,52393,1,154304,0.3395,0.0000,0.1612,24874,2,154304,0.1612,0.0000
29.50,0.9842,59053,0,60000,0.9842,0.9876,0.9324,4183,0,60000,0.0697,0.0000,0.3395,52393,1,154304,0.3395,0.0000,0.1612,24874,2,154304,0.1612,0.0000
30.00,0.9842,59053,0,60000,0.9842,0.9876,0.9324,4183,0,60000,0.0697,0.0000,0.3547,54724,1,154304,0.3547,0.0000,0.1453,22418,1,154304,0.1453,0.0000
30.50,0.9688,57936,0,60000,0.9656,0.9919,0.9324,4183,0,60000,0.0697,0.0000,0.3547,54724,1,154304,0.3547,0.0000,0.1453,22418,1,154304,0.1453,0.0000
31.00,0.9487,56924,0,60000,0.9487,0.9858,0.9391,4200,0,60000,0.0700,0.0000,0.2945,45440,1,154304,0.2945,0.0000,0.1831,28247,2,154304,0.1831,0.0000
