t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0563,3340,0,60000,0.0557,0.0012,,,,,,,,,,,,
1.00,0.0559,3349,0,60000,0.0558,0.0000,0.0563,3340,0,60000,0.0557,0.0012,,,,,,,,,,,,
1.50,0.0559,3349,0,60000,0.0558,0.0000,0.0563,3340,0,60000,0.0557,0.0012,,,,,,,,,,,,
2.00,0.1230,4096,0,60000,0.0683,0.0168,0.1235,7371,0,60000,0.1229,0.0168,,,,,,,,,,,,
2.50,0.2595,12288,0,60000,0.2048,0.0208,0.2600,15563,0,60000,0.2594,0.0208,,,,,,,,,,,,
3.00,0.2595,12288,0,60000,0.2048,0.0208,0.3282,11858,0,60000,0.1976,0.0208,,,,,,,,,,,,
3.50,0.4578,11092,0,60000,0.1849,0.0248,0.3282,11858,0,60000,0.1976,0.0208,,,,,,,,,,,,
4.00,0.5261,15188,0,60000,0.2531,0.0168,0.3965,10773,0,60000,0.1795,0.0208,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
4.50,0.5944,14074,0,60000,0.2346,0.0168,0.4648,9642,0,60000,0.1607,0.0168,0.2028,31286,2,154304,0.2028,0.0000,,,,,,
5.00,0.8361,41588,0,60000,0.6931,0.8869,0.5331,10523,0,60000,0.1754,0.0000,0.2028,31286,2,154304,0.2028,0.0000,,,,,,
5.50,0.8937,48264,0,60000,0.8044,0.9851,0.5911,14063,0,60000,0.2344,0.9781,0.1904,29376,1,154304,0.1904,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
6.00,0.8937,48264,0,60000,0.8044,0.9851,0.5911,14063,0,60000,0.2344,0.9781,0.1904,29376,1,154304,0.1904,0.0000,0.2989,46116,1,154304,0.2989,0.0000
6.50,0.9653,57920,0,60000,0.9653,0.0000,0.5924,8846,0,60000,0.1474,0.0311,0.1904,29376,1,154304,0.1904,0.0000,0.2989,46116,1,154304,0.2989,0.0000
7.00,0.9917,59504,0,60000,0.9917,0.9862,0.5924,8846,0,60000,0.1474,0.0311,0.1476,22779,2,154304,0.1476,0.0000,0.2989,46116,1,154304,0.2989,0.0000
7.50,0.9896,56068,0,60000,0.9345,0.0000,0.6465,3376,0,60000,0.0563,0.9769,0.1476,22779,2,154304,0.1476,0.0000,0.2989,46116,1,154304,0.2989,0.0000
8.00,0.9896,56068,0,60000,0.9345,0.0000,0.6478,3349,0,60000,0.0558,0.9812,0.1506,23238,1,154304,0.1506,0.0000,0.3200,49382,3,154304,0.3200,0.0000
8.50,0.9530,53893,0,60000,0.8982,0.0261,0.7205,7713,0,60000,0.1285,0.9873,0.1506,23238,1,154304,0.1506,0.0000,0.3200,49382,3,154304,0.3200,0.0000
9.00,0.9530,53893,0,60000,0.8982,0.0261,0.7897,8522,0,60000,0.1420,0.0000,0.1506,23238,1,154304,0.1506,0.0000,0.3490,53850,2,154304,0.3490,0.0000
9.50,0.9530,53893,0,60000,0.8982,0.0261,0.7956,12337,0,60000,0.2056,0.9873,0.1506,23238,1,154304,0.1506,0.0000,0.3490,53850,2,154304,0.3490,0.0000
10.00,0.9311,45341,0,60000,0.7557,0.9807,0.7996,22158,0,60000,0.3693,0.9820,0.2396,36970,1,154304,0.2396,0.0000,0.2971,45851,2,154304,0.2971,0.0000
10.50,0.9322,45417,0,60000,0.7570,0.9839,0.7996,22158,0,60000,0.3693,0.9820,0.2396,36970,1,154304,0.2396,0.0000,0.2971,45851,2,154304,0.2971,0.0000
11.00,0.9322,45417,0,60000,0.7570,0.9839,0.8036,18899,0,60000,0.3150,0.9861,0.1744,26912,1,154304,0.1744,0.0000,0.2752,42460,3,154304,0.2752,0.0000
11.50,0.9322,45417,0,60000,0.7570,0.9839,0.8731,23070,0,60000,0.3845,0.0000,0.1744,26912,1,154304,0.1744,0.0000,0.2752,42460,3,154304,0.2752,0.0000
12.00,0.9322,45417,0,60000,0.7570,0.9839,0.9329,34127,0,60000,0.5688,0.9908,0.2998,46268,2,154304,0.2998,0.0000,0.1831,28247,1,154304,0.1831,0.0000
12.50,0.9322,45417,0,60000,0.7570,0.9839,0.9861,40808,0,60000,0.6801,0.9791,0.2998,46268,2,154304,0.2998,0.0000,0.1831,28247,1,154304,0.1831,0.0000
13.00,0.9198,16502,0,60000,0.2750,0.9843,0.9167,41441,0,60000,0.6907,0.0000,0.1817,28041,1,154304,0.1817,0.0000,0.1831,28247,1,154304,0.1831,0.0000
13.50,0.9198,16502,0,60000,0.2750,0.9843,0.9191,36260,0,60000,0.6043,0.0208,0.1817,28041,1,154304,0.1817,0.0000,0.1831,28247,1,154304,0.1831,0.0000
14.00,0.9198,16502,0,60000,0.2750,0.9843,0.9874,49482,0,60000,0.8247,0.8841,0.1817,28041,1,154304,0.1817,0.0000,0.2604,40188,2,154304,0.2604,0.0000
14.50,0.9198,16502,0,60000,0.2750,0.9843,0.9877,53846,0,60000,0.8974,0.9851,0.1824,28142,2,154304,0.1824,0.0000,0.2604,40188,2,154304,0.2604,0.0000
15.00,0.9210,5415,0,60000,0.0902,0.9910,0.9877,53846,0,60000,0.8974,0.9851,0.1824,28142,2,154304,0.1824,0.0000,0.2611,40294,1,154304,0.2611,0.0000
15.50,0.8078,10927,0,60000,0.1821,0.9880,0.9559,51908,0,60000,0.8651,0.9870,0.2186,33737,1,154304,0.2186,0.0000,0.2611,40294,1,154304,0.2611,0.0000
16.00,0.8772,9696,0,60000,0.1616,0.0000,0.9567,43177,0,60000,0.7196,0.9870,0.2186,33737,1,154304,0.2186,0.0000,0.2611,40294,1,154304,0.2611,0.0000
16.50,0.8946,5230,0,60000,0.0872,0.0168,0.9342,47273,0,60000,0.7879,0.0000,0.2307,35592,3,154304,0.2307,0.0000,0.2607,40230,1,154304,0.2607,0.0000
17.00,0.9629,9326,0,60000,0.1554,0.0000,0.8765,45899,0,60000,0.7650,0.0000,0.2307,35592,3,154304,0.2307,0.0000,0.2607,40230,1,154304,0.2607,0.0000
17.50,0.9240,12122,0,60000,0.2020,0.8651,0.8765,45899,0,60000,0.7650,0.0000,0.1813,27972,2,154304,0.1813,0.0000,0.3039,46895,1,154304,0.3039,0.0000
18.00,0.9240,12122,0,60000,0.2020,0.8651,0.9447,40186,0,60000,0.6698,0.0000,0.1813,27972,2,154304,0.1813,0.0000,0.3039,46895,1,154304,0.3039,0.0000
18.50,0.9118,17375,0,60000,0.2896,0.0000,0.9529,41081,0,60000,0.6847,0.9903,0.2100,32408,2,154304,0.2100,0.0000,0.2765,42671,2,154304,0.2765,0.0000
19.00,0.9157,13027,0,60000,0.2171,0.0260,0.9529,41081,0,60000,0.6847,0.9903,0.2100,32408,2,154304,0.2100,0.0000,0.2765,42671,2,154304,0.2765,0.0000
19.50,0.9700,12164,0,60000,0.2027,0.9899,0.9546,37073,0,60000,0.6179,0.0250,0.2100,32408,2,154304,0.2100,0.0000,0.3029,46736,2,154304,0.3029,0.0000
20.00,0.9510,16324,0,60000,0.2721,0.0000,0.9113,41169,0,60000,0.6862,0.0000,0.1684,25988,2,154304,0.1684,0.0000,0.3029,46736,2,154304,0.3029,0.0000
20.50,0.9752,22153,0,60000,0.3692,0.9816,0.9113,41169,0,60000,0.6862,0.0000,0.1684,25988,2,154304,0.1684,0.0000,0.2978,45947,2,154304,0.2978,0.0000
21.00,0.9779,23639,0,60000,0.3940,0.5908,0.9198,37106,0,60000,0.6184,0.9882,0.1676,25868,2,154304,0.1676,0.0000,0.2978,45947,2,154304,0.2978,0.0000
21.50,0.9152,31017,0,60000,0.5170,0.0000,0.9207,31843,0,60000,0.5307,0.0257,0.1676,25868,2,154304,0.1676,0.0000,0.2760,42581,1,154304,0.2760,0.0000
22.00,0.9152,31017,0,60000,0.5170,0.0000,0.9753,41897,0,60000,0.6983,0.9852,0.1676,25868,2,154304,0.1676,0.0000,0.2760,42581,1,154304,0.2760,0.0000
22.50,0.9360,22125,0,60000,0.3688,0.0262,0.9753,41897,0,60000,0.6983,0.9852,0.1676,25868,2,154304,0.1676,0.0000,0.2402,37066,3,154304,0.2402,0.0000
23.00,0.9360,22125,0,60000,0.3688,0.0262,0.9621,42043,0,60000,0.7007,0.9905,0.2030,31319,1,154304,0.2030,0.0000,0.2402,37066,3,154304,0.2402,0.0000
23.50,0.9683,17413,0,60000,0.2902,0.0000,0.9621,42043,0,60000,0.7007,0.9905,0.2030,31319,1,154304,0.2030,0.0000,0.2402,37066,3,154304,0.2402,0.0000
24.00,0.8988,23020,0,60000,0.3837,0.9830,0.9159,36416,0,60000,0.6069,0.0000,0.1819,28068,2,154304,0.1819,0.0000,0.3128,48268,3,154304,0.3128,0.0000
24.50,0.9696,26585,0,60000,0.4431,0.8802,0.9389,30113,0,60000,0.5019,0.0208,0.1819,28068,2,154304,0.1819,0.0000,0.3128,48268,3,154304,0.3128,0.0000
25.00,0.9696,26585,0,60000,0.4431,0.8802,0.8929,30915,0,60000,0.5152,0.0208,0.1591,24549,3,154304,0.1591,0.0000,0.3098,47810,1,154304,0.3098,0.0000
25.50,0.9811,27276,0,60000,0.4546,0.9919,0.9612,35011,0,60000,0.5835,0.0208,0.1591,24549,3,154304,0.1591,0.0000,0.3098,47810,1,154304,0.3098,0.0000
26.00,0.9811,27276,0,60000,0.4546,0.9919,0.9612,35011,0,60000,0.5835,0.0208,0.1591,24549,3,154304,0.1591,0.0000,0.3243,50040,2,154304,0.3243,0.0000
26.50,0.9819,13710,0,60000,0.2285,0.0209,0.9426,29045,0,60000,0.4841,0.0208,0.1591,24549,3,154304,0.1591,0.0000,0.3243,50040,2,154304,0.3243,0.0000
27.00,0.9692,16923,0,60000,0.2821,0.9840,0.9902,33141,0,60000,0.5524,0.0000,0.1591,24549,3,154304,0.1591,0.0000,0.3094,47744,4,154304,0.3094,0.0000
27.50,0.9705,18453,0,60000,0.3075,0.9867,0.9699,34931,0,60000,0.5822,0.4585,0.2323,35852,1,154304,0.2323,0.0000,0.3094,47744,4,154304,0.3094,0.0000
28.00,0.9716,21801,0,60000,0.3634,0.9857,0.9661,47743,0,60000,0.7957,0.8771,0.2323,35852,1,154304,0.2323,0.0000,0.2281,35193,1,154304,0.2281,0.0000
28.50,0.9716,21801,0,60000,0.3634,0.9857,0.9661,47743,0,60000,0.7957,0.8771,0.2427,37448,1,154304,0.2427,0.0000,0.2281,35193,1,154304,0.2281,0.0000
29.00,0.9716,21801,0,60000,0.3634,0.9857,1.0000,44302,0,60000,0.7384,0.0212,0.2427,37448,1,154304,0.2427,0.0000,0.2501,38586,3,154304,0.2501,0.0000
29.50,0.9732,3394,0,60000,0.0566,0.0217,0.9667,57104,0,60000,0.9517,0.0000,0.2427,37448,1,154304,0.2427,0.0000,0.2501,38586,3,154304,0.2501,0.0000
30.00,0.9631,7316,0,60000,0.1219,0.0000,0.9667,57104,0,60000,0.9517,0.0000,0.2069,31929,1,154304,0.2069,0.0000,0.2731,42145,1,154304,0.2731,0.0000
30.50,0.9855,5524,0,60000,0.0921,0.0208,0.9333,55998,0,60000,0.9333,0.0000,0.2069,31929,1,154304,0.2069,0.0000,0.2731,42145,1,154304,0.2731,0.0000
31.00,0.9613,9620,0,60000,0.1603,0.0000,0.9512,57073,0,60000,0.9512,0.9797,0.2069,31929,1,154304,0.2069,0.0000,0.2731,42145,1,154304,0.2731,0.0000
31.50,0.9613,9620,0,60000,0.1603,0.0000,0.9512,57073,0,60000,0.9512,0.9797,0.2121,32731,1,154304,0.2121,0.0000,0.2740,42283,1,154304,0.2740,0.0000
32.00,0.9859,11100,0,60000,0.1850,0.9903,0.9481,52519,0,60000,0.8753,0.0000,0.2121,32731,1,154304,0.2121,0.0000,0.2740,42283,1,154304,0.2740,0.0000
