elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,140156.0,25613.0,44541.0,25461.0,44541.0,84791.0,73806.7,32091.4,30893.9,0.0,17767.7,4.5,33020.2,18689.9,36092.9,55284.8,90810.7,128652.3,102558.7,148
1.2,140272.0,25617.0,44541.0,25573.0,44541.0,84834.9,73844.2,32129.7,30931.4,0.0,17771.6,4.5,33107.2,18693.9,36186.2,55382.1,90717.4,128652.3,102606.5,148
2.3,140274.0,25617.0,44541.0,25575.0,44541.0,84884.4,73887.4,32173.0,30974.6,0.0,18059.3,4.5,33145.4,18981.6,36381.4,55864.9,90522.2,128652.3,102943.7,148
3.4,140296.0,25617.0,44541.0,25575.0,44563.0,84902.2,73903.0,32190.6,30990.1,0.0,18361.8,4.5,33158.4,19284.2,36558.9,56345.1,90344.7,128652.3,103264.0,148
4.7,140318.0,25617.0,44563.0,25575.0,44563.0,84924.3,73910.9,32212.6,30998.1,0.0,19708.4,4.5,33175.9,20632.8,36403.9,57538.8,90499.5,128652.3,104632.7,148
5.9,140318.0,25617.0,44563.0,25575.0,44563.0,84931.2,73917.7,32219.5,31005.0,0.0,21015.2,4.5,33185.4,21954.7,36327.3,58784.1,90576.1,128652.3,105946.4,148
7.1,140320.0,25617.0,44563.0,25577.0,44563.0,84942.5,73928.8,32230.5,31016.0,0.0,22307.5,4.5,33193.2,23260.4,36403.1,60165.8,90503.3,128652.3,107250.0,148
8.4,140320.0,25617.0,44563.0,25577.0,44563.0,84946.9,73933.2,32234.9,31020.4,0.0,23324.2,4.5,33181.9,24288.0,36445.2,61235.4,90458.2,128652.3,108271.1,148
9.7,140322.0,25619.0,44563.0,25577.0,44563.0,84963.1,73948.3,32251.1,31035.5,0.0,24297.5,4.5,33173.7,25273.3,36283.6,62059.1,90619.8,128652.3,109260.6,148
10.9,140322.0,25619.0,44563.0,25577.0,44563.0,85006.8,73973.7,32294.8,31060.9,0.0,25576.8,8705.6,33206.8,26566.8,36324.0,63393.0,90579.4,128652.3,110583.7,148
12.4,140326.0,25621.0,44563.0,25577.0,44565.0,85032.2,73995.7,32316.8,31082.9,0.0,26586.9,8705.6,33231.0,27588.6,36479.8,64570.7,90423.5,128652.3,111619.1,148
13.7,140326.0,25621.0,44563.0,25577.0,44565.0,85035.3,73998.9,32319.9,31086.1,0.0,27066.3,8705.6,33233.8,28072.8,36430.0,65005.1,90473.3,128652.3,112101.6,148
14.9,140328.0,25621.0,44565.0,25577.0,44565.0,85052.0,74015.5,32336.6,31102.7,0.0,27431.8,8705.6,33245.8,28442.8,36590.6,65535.7,90312.7,128652.3,112483.8,148
16.3,140328.0,25621.0,44565.0,25577.0,44565.0,85054.8,74018.3,32339.4,31105.5,0.0,27810.7,8705.6,33253.9,28826.9,36386.4,65715.7,90516.8,128652.3,112865.4,148
17.6,140328.0,25621.0,44565.0,25577.0,44565.0,85066.2,74029.7,32350.8,31116.9,0.0,28785.9,8705.6,33267.1,29813.2,36392.7,66708.4,90510.5,128652.3,113852.1,148
19.0,140328.0,25621.0,44565.0,25577.0,44565.0,85067.4,74030.9,32352.0,31118.2,0.0,29669.2,8705.6,33305.6,30707.0,36629.0,67838.4,90274.1,128652.3,114736.6,148
20.3,140328.0,25621.0,44565.0,25577.0,44565.0,85068.8,74032.4,32353.4,31119.6,0.0,30383.5,8705.6,33270.4,31429.3,36406.6,68338.3,90496.6,128652.3,115452.3,148
21.5,140328.0,25621.0,44565.0,25577.0,44565.0,85123.5,74080.1,32405.9,31167.3,0.0,31129.2,14734.2,33312.7,32184.9,36508.3,69195.8,90394.7,128652.3,116252.8,148
23.3,140328.0,25621.0,44565.0,25577.0,44565.0,85131.2,74087.8,32412.4,31175.0,0.0,32736.0,14734.2,33339.9,33849.9,36492.4,70844.8,90410.7,128652.3,117867.1,148
24.7,140328.0,25621.0,44565.0,25577.0,44565.0,85155.3,74108.6,32433.5,31195.8,0.0,34066.1,14734.2,33340.5,35230.1,36486.7,72219.4,90416.4,128652.3,119221.4,148
26.1,140328.0,25621.0,44565.0,25577.0,44565.0,85165.9,74119.2,32443.8,31206.4,0.0,35155.3,14734.2,33369.5,36360.1,36601.5,73464.1,90301.6,128652.3,120321.2,148
27.5,140328.0,25621.0,44565.0,25577.0,44565.0,85166.6,74119.8,32444.5,31207.0,0.0,35978.8,14734.2,33379.7,37214.3,36718.9,74436.0,90183.9,128652.3,121145.4,148
28.8,140328.0,25621.0,44565.0,25577.0,44565.0,85167.7,74121.0,32445.6,31208.2,0.0,36763.4,14734.2,33388.3,38028.8,36611.3,75142.8,90291.6,128652.3,121931.1,148
30.0,140328.0,25621.0,44565.0,25577.0,44565.0,85167.9,74121.2,32445.8,31208.4,0.0,37994.6,14734.2,33388.3,39306.4,36669.1,76478.2,90233.8,128652.3,123162.5,148
31.5,140328.0,25621.0,44565.0,25577.0,44565.0,85187.1,74140.4,32465.0,31227.6,0.0,39113.4,22258.1,33394.7,40468.4,36615.3,77586.6,90287.4,128652.3,124300.5,148
33.4,140328.0,25621.0,44565.0,25577.0,44565.0,85211.2,74164.5,32489.1,31251.7,0.0,40273.6,22258.1,33435.6,41672.2,36587.5,78762.7,90315.2,128652.3,125484.8,148
