elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,151328.0,30408.0,45626.0,29732.0,45562.0,67818.6,56084.0,15102.1,13169.2,0.0,17821.9,0.0,15355.1,18840.1,18877.9,38301.6,107972.0,128652.3,85640.5,148
1.0,151292.0,30288.0,45582.0,29796.0,45626.0,68037.6,56125.5,15311.8,13210.7,0.0,17822.2,0.0,15417.6,18840.1,19099.3,38523.1,107750.6,128652.3,85859.8,148
2.0,151266.0,30304.0,45642.0,29758.0,45562.0,68119.0,56141.5,15391.4,13226.7,0.0,17822.2,0.0,15423.5,18840.1,19187.6,38611.4,107662.3,128652.3,85941.2,148
3.1,151278.0,30316.0,45642.0,29758.0,45562.0,68132.4,56154.2,15404.4,13239.4,0.0,17822.2,0.0,15444.7,18839.8,19406.6,38830.2,107443.2,128652.3,85954.7,148
4.2,151298.0,30316.0,45642.0,29758.0,45582.0,68143.0,56164.3,15414.6,13249.5,0.0,17822.7,0.0,15458.8,18840.0,19241.9,38665.6,107607.9,128652.3,85965.8,148
5.2,151318.0,30316.0,45642.0,29758.0,45602.0,68144.8,56165.9,15416.2,13251.1,0.0,17823.2,0.0,15460.5,18840.0,19736.4,39160.2,107113.4,128652.3,85968.0,148
6.2,151382.0,30316.0,45642.0,29758.0,45666.0,68169.4,56187.0,15438.7,13272.2,0.0,17824.7,0.0,15465.6,18841.5,19255.9,38681.1,107593.9,128652.3,85994.1,148
7.3,151382.0,30316.0,45642.0,29758.0,45666.0,68172.5,56190.1,15441.8,13275.3,0.0,18100.0,0.0,15483.1,19117.1,19342.6,39043.9,107506.8,128652.3,86272.4,148
8.3,151396.0,30316.0,45642.0,29758.0,45680.0,68179.0,56196.5,15448.2,13281.7,0.0,18100.0,0.0,15490.1,19117.4,19284.7,38986.3,107564.7,128652.3,86279.1,148
9.3,151396.0,30316.0,45642.0,29758.0,45680.0,68183.3,56200.8,15452.5,13286.0,0.0,18100.1,0.0,15493.4,19116.9,19290.7,38991.8,107558.7,128652.3,86283.4,148
10.3,151408.0,30316.0,45642.0,29770.0,45680.0,68188.2,56205.7,15457.4,13290.9,0.0,18100.2,0.0,15500.0,19117.3,19298.4,38999.9,107551.0,128652.3,86288.4,148
11.3,151408.0,30316.0,45642.0,29770.0,45680.0,68188.9,56206.4,15458.1,13291.6,0.0,18100.2,0.0,15500.9,19117.1,19303.6,39004.8,107545.9,128652.3,86289.0,148
12.3,151408.0,30316.0,45642.0,29770.0,45680.0,68197.6,56215.1,15466.8,13300.3,0.0,18100.2,0.0,15510.0,19117.2,19307.4,39008.8,107542.0,128652.3,86297.8,148
13.3,151408.0,30316.0,45642.0,29770.0,45680.0,68198.2,56215.7,15467.4,13300.9,0.0,18100.2,0.0,15510.9,19117.1,19305.6,39006.9,107543.8,128652.3,86298.4,148
14.3,151410.0,30316.0,45642.0,29770.0,45682.0,68198.3,56215.8,15467.5,13301.0,0.0,18100.2,0.0,15511.4,19117.2,19306.3,39007.8,107543.1,128652.3,86298.5,148
15.3,151410.0,30316.0,45642.0,29770.0,45682.0,68202.5,56216.7,15468.4,13301.9,0.0,18100.2,0.0,15512.4,19117.4,19317.6,39019.1,107531.8,128652.3,86302.8,148
16.3,151410.0,30316.0,45642.0,29770.0,45682.0,68205.2,56219.4,15471.1,13304.6,0.0,18100.2,0.0,15514.5,19117.6,19310.5,39012.3,107538.9,128652.3,86305.4,148
17.4,151412.0,30316.0,45644.0,29770.0,45682.0,68208.0,56222.2,15473.9,13307.4,0.0,18100.2,0.0,15517.8,19117.1,19398.5,39099.9,107450.9,128652.3,86308.2,148
18.4,151414.0,30318.0,45644.0,29770.0,45682.0,68208.1,56222.3,15474.0,13307.5,0.0,18100.2,0.0,15518.2,19117.5,19313.9,39015.6,107535.5,128652.3,86308.4,148
19.4,151414.0,30318.0,45644.0,29770.0,45682.0,68235.9,56246.8,15498.5,13332.0,0.0,18100.2,0.0,15543.0,19117.4,19354.2,39055.8,107494.5,128652.3,86336.2,148
20.4,151414.0,30318.0,45644.0,29770.0,45682.0,68271.2,56278.5,15533.7,13363.7,0.0,18100.3,0.0,15574.7,19117.5,19388.1,39089.9,107461.2,128652.3,86371.5,148
21.5,151414.0,30318.0,45644.0,29770.0,45682.0,68279.1,56286.4,15541.6,13371.6,0.0,18100.3,0.0,15583.6,19117.9,19404.0,39106.1,107445.3,128652.3,86379.4,148
22.5,151414.0,30318.0,45644.0,29770.0,45682.0,68279.2,56286.4,15541.7,13371.6,0.0,18100.3,0.0,15583.7,19117.5,19401.0,39102.8,107448.4,128652.3,86379.4,148
23.5,151414.0,30318.0,45644.0,29770.0,45682.0,68279.3,56286.6,15541.8,13371.8,0.0,18100.3,0.0,15584.6,19117.3,19420.8,39122.4,107428.6,128652.3,86379.6,148
24.5,151436.0,30318.0,45666.0,29770.0,45682.0,68294.7,56300.7,15555.9,13385.9,0.0,18100.3,0.0,15598.0,19117.3,19642.3,39343.9,107207.0,128652.3,86395.0,148
25.7,151436.0,30318.0,45666.0,29770.0,45682.0,68298.5,56304.4,15559.6,13389.6,0.0,18100.3,0.0,15606.4,19115.9,19432.2,39132.3,107417.2,128652.3,86398.8,148
26.7,151436.0,30318.0,45666.0,29770.0,45682.0,68313.5,56319.5,15574.6,13404.7,0.0,18100.4,0.0,15622.2,19116.1,19456.3,39156.6,107393.1,128652.3,86413.9,148
27.7,151436.0,30318.0,45666.0,29770.0,45682.0,68325.5,56331.5,15586.6,13416.7,0.0,18100.4,0.0,15649.9,19115.7,19472.7,39172.6,107376.7,128652.3,86425.9,148
28.8,151436.0,30318.0,45666.0,29770.0,45682.0,68345.6,56351.6,15606.8,13436.8,0.0,18100.5,0.0,15650.9,19116.3,19522.3,39222.9,107327.0,128652.3,86446.2,148
29.9,151436.0,30318.0,45666.0,29770.0,45682.0,68377.3,56379.6,15634.8,13464.8,0.0,18100.5,0.0,15682.9,19116.2,19509.8,39210.2,107339.6,128652.3,86477.8,148
30.9,151436.0,30318.0,45666.0,29770.0,45682.0,68377.4,56379.7,15635.0,13464.9,0.0,18100.6,0.0,15682.8,19116.3,19515.9,39216.5,107333.4,128652.3,86477.9,148
32.1,151438.0,30318.0,45666.0,29770.0,45684.0,68377.5,56379.9,15635.1,13465.1,0.0,18100.6,0.0,15682.6,19117.1,19513.1,39214.4,107336.3,128652.3,86478.1,148
33.1,151438.0,30318.0,45666.0,29770.0,45684.0,68379.8,56382.2,15637.4,13467.4,0.0,18100.6,0.0,15683.1,19117.5,19506.8,39208.5,107342.6,128652.3,86480.4,148
34.1,151438.0,30318.0,45666.0,29770.0,45684.0,68387.0,56389.4,15644.6,13474.6,0.0,18100.6,0.0,15692.1,19116.3,19514.6,39215.2,107334.8,128652.3,86487.6,148
35.1,151438.0,30318.0,45666.0,29770.0,45684.0,68387.3,56389.7,15644.9,13474.9,0.0,18100.6,0.0,15692.6,19116.3,19514.3,39214.9,107335.0,128652.3,86487.9,148
36.2,151438.0,30318.0,45666.0,29770.0,45684.0,68398.0,56400.4,15655.6,13485.6,0.0,18100.6,0.0,15700.1,19117.6,19533.0,39234.9,107316.3,128652.3,86498.6,148
37.2,151438.0,30318.0,45666.0,29770.0,45684.0,68398.2,56400.5,15655.3,13485.7,0.0,18100.6,0.0,15720.2,19117.0,19653.4,39354.7,107196.0,128652.3,86498.8,148
38.3,151438.0,30318.0,45666.0,29770.0,45684.0,68398.4,56400.8,15656.0,13486.0,0.0,18100.6,0.0,15705.0,19116.3,19795.5,39496.0,107053.9,128652.3,86499.1,148
39.3,151440.0,30320.0,45666.0,29770.0,45684.0,68398.5,56400.9,15656.1,13486.1,0.0,18100.6,0.0,15705.7,19116.2,19713.6,39414.0,107135.8,128652.3,86499.1,148
40.4,151440.0,30320.0,45666.0,29770.0,45684.0,68398.9,56401.3,15656.5,13486.5,0.0,18100.6,0.0,15705.7,19117.0,19550.1,39251.3,107299.3,128652.3,86499.5,148
41.5,151440.0,30320.0,45666.0,29770.0,45684.0,68399.0,56401.3,15656.5,13486.5,0.0,18100.8,0.0,15705.8,19116.2,19608.1,39308.5,107241.2,128652.3,86499.7,148
42.6,151444.0,30320.0,45668.0,29772.0,45684.0,68403.0,56405.3,15660.6,13490.5,0.0,18100.8,0.0,15709.2,19117.2,19557.7,39259.1,107291.0,128652.3,86503.8,148
43.7,151444.0,30320.0,45668.0,29772.0,45684.0,68404.7,56407.0,15662.2,13492.2,0.0,18100.8,0.0,15711.0,19116.7,19558.1,39259.1,107291.3,128652.3,86505.4,148
44.7,151444.0,30320.0,45668.0,29772.0,45684.0,68405.0,56407.3,15662.5,13492.5,0.0,18100.8,0.0,15711.9,19115.2,20141.9,39841.4,106707.4,128652.3,86505.7,148
45.8,151444.0,30320.0,45668.0,29772.0,45684.0,68445.6,56448.0,15703.2,13533.2,0.0,18100.8,0.0,15722.2,19117.1,19573.7,39275.1,107275.7,128652.3,86546.4,148
46.9,151446.0,30320.0,45668.0,29774.0,45684.0,68432.8,56435.1,15690.3,13520.3,0.0,18100.8,0.0,15719.5,19115.9,19592.8,39293.0,107256.5,128652.3,86533.6,148
48.1,151446.0,30320.0,45668.0,29774.0,45684.0,68433.0,56435.3,15690.5,13520.5,0.0,18100.8,0.0,15741.0,19116.6,19583.4,39284.3,107265.9,128652.3,86533.8,148
