t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0559,3316,0,60000,0.0553,0.0012,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0559,3316,0,60000,0.0553,0.0012,0.1229,7366,0,60000,0.1228,0.0168,,,,,,,,,,,,
1.50,0.1231,7347,0,60000,0.1225,0.0168,0.1229,7366,0,60000,0.1228,0.0168,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
2.00,0.1913,11443,0,60000,0.1907,0.0168,0.2594,12288,0,60000,0.2048,0.0168,0.1299,28098,1,216374,0.1299,0.0000,,,,,,
2.50,0.2596,15539,0,60000,0.2590,0.0168,0.2594,12288,0,60000,0.2048,0.0168,0.1299,28098,1,216374,0.1299,0.0000,,,,,,
3.00,0.3278,19635,0,60000,0.3272,0.0208,0.3276,16384,0,60000,0.2731,0.0000,0.1299,28098,1,216374,0.1299,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
3.50,0.3278,19635,0,60000,0.3272,0.0208,0.3959,15270,0,60000,0.2545,0.0407,0.1299,28098,1,216374,0.1299,0.0000,0.2174,47034,1,216374,0.2174,0.0000
4.00,0.3961,15937,0,60000,0.2656,0.0208,0.4642,19366,0,60000,0.3228,0.0000,0.1299,28098,1,216374,0.1299,0.0000,0.2174,47034,1,216374,0.2174,0.0000
4.50,0.4644,14690,0,60000,0.2448,0.0168,0.5324,18090,0,60000,0.3015,0.0168,0.1299,28098,1,216374,0.1299,0.0000,0.1963,42485,4,216374,0.1963,0.0000
5.00,0.4644,14690,0,60000,0.2448,0.0168,0.5324,18090,0,60000,0.3015,0.0168,0.1299,28098,1,216374,0.1299,0.0000,0.1963,42485,4,216374,0.1963,0.0000
5.50,0.5622,21861,0,60000,0.3644,0.6151,0.6007,20258,0,60000,0.3376,0.4543,0.1869,40451,3,216374,0.1869,0.0000,0.1463,31658,1,216374,0.1463,0.0000
6.00,0.6304,20816,0,60000,0.3469,0.0000,0.6690,24354,0,60000,0.4059,0.8361,0.1869,40451,3,216374,0.1869,0.0000,0.1463,31658,1,216374,0.1463,0.0000
6.50,0.7158,39665,0,60000,0.6611,0.7863,0.6690,24354,0,60000,0.4059,0.8361,0.1631,35297,1,216374,0.1631,0.0000,0.1463,31658,1,216374,0.1463,0.0000
7.00,0.7158,39665,0,60000,0.6611,0.7863,0.6970,26036,0,60000,0.4339,0.9932,0.1631,35297,1,216374,0.1631,0.0000,0.1463,31658,1,216374,0.1463,0.0000
7.50,0.7841,43761,0,60000,0.7294,0.6173,0.6970,26036,0,60000,0.4339,0.9932,0.1636,35388,1,216374,0.1636,0.0000,0.1472,31849,2,216374,0.1472,0.0000
8.00,0.7841,43761,0,60000,0.7294,0.6173,0.6995,22638,0,60000,0.3773,0.9857,0.1636,35388,1,216374,0.1636,0.0000,0.1472,31849,2,216374,0.1472,0.0000
8.50,0.8523,37959,0,60000,0.6327,0.5883,0.6995,22638,0,60000,0.3773,0.9857,0.1844,39901,3,216374,0.1844,0.0000,0.1472,31849,2,216374,0.1472,0.0000
9.00,0.9033,41017,0,60000,0.6836,0.0168,0.7003,8773,0,60000,0.1462,0.0261,0.1844,39901,3,216374,0.1844,0.0000,0.1021,22088,1,216374,0.1021,0.0000
9.50,0.9033,41017,0,60000,0.6836,0.0168,0.7543,17385,0,60000,0.2898,0.9837,0.1377,29797,3,216374,0.1377,0.0000,0.1021,22088,1,216374,0.1021,0.0000
10.00,0.9716,38875,0,60000,0.6479,0.6639,0.8241,9628,0,60000,0.1605,0.0000,0.1377,29797,3,216374,0.1377,0.0000,0.1904,41194,2,216374,0.1904,0.0000
10.50,0.9512,37766,0,60000,0.6294,0.0248,0.8284,4441,0,60000,0.0740,0.0208,0.1429,30919,2,216374,0.1429,0.0000,0.1904,41194,2,216374,0.1904,0.0000
11.00,0.9319,41862,0,60000,0.6977,0.0168,0.8966,11794,0,60000,0.1966,0.4534,0.1429,30919,2,216374,0.1429,0.0000,0.1904,41194,2,216374,0.1904,0.0000
11.50,0.9124,45958,0,60000,0.7660,0.0000,0.9649,15890,0,60000,0.2648,0.0000,0.1422,30768,1,216374,0.1422,0.0000,0.1652,35754,1,216374,0.1652,0.0000
12.00,0.9346,38816,0,60000,0.6469,0.0208,0.9903,22597,0,60000,0.3766,0.9811,0.1422,30768,1,216374,0.1422,0.0000,0.1652,35754,1,216374,0.1652,0.0000
12.50,0.9090,39685,0,60000,0.6614,0.0000,0.9935,22801,0,60000,0.3800,0.0309,0.1422,30768,1,216374,0.1422,0.0000,0.1617,34989,3,216374,0.1617,0.0000
13.00,0.8935,46127,0,60000,0.7688,0.9775,0.9569,17349,0,60000,0.2892,0.0257,0.1422,30768,1,216374,0.1422,0.0000,0.1617,34989,3,216374,0.1617,0.0000
13.50,0.9516,39710,0,60000,0.6618,0.0168,0.9569,17349,0,60000,0.2892,0.0257,0.1521,32909,1,216374,0.1521,0.0000,0.1514,32749,3,216374,0.1514,0.0000
14.00,0.9489,53709,0,60000,0.8952,0.9665,0.9576,11150,0,60000,0.1858,0.9851,0.1521,32909,1,216374,0.1521,0.0000,0.1514,32749,3,216374,0.1514,0.0000
14.50,0.9489,53709,0,60000,0.8952,0.9665,0.9576,11150,0,60000,0.1858,0.9851,0.2163,46798,2,216374,0.2163,0.0000,0.1153,24953,2,216374,0.1153,0.0000
15.00,0.9149,54896,0,60000,0.9149,0.0000,0.9365,12172,0,60000,0.2029,0.9852,0.2163,46798,2,216374,0.2163,0.0000,0.1153,24953,2,216374,0.1153,0.0000
15.50,0.9149,54896,0,60000,0.9149,0.0000,0.9378,12253,0,60000,0.2042,0.9930,0.2250,48680,2,216374,0.2250,0.0000,0.1153,24953,2,216374,0.1153,0.0000
16.00,0.9324,49240,0,60000,0.8207,0.0248,0.9382,12277,0,60000,0.2046,0.9909,0.2250,48680,2,216374,0.2250,0.0000,0.1153,24953,2,216374,0.1153,0.0000
16.50,0.8889,53336,0,60000,0.8889,0.0000,0.9278,7641,0,60000,0.1273,0.0201,0.2250,48680,2,216374,0.2250,0.0000,0.1153,24953,2,216374,0.1153,0.0000
17.00,0.8889,53336,0,60000,0.8889,0.0000,0.9960,8293,0,60000,0.1382,0.0208,0.2310,49988,3,216374,0.2310,0.0000,0.1153,24953,2,216374,0.1153,0.0000
17.50,0.8889,53336,0,60000,0.8889,0.0000,0.9960,8293,0,60000,0.1382,0.0208,0.2310,49988,3,216374,0.2310,0.0000,0.1254,27130,1,216374,0.1254,0.0000
18.00,0.9775,39228,0,60000,0.6538,0.0000,0.9960,12406,0,60000,0.2068,0.0257,0.2463,53298,4,216374,0.2463,0.0000,0.1254,27130,1,216374,0.1254,0.0000
18.50,0.9846,39650,0,60000,0.6608,0.0208,0.9960,12406,0,60000,0.2068,0.0257,0.2463,53298,4,216374,0.2463,0.0000,0.1297,28060,1,216374,0.1297,0.0000
19.00,0.9626,40197,0,60000,0.6700,0.7788,0.9570,11161,0,60000,0.1860,0.0212,0.2216,47940,3,216374,0.2216,0.0000,0.1297,28060,1,216374,0.1297,0.0000
19.50,0.9644,44460,0,60000,0.7410,0.5205,0.9185,9790,0,60000,0.1632,0.9898,0.2216,47940,3,216374,0.2216,0.0000,0.1297,28060,1,216374,0.1297,0.0000
20.00,0.9252,42775,0,60000,0.7129,0.7918,0.9725,9764,0,60000,0.1627,0.5640,0.2229,48223,2,216374,0.2229,0.0000,0.1297,28060,1,216374,0.1297,0.0000
20.50,0.9252,42775,0,60000,0.7129,0.7918,0.9242,12310,0,60000,0.2052,0.9902,0.2229,48223,2,216374,0.2229,0.0000,0.1458,31545,2,216374,0.1458,0.0000
21.00,0.9027,44231,0,60000,0.7372,0.9874,0.9930,16426,0,60000,0.2738,0.8026,0.2078,44956,2,216374,0.2078,0.0000,0.1458,31545,2,216374,0.1458,0.0000
21.50,0.9039,49444,0,60000,0.8241,0.6114,0.9404,21338,0,60000,0.3556,0.0000,0.2078,44956,2,216374,0.2078,0.0000,0.1309,28328,3,216374,0.1309,0.0000
22.00,0.9552,53215,0,60000,0.8869,0.9790,0.9404,21338,0,60000,0.3556,0.0000,0.2078,44956,2,216374,0.2078,0.0000,0.1309,28328,3,216374,0.1309,0.0000
22.50,0.9572,53337,0,60000,0.8890,0.0253,0.9294,17702,0,60000,0.2950,0.0000,0.2487,53804,1,216374,0.2487,0.0000,0.1060,22943,1,216374,0.1060,0.0000
23.00,0.9206,50028,0,60000,0.8338,0.0000,0.9508,14126,0,60000,0.2354,0.0208,0.2487,53804,1,216374,0.2487,0.0000,0.1060,22943,1,216374,0.1060,0.0000
23.50,0.9206,50028,0,60000,0.8338,0.0000,0.9446,18222,0,60000,0.3037,0.6850,0.2230,48241,2,216374,0.2230,0.0000,0.1060,22943,1,216374,0.1060,0.0000
24.00,0.9264,46639,0,60000,0.7773,0.0000,0.9704,14445,0,60000,0.2407,0.0208,0.2230,48241,2,216374,0.2230,0.0000,0.1060,22943,1,216374,0.1060,0.0000
24.50,0.9264,46639,0,60000,0.7773,0.0000,0.9486,17667,0,60000,0.2944,0.7537,0.2230,48241,2,216374,0.2230,0.0000,0.1834,39684,2,216374,0.1834,0.0000
25.00,0.9401,42919,0,60000,0.7153,0.0000,0.9486,17667,0,60000,0.2944,0.7537,0.1975,42731,1,216374,0.1975,0.0000,0.1834,39684,2,216374,0.1834,0.0000
25.50,0.9401,42919,0,60000,0.7153,0.0000,0.9608,19075,0,60000,0.3179,0.0000,0.1975,42731,1,216374,0.1975,0.0000,0.1855,40138,2,216374,0.1855,0.0000
26.00,0.9410,37745,0,60000,0.6291,0.9741,0.9845,20516,0,60000,0.3419,0.0208,0.2173,47017,1,216374,0.2173,0.0000,0.1855,40138,2,216374,0.1855,0.0000
26.50,0.9437,38691,0,60000,0.6449,0.0000,0.9687,20058,0,60000,0.3343,0.7875,0.2173,47017,1,216374,0.2173,0.0000,0.1441,31174,2,216374,0.1441,0.0000
27.00,0.9676,45323,0,60000,0.7554,0.5675,0.9943,16847,0,60000,0.2808,0.0331,0.2173,47017,1,216374,0.2173,0.0000,0.1441,31174,2,216374,0.1441,0.0000
27.50,0.9011,49445,0,60000,0.8241,0.7353,0.9677,15423,0,60000,0.2571,0.0000,0.2663,57630,1,216374,0.2663,0.0000,0.0936,20255,1,216374,0.0936,0.0000
28.00,0.9011,49445,0,60000,0.8241,0.7353,0.9001,19537,0,60000,0.3256,0.0250,0.2663,57630,1,216374,0.2663,0.0000,0.0936,20255,1,216374,0.0936,0.0000
28.50,0.9011,49445,0,60000,0.8241,0.7353,0.9683,17965,0,60000,0.2994,0.5831,0.2146,46437,4,216374,0.2146,0.0000,0.0936,20255,1,216374,0.0936,0.0000
29.00,0.9294,36501,0,60000,0.6083,0.0217,0.9683,17965,0,60000,0.2994,0.5831,0.2146,46437,4,216374,0.2146,0.0000,0.0936,20255,1,216374,0.0936,0.0000
29.50,0.9819,34231,0,60000,0.5705,0.0206,0.9476,24305,0,60000,0.4051,0.5809,0.1806,39084,3,216374,0.1806,0.0000,0.1835,39715,1,216374,0.1835,0.0000
30.00,0.9819,34231,0,60000,0.5705,0.0206,0.9389,28401,0,60000,0.4733,0.0208,0.1806,39084,3,216374,0.1806,0.0000,0.1835,39715,1,216374,0.1835,0.0000
30.50,0.9330,31880,0,60000,0.5313,0.0000,0.9389,28401,0,60000,0.4733,0.0208,0.1547,33465,2,216374,0.1547,0.0000,0.1835,39715,1,216374,0.1835,0.0000
31.00,0.9356,32036,0,60000,0.5339,0.9938,0.9205,27232,0,60000,0.4539,0.0816,0.1547,33465,2,216374,0.1547,0.0000,0.1835,39715,1,216374,0.1835,0.0000
