t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0689,4101,0,60000,0.0683,0.0186,,,,,,,,,,,,
1.00,0.0683,4096,0,60000,0.0683,0.0168,0.1305,7796,0,60000,0.1299,0.0331,,,,,,,,,,,,
1.50,0.1366,8192,0,60000,0.1365,0.0369,0.1305,7796,0,60000,0.1299,0.0331,,,,,,,,,,,,
2.00,0.1366,8192,0,60000,0.1365,0.0369,0.1305,7796,0,60000,0.1299,0.0331,,,,,,,,,,,,
2.50,0.2049,7061,0,60000,0.1177,0.0000,0.2668,15971,0,60000,0.2662,0.0000,,,,,,,,,,,,
3.00,0.3414,15253,0,60000,0.2542,0.0000,0.2668,15971,0,60000,0.2662,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
3.50,0.3414,15253,0,60000,0.2542,0.0000,0.2668,15971,0,60000,0.2662,0.0000,0.3025,46684,2,154304,0.3025,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.4097,16087,0,60000,0.2681,0.0208,0.2668,15971,0,60000,0.2662,0.0000,0.3025,46684,2,154304,0.3025,0.0000,0.1279,19737,2,154304,0.1279,0.0000
4.50,0.4779,20183,0,60000,0.3364,0.0168,0.2668,15971,0,60000,0.2662,0.0000,0.2153,33226,2,154304,0.2153,0.0000,0.1279,19737,2,154304,0.1279,0.0000
5.00,0.5462,12471,0,60000,0.2079,0.0248,0.2668,15971,0,60000,0.2662,0.0000,0.2153,33226,2,154304,0.2153,0.0000,0.0851,13124,1,154304,0.0851,0.0000
5.50,0.6145,11386,0,60000,0.1898,0.0168,0.2668,15971,0,60000,0.2662,0.0000,0.1933,29834,1,154304,0.1933,0.0000,0.0851,13124,1,154304,0.0851,0.0000
6.00,0.6827,10110,0,60000,0.1685,0.0208,0.2668,15971,0,60000,0.2662,0.0000,0.1933,29834,1,154304,0.1933,0.0000,0.0851,13124,1,154304,0.0851,0.0000
6.50,0.6827,10110,0,60000,0.1685,0.0208,0.2668,15971,0,60000,0.2662,0.0000,0.1239,19125,2,154304,0.1239,0.0000,0.0851,13124,1,154304,0.0851,0.0000
7.00,0.8419,8996,0,60000,0.1499,0.0000,0.2668,15971,0,60000,0.2662,0.0000,0.1239,19125,2,154304,0.1239,0.0000,0.0851,13124,1,154304,0.0851,0.0000
7.50,0.8419,8996,0,60000,0.1499,0.0000,0.3294,3349,0,60000,0.0558,0.9792,0.1239,19125,2,154304,0.1239,0.0000,0.0851,13124,1,154304,0.0851,0.0000
8.00,0.9037,13092,0,60000,0.2182,0.0168,0.3294,3349,0,60000,0.0558,0.9792,0.1239,19125,2,154304,0.1239,0.0000,0.0851,13124,1,154304,0.0851,0.0000
8.50,0.9865,48563,0,60000,0.8094,0.9859,0.3848,3340,0,60000,0.0557,0.9864,0.1474,22742,1,154304,0.1474,0.0000,0.0851,13124,1,154304,0.0851,0.0000
9.00,0.9865,48563,0,60000,0.8094,0.9859,0.3848,3340,0,60000,0.0557,0.9864,0.1474,22742,1,154304,0.1474,0.0000,0.0851,13124,1,154304,0.0851,0.0000
9.50,0.9847,53869,0,60000,0.8978,0.9880,0.3848,3340,0,60000,0.0557,0.9864,0.1476,22782,1,154304,0.1476,0.0000,0.0851,13124,1,154304,0.0851,0.0000
10.00,0.9847,53869,0,60000,0.8978,0.9880,0.4751,5442,0,60000,0.0907,0.9913,0.1476,22782,1,154304,0.1476,0.0000,0.0851,13124,1,154304,0.0851,0.0000
10.50,0.9857,50632,0,60000,0.8439,0.9865,0.4759,5507,0,60000,0.0918,0.0261,0.1945,30012,1,154304,0.1945,0.0000,0.1955,30162,1,154304,0.1955,0.0000
11.00,0.9857,50632,0,60000,0.8439,0.9865,0.4759,5507,0,60000,0.0918,0.0261,0.1945,30012,1,154304,0.1945,0.0000,0.1955,30162,1,154304,0.1955,0.0000
11.50,0.9857,50632,0,60000,0.8439,0.9865,0.4759,5507,0,60000,0.0918,0.0261,0.1945,30012,1,154304,0.1945,0.0000,0.1606,24781,1,154304,0.1606,0.0000
12.00,0.9857,50632,0,60000,0.8439,0.9865,0.5299,3386,0,60000,0.0564,0.9921,0.1484,22901,1,154304,0.1484,0.0000,0.1606,24781,1,154304,0.1606,0.0000
12.50,0.9857,50632,0,60000,0.8439,0.9865,0.5299,3386,0,60000,0.0564,0.9921,0.1484,22901,1,154304,0.1484,0.0000,0.1606,24781,1,154304,0.1606,0.0000
13.00,0.9869,15117,0,60000,0.2520,0.9824,0.5299,3386,0,60000,0.0564,0.9921,0.0692,10679,1,154304,0.0692,0.0000,0.1324,20431,2,154304,0.1324,0.0000
13.50,0.9869,15117,0,60000,0.2520,0.9824,0.5299,3386,0,60000,0.0564,0.9921,0.0692,10679,1,154304,0.0692,0.0000,0.1324,20431,2,154304,0.1324,0.0000
14.00,0.9879,8490,0,60000,0.1415,0.9877,0.5986,4183,0,60000,0.0697,0.0000,0.0692,10679,1,154304,0.0692,0.0000,0.0742,11454,2,154304,0.0742,0.0000
14.50,0.9879,8490,0,60000,0.1415,0.9877,0.6198,10875,0,60000,0.1812,0.9937,0.0218,3360,1,154304,0.0218,0.0000,0.1276,19695,2,154304,0.1276,0.0000
15.00,0.9899,9692,0,60000,0.1615,0.9883,0.6214,8847,0,60000,0.1474,0.0208,0.0218,3360,1,154304,0.0218,0.0000,0.1276,19695,2,154304,0.1276,0.0000
15.50,0.9674,14158,0,60000,0.2360,0.9891,0.6897,12943,0,60000,0.2157,0.0000,0.0218,3360,1,154304,0.0218,0.0000,0.1276,19695,2,154304,0.1276,0.0000
16.00,0.9351,18314,0,60000,0.3052,0.0000,0.6897,12943,0,60000,0.2157,0.0000,0.0869,13414,2,154304,0.0869,0.0000,0.1351,20847,1,154304,0.1351,0.0000
16.50,0.9761,30584,0,60000,0.5097,0.0168,0.7623,4200,0,60000,0.0700,0.0000,0.0869,13414,2,154304,0.0869,0.0000,0.1351,20847,1,154304,0.1351,0.0000
17.00,0.9328,34680,0,60000,0.5780,0.0000,0.7799,12963,0,60000,0.2160,0.9624,0.0869,13414,2,154304,0.0869,0.0000,0.1351,20847,1,154304,0.1351,0.0000
17.50,0.9328,34680,0,60000,0.5780,0.0000,0.7799,12963,0,60000,0.2160,0.9624,0.0869,13414,2,154304,0.0869,0.0000,0.1984,30607,1,154304,0.1984,0.0000
18.00,0.9328,34680,0,60000,0.5780,0.0000,0.9849,25285,0,60000,0.4214,0.9775,0.0814,12566,1,154304,0.0814,0.0000,0.1984,30607,1,154304,0.1984,0.0000
18.50,0.9179,15134,0,60000,0.2522,0.0000,0.9238,24309,0,60000,0.4052,0.0000,0.0814,12566,1,154304,0.0814,0.0000,0.2559,39479,2,154304,0.2559,0.0000
19.00,0.9179,15134,0,60000,0.2522,0.0000,0.9238,24309,0,60000,0.4052,0.0000,0.0875,13508,2,154304,0.0875,0.0000,0.2559,39479,2,154304,0.2559,0.0000
19.50,0.9496,17301,0,60000,0.2883,0.0000,0.9413,18296,0,60000,0.3049,0.9926,0.0875,13508,2,154304,0.0875,0.0000,0.1854,28606,3,154304,0.1854,0.0000
20.00,0.9496,17301,0,60000,0.2883,0.0000,0.9413,18296,0,60000,0.3049,0.9926,0.1144,17653,1,154304,0.1144,0.0000,0.1854,28606,3,154304,0.1854,0.0000
20.50,0.9496,17301,0,60000,0.2883,0.0000,0.9391,13194,0,60000,0.2199,0.9776,0.1144,17653,1,154304,0.1144,0.0000,0.1587,24490,3,154304,0.1587,0.0000
21.00,0.9496,17301,0,60000,0.2883,0.0000,0.9391,13194,0,60000,0.2199,0.9776,0.0586,9037,2,154304,0.0586,0.0000,0.1587,24490,3,154304,0.1587,0.0000
21.50,0.9496,17301,0,60000,0.2883,0.0000,0.9391,13194,0,60000,0.2199,0.9776,0.0586,9037,2,154304,0.0586,0.0000,0.0300,4626,1,154304,0.0300,0.0000
22.00,0.9496,17301,0,60000,0.2883,0.0000,0.8637,4166,0,60000,0.0694,0.0000,0.0586,9037,2,154304,0.0586,0.0000,0.0300,4626,1,154304,0.0300,0.0000
22.50,0.9524,10072,0,60000,0.1679,0.9921,0.9427,8925,0,60000,0.1487,0.5749,0.0586,9037,2,154304,0.0586,0.0000,0.0300,4626,1,154304,0.0300,0.0000
23.00,0.9191,13512,0,60000,0.2252,0.9852,0.9657,17614,0,60000,0.2936,0.9599,0.0586,9037,2,154304,0.0586,0.0000,0.0300,4626,1,154304,0.0300,0.0000
23.50,0.9199,10616,0,60000,0.1769,0.9852,0.9695,20000,0,60000,0.3333,0.9911,0.1529,23596,1,154304,0.1529,0.0000,0.0300,4626,1,154304,0.0300,0.0000
24.00,0.8607,15857,0,60000,0.2643,0.9890,0.9703,18807,0,60000,0.3135,0.9807,0.1529,23596,1,154304,0.1529,0.0000,0.1585,24453,1,154304,0.1585,0.0000
24.50,0.9347,19500,0,60000,0.3250,0.9845,0.9539,22970,0,60000,0.3828,0.0000,0.1214,18733,2,154304,0.1214,0.0000,0.1585,24453,1,154304,0.1585,0.0000
25.00,0.9371,14257,0,60000,0.2376,0.0260,0.9318,25385,0,60000,0.4231,0.9876,0.1214,18733,2,154304,0.1214,0.0000,0.2890,44598,2,154304,0.2890,0.0000
25.50,0.9891,11935,0,60000,0.1989,0.0000,0.8663,29997,0,60000,0.5000,0.9874,0.0373,5754,1,154304,0.0373,0.0000,0.2890,44598,2,154304,0.2890,0.0000
26.00,0.9891,11935,0,60000,0.1989,0.0000,0.8663,29997,0,60000,0.5000,0.9874,0.0373,5754,1,154304,0.0373,0.0000,0.3017,46546,4,154304,0.3017,0.0000
26.50,0.9708,11997,0,60000,0.1999,0.0000,0.8663,29997,0,60000,0.5000,0.9874,0.0373,5754,1,154304,0.0373,0.0000,0.3017,46546,4,154304,0.3017,0.0000
27.00,0.9869,9730,0,60000,0.1622,0.0000,0.8663,29997,0,60000,0.5000,0.9874,0.0373,5754,1,154304,0.0373,0.0000,0.2087,32206,2,154304,0.2087,0.0000
27.50,0.9794,16548,0,60000,0.2758,0.9425,0.8673,7887,0,60000,0.1315,0.9886,0.0373,5754,1,154304,0.0373,0.0000,0.2087,32206,2,154304,0.2087,0.0000
28.00,0.9794,16548,0,60000,0.2758,0.9425,0.8673,7887,0,60000,0.1315,0.9886,0.0373,5754,1,154304,0.0373,0.0000,0.1285,19835,2,154304,0.1285,0.0000
28.50,0.9880,19033,0,60000,0.3172,0.9803,0.8679,4362,0,60000,0.0727,0.9882,0.0373,5754,1,154304,0.0373,0.0000,0.1285,19835,2,154304,0.1285,0.0000
29.00,0.9880,19033,0,60000,0.3172,0.9803,0.8679,4362,0,60000,0.0727,0.9882,0.0373,5754,1,154304,0.0373,0.0000,0.0841,12972,2,154304,0.0841,0.0000
29.50,0.9712,12999,0,60000,0.2167,0.0000,0.9370,4183,0,60000,0.0697,0.0000,0.1068,16483,1,154304,0.1068,0.0000,0.0841,12972,2,154304,0.0841,0.0000
30.00,0.9507,24679,0,60000,0.4113,0.9910,0.9370,4183,0,60000,0.0697,0.0000,0.1068,16483,1,154304,0.1068,0.0000,0.0841,12972,2,154304,0.0841,0.0000
30.50,0.9466,28951,0,60000,0.4825,0.0000,0.9600,8972,0,60000,0.1495,0.9870,0.1944,29999,1,154304,0.1944,0.0000,0.0915,14124,1,154304,0.0915,0.0000
31.00,0.9466,28951,0,60000,0.4825,0.0000,0.9571,18584,0,60000,0.3097,0.0000,0.1944,29999,1,154304,0.1944,0.0000,0.0915,14124,1,154304,0.0915,0.0000
31.50,0.9499,34695,0,60000,0.5783,0.9951,0.9808,15697,0,60000,0.2616,0.9863,0.1944,29999,1,154304,0.1944,0.0000,0.0915,14124,1,154304,0.0915,0.0000
