elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150790.0,29998.0,45564.0,29666.0,45562.0,67853.8,56066.6,15152.4,13147.7,0.0,17229.6,0.0,14703.6,17681.3,18673.2,36433.7,108681.2,128652.3,85083.4,148
1.0,150906.0,30000.0,45564.0,29780.0,45562.0,67883.4,56093.3,15179.8,13174.4,0.0,17230.1,0.0,14741.4,17681.8,18711.6,36472.5,108642.8,128652.3,85113.6,148
2.0,151250.0,30270.0,45564.0,29780.0,45636.0,67979.5,56107.0,15275.8,13188.1,0.0,17230.3,0.0,14759.1,17681.8,18740.9,36501.9,108613.5,128652.3,85209.8,148
3.1,151380.0,30334.0,45628.0,29782.0,45636.0,68033.3,56135.5,15329.5,13216.6,0.0,17230.5,0.0,14789.0,17682.3,19180.6,36942.0,108173.8,128652.3,85263.8,148
4.1,151362.0,30270.0,45620.0,29782.0,45690.0,68042.2,56143.9,15338.1,13225.0,0.0,17230.7,0.0,14798.7,17682.4,18909.3,36670.9,108445.1,128652.3,85272.9,148
5.1,151418.0,30270.0,45620.0,29818.0,45710.0,68113.3,56146.9,15409.2,13228.0,0.0,17231.2,0.0,14800.1,17682.9,18987.0,36749.1,108367.3,128652.3,85344.5,148
6.1,151454.0,30270.0,45638.0,29836.0,45710.0,68123.5,56152.8,15419.2,13233.9,0.0,17231.2,0.0,14807.0,17683.2,19003.4,36765.8,108351.0,128652.3,85354.7,148
7.1,151454.0,30270.0,45638.0,29836.0,45710.0,68159.2,56184.5,15454.6,13265.6,0.0,17231.4,0.0,14810.1,17683.1,19004.5,36766.8,108349.8,128652.3,85390.5,148
8.1,151508.0,30270.0,45692.0,29836.0,45710.0,68182.7,56204.6,15478.1,13285.7,0.0,17239.3,0.0,14858.0,17691.0,19276.2,37046.5,108078.1,128652.3,85422.1,148
9.1,151562.0,30324.0,45692.0,29836.0,45710.0,68206.8,56225.1,15498.6,13306.3,0.0,17240.2,0.0,14879.2,17691.7,19083.1,36854.1,108271.2,128652.3,85447.0,148
