elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150934.0,30028.0,45564.0,29780.0,45562.0,68023.0,56034.0,15309.3,13118.4,0.0,22297.2,0.0,16646.4,23814.5,19664.6,44756.9,106487.2,128652.3,90320.2,148
1.1,151176.0,30270.0,45564.0,29780.0,45562.0,68170.4,56075.9,15455.1,13160.4,0.0,22297.2,0.0,16698.7,23814.6,19834.8,44927.1,106317.0,128652.3,90467.7,148
2.1,151176.0,30270.0,45564.0,29780.0,45562.0,68179.3,56084.7,15463.9,13169.1,0.0,22297.3,0.0,16715.8,23814.6,19849.7,44942.1,106302.1,128652.3,90476.6,148
3.2,151212.0,30274.0,45568.0,29784.0,45586.0,70239.8,56092.9,17524.4,13177.4,0.0,22297.3,0.0,16721.3,23813.7,20361.0,45452.5,105790.8,128652.3,92537.0,148
5.1,151246.0,30278.0,45590.0,29788.0,45590.0,72288.0,56093.1,19572.6,13177.6,0.0,22297.4,0.0,16725.4,23814.1,23837.9,48929.8,102313.9,128652.3,94585.4,148
6.2,151262.0,30282.0,45594.0,29792.0,45594.0,74348.5,56105.5,21633.1,13189.9,0.0,22297.4,0.0,16741.5,23814.6,25782.5,50874.9,100369.3,128652.3,96645.9,148
7.5,151334.0,30286.0,45598.0,29852.0,45598.0,76401.5,56110.2,23686.0,13194.7,0.0,22297.4,0.0,16747.2,23814.3,28011.6,53103.7,98140.2,128652.3,98698.9,148
8.6,151350.0,30290.0,45602.0,29856.0,45602.0,78483.2,56140.5,25767.7,13225.0,0.0,22297.5,0.0,16749.3,23814.2,30004.9,55096.9,96146.9,128652.3,100780.7,148
10.0,151366.0,30294.0,45606.0,29860.0,45606.0,80533.2,56142.4,27817.7,13226.9,0.0,22297.6,0.0,16779.9,23814.2,32302.4,57394.4,93849.4,128652.3,102830.7,148
11.3,151382.0,30298.0,45610.0,29864.0,45610.0,82584.4,56145.6,29868.9,13230.1,0.0,22297.6,0.0,16783.6,23814.4,34452.3,59544.4,91699.5,128652.3,104882.0,148
12.5,151398.0,30302.0,45614.0,29868.0,45614.0,84639.2,56149.0,31922.0,13233.5,0.0,22297.6,0.0,16785.8,23814.7,36508.4,61600.9,89643.4,128652.3,106936.8,148
13.9,151414.0,30306.0,45618.0,29872.0,45618.0,86712.4,56174.1,33993.5,13258.6,0.0,22297.6,0.0,16813.4,23815.0,38472.8,63565.6,87679.0,128652.3,109009.9,148
15.2,151430.0,30310.0,45622.0,29876.0,45622.0,88764.6,56178.3,36045.7,13262.8,0.0,22297.6,0.0,16817.8,23815.4,40758.6,65851.7,85393.2,128652.3,111062.2,148
16.6,151446.0,30314.0,45626.0,29880.0,45626.0,90827.8,56193.6,38108.9,13278.0,0.0,22297.6,0.0,16826.7,23815.2,43077.1,68170.2,83074.6,128652.3,113125.4,148
17.8,151464.0,30318.0,45630.0,29886.0,45630.0,92877.4,56195.2,40158.5,13279.6,0.0,22297.6,0.0,16841.1,23815.5,45196.3,70289.6,80955.5,128652.3,115175.1,148
19.1,151482.0,30322.0,45634.0,29890.0,45636.0,94926.7,56196.4,42207.8,13280.9,0.0,22297.6,0.0,16843.5,23815.3,47022.9,72116.0,79128.9,128652.3,117224.3,148
20.4,151498.0,30326.0,45638.0,29894.0,45640.0,96710.6,56197.9,43989.4,13282.3,0.0,22297.7,0.0,16848.6,23815.2,48864.6,73957.7,77287.1,128652.3,119008.2,148
21.7,151514.0,30330.0,45642.0,29898.0,45644.0,98261.6,56199.9,45539.3,13284.4,0.0,22297.8,0.0,16859.2,23815.6,50828.3,75921.7,75323.5,128652.3,120559.4,148
23.1,151530.0,30334.0,45646.0,29902.0,45648.0,99736.3,56200.6,47014.1,13285.1,0.0,22297.8,0.0,16853.1,23815.1,52085.0,77177.9,74066.8,128652.3,122034.1,148
24.4,151530.0,30334.0,45646.0,29902.0,45648.0,101481.5,56228.1,48761.0,13312.6,0.0,21606.3,0.0,16880.5,23116.4,53712.9,78098.6,72419.4,128652.3,123087.8,148
25.8,151562.0,30342.0,45654.0,29910.0,45656.0,103291.8,56245.3,50603.7,13329.7,0.0,19389.5,0.0,16897.5,20789.8,55975.9,77774.3,70449.1,128652.3,122681.3,148
27.2,151580.0,30346.0,45660.0,29914.0,45660.0,105475.4,56245.8,53038.5,13330.2,0.0,17815.1,0.0,16899.2,19200.8,58323.0,78497.2,67186.7,128652.3,123290.5,148
29.3,151596.0,30350.0,45664.0,29918.0,45664.0,108356.7,56246.5,56001.6,13330.9,0.0,14500.1,0.0,16900.7,15742.9,61758.2,78188.7,64979.8,128652.3,122856.8,148
30.8,151612.0,30354.0,45668.0,29922.0,45668.0,110182.9,56246.9,58190.8,13331.4,0.0,12888.9,0.0,16901.3,14083.8,63925.7,78612.0,62027.1,128652.3,123071.8,148
32.3,151630.0,30358.0,45672.0,29928.0,45672.0,107542.1,56247.8,60016.1,13332.2,0.0,11751.1,0.0,16902.1,12938.0,66101.5,79617.5,59879.7,128652.3,119293.2,148
33.7,151646.0,30362.0,45676.0,29932.0,45676.0,109346.8,56248.0,62112.5,13332.5,0.0,10115.1,0.0,16903.7,11194.0,68460.5,80073.6,58534.0,128652.3,119461.9,148
35.1,151662.0,30366.0,45680.0,29936.0,45680.0,111306.4,56248.0,64116.5,13332.5,0.0,8280.6,0.0,16903.7,9210.0,70705.8,80127.3,56508.3,128652.3,119587.0,148
36.5,151662.0,30366.0,45680.0,29936.0,45680.0,111793.1,56248.1,64603.0,13332.6,0.0,7399.3,0.0,16904.6,8321.5,71499.7,80018.5,55736.6,128652.3,119192.4,148
37.9,151678.0,30370.0,45684.0,29940.0,45684.0,113799.3,56248.3,66643.2,13332.7,0.0,6232.3,0.0,16904.3,7147.1,72828.3,80157.6,54091.1,128652.3,120031.6,148
39.7,151694.0,30374.0,45688.0,29944.0,45688.0,114169.5,56250.1,67014.8,13334.6,0.0,5711.5,0.0,16911.6,6563.0,73721.2,80395.3,53549.3,128652.3,119881.0,148
41.2,151694.0,30374.0,45688.0,29944.0,45688.0,115844.7,56250.8,68692.1,13335.3,0.0,3702.3,0.0,16912.1,4518.2,76192.2,80779.4,51148.4,128652.3,119547.0,148
42.7,151694.0,30374.0,45688.0,29944.0,45688.0,115848.8,56252.0,68695.4,13336.5,0.0,3712.9,0.0,16916.8,4529.2,75839.8,80438.0,51500.8,128652.3,119561.7,148
44.1,151710.0,30378.0,45692.0,29948.0,45692.0,117897.7,56252.2,70743.5,13336.7,0.0,2692.7,0.0,16918.9,3499.8,77664.4,81215.4,49246.8,128652.3,120590.5,148
45.6,151762.0,30386.0,45720.0,29956.0,45700.0,119936.9,56259.8,72797.8,13344.3,0.0,1463.5,0.0,16927.2,2259.2,79343.9,81642.8,47371.2,128652.3,121400.4,148
47.4,151780.0,30390.0,45726.0,29960.0,45704.0,120773.3,56261.8,75188.2,13346.3,0.0,507.7,0.0,16930.2,1296.0,82407.3,83728.2,44742.1,128652.3,121280.9,148
48.9,151836.0,30398.0,45734.0,29968.0,45736.0,122450.2,56271.2,78688.3,13355.6,0.0,360.6,0.0,16931.1,1148.3,85134.1,86306.6,42089.9,128652.3,122810.8,148
50.9,151852.0,30402.0,45738.0,29972.0,45740.0,124613.4,56272.6,80962.5,13357.1,0.0,248.7,0.0,16941.8,1037.9,88628.1,89690.0,38651.2,128652.3,124862.2,148
52.4,151868.0,30406.0,45742.0,29976.0,45744.0,127325.7,56272.6,83674.8,13357.1,0.0,252.1,0.0,16942.1,1040.9,91302.6,92367.6,35975.2,128652.3,127577.8,148
54.0,151938.0,30464.0,45746.0,29980.0,45748.0,130237.5,56273.0,86586.5,13357.5,0.0,289.0,0.0,16942.4,1079.1,94268.1,95371.5,32990.3,128652.3,130526.4,148
55.5,151970.0,30472.0,45754.0,29988.0,45756.0,132624.2,56320.0,88973.1,13404.4,0.0,294.3,0.0,16986.9,1085.3,96851.8,97961.5,30403.5,128652.3,132918.5,148
57.2,151972.0,30474.0,45754.0,29988.0,45756.0,134679.2,56325.2,91027.5,13409.7,0.0,296.5,0.0,16990.5,1086.4,99188.0,100298.8,28066.7,128652.3,134975.6,148
58.8,151988.0,30478.0,45758.0,29992.0,45760.0,135312.2,56330.8,91660.0,13415.3,0.0,310.2,0.0,17000.8,1102.1,99554.2,100680.7,27692.7,128652.3,135622.4,148
60.5,152020.0,30486.0,45766.0,30000.0,45768.0,138782.6,56331.1,95130.5,13415.6,0.0,312.6,0.0,17001.8,1104.2,102685.0,103813.6,24560.8,128652.3,139095.2,148
62.5,152036.0,30490.0,45770.0,30004.0,45772.0,141443.8,56337.0,97791.7,13421.5,0.0,313.0,0.0,17008.7,1104.6,105875.1,107004.2,21370.5,128652.3,141756.8,148
64.3,152070.0,30498.0,45778.0,30014.0,45780.0,144938.5,56341.5,101285.3,13426.0,0.0,321.6,0.0,17010.3,1114.1,108642.6,109781.1,18598.3,128652.3,145260.2,148
66.6,152102.0,30506.0,45786.0,30022.0,45788.0,147860.6,56378.4,104207.3,13462.9,0.0,323.7,0.0,17030.2,1116.7,112454.8,113595.8,14784.8,128652.3,148184.2,148
68.8,152118.0,30510.0,45790.0,30026.0,45792.0,151087.0,56346.0,107433.8,13430.5,0.0,327.5,0.0,17068.3,1122.0,116514.6,117661.0,10722.3,128652.3,151414.6,148
