t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0689,4121,0,60000,0.0687,0.0000,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.00,0.0689,4121,0,60000,0.0687,0.0000,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.50,0.1372,8217,0,60000,0.1369,0.0099,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
2.00,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.50,0.2737,16409,0,60000,0.2735,0.0099,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.00,0.3420,12041,0,60000,0.2007,0.0000,0.3414,20480,0,60000,0.3413,0.0000,,,,,,,,,,,,
3.50,0.4103,16137,0,60000,0.2690,0.0104,0.4097,16123,0,60000,0.2687,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
4.00,0.4103,16137,0,60000,0.2690,0.0104,0.4097,16123,0,60000,0.2687,0.0099,,,,,,,0.2751,42446,2,154304,0.2751,0.0000
4.50,0.4103,16137,0,60000,0.2690,0.0104,0.4779,11756,0,60000,0.1959,0.0000,,,,,,,0.2751,42446,2,154304,0.2751,0.0000
5.00,0.5468,15890,0,60000,0.2648,0.0099,0.5462,15852,0,60000,0.2642,0.0099,,,,,,,0.2751,42446,2,154304,0.2751,0.0000
5.50,0.6151,11538,0,60000,0.1923,0.0000,0.6145,11505,0,60000,0.1918,0.0000,,,,,,,0.2751,42446,2,154304,0.2751,0.0000
6.00,0.6834,15634,0,60000,0.2606,0.0099,0.6145,11505,0,60000,0.1918,0.0000,,,,,,,0.2751,42446,2,154304,0.2751,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
6.50,0.6834,15634,0,60000,0.2606,0.0099,0.6145,11505,0,60000,0.1918,0.0000,0.3758,67982,1,180896,0.3758,0.0000,0.2751,42446,2,154304,0.2751,0.0000
7.00,0.7516,11275,0,60000,0.1879,0.0000,0.8923,19697,0,60000,0.3283,0.0000,0.3758,67982,1,180896,0.3758,0.0000,0.2751,42446,2,154304,0.2751,0.0000
7.50,0.7516,11275,0,60000,0.1879,0.0000,0.8923,19697,0,60000,0.3283,0.0000,0.3758,67982,1,180896,0.3758,0.0000,0.2758,42562,1,154304,0.2758,0.0000
8.00,0.8201,23825,0,60000,0.3971,0.8443,0.9470,19453,0,60000,0.3242,0.0000,0.3758,67982,1,180896,0.3758,0.0000,0.2758,42562,1,154304,0.2758,0.0000
8.50,0.8465,25422,0,60000,0.4237,0.9978,0.9470,19453,0,60000,0.3242,0.0000,0.3758,67982,1,180896,0.3758,0.0000,0.2758,42562,1,154304,0.2758,0.0000
9.00,0.8465,25422,0,60000,0.4237,0.9978,0.9563,15106,0,60000,0.2518,0.0099,0.3758,67982,1,180896,0.3758,0.0000,0.2758,42562,1,154304,0.2758,0.0000
9.50,0.8465,25422,0,60000,0.4237,0.9978,0.9385,10741,0,60000,0.1790,0.0000,0.3294,59585,2,180896,0.3294,0.0000,0.2758,42562,1,154304,0.2758,0.0000
10.00,0.8471,16993,0,60000,0.2832,0.9978,0.8786,14837,0,60000,0.2473,0.0099,0.3294,59585,2,180896,0.3294,0.0000,0.2758,42562,1,154304,0.2758,0.0000
10.50,0.8471,16993,0,60000,0.2832,0.9978,0.8791,10469,0,60000,0.1745,0.0000,0.3294,59585,2,180896,0.3294,0.0000,0.2758,42562,1,154304,0.2758,0.0000
11.00,0.8471,16993,0,60000,0.2832,0.9978,0.9474,14565,0,60000,0.2427,0.0099,0.2826,51113,1,180896,0.2826,0.0000,0.2758,42562,1,154304,0.2758,0.0000
11.50,0.8471,16993,0,60000,0.2832,0.9978,0.9474,14565,0,60000,0.2427,0.0099,0.2826,51113,1,180896,0.2826,0.0000,0.2758,42562,1,154304,0.2758,0.0000
12.00,0.9883,8499,0,60000,0.1416,0.9978,0.8748,10212,0,60000,0.1702,0.0000,0.2826,51113,1,180896,0.2826,0.0000,0.2758,42562,1,154304,0.2758,0.0000
12.50,0.9883,8499,0,60000,0.1416,0.9978,0.9431,14308,0,60000,0.2385,0.0099,0.2826,51113,1,180896,0.2826,0.0000,0.2758,42562,1,154304,0.2758,0.0000
13.00,0.8260,8529,0,60000,0.1421,0.9975,0.9431,14308,0,60000,0.2385,0.0099,0.2826,51113,1,180896,0.2826,0.0000,0.2758,42562,1,154304,0.2758,0.0000
13.50,0.8260,8529,0,60000,0.1421,0.9975,0.9389,14023,0,60000,0.2337,0.0099,0.2826,51113,1,180896,0.2826,0.0000,0.3317,51187,1,154304,0.3317,0.0000
14.00,0.8946,4137,0,60000,0.0689,0.0000,0.9389,14023,0,60000,0.2337,0.0099,0.2826,51113,1,180896,0.2826,0.0000,0.3317,51187,1,154304,0.3317,0.0000
14.50,0.8183,16737,0,60000,0.2789,0.9631,0.8671,9657,0,60000,0.1610,0.0000,0.2829,51167,1,180896,0.2829,0.0000,0.3317,51187,1,154304,0.3317,0.0000
15.00,0.8921,21160,0,60000,0.3527,0.0000,0.9354,13753,0,60000,0.2292,0.0099,0.2829,51167,1,180896,0.2829,0.0000,0.3317,51187,1,154304,0.3317,0.0000
15.50,0.9603,16758,0,60000,0.2793,0.0000,0.8954,9351,0,60000,0.1558,0.0000,0.2829,51167,1,180896,0.2829,0.0000,0.3317,51187,1,154304,0.3317,0.0000
16.00,0.9603,16758,0,60000,0.2793,0.0000,0.9309,13447,0,60000,0.2241,0.0099,0.2829,51167,1,180896,0.2829,0.0000,0.3317,51187,1,154304,0.3317,0.0000
16.50,0.9603,16758,0,60000,0.2793,0.0000,0.9309,13447,0,60000,0.2241,0.0099,0.2829,51167,1,180896,0.2829,0.0000,0.3317,51187,1,154304,0.3317,0.0000
17.00,0.7684,8565,0,60000,0.1427,0.9977,0.9309,13447,0,60000,0.2241,0.0099,0.2829,51167,1,180896,0.2829,0.0000,0.2766,42679,2,154304,0.2766,0.0000
17.50,0.8370,12681,0,60000,0.2114,0.0000,0.9552,13152,0,60000,0.2192,0.0099,0.2829,51167,1,180896,0.2829,0.0000,0.2766,42679,2,154304,0.2766,0.0000
18.00,0.9053,8233,0,60000,0.1372,0.0000,0.8536,17248,0,60000,0.2875,0.0000,0.3773,68261,1,180896,0.3773,0.0000,0.2766,42679,2,154304,0.2766,0.0000
18.50,0.9053,8233,0,60000,0.1372,0.0000,0.7260,12862,0,60000,0.2144,0.0000,0.3773,68261,1,180896,0.3773,0.0000,0.2766,42679,2,154304,0.2766,0.0000
19.00,0.9787,12633,0,60000,0.2105,0.0000,0.7943,8481,0,60000,0.1414,0.0099,0.3773,68261,1,180896,0.3773,0.0000,0.2766,42679,2,154304,0.2766,0.0000
19.50,0.8466,16746,0,60000,0.2791,0.9675,0.7943,8481,0,60000,0.1414,0.0099,0.3773,68261,1,180896,0.3773,0.0000,0.2766,42679,2,154304,0.2766,0.0000
20.00,0.9196,21129,0,60000,0.3522,0.0000,0.8626,12577,0,60000,0.2096,0.0000,0.3773,68261,1,180896,0.3773,0.0000,0.2766,42679,2,154304,0.2766,0.0000
20.50,0.9879,16767,0,60000,0.2794,0.0000,0.8448,16673,0,60000,0.2779,0.0099,0.3308,59839,2,180896,0.3308,0.0000,0.2766,42679,2,154304,0.2766,0.0000
21.00,0.9879,16767,0,60000,0.2794,0.0000,0.9130,12299,0,60000,0.2050,0.0000,0.3308,59839,2,180896,0.3308,0.0000,0.2766,42679,2,154304,0.2766,0.0000
21.50,0.9879,16767,0,60000,0.2794,0.0000,0.9130,12299,0,60000,0.2050,0.0000,0.3308,59839,2,180896,0.3308,0.0000,0.2766,42679,2,154304,0.2766,0.0000
22.00,0.9879,16767,0,60000,0.2794,0.0000,0.9130,12299,0,60000,0.2050,0.0000,0.3308,59839,2,180896,0.3308,0.0000,0.2766,42679,2,154304,0.2766,0.0000
22.50,0.8411,17050,0,60000,0.2842,0.9975,0.8438,12022,0,60000,0.2004,0.0000,0.1892,34226,1,180896,0.1892,0.0000,0.2766,42679,2,154304,0.2766,0.0000
23.00,0.8411,17050,0,60000,0.2842,0.9975,0.9121,16120,0,60000,0.2687,0.0104,0.1892,34226,1,180896,0.1892,0.0000,0.2766,42679,2,154304,0.2766,0.0000
23.50,0.8411,17050,0,60000,0.2842,0.9975,0.9803,11721,0,60000,0.1953,0.0000,0.1892,34226,1,180896,0.1892,0.0000,0.2766,42679,2,154304,0.2766,0.0000
24.00,0.8411,17050,0,60000,0.2842,0.9975,0.9803,15817,0,60000,0.2636,0.0099,0.1892,34226,1,180896,0.1892,0.0000,0.3327,51339,1,154304,0.3327,0.0000
24.50,0.8415,8575,0,60000,0.1429,0.9959,0.9709,11436,0,60000,0.1906,0.0000,0.1892,34226,1,180896,0.1892,0.0000,0.3327,51339,1,154304,0.3327,0.0000
25.00,0.8415,8575,0,60000,0.1429,0.9959,0.9709,11436,0,60000,0.1906,0.0000,0.1892,34226,1,180896,0.1892,0.0000,0.3327,51339,1,154304,0.3327,0.0000
25.50,0.8415,8575,0,60000,0.1429,0.9959,0.9709,15532,0,60000,0.2589,0.0099,0.1892,34226,1,180896,0.1892,0.0000,0.3327,51339,1,154304,0.3327,0.0000
26.00,0.8415,8575,0,60000,0.1429,0.9959,0.9072,11108,0,60000,0.1851,0.0000,0.1892,34226,1,180896,0.1892,0.0000,0.3327,51339,1,154304,0.3327,0.0000
26.50,0.8415,8575,0,60000,0.1429,0.9959,0.9754,15204,0,60000,0.2534,0.0099,0.1892,34226,1,180896,0.1892,0.0000,0.3327,51339,1,154304,0.3327,0.0000
27.00,0.8421,8558,0,60000,0.1426,0.9959,0.8877,10787,0,60000,0.1798,0.0000,0.3306,59810,1,180896,0.3306,0.0000,0.3327,51339,1,154304,0.3327,0.0000
27.50,0.8427,17106,0,60000,0.2851,0.9959,0.8877,10787,0,60000,0.1798,0.0000,0.3306,59810,1,180896,0.3306,0.0000,0.3327,51339,1,154304,0.3327,0.0000
28.00,0.9842,25598,0,60000,0.4266,0.9936,0.9559,14883,0,60000,0.2480,0.0099,0.3306,59810,1,180896,0.3306,0.0000,0.3334,51451,1,154304,0.3334,0.0000
28.50,0.9851,12651,0,60000,0.2109,0.0000,0.9458,10468,0,60000,0.1745,0.0000,0.3306,59810,1,180896,0.3306,0.0000,0.3334,51451,1,154304,0.3334,0.0000
29.00,0.9172,16747,0,60000,0.2791,0.0000,0.9360,14566,0,60000,0.2428,0.0104,0.3306,59810,1,180896,0.3306,0.0000,0.3334,51451,1,154304,0.3334,0.0000
29.50,0.9208,17029,0,60000,0.2838,0.9977,0.9360,10128,0,60000,0.1688,0.0000,0.3778,68336,1,180896,0.3778,0.0000,0.3334,51451,1,154304,0.3334,0.0000
30.00,0.9208,17029,0,60000,0.2838,0.9977,0.9360,10128,0,60000,0.1688,0.0000,0.3778,68336,1,180896,0.3778,0.0000,0.3334,51451,1,154304,0.3334,0.0000
30.50,0.9202,25541,0,60000,0.4257,0.9935,0.9258,14224,0,60000,0.2371,0.0099,0.3778,68336,1,180896,0.3778,0.0000,0.3334,51451,1,154304,0.3334,0.0000
31.00,0.9202,25541,0,60000,0.4257,0.9935,0.9941,9816,0,60000,0.1636,0.0000,0.3778,68336,1,180896,0.3778,0.0000,0.3330,51377,2,154304,0.3330,0.0000
31.50,0.9894,12685,0,60000,0.2114,0.0000,0.9941,13912,0,60000,0.2319,0.0099,0.3778,68336,1,180896,0.3778,0.0000,0.3330,51377,2,154304,0.3330,0.0000
32.00,0.9840,8233,0,60000,0.1372,0.0000,0.7741,9448,0,60000,0.1575,0.0000,0.3778,68336,1,180896,0.3778,0.0000,0.2225,34332,1,154304,0.2225,0.0000
