t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0689,4121,0,60000,0.0687,0.0000,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.00,0.0689,4121,0,60000,0.0687,0.0000,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
1.50,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.00,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.50,0.2737,16409,0,60000,0.2735,0.0099,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.00,0.3420,20505,0,60000,0.3417,0.0000,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.50,0.4103,16158,0,60000,0.2693,0.0099,0.3414,12027,0,60000,0.2004,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
4.00,0.4785,11815,0,60000,0.1969,0.0000,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,,,,,,
4.50,0.4785,11815,0,60000,0.1969,0.0000,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,,,,,,
5.00,0.5468,15911,0,60000,0.2652,0.0099,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
5.50,0.6151,11564,0,60000,0.1927,0.0000,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
6.00,0.6834,15660,0,60000,0.2610,0.0099,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
6.50,0.7516,11306,0,60000,0.1884,0.0000,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
7.00,0.7516,11306,0,60000,0.1884,0.0000,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
7.50,0.8199,15402,0,60000,0.2567,0.0099,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
8.00,0.8881,11049,0,60000,0.1842,0.0000,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
8.50,0.9564,23588,0,60000,0.3931,0.8216,0.3414,12027,0,60000,0.2004,0.0000,0.3856,59502,1,154304,0.3856,0.0000,0.3302,50944,1,154304,0.3302,0.0000
9.00,0.9564,23588,0,60000,0.3931,0.8216,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3302,50944,1,154304,0.3302,0.0000
9.50,0.9564,23588,0,60000,0.3931,0.8216,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3302,50944,1,154304,0.3302,0.0000
10.00,0.9564,23588,0,60000,0.3931,0.8216,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3302,50944,1,154304,0.3302,0.0000
10.50,0.9564,23588,0,60000,0.3931,0.8216,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
11.00,0.9871,8490,0,60000,0.1415,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
11.50,0.9871,8490,0,60000,0.1415,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
12.00,0.9877,8518,0,60000,0.1420,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
12.50,0.9877,8518,0,60000,0.1420,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
13.00,0.9882,8476,0,60000,0.1413,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
13.50,0.9882,8476,0,60000,0.1413,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3308,51050,1,154304,0.3308,0.0000,0.3307,51032,1,154304,0.3307,0.0000
14.00,0.9882,8476,0,60000,0.1413,0.9960,0.6918,16123,0,60000,0.2687,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.3307,51032,1,154304,0.3307,0.0000
14.50,0.9882,8476,0,60000,0.1413,0.9960,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.3307,51032,1,154304,0.3307,0.0000
15.00,0.9882,8476,0,60000,0.1413,0.9960,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.3307,51032,1,154304,0.3307,0.0000
15.50,0.9882,8476,0,60000,0.1413,0.9960,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.3307,51032,1,154304,0.3307,0.0000
16.00,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.3307,51032,1,154304,0.3307,0.0000
16.50,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.3307,51032,1,154304,0.3307,0.0000
17.00,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
17.50,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
18.00,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
18.50,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
19.00,0.9888,8552,0,60000,0.1425,0.9958,0.7602,11755,0,60000,0.1959,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
19.50,0.9888,8552,0,60000,0.1425,0.9958,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
20.00,0.9888,8552,0,60000,0.1425,0.9958,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
20.50,0.9888,8552,0,60000,0.1425,0.9958,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
21.00,0.9888,8552,0,60000,0.1425,0.9958,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
21.50,0.9888,8552,0,60000,0.1425,0.9958,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
22.00,0.9888,8552,0,60000,0.1425,0.9958,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
22.50,0.9847,4137,0,60000,0.0689,0.0000,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
23.00,0.9847,4137,0,60000,0.0689,0.0000,0.8289,15851,0,60000,0.2642,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
23.50,0.9764,8233,0,60000,0.1372,0.0000,0.8259,15580,0,60000,0.2597,0.0099,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
24.00,0.9764,8233,0,60000,0.1372,0.0000,0.8942,11240,0,60000,0.1873,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
24.50,0.9764,8233,0,60000,0.1372,0.0000,0.8942,11240,0,60000,0.1873,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
25.00,0.9764,8233,0,60000,0.1372,0.0000,0.8942,11240,0,60000,0.1873,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
25.50,0.9764,8233,0,60000,0.1372,0.0000,0.8942,11240,0,60000,0.1873,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
26.00,0.9764,8233,0,60000,0.1372,0.0000,0.8942,11240,0,60000,0.1873,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
26.50,0.9764,8233,0,60000,0.1372,0.0000,0.8942,11240,0,60000,0.1873,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
27.00,0.9764,8233,0,60000,0.1372,0.0000,0.8893,10971,0,60000,0.1829,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
27.50,0.9815,8538,0,60000,0.1423,0.9958,0.8893,10971,0,60000,0.1829,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
28.00,0.9815,8538,0,60000,0.1423,0.9958,0.8893,10971,0,60000,0.1829,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4417,68159,1,154304,0.4417,0.0000
28.50,0.9815,8538,0,60000,0.1423,0.9958,0.8893,10971,0,60000,0.1829,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4425,68273,1,154304,0.4425,0.0000
29.00,0.9815,8538,0,60000,0.1423,0.9958,0.8893,10971,0,60000,0.1829,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4425,68273,1,154304,0.4425,0.0000
29.50,0.9815,8538,0,60000,0.1423,0.9958,0.8893,10971,0,60000,0.1829,0.0000,0.3861,59575,1,154304,0.3861,0.0000,0.4425,68273,1,154304,0.4425,0.0000
30.00,0.9815,8538,0,60000,0.1423,0.9958,0.8850,10699,0,60000,0.1783,0.0000,0.3870,59722,1,154304,0.3870,0.0000,0.4425,68273,1,154304,0.4425,0.0000
30.50,0.9821,4137,0,60000,0.0689,0.0000,0.8850,10699,0,60000,0.1783,0.0000,0.3870,59722,1,154304,0.3870,0.0000,0.4425,68273,1,154304,0.4425,0.0000
31.00,0.9695,8233,0,60000,0.1372,0.0000,0.8850,10699,0,60000,0.1783,0.0000,0.3870,59722,1,154304,0.3870,0.0000,0.4425,68273,1,154304,0.4425,0.0000
31.50,0.9695,8233,0,60000,0.1372,0.0000,0.8850,10699,0,60000,0.1783,0.0000,0.3870,59722,1,154304,0.3870,0.0000,0.4425,68273,1,154304,0.4425,0.0000
32.00,0.9695,8233,0,60000,0.1372,0.0000,0.8619,18891,0,60000,0.3149,0.0000,0.3870,59722,1,154304,0.3870,0.0000,0.4425,68273,1,154304,0.4425,0.0000
