t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0689,4121,0,60000,0.0687,0.0000,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.00,0.1372,8217,0,60000,0.1369,0.0099,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.50,0.1372,8217,0,60000,0.1369,0.0099,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
2.00,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.50,0.2737,16409,0,60000,0.2735,0.0099,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.00,0.3420,20505,0,60000,0.3417,0.0000,0.3414,20480,0,60000,0.3413,0.0000,,,,,,,,,,,,
3.50,0.3420,20505,0,60000,0.3417,0.0000,0.3414,20480,0,60000,0.3413,0.0000,,,,,,,,,,,,
4.00,0.4103,16148,0,60000,0.2691,0.0099,0.4097,16113,0,60000,0.2686,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
4.50,0.4785,20244,0,60000,0.3374,0.0000,0.4097,16113,0,60000,0.2686,0.0099,,,,,,,0.2747,59432,1,216374,0.2747,0.0000
5.00,0.4785,20244,0,60000,0.3374,0.0000,0.4779,20209,0,60000,0.3368,0.0000,,,,,,,0.2747,59432,1,216374,0.2747,0.0000
5.50,0.5468,15901,0,60000,0.2650,0.0099,0.5462,15862,0,60000,0.2644,0.0099,,,,,,,0.2747,59432,1,216374,0.2747,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
6.00,0.6151,19997,0,60000,0.3333,0.0000,0.5462,15862,0,60000,0.2644,0.0099,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
6.50,0.6151,19997,0,60000,0.3333,0.0000,0.6145,19958,0,60000,0.3326,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
7.00,0.6834,15632,0,60000,0.2605,0.0099,0.6145,19958,0,60000,0.3326,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
7.50,0.6834,15632,0,60000,0.2605,0.0099,0.6827,15590,0,60000,0.2598,0.0099,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
8.00,0.7516,19728,0,60000,0.3288,0.0000,0.7510,19686,0,60000,0.3281,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
8.50,0.7516,19728,0,60000,0.3288,0.0000,0.7510,19686,0,60000,0.3281,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
9.00,0.8199,15360,0,60000,0.2560,0.0104,0.8193,15346,0,60000,0.2558,0.0099,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
9.50,0.8881,19456,0,60000,0.3243,0.0000,0.8875,19442,0,60000,0.3240,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
10.00,0.8881,19456,0,60000,0.3243,0.0000,0.8875,19442,0,60000,0.3240,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
10.50,0.9564,15075,0,60000,0.2512,0.0099,0.9558,40465,0,60000,0.6744,0.9296,0.2358,51016,2,216374,0.2358,0.0000,0.2747,59432,1,216374,0.2747,0.0000
11.00,0.9515,19171,0,60000,0.3195,0.0000,0.9880,42397,0,60000,0.7066,0.0099,0.2358,51016,2,216374,0.2358,0.0000,0.3147,68098,1,216374,0.3147,0.0000
11.50,0.9341,23267,0,60000,0.3878,0.0101,0.9880,42397,0,60000,0.7066,0.0099,0.2358,51016,2,216374,0.2358,0.0000,0.3147,68098,1,216374,0.3147,0.0000
12.00,0.9341,23267,0,60000,0.3878,0.0101,0.9699,38044,0,60000,0.6341,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.3147,68098,1,216374,0.3147,0.0000
12.50,0.8792,27368,0,60000,0.4561,0.0000,0.9617,42140,0,60000,0.7023,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.1970,42615,1,216374,0.1970,0.0000
13.00,0.8792,27368,0,60000,0.4561,0.0000,0.9617,42140,0,60000,0.7023,0.0000,0.2358,51016,2,216374,0.2358,0.0000,0.1970,42615,1,216374,0.1970,0.0000
13.50,0.9470,56822,0,60000,0.9470,0.9435,0.9890,33957,0,60000,0.5659,0.9960,0.3149,68141,1,216374,0.3149,0.0000,0.1970,42615,1,216374,0.1970,0.0000
14.00,0.9470,56822,0,60000,0.9470,0.9435,0.9895,33963,0,60000,0.5661,0.9960,0.3149,68141,1,216374,0.3149,0.0000,0.1970,42615,1,216374,0.1970,0.0000
14.50,0.9470,56822,0,60000,0.9470,0.9435,0.9596,29595,0,60000,0.4933,0.0000,0.3149,68141,1,216374,0.3149,0.0000,0.1970,42615,1,216374,0.1970,0.0000
15.00,0.9470,56822,0,60000,0.9470,0.9435,0.9120,33691,0,60000,0.5615,0.0000,0.3149,68141,1,216374,0.3149,0.0000,0.1578,34154,1,216374,0.1578,0.0000
15.50,0.9893,50917,0,60000,0.8486,0.9960,0.9120,33691,0,60000,0.5615,0.0000,0.2363,51132,1,216374,0.2363,0.0000,0.1578,34154,1,216374,0.1578,0.0000
16.00,0.9501,46575,0,60000,0.7762,0.0000,0.9120,33691,0,60000,0.5615,0.0000,0.2363,51132,1,216374,0.2363,0.0000,0.1578,34154,1,216374,0.1578,0.0000
16.50,0.9125,50671,0,60000,0.8445,0.0000,0.9120,33691,0,60000,0.5615,0.0000,0.2363,51132,1,216374,0.2363,0.0000,0.1578,34154,1,216374,0.1578,0.0000
17.00,0.9854,46571,0,60000,0.7762,0.0000,0.9120,33691,0,60000,0.5615,0.0000,0.1971,42640,1,216374,0.1971,0.0000,0.1578,34154,1,216374,0.1578,0.0000
17.50,0.9849,50634,0,60000,0.8439,0.9578,0.9169,17002,0,60000,0.2834,0.9958,0.1971,42640,1,216374,0.1971,0.0000,0.1578,34154,1,216374,0.1578,0.0000
18.00,0.9849,50634,0,60000,0.8439,0.9578,0.9169,17002,0,60000,0.2834,0.9958,0.1971,42640,1,216374,0.1971,0.0000,0.1579,34155,1,216374,0.1579,0.0000
18.50,0.9779,46635,0,60000,0.7772,0.0000,0.9169,17002,0,60000,0.2834,0.9958,0.1581,34213,1,216374,0.1581,0.0000,0.1579,34155,1,216374,0.1579,0.0000
19.00,0.8781,52688,0,60000,0.8781,0.3280,0.9169,17002,0,60000,0.2834,0.9958,0.1581,34213,1,216374,0.1581,0.0000,0.1579,34155,1,216374,0.1579,0.0000
19.50,0.9048,54289,0,60000,0.9048,0.5966,0.9169,17002,0,60000,0.2834,0.9958,0.1581,34213,1,216374,0.1581,0.0000,0.1579,34155,1,216374,0.1579,0.0000
20.00,0.9048,54289,0,60000,0.9048,0.5966,0.9169,17002,0,60000,0.2834,0.9958,0.1978,42793,1,216374,0.1978,0.0000,0.1579,34155,1,216374,0.1579,0.0000
20.50,0.9728,58368,0,60000,0.9728,0.8744,0.9169,17002,0,60000,0.2834,0.9958,0.1978,42793,1,216374,0.1978,0.0000,0.1579,34155,1,216374,0.1579,0.0000
21.00,0.9728,58368,0,60000,0.9728,0.8744,0.9858,4137,0,60000,0.0689,0.0000,0.1978,42793,1,216374,0.1978,0.0000,0.1579,34155,1,216374,0.1579,0.0000
21.50,0.9886,55218,0,60000,0.9203,0.0000,0.9719,8233,0,60000,0.1372,0.0000,0.1978,42793,1,216374,0.1978,0.0000,0.1184,25615,1,216374,0.1184,0.0000
22.00,0.9886,55218,0,60000,0.9203,0.0000,0.9776,17085,0,60000,0.2848,0.9959,0.1978,42793,1,216374,0.1978,0.0000,0.1184,25615,1,216374,0.1184,0.0000
22.50,0.9876,59254,0,60000,0.9876,0.9598,0.9776,17085,0,60000,0.2848,0.9959,0.1978,42793,1,216374,0.1978,0.0000,0.1184,25615,1,216374,0.1184,0.0000
23.00,0.9573,55212,0,60000,0.9202,0.0000,0.9776,17085,0,60000,0.2848,0.9959,0.1978,42793,1,216374,0.1978,0.0000,0.1184,25615,1,216374,0.1184,0.0000
23.50,0.9885,59308,0,60000,0.9885,0.0000,0.9776,17085,0,60000,0.2848,0.9959,0.1978,42793,1,216374,0.1978,0.0000,0.1184,25615,1,216374,0.1184,0.0000
24.00,0.9885,59308,0,60000,0.9885,0.0000,0.9782,4137,0,60000,0.0689,0.0000,0.2769,59924,1,216374,0.2769,0.0000,0.1184,25615,1,216374,0.1184,0.0000
24.50,0.9939,51101,0,60000,0.8517,0.0099,0.9142,8233,0,60000,0.1372,0.0099,0.2769,59924,1,216374,0.2769,0.0000,0.1184,25615,1,216374,0.1184,0.0000
25.00,0.9525,55190,0,60000,0.9198,0.0000,0.9825,12329,0,60000,0.2055,0.0000,0.2769,59924,1,216374,0.2769,0.0000,0.1184,25615,1,216374,0.1184,0.0000
25.50,0.9881,59286,0,60000,0.9881,0.9590,0.9825,16425,0,60000,0.2737,0.0099,0.2769,59924,1,216374,0.2769,0.0000,0.1184,25615,1,216374,0.1184,0.0000
26.00,0.9881,59286,0,60000,0.9881,0.9590,0.9825,16425,0,60000,0.2737,0.0099,0.2769,59924,1,216374,0.2769,0.0000,0.1977,42787,1,216374,0.1977,0.0000
26.50,0.9198,55191,0,60000,0.9198,0.0000,0.9597,20521,0,60000,0.3420,0.0000,0.2769,59924,1,216374,0.2769,0.0000,0.1977,42787,1,216374,0.1977,0.0000
27.00,0.9881,59287,0,60000,0.9881,0.9562,0.9597,20521,0,60000,0.3420,0.0000,0.2376,51417,1,216374,0.2376,0.0000,0.1977,42787,1,216374,0.1977,0.0000
27.50,0.9881,59287,0,60000,0.9881,0.9562,0.9048,33186,0,60000,0.5531,0.9434,0.2376,51417,1,216374,0.2376,0.0000,0.1977,42787,1,216374,0.1977,0.0000
28.00,0.9948,59687,0,60000,0.9948,0.9958,0.9048,33186,0,60000,0.5531,0.9434,0.2376,51417,1,216374,0.2376,0.0000,0.1977,42787,1,216374,0.1977,0.0000
28.50,0.9948,59687,0,60000,0.9948,0.9958,0.9048,33186,0,60000,0.5531,0.9434,0.2376,51417,1,216374,0.2376,0.0000,0.1977,42787,1,216374,0.1977,0.0000
29.00,0.9948,59687,0,60000,0.9948,0.9958,0.9902,29803,0,60000,0.4967,0.0000,0.1981,42860,1,216374,0.1981,0.0000,0.1977,42787,1,216374,0.1977,0.0000
29.50,0.9899,55300,0,60000,0.9217,0.0000,0.9902,29803,0,60000,0.4967,0.0000,0.1981,42860,1,216374,0.1981,0.0000,0.1979,42827,1,216374,0.1979,0.0000
30.00,0.9899,59396,0,60000,0.9899,0.0000,0.9902,33789,0,60000,0.5632,0.6758,0.1981,42860,1,216374,0.1981,0.0000,0.1979,42827,1,216374,0.1979,0.0000
30.50,0.9899,59396,0,60000,0.9899,0.0000,0.9790,29319,0,60000,0.4886,0.0000,0.1981,42860,1,216374,0.1981,0.0000,0.1979,42827,1,216374,0.1979,0.0000
31.00,0.9212,55269,0,60000,0.9212,0.0000,0.9790,29319,0,60000,0.4886,0.0000,0.1981,42860,1,216374,0.1981,0.0000,0.1979,42827,1,216374,0.1979,0.0000
31.50,0.9894,59365,0,60000,0.9894,0.0000,0.9746,24883,0,60000,0.4147,0.0101,0.1981,42860,1,216374,0.1981,0.0000,0.1979,42827,1,216374,0.1979,0.0000
32.00,0.9894,59365,0,60000,0.9894,0.0000,0.9746,28979,0,60000,0.4830,0.0000,0.1981,42860,1,216374,0.1981,0.0000,0.1979,42827,1,216374,0.1979,0.0000
