t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0689,4121,0,60000,0.0687,0.0000,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.00,0.1372,8217,0,60000,0.1369,0.0099,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.50,0.1372,8217,0,60000,0.1369,0.0099,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
2.00,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.50,0.2737,16409,0,60000,0.2735,0.0099,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.00,0.3420,12069,0,60000,0.2011,0.0000,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.50,0.4103,16165,0,60000,0.2694,0.0099,0.3414,12037,0,60000,0.2006,0.0000,,,,,,,,,,,,
4.00,0.4103,16165,0,60000,0.2694,0.0099,0.4097,16133,0,60000,0.2689,0.0099,,,,,,,,,,,,
4.50,0.4785,11808,0,60000,0.1968,0.0000,0.4779,11766,0,60000,0.1961,0.0000,,,,,,,,,,,,
5.00,0.5468,15904,0,60000,0.2651,0.0099,0.5462,15862,0,60000,0.2644,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
5.50,0.6151,11561,0,60000,0.1927,0.0000,0.6145,11494,0,60000,0.1916,0.0000,,,,,,,0.2752,42464,1,154304,0.2752,0.0000
6.00,0.6834,15657,0,60000,0.2610,0.0099,0.6145,11494,0,60000,0.1916,0.0000,,,,,,,0.2752,42464,1,154304,0.2752,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
6.50,0.7516,11292,0,60000,0.1882,0.0000,0.6827,15590,0,60000,0.2598,0.0099,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
7.00,0.7516,11292,0,60000,0.1882,0.0000,0.7510,11237,0,60000,0.1873,0.0000,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
7.50,0.8199,15388,0,60000,0.2565,0.0099,0.8193,15333,0,60000,0.2555,0.0099,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
8.00,0.8881,11041,0,60000,0.1840,0.0000,0.8875,10965,0,60000,0.1827,0.0000,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
8.50,0.9564,15137,0,60000,0.2523,0.0101,0.8875,10965,0,60000,0.1827,0.0000,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
9.00,0.9564,15137,0,60000,0.2523,0.0101,0.9558,15061,0,60000,0.2510,0.0099,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
9.50,0.9518,19233,0,60000,0.3206,0.0000,0.9558,15061,0,60000,0.2510,0.0099,0.3306,51016,1,154304,0.3306,0.0000,0.2752,42464,1,154304,0.2752,0.0000
10.00,0.9434,14879,0,60000,0.2480,0.0099,0.9509,10680,0,60000,0.1780,0.0000,0.2758,42556,1,154304,0.2758,0.0000,0.2752,42464,1,154304,0.2752,0.0000
10.50,0.9434,10533,0,60000,0.1756,0.0000,0.9422,14776,0,60000,0.2463,0.0099,0.2758,42556,1,154304,0.2758,0.0000,0.3860,59565,1,154304,0.3860,0.0000
11.00,0.9349,14629,0,60000,0.2438,0.0000,0.9422,10417,0,60000,0.1736,0.0000,0.2758,42556,1,154304,0.2758,0.0000,0.3860,59565,1,154304,0.3860,0.0000
11.50,0.9349,14629,0,60000,0.2438,0.0000,0.9331,14513,0,60000,0.2419,0.0099,0.2758,42556,1,154304,0.2758,0.0000,0.3860,59565,1,154304,0.3860,0.0000
12.00,0.9349,14629,0,60000,0.2438,0.0000,0.9331,14513,0,60000,0.2419,0.0099,0.2758,42556,1,154304,0.2758,0.0000,0.3314,51130,1,154304,0.3314,0.0000
12.50,0.9349,14629,0,60000,0.2438,0.0000,0.9331,10174,0,60000,0.1696,0.0000,0.2758,42556,1,154304,0.2758,0.0000,0.3314,51130,1,154304,0.3314,0.0000
13.00,0.9741,8491,0,60000,0.1415,0.9960,0.9243,14270,0,60000,0.2378,0.0099,0.2758,42556,1,154304,0.2758,0.0000,0.3314,51130,1,154304,0.3314,0.0000
13.50,0.9741,8491,0,60000,0.1415,0.9960,0.9926,9911,0,60000,0.1652,0.0000,0.2758,42556,1,154304,0.2758,0.0000,0.3314,51130,1,154304,0.3314,0.0000
14.00,0.9747,8484,0,60000,0.1414,0.9960,0.9926,14007,0,60000,0.2334,0.0099,0.2758,42556,1,154304,0.2758,0.0000,0.3314,51130,1,154304,0.3314,0.0000
14.50,0.9747,8484,0,60000,0.1414,0.9960,0.9926,14007,0,60000,0.2334,0.0099,0.2758,42556,1,154304,0.2758,0.0000,0.4423,68243,1,154304,0.4423,0.0000
15.00,0.9752,8503,0,60000,0.1417,0.9960,0.9838,9631,0,60000,0.1605,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68243,1,154304,0.4423,0.0000
15.50,0.9752,8503,0,60000,0.1417,0.9960,0.9838,13727,0,60000,0.2288,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68243,1,154304,0.4423,0.0000
16.00,0.9752,8503,0,60000,0.1417,0.9960,0.9838,13727,0,60000,0.2288,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68243,1,154304,0.4423,0.0000
16.50,0.9752,8503,0,60000,0.1417,0.9960,0.9695,13437,0,60000,0.2240,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68243,1,154304,0.4423,0.0000
17.00,0.9752,8503,0,60000,0.1417,0.9960,0.9695,13437,0,60000,0.2240,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68243,1,154304,0.4423,0.0000
17.50,0.9752,8503,0,60000,0.1417,0.9960,0.9611,9060,0,60000,0.1510,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
18.00,0.9752,8503,0,60000,0.1417,0.9960,0.9611,13156,0,60000,0.2193,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
18.50,0.9752,8503,0,60000,0.1417,0.9960,0.9432,8754,0,60000,0.1459,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
19.00,0.9752,8503,0,60000,0.1417,0.9960,0.9432,8754,0,60000,0.1459,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
19.50,0.9752,8503,0,60000,0.1417,0.9960,0.8802,12850,0,60000,0.2142,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
20.00,0.9752,8503,0,60000,0.1417,0.9960,0.9485,16946,0,60000,0.2824,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
20.50,0.8261,8480,0,60000,0.1413,0.9918,0.9485,12547,0,60000,0.2091,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
21.00,0.8261,8480,0,60000,0.1413,0.9918,0.9299,16643,0,60000,0.2774,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4423,68251,1,154304,0.4423,0.0000
21.50,0.8261,8480,0,60000,0.1413,0.9918,0.9982,12256,0,60000,0.2043,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4427,68303,1,154304,0.4427,0.0000
22.00,0.8261,8480,0,60000,0.1413,0.9918,0.9982,12256,0,60000,0.2043,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4427,68303,1,154304,0.4427,0.0000
22.50,0.8261,8480,0,60000,0.1413,0.9918,0.9982,16352,0,60000,0.2725,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4427,68303,1,154304,0.4427,0.0000
23.00,0.8261,8480,0,60000,0.1413,0.9918,0.9347,11971,0,60000,0.1995,0.0000,0.1658,25586,1,154304,0.1658,0.0000,0.4427,68303,1,154304,0.4427,0.0000
23.50,0.9683,8502,0,60000,0.1417,0.9918,0.8570,16067,0,60000,0.2678,0.0099,0.1658,25586,1,154304,0.1658,0.0000,0.4427,68303,1,154304,0.4427,0.0000
24.00,0.9683,8502,0,60000,0.1417,0.9918,0.9252,11665,0,60000,0.1944,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.4427,68303,1,154304,0.4427,0.0000
24.50,0.9683,8502,0,60000,0.1417,0.9918,0.9252,11665,0,60000,0.1944,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.4427,68303,1,154304,0.4427,0.0000
25.00,0.9695,8550,0,60000,0.1425,0.9959,0.9935,15761,0,60000,0.2627,0.0099,0.3884,59927,1,154304,0.3884,0.0000,0.3323,51273,1,154304,0.3323,0.0000
25.50,0.9695,8550,0,60000,0.1425,0.9959,0.9738,11346,0,60000,0.1891,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.3323,51273,1,154304,0.3323,0.0000
26.00,0.9701,4137,0,60000,0.0689,0.0000,0.9738,15442,0,60000,0.2574,0.0099,0.3884,59927,1,154304,0.3884,0.0000,0.3323,51273,1,154304,0.3323,0.0000
26.50,0.9701,4137,0,60000,0.0689,0.0000,0.9639,11049,0,60000,0.1842,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.3318,51197,1,154304,0.3318,0.0000
27.00,0.9390,15388,0,60000,0.2565,0.8159,0.9639,11049,0,60000,0.1842,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.3318,51197,1,154304,0.3318,0.0000
27.50,0.9615,25476,0,60000,0.4246,0.9918,0.9639,15145,0,60000,0.2524,0.0099,0.3884,59927,1,154304,0.3884,0.0000,0.3318,51197,1,154304,0.3318,0.0000
28.00,0.9615,25476,0,60000,0.4246,0.9918,0.9639,15145,0,60000,0.2524,0.0099,0.3884,59927,1,154304,0.3884,0.0000,0.3318,51197,1,154304,0.3318,0.0000
28.50,0.9615,25476,0,60000,0.4246,0.9918,0.9549,14885,0,60000,0.2481,0.0104,0.3884,59927,1,154304,0.3884,0.0000,0.3318,51197,1,154304,0.3318,0.0000
29.00,0.9615,25476,0,60000,0.4246,0.9918,0.9439,10468,0,60000,0.1745,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.2223,34306,1,154304,0.2223,0.0000
29.50,0.9579,8496,0,60000,0.1416,0.9918,0.9439,10468,0,60000,0.1745,0.0000,0.3884,59927,1,154304,0.3884,0.0000,0.2223,34306,1,154304,0.2223,0.0000
30.00,0.9579,8496,0,60000,0.1416,0.9918,0.9285,14564,0,60000,0.2427,0.0099,0.3884,59927,1,154304,0.3884,0.0000,0.2223,34306,1,154304,0.2223,0.0000
30.50,0.9590,8499,0,60000,0.1416,0.9978,0.9968,10169,0,60000,0.1695,0.0000,0.3883,59923,1,154304,0.3883,0.0000,0.2223,34306,1,154304,0.2223,0.0000
31.00,0.9590,8499,0,60000,0.1416,0.9978,0.9968,14265,0,60000,0.2377,0.0099,0.3883,59923,1,154304,0.3883,0.0000,0.2223,34306,1,154304,0.2223,0.0000
31.50,0.9590,8499,0,60000,0.1416,0.9978,0.9711,9841,0,60000,0.1640,0.0000,0.3883,59923,1,154304,0.3883,0.0000,0.2221,34278,1,154304,0.2221,0.0000
32.01,0.9594,8554,0,60000,0.1426,0.9959,0.9711,9841,0,60000,0.1640,0.0000,0.3883,59923,1,154304,0.3883,0.0000,0.2221,34278,1,154304,0.2221,0.0000
