elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150920.0,30064.0,45562.0,29732.0,45562.0,67837.2,56076.7,15102.7,13167.2,0.0,20294.5,0.0,15457.8,21561.8,18360.5,41078.6,107916.8,128652.3,88131.7,148
1.1,151174.0,30318.0,45562.0,29732.0,45562.0,67987.3,56120.6,15250.7,13211.1,0.0,20294.5,0.0,15507.9,21561.8,18516.4,41234.5,107760.8,128652.3,88281.8,148
2.2,151174.0,30318.0,45562.0,29732.0,45562.0,68012.0,56145.0,15275.2,13235.5,0.0,20294.5,0.0,15542.0,21562.2,18555.7,41274.3,107721.5,128652.3,88306.5,148
3.4,151176.0,30320.0,45562.0,29732.0,45562.0,68013.5,56146.2,15276.6,13236.7,0.0,20294.5,0.0,15542.2,21562.0,18570.6,41288.9,107706.7,128652.3,88308.0,148
4.5,151176.0,30320.0,45562.0,29732.0,45562.0,68023.6,56156.3,15286.8,13246.8,0.0,20294.6,0.0,15544.9,21561.4,18572.8,41290.5,107704.5,128652.3,88318.2,148
5.7,151176.0,30320.0,45562.0,29732.0,45562.0,68024.4,56157.1,15287.5,13247.6,0.0,20294.6,0.0,15557.3,21561.4,18590.3,41308.0,107687.0,128652.3,88319.0,148
6.7,151176.0,30320.0,45562.0,29732.0,45562.0,68025.5,56157.8,15288.4,13248.3,0.0,20294.6,0.0,15559.1,21561.3,18770.3,41487.9,107507.0,128652.3,88320.1,148
7.8,151176.0,30320.0,45562.0,29732.0,45562.0,68027.1,56159.3,15289.9,13249.8,0.0,20295.3,0.0,15556.1,21562.0,18600.3,41318.7,107677.0,128652.3,88322.3,148
8.8,151342.0,30324.0,45670.0,29786.0,45562.0,68092.8,56161.0,15355.6,13251.5,0.0,20295.6,0.0,15557.2,21562.5,18605.9,41324.7,107671.3,128652.3,88388.4,148
9.9,151546.0,30324.0,45670.0,29786.0,45766.0,68207.2,56204.1,15466.5,13294.6,0.0,20295.6,0.0,15599.3,21562.4,18770.7,41489.5,107506.5,128652.3,88502.8,148
