elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,139900.0,25433.0,44541.0,25385.0,44541.0,84798.4,73792.4,32085.0,30883.4,0.0,21310.1,2.0,33927.5,22657.3,36199.5,60117.6,89973.3,128652.3,106108.5,148
1.2,139900.0,25433.0,44541.0,25385.0,44541.0,84842.5,73834.8,32127.5,30925.8,0.0,21311.5,2.0,34006.0,22658.6,36275.1,60194.6,89897.6,128652.3,106154.0,148
2.4,139904.0,25435.0,44543.0,25385.0,44541.0,84866.0,73858.0,32150.8,30948.9,0.0,21311.5,2.0,34032.0,22658.7,36316.5,60236.0,89856.3,128652.3,106177.5,148
3.7,139906.0,25435.0,44543.0,25385.0,44543.0,84890.5,73881.9,32174.9,30972.8,0.0,21316.7,2.0,34056.9,22663.5,36353.2,60277.5,89819.6,128652.3,106207.2,148
4.9,139906.0,25435.0,44543.0,25385.0,44543.0,84902.7,73893.9,32186.9,30984.8,0.0,22319.1,2.0,34073.0,23667.4,36370.5,61298.8,89802.3,128652.3,107221.8,148
6.2,139906.0,25435.0,44543.0,25385.0,44543.0,84904.9,73895.9,32189.1,30986.9,0.0,23714.7,2.0,34074.8,25075.1,36363.3,62699.3,89809.4,128652.3,108619.6,148
7.6,139906.0,25435.0,44543.0,25385.0,44543.0,84925.4,73900.3,32209.5,30991.2,0.0,25221.1,2.0,34080.6,26598.4,36374.2,64233.5,89798.5,128652.3,110146.5,148
8.9,139906.0,25435.0,44543.0,25385.0,44543.0,84928.5,73903.5,32212.7,30994.4,0.0,26616.1,2.0,34087.3,28009.7,36397.0,65667.6,89775.7,128652.3,111544.7,148
10.2,139906.0,25435.0,44543.0,25385.0,44543.0,84935.6,73910.5,32219.7,31001.5,0.0,27911.4,7980.2,34094.2,29319.8,36410.4,66991.1,89762.3,128652.3,112846.9,148
11.8,139906.0,25435.0,44543.0,25385.0,44543.0,85017.2,73969.2,32297.8,31060.1,0.0,29474.9,7980.2,34159.0,30900.7,36492.2,68653.9,89680.5,128652.3,114492.2,148
