elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,138694.0,24805.0,44541.0,24807.0,44541.0,84793.6,73771.2,32065.4,30864.5,0.0,34641.0,0.6,35865.6,36219.4,37716.7,75537.1,87825.4,128652.3,119434.6,148
1.2,138694.0,24805.0,44541.0,24807.0,44541.0,84793.8,73771.4,32065.6,30864.7,0.0,34641.0,0.6,36745.0,36219.4,38604.8,76425.1,86937.4,128652.3,119434.8,148
2.3,138744.0,24831.0,44541.0,24831.0,44541.0,84819.6,73795.3,32089.5,30888.7,0.0,34641.0,0.6,36637.9,36219.4,38500.1,76320.5,87042.0,128652.3,119460.5,148
3.5,138744.0,24831.0,44541.0,24831.0,44541.0,84831.0,73804.7,32099.8,30898.0,0.0,34663.8,0.6,36490.3,36241.5,38362.1,76204.5,87180.1,128652.3,119494.7,148
4.6,138764.0,24851.0,44541.0,24831.0,44541.0,84833.3,73806.8,32102.0,30900.1,0.0,34673.1,0.6,36508.8,36250.9,38382.3,76234.1,87159.8,128652.3,119506.4,148
5.8,138764.0,24851.0,44541.0,24831.0,44541.0,84854.3,73827.8,32123.0,30921.1,0.0,34737.5,0.6,36548.1,36315.0,38420.5,76336.5,87121.7,128652.3,119591.8,148
6.9,138764.0,24851.0,44541.0,24831.0,44541.0,84854.4,73827.9,32123.1,30921.2,0.0,34737.5,0.6,36559.3,36315.0,38433.5,76349.4,87108.7,128652.3,119591.9,148
8.1,138784.0,24851.0,44541.0,24851.0,44541.0,84854.4,73827.9,32123.1,30921.2,0.0,34737.5,0.6,36574.2,36315.0,38449.0,76365.0,87093.1,128652.3,119592.0,148
9.2,138784.0,24851.0,44541.0,24851.0,44541.0,84857.7,73831.2,32126.4,30924.5,0.0,34745.4,0.6,36592.4,36322.9,38465.4,76389.2,87076.8,128652.3,119603.1,148
10.4,138842.0,24909.0,44541.0,24851.0,44541.0,84857.9,73831.4,32126.6,30924.7,0.0,34745.4,148.1,36607.0,36323.1,38482.1,76406.1,87060.1,128652.3,119603.3,148
11.5,138918.0,24909.0,44541.0,24927.0,44541.0,84859.9,73833.3,32128.5,30926.6,0.0,34788.6,148.1,36623.5,36366.0,38500.0,76466.9,87042.1,128652.3,119648.4,148
12.7,138918.0,24909.0,44541.0,24927.0,44541.0,84871.7,73845.1,32140.3,30938.4,0.0,34873.2,148.1,36649.9,36450.6,38527.9,76579.5,87014.2,128652.3,119744.9,148
13.8,138918.0,24909.0,44541.0,24927.0,44541.0,84871.9,73845.3,32140.5,30938.6,0.0,34927.8,148.1,36666.8,36505.0,38540.6,76646.5,87001.5,128652.3,119799.7,148
14.9,139074.0,24909.0,44541.0,25083.0,44541.0,84875.2,73848.5,32143.8,30941.9,0.0,34931.4,148.1,36682.0,36508.6,38555.7,76665.3,86986.4,128652.3,119806.6,148
16.1,139074.0,24909.0,44541.0,25083.0,44541.0,84891.5,73864.9,32160.2,30958.2,0.0,35176.5,148.1,36716.6,36755.1,38591.2,76947.3,86950.9,128652.3,120068.0,148
17.3,139074.0,24909.0,44541.0,25083.0,44541.0,84892.1,73865.5,32160.8,30958.8,0.0,35183.0,148.1,36729.8,36761.9,38600.9,76963.8,86941.2,128652.3,120075.1,148
18.5,139074.0,24909.0,44541.0,25083.0,44541.0,84897.7,73871.1,32166.4,30964.4,0.0,35251.2,148.1,36747.2,36830.6,38620.3,77051.9,86921.8,128652.3,120148.9,148
19.6,139074.0,24909.0,44541.0,25083.0,44541.0,84897.8,73871.2,32166.5,30964.5,0.0,35251.3,148.1,36762.6,36830.7,38633.6,77065.2,86908.5,128652.3,120149.1,148
20.7,139074.0,24909.0,44541.0,25083.0,44541.0,84897.8,73871.2,32166.5,30964.5,0.0,35251.3,665.7,36776.7,36830.7,38653.8,77085.5,86888.3,128652.3,120149.1,148
21.9,139120.0,24955.0,44541.0,25083.0,44541.0,84915.0,73872.3,32183.6,30965.6,0.0,35338.9,665.7,36792.7,36918.8,38687.9,77207.7,86854.2,128652.3,120253.8,148
23.1,139122.0,24955.0,44541.0,25085.0,44541.0,84932.2,73873.5,32200.8,30966.8,0.0,35461.0,665.7,36809.7,37042.0,38716.4,77359.4,86825.7,128652.3,120393.2,148
24.2,139178.0,25011.0,44541.0,25085.0,44541.0,84933.3,73874.5,32201.9,30967.8,0.0,35659.4,665.7,36826.0,37242.5,38731.5,77574.9,86810.7,128652.3,120592.7,148
25.4,139178.0,25011.0,44541.0,25085.0,44541.0,84934.2,73875.5,32202.8,30968.8,0.0,35751.6,665.7,36841.4,37335.7,38751.6,77688.2,86790.5,128652.3,120685.8,148
