elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,148676.0,29420.0,44540.0,29154.0,45562.0,67762.2,56014.1,15092.9,13098.6,0.0,19987.8,0.0,16489.9,20817.4,20372.5,41224.6,107025.9,128652.3,87750.0,148
1.0,148676.0,29420.0,44540.0,29154.0,45562.0,67762.5,56014.5,15093.3,13098.9,0.0,20608.4,0.0,17159.6,21439.3,21045.3,42519.2,106353.7,128652.3,88370.9,148
2.0,149028.0,29732.0,44540.0,29194.0,45562.0,67762.7,56014.7,15093.5,13099.2,0.0,20608.9,0.0,17757.1,21439.6,21650.9,43125.1,105748.1,128652.3,88371.6,148
3.0,149028.0,29732.0,44540.0,29194.0,45562.0,67907.3,56053.7,15236.2,13138.2,0.0,20609.3,0.0,17065.4,21439.7,21076.0,42550.4,106322.9,128652.3,88516.6,148
4.0,149030.0,29732.0,44540.0,29194.0,45564.0,67911.4,56057.4,15240.3,13141.9,0.0,20674.0,0.0,17013.7,21505.9,21023.0,42563.6,106375.9,128652.3,88585.4,148
5.0,148996.0,29692.0,44542.0,29196.0,45566.0,67912.8,56058.8,15241.7,13143.3,0.0,20674.2,0.0,17027.9,21506.1,21037.9,42578.7,106361.0,128652.3,88587.0,148
6.0,149036.0,29732.0,44542.0,29196.0,45566.0,67986.7,56060.6,15315.6,13145.1,0.0,20738.5,0.0,16981.0,21571.8,21066.7,42673.2,106332.2,128652.3,88725.2,148
7.0,149036.0,29732.0,44542.0,29196.0,45566.0,67991.4,56064.2,15319.2,13148.6,0.0,20738.5,0.0,16991.5,21572.0,21077.7,42684.4,106321.2,128652.3,88729.9,148
8.0,149036.0,29732.0,44542.0,29196.0,45566.0,67991.4,56064.2,15319.2,13148.7,0.0,20824.3,0.0,16938.2,21659.8,21032.9,42727.3,106366.0,128652.3,88815.7,148
9.0,149036.0,29732.0,44542.0,29196.0,45566.0,67991.5,56064.3,15319.3,13148.8,0.0,20824.7,0.0,16955.1,21660.4,21048.7,42743.9,106350.1,128652.3,88816.2,148
10.0,149038.0,29732.0,44542.0,29198.0,45566.0,67995.5,56064.4,15323.3,13148.9,0.0,20825.0,0.0,16968.4,21660.7,21061.3,42756.7,106337.6,128652.3,88820.5,148
11.0,149038.0,29732.0,44542.0,29198.0,45566.0,67996.1,56065.0,15323.9,13149.4,0.0,20825.0,0.0,16986.9,21660.6,21084.4,42779.8,106314.5,128652.3,88821.1,148
12.0,149088.0,29782.0,44542.0,29198.0,45566.0,67996.2,56065.0,15324.0,13149.5,0.0,20825.1,0.0,16997.6,21660.8,21093.4,42788.9,106305.5,128652.3,88821.3,148
13.0,149088.0,29782.0,44542.0,29198.0,45566.0,68003.6,56072.4,15331.4,13156.9,0.0,20825.2,0.0,17018.6,21660.8,21118.2,42813.7,106280.7,128652.3,88828.8,148
14.0,149088.0,29782.0,44542.0,29198.0,45566.0,68003.8,56072.6,15331.5,13157.0,0.0,20825.2,0.0,17033.5,21660.6,21133.6,42828.9,106265.3,128652.3,88828.9,148
15.0,149154.0,29848.0,44542.0,29198.0,45566.0,68003.8,56072.6,15331.5,13157.1,0.0,20825.2,0.0,17046.2,21660.6,21145.7,42841.0,106253.1,128652.3,88829.0,148
16.0,149190.0,29884.0,44542.0,29198.0,45566.0,68006.5,56075.1,15334.1,13159.6,0.0,20825.3,0.0,17060.5,21660.5,21159.6,42854.8,106239.3,128652.3,88831.8,148
17.0,149248.0,29922.0,44542.0,29198.0,45586.0,68006.8,56075.4,15334.4,13159.9,0.0,20825.3,0.0,17075.6,21660.6,21179.6,42875.0,106219.2,128652.3,88832.2,148
18.0,149248.0,29922.0,44542.0,29198.0,45586.0,68007.1,56075.7,15334.6,13160.2,0.0,20825.3,0.0,17089.5,21660.8,21191.3,42886.9,106207.5,128652.3,88832.4,148
19.0,149268.0,29922.0,44562.0,29198.0,45586.0,68007.1,56075.7,15334.7,13160.2,0.0,20825.4,0.0,17102.2,21660.8,21205.8,42901.3,106193.1,128652.3,88832.5,148
20.0,149268.0,29922.0,44562.0,29198.0,45586.0,68008.9,56077.5,15336.5,13162.0,0.0,20825.4,0.0,17117.4,21660.8,21221.7,42917.3,106177.1,128652.3,88834.3,148
21.0,149268.0,29922.0,44562.0,29198.0,45586.0,68009.0,56077.6,15336.5,13162.1,0.0,20825.4,0.0,17128.8,21660.8,21237.5,42933.1,106161.3,128652.3,88834.4,148
22.0,149268.0,29922.0,44562.0,29198.0,45586.0,68009.0,56077.6,15336.6,13162.1,0.0,20825.4,0.0,17140.4,21660.8,21251.4,42947.0,106147.4,128652.3,88834.4,148
23.1,149268.0,29922.0,44562.0,29198.0,45586.0,68009.3,56077.9,15336.9,13162.4,0.0,20825.4,0.0,17148.4,21660.7,21266.0,42961.5,106132.8,128652.3,88834.7,148
24.1,149316.0,29970.0,44562.0,29198.0,45586.0,68012.1,56080.7,15339.7,13165.2,0.0,20825.4,0.0,17170.2,21660.6,21286.0,42981.4,106112.9,128652.3,88837.5,148
25.1,149316.0,29970.0,44562.0,29198.0,45586.0,68012.3,56080.9,15339.9,13165.4,0.0,20825.4,0.0,17179.4,21660.6,21299.2,42994.6,106099.7,128652.3,88837.8,148
26.1,149316.0,29970.0,44562.0,29198.0,45586.0,68014.7,56083.3,15342.2,13167.8,0.0,20825.6,0.0,17190.9,21660.9,21309.3,43004.9,106089.5,128652.3,88840.3,148
