elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,142020.0,26348.0,44796.0,26082.0,44794.0,67812.2,56021.4,15097.5,13100.2,0.0,23606.3,0.0,16007.9,24505.9,19870.6,44413.9,107525.6,128652.3,91418.5,148
1.0,142020.0,26348.0,44796.0,26082.0,44794.0,67812.4,56021.6,15097.7,13100.5,0.0,23606.3,0.0,16807.1,24505.9,20673.3,45216.6,106722.9,128652.3,91418.7,148
2.0,142386.0,26660.0,44796.0,26136.0,44794.0,67812.7,56021.9,15098.0,13100.8,0.0,23606.4,0.0,17386.7,24505.9,21255.9,45799.2,106140.3,128652.3,91419.1,148
3.0,142536.0,26682.0,44860.0,26136.0,44858.0,67966.9,56070.7,15250.5,13149.6,0.0,23606.4,0.0,16625.2,24505.0,20613.6,45156.0,106782.6,128652.3,91573.3,148
4.0,142354.0,26624.0,44798.0,26136.0,44796.0,68041.4,56072.9,15324.8,13151.8,0.0,23606.6,0.0,16626.5,24505.4,20688.8,45231.6,106707.4,128652.3,91648.0,148
5.0,142358.0,26624.0,44798.0,26140.0,44796.0,68044.2,56074.6,15326.8,13153.5,0.0,23606.7,0.0,16628.7,24505.5,20694.0,45236.9,106702.2,128652.3,91650.9,148
6.0,142358.0,26624.0,44798.0,26140.0,44796.0,68045.3,56075.6,15327.9,13154.5,0.0,23606.8,0.0,16629.9,24505.6,20695.7,45238.8,106700.4,128652.3,91652.1,148
7.0,142358.0,26624.0,44798.0,26140.0,44796.0,68048.7,56078.8,15331.2,13157.7,0.0,23606.8,0.0,16633.0,24505.6,20705.9,45248.9,106690.3,128652.3,91655.4,148
8.1,142358.0,26624.0,44798.0,26140.0,44796.0,68048.9,56079.0,15331.4,13157.9,0.0,23606.8,0.0,16633.3,24505.6,20707.8,45250.8,106688.4,128652.3,91655.6,148
9.1,142358.0,26624.0,44798.0,26140.0,44796.0,68048.9,56079.1,15331.5,13158.0,0.0,23606.8,0.0,16633.4,24505.6,20708.1,45251.1,106688.0,128652.3,91655.7,148
10.1,142358.0,26624.0,44798.0,26140.0,44796.0,68049.9,56080.0,15332.3,13158.9,0.0,23606.8,0.0,16634.6,24505.6,20711.1,45254.1,106685.1,128652.3,91656.7,148
11.1,142396.0,26624.0,44798.0,26178.0,44796.0,68053.0,56082.9,15335.3,13161.8,0.0,23606.8,0.0,16634.6,24505.6,20712.3,45255.3,106683.9,128652.3,91659.8,148
12.1,142398.0,26626.0,44798.0,26178.0,44796.0,68053.1,56083.0,15335.4,13161.9,0.0,23606.8,0.0,16638.1,24505.6,20715.9,45259.0,106680.2,128652.3,91659.9,148
13.1,142398.0,26626.0,44798.0,26178.0,44796.0,68053.7,56083.6,15335.9,13162.5,0.0,23606.8,0.0,16638.7,24505.8,20713.8,45257.0,106682.4,128652.3,91660.5,148
14.1,142398.0,26626.0,44798.0,26178.0,44796.0,68053.8,56083.6,15336.0,13162.5,0.0,23606.8,0.0,16638.8,24505.8,20714.3,45257.6,106681.8,128652.3,91660.6,148
15.1,142876.0,26880.0,44818.0,26362.0,44816.0,68053.9,56083.8,15336.1,13162.7,0.0,23606.9,0.0,16638.8,24506.0,20712.8,45256.2,106683.3,128652.3,91660.8,148
16.1,142876.0,26880.0,44818.0,26362.0,44816.0,68065.4,56095.2,15347.6,13174.1,0.0,23606.9,0.0,16646.2,24505.9,20717.7,45261.0,106678.5,128652.3,91672.3,148
17.1,142876.0,26880.0,44818.0,26362.0,44816.0,68065.6,56095.4,15347.8,13174.3,0.0,23607.0,0.0,16651.5,24505.8,20724.9,45268.2,106671.2,128652.3,91672.6,148
18.1,142876.0,26880.0,44818.0,26362.0,44816.0,68065.7,56095.5,15347.9,13174.4,0.0,23607.0,0.0,16651.2,24505.8,20726.0,45269.3,106670.1,128652.3,91672.6,148
19.1,142920.0,26880.0,44838.0,26364.0,44838.0,68065.7,56095.5,15347.9,13174.4,0.0,23607.0,0.0,16651.2,24505.8,20726.6,45269.8,106669.5,128652.3,91672.7,148
20.1,142920.0,26880.0,44838.0,26364.0,44838.0,68073.6,56099.5,15355.8,13178.4,0.0,23621.0,0.0,16628.2,24519.6,20706.4,45263.6,106689.6,128652.3,91694.6,148
21.2,142920.0,26880.0,44838.0,26364.0,44838.0,68073.6,56099.5,15355.9,13178.4,0.0,23621.0,0.0,16627.9,24519.6,20707.7,45264.9,106688.3,128652.3,91694.6,148
22.2,142920.0,26880.0,44838.0,26364.0,44838.0,68073.6,56099.5,15355.9,13178.4,0.0,23621.0,0.0,16627.9,24519.6,20708.5,45265.7,106687.5,128652.3,91694.6,148
23.2,142920.0,26880.0,44838.0,26364.0,44838.0,68073.9,56099.8,15356.1,13178.7,0.0,23621.0,0.0,16630.5,24519.7,20717.6,45274.9,106678.4,128652.3,91694.9,148
24.2,142920.0,26880.0,44838.0,26364.0,44838.0,68074.1,56100.0,15356.3,13178.9,0.0,23621.1,0.0,16643.5,24519.7,20733.3,45290.6,106662.7,128652.3,91695.2,148
25.2,142920.0,26880.0,44838.0,26364.0,44838.0,68074.6,56100.5,15356.8,13179.4,0.0,23621.1,0.0,16631.9,24519.4,20714.7,45271.7,106681.3,128652.3,91695.7,148
26.2,142920.0,26880.0,44838.0,26364.0,44838.0,68074.7,56100.6,15356.9,13179.5,0.0,23621.1,0.0,16632.5,24519.4,20714.6,45271.6,106681.4,128652.3,91695.8,148
27.2,142920.0,26880.0,44838.0,26364.0,44838.0,68076.2,56102.1,15358.4,13181.0,0.0,23621.1,0.0,16634.1,24519.5,20717.4,45274.5,106678.6,128652.3,91697.3,148
28.2,142920.0,26880.0,44838.0,26364.0,44838.0,68076.5,56102.3,15358.7,13181.2,0.0,23621.1,0.0,16634.3,24519.5,20716.5,45273.5,106679.5,128652.3,91697.5,148
29.2,142920.0,26880.0,44838.0,26364.0,44838.0,68077.7,56103.6,15359.9,13182.5,0.0,23621.2,0.0,16635.7,24519.3,20720.6,45277.5,106675.4,128652.3,91698.9,148
30.2,142920.0,26880.0,44838.0,26364.0,44838.0,68078.3,56104.1,15360.4,13183.0,0.0,23621.2,0.0,16636.4,24519.5,20720.6,45277.7,106675.4,128652.3,91699.5,148
31.2,142920.0,26880.0,44838.0,26364.0,44838.0,68078.4,56104.2,15360.5,13183.1,0.0,23621.2,0.0,16636.6,24519.5,20720.0,45277.1,106676.0,128652.3,91699.6,148
32.2,142920.0,26880.0,44838.0,26364.0,44838.0,68078.4,56104.2,15360.5,13183.1,0.0,23621.4,0.0,16636.6,24519.6,20720.9,45278.1,106675.1,128652.3,91699.7,148
33.2,142920.0,26880.0,44838.0,26364.0,44838.0,68079.2,56105.0,15361.3,13183.9,0.0,23621.4,0.0,16637.9,24519.6,20720.1,45277.3,106675.9,128652.3,91700.6,148
34.2,142920.0,26880.0,44838.0,26364.0,44838.0,68079.3,56105.1,15361.4,13184.0,0.0,23621.4,0.0,16637.5,24519.6,20720.6,45277.9,106675.3,128652.3,91700.7,148
35.2,142920.0,26880.0,44838.0,26364.0,44838.0,68081.8,56107.6,15363.9,13186.5,0.0,23621.4,0.0,16639.8,24519.6,20723.2,45280.3,106672.8,128652.3,91703.2,148
36.2,142920.0,26880.0,44838.0,26364.0,44838.0,68082.4,56108.0,15364.4,13186.9,0.0,23621.5,0.0,16640.8,24519.6,20725.4,45282.6,106670.5,128652.3,91703.9,148
37.2,142920.0,26880.0,44838.0,26364.0,44838.0,68082.6,56108.2,15364.5,13187.1,0.0,23622.3,0.0,16640.8,24520.5,20724.0,45282.1,106671.9,128652.3,91704.9,148
38.2,142920.0,26880.0,44838.0,26364.0,44838.0,68082.9,56108.6,15364.9,13187.5,0.0,23622.4,0.0,16641.1,24520.5,20727.4,45285.5,106668.6,128652.3,91705.3,148
39.2,142920.0,26880.0,44838.0,26364.0,44838.0,68083.0,56108.6,15364.9,13187.5,0.0,23622.4,0.0,16641.3,24520.7,20730.3,45288.6,106665.7,128652.3,91705.4,148
40.2,142920.0,26880.0,44838.0,26364.0,44838.0,68083.0,56108.7,15365.0,13187.6,0.0,23622.4,0.0,16641.4,24520.8,20729.6,45288.1,106666.3,128652.3,91705.5,148
41.2,142920.0,26880.0,44838.0,26364.0,44838.0,68083.1,56108.7,15365.1,13187.6,0.0,23622.4,0.0,16641.6,24520.8,20725.0,45283.5,106670.9,128652.3,91705.5,148
42.2,142920.0,26880.0,44838.0,26364.0,44838.0,68083.1,56108.8,15365.1,13187.7,0.0,23622.4,0.0,16641.7,24520.8,20722.8,45281.3,106673.1,128652.3,91705.6,148
43.2,142920.0,26880.0,44838.0,26364.0,44838.0,68090.8,56116.4,15372.8,13195.3,0.0,23622.6,0.0,16647.1,24521.4,20732.6,45291.7,106663.3,128652.3,91713.4,148
44.2,142920.0,26880.0,44838.0,26364.0,44838.0,68107.2,56132.8,15389.2,13211.7,0.0,23622.6,0.0,16666.1,24521.7,20750.0,45309.4,106645.9,128652.3,91729.8,148
45.2,142920.0,26880.0,44838.0,26364.0,44838.0,68107.2,56132.9,15389.2,13211.8,0.0,23622.6,0.0,16666.1,24521.7,20747.0,45306.3,106648.9,128652.3,91729.8,148
46.2,142920.0,26880.0,44838.0,26364.0,44838.0,68107.3,56132.9,15389.2,13211.8,0.0,23622.6,0.0,16666.2,24521.9,20747.6,45307.2,106648.3,128652.3,91729.8,148
47.2,142920.0,26880.0,44838.0,26364.0,44838.0,68107.4,56133.1,15389.4,13212.0,0.0,23622.6,0.0,16666.3,24521.8,20749.0,45308.5,106647.0,128652.3,91730.0,148
