elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,149702.0,29422.0,45564.0,29154.0,45562.0,68068.5,56048.1,15330.8,13136.3,0.0,40030.6,0.0,17633.8,41764.0,20277.1,63629.0,105568.5,128652.3,108099.0,148
1.0,149702.0,29422.0,45564.0,29154.0,45562.0,68068.8,56048.4,15331.1,13136.6,0.0,40031.3,0.0,18464.3,41764.9,21111.4,64464.2,104734.3,128652.3,108100.0,148
2.1,150058.0,29738.0,45564.0,29194.0,45562.0,68069.0,56048.6,15331.3,13136.8,0.0,40031.1,0.0,19092.3,41764.7,21738.6,65091.3,104107.0,128652.3,108100.0,148
3.2,150064.0,29738.0,45566.0,29198.0,45562.0,68212.8,56086.8,15473.3,13175.0,0.0,40031.1,0.0,18314.2,41765.0,21081.6,64434.5,104764.1,128652.3,108243.9,148
4.3,150064.0,29738.0,45566.0,29198.0,45562.0,68476.5,56089.9,15736.8,13178.0,0.0,40031.4,0.0,18332.2,41764.6,21366.2,64718.7,104479.5,128652.3,108507.8,148
5.3,150074.0,29742.0,45568.0,29198.0,45566.0,68735.9,56093.2,15996.2,13181.4,0.0,40031.4,0.0,18348.5,41764.5,21657.7,65010.1,104187.9,128652.3,108767.3,148
6.4,150074.0,29742.0,45568.0,29198.0,45566.0,69259.0,56099.4,16518.4,13187.6,0.0,40031.4,0.0,18366.9,41764.5,22050.7,65403.2,103794.9,128652.3,109290.4,148
7.4,150074.0,29742.0,45568.0,29198.0,45566.0,69259.1,56099.5,16518.5,13187.7,0.0,40031.4,0.0,18383.9,41764.6,22232.0,65584.6,103613.6,128652.3,109290.6,148
8.4,150074.0,29742.0,45568.0,29198.0,45566.0,69259.3,56099.7,16518.7,13187.8,0.0,40031.4,0.0,18393.6,41761.8,22244.4,65594.1,103601.3,128652.3,109290.8,148
9.5,150076.0,29742.0,45568.0,29200.0,45566.0,69259.4,56099.7,16518.8,13187.9,0.0,40031.4,0.0,18407.9,41761.8,22254.4,65604.1,103591.2,128652.3,109290.8,148
10.5,150116.0,29778.0,45570.0,29200.0,45568.0,69516.2,56100.5,16775.6,13188.7,0.0,40031.4,0.0,18420.7,41761.8,22526.9,65876.6,103318.7,128652.3,109547.6,148
11.5,150120.0,29780.0,45570.0,29200.0,45570.0,69777.1,56101.2,17036.3,13189.4,0.0,40031.4,0.0,18433.8,41761.5,22806.9,66156.3,103038.7,128652.3,109808.5,148
12.5,150122.0,29780.0,45570.0,29202.0,45570.0,70174.4,56105.4,17433.5,13193.6,0.0,40031.5,0.0,18447.9,41761.5,23083.9,66433.3,102761.8,128652.3,110205.8,148
13.6,150124.0,29780.0,45570.0,29204.0,45570.0,70293.8,56105.9,17552.9,13194.1,0.0,40031.5,0.0,18465.6,41761.5,23357.8,66707.2,102487.8,128652.3,110325.2,148
14.6,150130.0,29782.0,45572.0,29204.0,45572.0,70701.0,56106.0,17960.1,13194.2,0.0,40031.5,0.0,18478.9,41761.5,23643.1,66992.5,102202.6,128652.3,110732.5,148
15.7,150132.0,29782.0,45572.0,29206.0,45572.0,71062.5,56106.4,18321.5,13194.6,0.0,40095.4,0.0,18431.4,41825.3,24126.2,67539.5,101719.4,128652.3,111158.0,148
16.7,150284.0,29784.0,45574.0,29352.0,45574.0,71831.3,56107.2,19090.3,13195.4,0.0,40095.4,0.0,18447.7,41825.7,24872.5,68286.2,100973.1,128652.3,111926.7,148
17.8,150288.0,29784.0,45576.0,29354.0,45574.0,72404.8,56107.5,19663.7,13195.7,0.0,40095.5,0.0,18459.6,41825.8,25473.5,68887.3,100372.1,128652.3,112500.3,148
18.9,150332.0,29786.0,45596.0,29354.0,45596.0,73082.4,56117.7,20341.3,13205.9,0.0,40223.4,0.0,18355.5,41953.7,25904.1,69445.7,99941.6,128652.3,113305.8,148
20.0,150332.0,29786.0,45596.0,29354.0,45596.0,73384.5,56124.1,20643.1,13212.3,0.0,40223.5,0.0,18374.6,41953.2,26452.2,69993.4,99393.4,128652.3,113608.0,148
21.1,150332.0,29786.0,45596.0,29354.0,45596.0,73384.5,56124.1,20643.2,13212.3,0.0,40223.5,0.0,18389.9,41953.3,26469.6,70010.9,99376.0,128652.3,113608.0,148
22.2,150332.0,29786.0,45596.0,29354.0,45596.0,73384.6,56124.1,20643.2,13212.3,0.0,40223.5,0.0,18402.5,41953.3,26480.1,70021.4,99365.5,128652.3,113608.0,148
23.3,150404.0,29834.0,45598.0,29356.0,45616.0,73634.7,56126.6,20893.4,13214.8,0.0,40223.5,0.0,18418.1,41953.3,26494.2,70035.5,99351.5,128652.3,113858.2,148
24.4,150408.0,29836.0,45598.0,29356.0,45618.0,73899.4,56126.9,21158.0,13215.1,0.0,40223.5,0.0,18433.3,41953.2,27043.9,70585.0,98801.8,128652.3,114122.9,148
25.5,150430.0,29836.0,45618.0,29358.0,45618.0,74155.5,56127.1,21414.2,13215.3,0.0,40223.5,0.0,18448.0,41953.2,27322.2,70863.4,98523.4,128652.3,114379.0,148
26.6,150436.0,29838.0,45620.0,29358.0,45620.0,74923.9,56127.5,22182.6,13215.7,0.0,40223.5,0.0,18462.8,41953.2,27985.1,71526.2,97860.6,128652.3,115147.4,148
27.7,150438.0,29838.0,45620.0,29360.0,45620.0,75448.5,56140.1,22707.1,13228.3,0.0,40223.5,0.0,18486.2,41953.6,28845.7,72387.3,96999.9,128652.3,115672.0,148
28.8,150444.0,29840.0,45622.0,29360.0,45622.0,75960.7,56140.3,23219.3,13228.5,0.0,40223.5,0.0,18508.3,41953.4,28976.4,72517.8,96869.2,128652.3,116184.2,148
29.9,150444.0,29840.0,45622.0,29360.0,45622.0,76219.8,56143.4,23478.5,13231.6,0.0,40223.5,0.0,18530.9,41952.9,29507.3,73048.2,96338.3,128652.3,116443.4,148
31.0,150564.0,29958.0,45622.0,29362.0,45622.0,76475.9,56143.5,23734.6,13231.7,0.0,40223.7,0.0,18545.0,41953.1,29783.5,73324.6,96062.1,128652.3,116699.6,148
32.2,150570.0,29960.0,45624.0,29362.0,45624.0,76988.0,56143.6,24246.6,13231.8,0.0,40223.7,0.0,18573.0,41953.0,30076.1,73617.1,95769.5,128652.3,117211.7,148
33.3,150570.0,29960.0,45624.0,29362.0,45624.0,77522.3,56165.8,24780.9,13254.0,0.0,40223.7,0.0,18606.5,41953.1,30762.4,74303.5,95083.2,128652.3,117746.0,148
34.4,150572.0,29960.0,45624.0,29364.0,45624.0,77778.7,56166.3,25037.3,13254.5,0.0,40287.2,0.0,18547.6,42016.7,31094.8,74699.5,94750.8,128652.3,118065.9,148
35.5,150572.0,29960.0,45624.0,29364.0,45624.0,77778.8,56166.3,25037.4,13254.5,0.0,40287.6,0.0,18562.0,42016.9,31112.0,74716.9,94733.6,128652.3,118066.4,148
36.6,150578.0,29962.0,45626.0,29364.0,45626.0,77858.1,56166.3,25116.7,13254.5,0.0,40287.6,0.0,18578.9,42017.0,31132.4,74737.3,94713.2,128652.3,118145.7,148
37.8,150578.0,29962.0,45626.0,29364.0,45626.0,78546.9,56166.5,25805.5,13254.7,0.0,40287.6,0.0,18592.9,42016.6,31933.1,75537.7,93912.5,128652.3,118834.5,148
38.9,150578.0,29962.0,45626.0,29364.0,45626.0,78546.9,56166.5,25805.5,13254.7,0.0,40287.6,0.0,18607.2,42016.6,31951.1,75555.7,93894.5,128652.3,118834.5,148
40.0,150580.0,29962.0,45626.0,29366.0,45626.0,78546.9,56166.5,25805.5,13254.7,0.0,40287.6,0.0,18621.0,42016.7,31968.4,75573.0,93877.3,128652.3,118834.6,148
41.2,150588.0,29966.0,45628.0,29366.0,45628.0,79059.1,56166.6,26317.7,13254.8,0.0,40287.6,0.0,18635.5,42016.6,32473.3,76077.9,93372.4,128652.3,119346.7,148
42.3,150596.0,29968.0,45630.0,29368.0,45630.0,79829.1,56168.7,27087.7,13256.9,0.0,40287.7,0.0,18650.0,42016.9,33054.8,76659.6,92790.9,128652.3,120116.8,148
43.4,150604.0,29970.0,45632.0,29370.0,45632.0,80991.4,56169.1,28250.1,13257.3,0.0,40287.7,0.0,18669.6,42016.9,34382.3,77987.1,91463.4,128652.3,121279.1,148
44.6,150606.0,29970.0,45632.0,29372.0,45632.0,81369.0,56172.6,28627.6,13260.8,0.0,40287.7,0.0,18689.3,42017.8,34931.6,78537.4,90914.0,128652.3,121656.7,148
45.8,150608.0,29970.0,45634.0,29372.0,45632.0,81881.3,56172.9,29140.0,13261.1,0.0,40287.7,0.0,18706.3,42017.0,35473.5,79078.4,90372.1,128652.3,122169.0,148
47.0,150612.0,29972.0,45634.0,29372.0,45634.0,82137.5,56173.1,29396.1,13261.3,0.0,40287.7,0.0,18721.5,42016.9,35743.4,79348.3,90102.2,128652.3,122425.2,148
48.2,150614.0,29972.0,45634.0,29374.0,45634.0,82656.0,56179.5,29914.6,13267.7,0.0,40287.7,0.0,18744.5,42017.6,36289.2,79894.8,89556.4,128652.3,122943.7,148
49.4,150616.0,29972.0,45636.0,29374.0,45634.0,83168.0,56179.6,30426.6,13267.8,0.0,40287.8,0.0,18758.2,42017.6,36828.1,80433.8,89017.5,128652.3,123455.8,148
50.6,150622.0,29976.0,45636.0,29374.0,45636.0,83168.1,56179.6,30426.7,13267.8,0.0,40287.8,0.0,18774.3,42017.4,36843.1,80448.6,89002.5,128652.3,123455.8,148
51.8,150626.0,29976.0,45638.0,29376.0,45636.0,83936.1,56179.7,31194.8,13267.9,0.0,40287.9,0.0,18791.6,42017.4,37649.9,81255.3,88195.7,128652.3,124224.0,148
53.0,150630.0,29978.0,45638.0,29376.0,45638.0,84192.2,56179.8,31450.8,13268.0,0.0,40287.9,0.0,18807.6,42017.6,37930.2,81535.7,87915.4,128652.3,124480.1,148
54.2,150634.0,29978.0,45640.0,29378.0,45638.0,84960.4,56179.9,32219.0,13268.1,0.0,40287.9,0.0,18821.8,42017.3,38675.1,82280.3,87170.5,128652.3,125248.3,148
55.4,150640.0,29980.0,45640.0,29380.0,45640.0,85353.5,56180.0,32612.1,13268.2,0.0,40438.9,0.0,18837.9,42168.7,39017.2,82773.9,86828.4,128652.3,125792.4,148
56.5,150642.0,29980.0,45642.0,29380.0,45640.0,85984.7,56180.3,33243.4,13268.5,0.0,40479.8,0.0,18660.2,42209.6,39632.2,83429.8,86213.4,128652.3,126464.6,148
57.8,150654.0,29984.0,45644.0,29382.0,45644.0,86752.9,56180.4,34011.5,13268.6,0.0,40479.9,0.0,18676.9,42209.8,40439.7,84237.4,85406.0,128652.3,127232.7,148
59.0,150664.0,29986.0,45646.0,29386.0,45646.0,87763.6,56181.0,35022.2,13269.2,0.0,40479.9,0.0,18693.8,42209.5,41245.0,85042.5,84600.6,128652.3,128243.5,148
60.2,150670.0,29988.0,45648.0,29386.0,45648.0,89057.6,56181.2,36316.2,13269.4,0.0,40479.9,0.0,18710.0,42209.4,42830.2,86627.6,83015.4,128652.3,129537.5,148
61.5,150670.0,29988.0,45648.0,29386.0,45648.0,89571.1,56182.7,36829.8,13270.9,0.0,40479.9,0.0,18725.5,42209.9,43370.6,87168.5,82475.0,128652.3,130051.0,148
