elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,138658.0,24789.0,44541.0,24787.0,44541.0,66822.7,55804.1,14096.7,12894.0,0.0,30063.7,0.0,16416.6,31630.6,17990.4,51220.8,107552.8,128652.3,96886.3,148
1.0,138658.0,24789.0,44541.0,24787.0,44541.0,66822.8,55804.3,14096.8,12894.2,0.0,30063.7,0.0,17187.1,31630.7,18763.5,51994.1,106779.7,128652.3,96886.5,148
2.0,138722.0,24809.0,44541.0,24831.0,44541.0,66823.0,55804.4,14097.0,12894.3,0.0,30063.7,0.0,17774.7,31630.7,19353.4,52584.0,106189.7,128652.3,96886.7,148
3.1,138724.0,24811.0,44541.0,24831.0,44541.0,66847.2,55825.1,14118.3,12915.0,0.0,30063.8,0.0,16961.9,31630.2,18557.3,51787.5,106985.8,128652.3,96910.9,148
4.1,138746.0,24831.0,44541.0,24833.0,44541.0,66849.5,55827.1,14120.5,12917.0,0.0,30063.9,0.0,16964.6,31630.0,18562.3,51792.3,106980.8,128652.3,96913.4,148
5.1,138746.0,24831.0,44541.0,24833.0,44541.0,66852.8,55830.1,14123.6,12920.1,0.0,30064.0,0.0,16967.3,31630.1,18567.8,51797.7,106975.4,128652.3,96916.8,148
6.1,138746.0,24831.0,44541.0,24833.0,44541.0,66856.3,55833.6,14127.1,12923.5,0.0,30064.1,0.0,16968.6,31630.2,18569.4,51799.5,106973.8,128652.3,96920.4,148
7.1,138746.0,24831.0,44541.0,24833.0,44541.0,66856.4,55833.7,14127.1,12923.6,0.0,30064.1,0.0,16972.5,31630.0,18572.3,51802.2,106970.8,128652.3,96920.5,148
8.1,138746.0,24831.0,44541.0,24833.0,44541.0,66856.5,55833.9,14127.3,12923.8,0.0,30064.1,0.0,16972.6,31630.0,18574.6,51804.5,106968.6,128652.3,96920.7,148
9.1,138746.0,24831.0,44541.0,24833.0,44541.0,66858.4,55835.7,14129.1,12925.6,0.0,30064.1,0.0,16974.5,31630.0,18577.1,51807.0,106966.1,128652.3,96922.5,148
10.1,138800.0,24885.0,44541.0,24833.0,44541.0,66858.4,55835.7,14129.2,12925.6,0.0,30064.2,0.0,16974.8,31630.0,18578.8,51808.7,106964.4,128652.3,96922.6,148
11.1,138848.0,24885.0,44541.0,24881.0,44541.0,66859.5,55836.8,14130.3,12926.7,0.0,30064.2,0.0,16976.5,31629.6,18579.3,51808.8,106963.9,128652.3,96923.7,148
12.1,138848.0,24885.0,44541.0,24881.0,44541.0,66865.4,55842.7,14136.1,12932.6,0.0,30064.2,0.0,16981.6,31629.2,18582.0,51811.1,106961.2,128652.3,96929.5,148
13.1,138848.0,24885.0,44541.0,24881.0,44541.0,66868.1,55845.5,14138.9,12935.4,0.0,30064.2,0.0,16984.7,31629.2,18584.4,51813.5,106958.8,128652.3,96932.3,148
14.1,138908.0,24885.0,44541.0,24941.0,44541.0,66868.4,55845.7,14139.2,12935.7,0.0,30064.2,0.0,16985.0,31629.4,18583.5,51812.8,106959.6,128652.3,96932.6,148
15.2,138944.0,24885.0,44541.0,24977.0,44541.0,66868.7,55846.0,14139.5,12935.9,0.0,30064.2,0.0,16985.2,31629.5,18595.9,51825.3,106947.3,128652.3,96932.9,148
16.2,138944.0,24885.0,44541.0,24977.0,44541.0,66869.2,55846.5,14140.0,12936.4,0.0,30064.2,0.0,16985.9,31630.0,18597.3,51827.2,106945.9,128652.3,96933.4,148
17.2,138944.0,24885.0,44541.0,24977.0,44541.0,66872.8,55850.1,14143.6,12940.0,0.0,30064.2,0.0,16983.2,31630.0,18594.3,51824.2,106948.8,128652.3,96937.0,148
18.2,138992.0,24933.0,44541.0,24977.0,44541.0,66874.1,55851.4,14144.9,12941.3,0.0,30064.2,0.0,16988.7,31629.8,18595.8,51825.5,106947.4,128652.3,96938.3,148
19.2,138992.0,24933.0,44541.0,24977.0,44541.0,66874.2,55851.5,14145.0,12941.4,0.0,30064.2,0.0,16988.0,31629.8,18597.4,51827.2,106945.7,128652.3,96938.4,148
20.2,138992.0,24933.0,44541.0,24977.0,44541.0,66874.2,55851.5,14145.0,12941.4,0.0,30064.2,0.0,16988.2,31629.7,18596.4,51826.0,106946.8,128652.3,96938.4,148
21.2,138992.0,24933.0,44541.0,24977.0,44541.0,66874.3,55851.6,14145.1,12941.5,0.0,30064.2,0.0,16988.6,31630.0,18597.0,51826.9,106946.2,128652.3,96938.5,148
22.2,138992.0,24933.0,44541.0,24977.0,44541.0,66874.3,55851.6,14145.1,12941.5,0.0,30064.2,0.0,16988.7,31630.0,18596.8,51826.8,106946.3,128652.3,96938.6,148
23.3,139118.0,24933.0,44541.0,25103.0,44541.0,66874.4,55851.7,14145.2,12941.7,0.0,30064.4,0.0,16988.8,31630.1,18594.3,51824.4,106948.8,128652.3,96938.8,148
24.3,139170.0,24985.0,44541.0,25103.0,44541.0,66874.8,55852.1,14145.6,12942.0,0.0,30064.4,0.0,16989.6,31630.1,18597.3,51827.4,106945.8,128652.3,96939.2,148
25.3,139170.0,24985.0,44541.0,25103.0,44541.0,66881.9,55859.2,14152.7,12949.1,0.0,30064.4,0.0,16996.6,31630.2,18603.1,51833.3,106940.0,128652.3,96946.3,148
26.3,139284.0,25099.0,44541.0,25103.0,44541.0,66886.2,55863.5,14157.0,12953.5,0.0,30064.4,0.0,16997.4,31630.4,18606.1,51836.4,106937.0,128652.3,96950.6,148
27.4,139358.0,25169.0,44543.0,25105.0,44541.0,66890.7,55868.0,14161.5,12957.9,0.0,30064.4,0.0,17013.1,31630.2,18619.9,51850.0,106923.2,128652.3,96955.1,148
28.5,139358.0,25169.0,44543.0,25105.0,44541.0,66891.5,55868.8,14162.3,12958.8,0.0,30064.4,0.0,17008.3,31630.2,18622.8,51852.9,106920.4,128652.3,96955.9,148
29.5,139358.0,25169.0,44543.0,25105.0,44541.0,66891.6,55868.9,14162.4,12958.8,0.0,30064.4,0.0,17008.9,31630.1,18625.4,51855.4,106917.7,128652.3,96956.0,148
30.5,139358.0,25169.0,44543.0,25105.0,44541.0,66891.6,55868.9,14162.4,12958.8,0.0,30064.4,0.0,17009.0,31630.1,18621.2,51851.2,106921.9,128652.3,96956.0,148
31.5,139358.0,25169.0,44543.0,25105.0,44541.0,66891.6,55868.9,14162.4,12958.8,0.0,30064.4,0.0,17009.0,31630.1,18623.8,51853.8,106919.3,128652.3,96956.0,148
32.6,139360.0,25169.0,44543.0,25105.0,44543.0,66891.8,55869.1,14162.6,12959.0,0.0,30064.4,0.0,17009.2,31630.1,18622.3,51852.3,106920.8,128652.3,96956.2,148
33.6,139438.0,25247.0,44543.0,25105.0,44543.0,66892.5,55869.6,14163.1,12959.5,0.0,30064.4,0.0,17009.7,31630.1,18623.8,51853.8,106919.3,128652.3,96956.9,148
34.6,139438.0,25247.0,44543.0,25105.0,44543.0,66892.7,55869.8,14163.3,12959.7,0.0,30064.4,0.0,17010.0,31630.1,18626.7,51856.7,106916.5,128652.3,96957.1,148
35.6,139438.0,25247.0,44543.0,25105.0,44543.0,66892.7,55869.8,14163.3,12959.7,0.0,30064.4,0.0,17010.8,31630.1,18624.8,51854.8,106918.3,128652.3,96957.1,148
36.6,139438.0,25247.0,44543.0,25105.0,44543.0,66892.8,55869.9,14163.3,12959.8,0.0,30064.4,0.0,17011.6,31630.1,18628.0,51858.0,106915.2,128652.3,96957.2,148
37.6,139438.0,25247.0,44543.0,25105.0,44543.0,66893.0,55870.1,14163.6,12960.0,0.0,30064.5,0.0,17014.7,31630.2,18635.0,51865.1,106908.2,128652.3,96957.5,148
38.6,139438.0,25247.0,44543.0,25105.0,44543.0,66893.1,55870.2,14163.7,12960.1,0.0,30064.6,0.0,17030.3,31630.1,18650.5,51880.5,106892.6,128652.3,96957.7,148
39.6,139530.0,25247.0,44543.0,25197.0,44543.0,66894.2,55871.3,14164.7,12961.2,0.0,30064.6,0.0,17016.5,31630.4,18632.0,51862.3,106911.2,128652.3,96958.8,148
40.7,139530.0,25247.0,44543.0,25197.0,44543.0,66894.5,55871.5,14165.0,12961.4,0.0,30064.6,0.0,17016.7,31630.5,18629.9,51860.4,106913.2,128652.3,96959.1,148
41.8,139530.0,25247.0,44543.0,25197.0,44543.0,66894.9,55872.0,14165.5,12961.9,0.0,30064.6,0.0,17017.3,31631.2,18637.7,51868.8,106905.4,128652.3,96959.5,148
42.8,139530.0,25247.0,44543.0,25197.0,44543.0,66895.2,55872.3,14165.8,12962.2,0.0,30064.6,0.0,17017.6,31630.9,18641.9,51872.7,106901.3,128652.3,96959.8,148
43.8,139530.0,25247.0,44543.0,25197.0,44543.0,66895.2,55872.3,14165.8,12962.2,0.0,30064.6,0.0,17017.7,31630.9,18641.9,51872.8,106901.2,128652.3,96959.9,148
44.9,139530.0,25247.0,44543.0,25197.0,44543.0,66895.2,55872.3,14165.8,12962.2,0.0,30064.6,0.0,17017.7,31631.0,18639.9,51870.8,106903.2,128652.3,96959.9,148
45.9,139530.0,25247.0,44543.0,25197.0,44543.0,66895.3,55872.3,14165.8,12962.2,0.0,30064.6,0.0,17017.7,31631.1,18642.0,51873.1,106901.1,128652.3,96959.9,148
46.9,139530.0,25247.0,44543.0,25197.0,44543.0,66895.4,55872.4,14165.9,12962.4,0.0,30064.6,0.0,17019.8,31631.1,18643.3,51874.4,106899.9,128652.3,96960.0,148
48.0,139530.0,25247.0,44543.0,25197.0,44543.0,66904.4,55881.4,14174.9,12971.3,0.0,30064.6,0.0,17020.3,31630.8,18647.2,51877.9,106896.0,128652.3,96969.0,148
49.0,139532.0,25249.0,44543.0,25197.0,44543.0,66904.4,55881.5,14175.0,12971.4,0.0,30064.6,0.0,17029.2,31630.7,18651.7,51882.4,106891.4,128652.3,96969.0,148
50.0,139532.0,25249.0,44543.0,25197.0,44543.0,66905.4,55882.5,14176.0,12972.4,0.0,30064.6,0.0,17030.0,31630.8,18657.3,51888.0,106885.9,128652.3,96970.0,148
51.1,139532.0,25249.0,44543.0,25197.0,44543.0,66913.3,55890.4,14183.9,12980.3,0.0,30064.7,0.0,17036.0,31631.0,18663.5,51894.5,106879.6,128652.3,96978.0,148
52.1,139532.0,25249.0,44543.0,25197.0,44543.0,66913.4,55890.4,14183.9,12980.4,0.0,30064.7,0.0,17036.1,31630.8,18663.1,51893.8,106880.0,128652.3,96978.0,148
53.1,139532.0,25249.0,44543.0,25197.0,44543.0,66927.9,55905.0,14198.5,12994.9,0.0,30064.7,0.0,17050.7,31630.9,18674.6,51905.4,106868.5,128652.3,96992.6,148
54.1,139532.0,25249.0,44543.0,25197.0,44543.0,66927.9,55905.0,14198.5,12994.9,0.0,30064.7,0.0,17050.8,31630.6,18677.2,51907.7,106866.0,128652.3,96992.6,148
55.2,139532.0,25249.0,44543.0,25197.0,44543.0,66928.6,55905.6,14199.1,12995.6,0.0,30064.8,0.0,17051.4,31630.3,18673.0,51903.2,106870.1,128652.3,96993.4,148
56.2,139532.0,25249.0,44543.0,25197.0,44543.0,66928.6,55905.7,14199.2,12995.6,0.0,30064.8,0.0,17051.8,31630.3,18672.4,51902.6,106870.8,128652.3,96993.4,148
57.2,139532.0,25249.0,44543.0,25197.0,44543.0,66928.8,55905.8,14199.3,12995.8,0.0,30064.8,0.0,17053.7,31630.2,18679.8,51909.9,106863.4,128652.3,96993.6,148
58.2,139532.0,25249.0,44543.0,25197.0,44543.0,66928.8,55905.8,14199.3,12995.8,0.0,30064.8,0.0,17054.2,31630.2,18680.7,51910.9,106862.4,128652.3,96993.6,148
59.3,139532.0,25249.0,44543.0,25197.0,44543.0,66928.8,55905.8,14199.3,12995.8,0.0,30064.8,0.0,17054.8,31630.2,18683.2,51913.4,106860.0,128652.3,96993.6,148
60.3,139532.0,25249.0,44543.0,25197.0,44543.0,66928.8,55905.9,14199.4,12995.8,0.0,30064.8,0.0,17054.7,31630.2,18684.4,51914.5,106858.8,128652.3,96993.7,148
61.3,139532.0,25249.0,44543.0,25197.0,44543.0,66928.8,55905.9,14199.4,12995.8,0.0,30064.8,0.0,17054.9,31630.0,18684.6,51914.5,106858.5,128652.3,96993.7,148
62.3,139532.0,25249.0,44543.0,25197.0,44543.0,66928.9,55905.9,14199.4,12995.8,0.0,30064.8,0.0,17053.2,31630.0,18683.0,51912.9,106860.1,128652.3,96993.7,148
63.3,139644.0,25249.0,44543.0,25309.0,44543.0,66928.9,55905.9,14199.4,12995.8,0.0,30064.8,0.0,17054.0,31630.0,18681.4,51911.3,106861.8,128652.3,96993.7,148
64.4,139644.0,25249.0,44543.0,25309.0,44543.0,66928.9,55906.0,14199.5,12995.9,0.0,30064.8,0.0,17055.1,31630.0,18683.3,51913.2,106859.8,128652.3,96993.7,148
65.4,139644.0,25249.0,44543.0,25309.0,44543.0,66928.9,55906.0,14199.5,12995.9,0.0,30064.8,0.0,17055.2,31630.4,18688.4,51918.7,106854.8,128652.3,96993.7,148
66.4,139644.0,25249.0,44543.0,25309.0,44543.0,66931.1,55908.2,14201.7,12998.1,0.0,30064.8,0.0,17055.9,31630.3,18681.4,51911.7,106861.7,128652.3,96996.0,148
67.4,139644.0,25249.0,44543.0,25309.0,44543.0,66931.1,55908.2,14201.7,12998.1,0.0,30064.9,0.0,17058.4,31630.1,18681.8,51911.9,106861.3,128652.3,96996.0,148
68.5,139644.0,25249.0,44543.0,25309.0,44543.0,66931.4,55908.4,14201.9,12998.3,0.0,30064.9,0.0,17055.8,31629.8,18678.7,51908.4,106864.5,128652.3,96996.2,148
69.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.6,55926.6,14220.1,13016.5,0.0,30065.0,0.0,17073.8,31630.0,18692.8,51922.7,106850.3,128652.3,97014.6,148
70.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.6,55926.6,14220.1,13016.5,0.0,30065.0,0.0,17073.9,31630.2,18691.3,51921.4,106851.9,128652.3,97014.6,148
71.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.6,55926.6,14220.1,13016.5,0.0,30065.0,0.0,17074.4,31630.5,18689.0,51919.4,106854.1,128652.3,97014.6,148
72.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.6,55926.6,14220.2,13016.5,0.0,30065.0,0.0,17074.3,31630.5,18686.7,51917.1,106856.4,128652.3,97014.6,148
73.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.6,55926.6,14220.2,13016.6,0.0,30065.0,0.0,17074.6,31630.4,18691.0,51921.3,106852.1,128652.3,97014.7,148
74.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.7,55926.7,14220.2,13016.6,0.0,30065.0,0.0,17074.3,31630.2,18692.6,51922.8,106850.5,128652.3,97014.7,148
75.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.7,55926.7,14220.2,13016.6,0.0,30065.0,0.0,17074.8,31630.2,18690.5,51920.7,106852.6,128652.3,97014.7,148
76.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.7,55926.7,14220.3,13016.6,0.0,30065.0,0.0,17075.0,31630.6,18691.9,51922.4,106851.3,128652.3,97014.8,148
77.6,139644.0,25249.0,44543.0,25309.0,44543.0,66949.7,55926.7,14220.3,13016.7,0.0,30065.0,0.0,17074.9,31630.6,18692.0,51922.5,106851.2,128652.3,97014.8,148
78.7,139644.0,25249.0,44543.0,25309.0,44543.0,66949.8,55926.8,14220.3,13016.7,0.0,30065.0,0.0,17074.9,31630.8,18697.7,51928.5,106845.4,128652.3,97014.8,148
79.7,139644.0,25249.0,44543.0,25309.0,44543.0,66949.8,55926.8,14220.4,13016.8,0.0,30065.1,0.0,17075.3,31631.0,18701.8,51932.8,106841.3,128652.3,97014.9,148
80.8,139644.0,25249.0,44543.0,25309.0,44543.0,66949.9,55926.9,14220.5,13016.8,0.0,30065.1,0.0,17075.8,31630.3,18709.2,51939.4,106834.0,128652.3,97015.0,148
81.8,139644.0,25249.0,44543.0,25309.0,44543.0,66949.9,55926.9,14220.5,13016.9,0.0,30065.1,0.0,17076.1,31630.1,18711.3,51941.3,106831.8,128652.3,97015.0,148
82.8,139644.0,25249.0,44543.0,25309.0,44543.0,66949.9,55926.9,14220.5,13016.9,0.0,30065.1,0.0,17076.9,31630.1,18715.4,51945.4,106827.8,128652.3,97015.0,148
83.8,139646.0,25249.0,44545.0,25309.0,44543.0,66950.1,55927.1,14220.6,13017.0,0.0,30065.1,0.0,17076.5,31630.4,18720.0,51950.4,106823.1,128652.3,97015.2,148
84.8,139646.0,25249.0,44545.0,25309.0,44543.0,66950.1,55927.1,14220.7,13017.0,0.0,30065.1,0.0,17076.7,31630.0,18713.6,51943.6,106829.5,128652.3,97015.2,148
85.9,139646.0,25249.0,44545.0,25309.0,44543.0,66950.1,55927.1,14220.7,13017.1,0.0,30065.1,0.0,17076.7,31630.0,18717.6,51947.6,106825.5,128652.3,97015.2,148
86.9,139646.0,25249.0,44545.0,25309.0,44543.0,66950.1,55927.1,14220.7,13017.1,0.0,30065.1,0.0,17076.7,31630.0,18717.2,51947.2,106825.9,128652.3,97015.2,148
87.9,139648.0,25251.0,44545.0,25309.0,44543.0,66950.1,55927.1,14220.7,13017.1,0.0,30065.1,0.0,17078.8,31630.2,18725.4,51955.6,106817.7,128652.3,97015.3,148
89.0,139648.0,25251.0,44545.0,25309.0,44543.0,66950.2,55927.2,14220.7,13017.1,0.0,30065.4,0.0,17091.9,31630.3,18735.4,51965.6,106807.8,128652.3,97015.6,148
90.0,139648.0,25251.0,44545.0,25309.0,44543.0,66950.2,55927.2,14220.7,13017.1,0.0,30065.4,0.0,17080.1,31630.2,18721.0,51951.1,106822.2,128652.3,97015.6,148
91.0,139648.0,25251.0,44545.0,25309.0,44543.0,66950.2,55927.2,14220.8,13017.2,0.0,30065.4,0.0,17080.2,31630.2,18721.1,51951.3,106822.0,128652.3,97015.6,148
92.0,139648.0,25251.0,44545.0,25309.0,44543.0,66950.2,55927.2,14220.8,13017.2,0.0,30065.4,0.0,17080.2,31630.2,18721.9,51952.1,106821.2,128652.3,97015.6,148
93.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.4,55927.4,14220.9,13017.3,0.0,30065.4,0.0,17080.3,31630.1,18717.1,51947.2,106826.0,128652.3,97015.8,148
94.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.4,55927.4,14220.9,13017.3,0.0,30065.4,0.0,17080.4,31631.2,18721.5,51952.6,106821.7,128652.3,97015.8,148
95.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.5,55927.4,14221.0,13017.4,0.0,30065.4,0.0,17081.0,31631.0,18723.5,51954.5,106819.6,128652.3,97015.9,148
96.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.5,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.6,31631.1,18723.5,51954.5,106819.6,128652.3,97015.9,148
97.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.5,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.6,31631.5,18722.2,51953.6,106821.0,128652.3,97015.9,148
98.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.5,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.5,31631.5,18721.0,51952.4,106822.2,128652.3,97015.9,148
99.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.5,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.5,31631.2,18721.9,51953.1,106821.3,128652.3,97015.9,148
100.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.6,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.7,31631.2,18722.1,51953.3,106821.0,128652.3,97016.0,148
101.1,139648.0,25251.0,44545.0,25309.0,44543.0,66950.6,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.3,31631.4,18717.1,51948.5,106826.1,128652.3,97016.0,148
102.2,139648.0,25251.0,44545.0,25309.0,44543.0,66950.6,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.8,31631.6,18720.7,51952.3,106822.4,128652.3,97016.0,148
103.2,139648.0,25251.0,44545.0,25309.0,44543.0,66950.6,55927.5,14221.0,13017.4,0.0,30065.4,0.0,17080.7,31631.5,18717.4,51948.8,106825.7,128652.3,97016.0,148
104.2,139648.0,25251.0,44545.0,25309.0,44543.0,66950.6,55927.5,14221.0,13017.5,0.0,30065.6,0.0,17080.8,31631.5,18717.8,51949.2,106825.3,128652.3,97016.2,148
105.2,139772.0,25375.0,44545.0,25309.0,44543.0,66950.6,55927.5,14221.0,13017.5,0.0,30065.6,0.0,17080.8,31631.5,18719.3,51950.7,106823.8,128652.3,97016.2,148
106.2,139772.0,25375.0,44545.0,25309.0,44543.0,66950.9,55927.9,14221.4,13017.8,0.0,30065.6,0.0,17081.0,31631.3,18716.0,51947.2,106827.1,128652.3,97016.5,148
107.2,139772.0,25375.0,44545.0,25309.0,44543.0,66951.1,55928.1,14221.6,13018.0,0.0,30065.6,0.0,17081.3,31631.5,18721.2,51952.7,106822.0,128652.3,97016.7,148
108.2,139772.0,25375.0,44545.0,25309.0,44543.0,66951.2,55928.2,14221.7,13018.1,0.0,30065.6,0.0,17081.8,31631.2,18720.1,51951.2,106823.1,128652.3,97016.8,148
109.2,139774.0,25375.0,44545.0,25309.0,44545.0,66951.3,55928.3,14221.8,13018.2,0.0,30065.6,0.0,17083.3,31631.2,18724.7,51955.9,106818.4,128652.3,97016.9,148
110.2,139774.0,25375.0,44545.0,25309.0,44545.0,66951.3,55928.3,14221.8,13018.2,0.0,30065.6,0.0,17082.0,31631.0,18720.1,51951.1,106823.1,128652.3,97017.0,148
111.2,139774.0,25375.0,44545.0,25309.0,44545.0,66951.3,55928.3,14221.8,13018.2,0.0,30065.6,0.0,17082.1,31631.2,18722.4,51953.5,106820.7,128652.3,97017.0,148
112.3,139774.0,25375.0,44545.0,25309.0,44545.0,66951.4,55928.3,14221.8,13018.2,0.0,30065.7,0.0,17082.1,31631.4,18718.7,51950.0,106824.4,128652.3,97017.1,148
