t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0007,25,0,60000,0.0004,0.1894,,,,,,,,,,,,
3.00,0.0037,218,0,60000,0.0036,0.5393,0.0043,85,0,60000,0.0014,0.6000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
3.50,0.0037,218,0,60000,0.0036,0.5393,0.0043,85,0,60000,0.0014,0.6000,,,,,,,0.0043,921,10,216374,0.0043,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0037,218,0,60000,0.0036,0.5393,0.0047,49,0,60000,0.0008,0.4804,0.0026,554,6,216374,0.0026,0.0000,0.0043,921,10,216374,0.0043,0.0000
4.50,0.0037,218,0,60000,0.0036,0.5393,0.0047,49,0,60000,0.0008,0.4804,0.0026,554,6,216374,0.0026,0.0000,0.0056,1204,9,216374,0.0056,0.0000
5.00,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0043,933,7,216374,0.0043,0.0000,0.0056,1204,9,216374,0.0056,0.0000
5.50,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0066,1433,7,216374,0.0066,0.0000,0.0079,1716,9,216374,0.0079,0.0000
6.00,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0066,1433,7,216374,0.0066,0.0000,0.0079,1716,9,216374,0.0079,0.0000
6.50,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0079,1713,7,216374,0.0079,0.0000,0.0096,2076,9,216374,0.0096,0.0000
7.00,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0079,1713,7,216374,0.0079,0.0000,0.0096,2076,9,216374,0.0096,0.0000
7.50,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0092,1993,7,216374,0.0092,0.0000,0.0113,2436,9,216374,0.0113,0.0000
8.00,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0092,1993,7,216374,0.0092,0.0000,0.0113,2436,9,216374,0.0113,0.0000
8.50,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0105,2273,7,216374,0.0105,0.0000,0.0129,2796,9,216374,0.0129,0.0000
9.00,0.0080,36,0,60000,0.0006,0.0945,0.0056,102,0,60000,0.0017,0.6182,0.0105,2273,7,216374,0.0105,0.0000,0.0129,2796,9,216374,0.0129,0.0000
9.50,0.0080,36,0,60000,0.0006,0.0945,0.0067,45,0,60000,0.0008,0.1389,0.0103,2236,6,216374,0.0103,0.0000,0.0161,3483,10,216374,0.0161,0.0000
10.00,0.0080,36,0,60000,0.0006,0.0945,0.0067,45,0,60000,0.0008,0.1389,0.0103,2236,6,216374,0.0103,0.0000,0.0161,3483,10,216374,0.0161,0.0000
10.50,0.0080,36,0,60000,0.0006,0.0945,0.0067,45,0,60000,0.0008,0.1389,0.0114,2476,6,216374,0.0114,0.0000,0.0179,3883,10,216374,0.0179,0.0000
11.00,0.0138,58,0,60000,0.0010,0.0806,0.0067,45,0,60000,0.0008,0.1389,0.0114,2476,6,216374,0.0114,0.0000,0.0179,3883,10,216374,0.0179,0.0000
11.50,0.0138,58,0,60000,0.0010,0.0806,0.0067,45,0,60000,0.0008,0.1389,0.0141,3042,6,216374,0.0141,0.0000,0.0198,4283,10,216374,0.0198,0.0000
12.00,0.0138,58,0,60000,0.0010,0.0806,0.0067,45,0,60000,0.0008,0.1389,0.0141,3042,6,216374,0.0141,0.0000,0.0198,4283,10,216374,0.0198,0.0000
12.50,0.0138,58,0,60000,0.0010,0.0806,0.0247,450,0,60000,0.0075,0.0625,0.0176,3812,6,216374,0.0176,0.0000,0.0192,4160,9,216374,0.0192,0.0000
13.00,0.0138,58,0,60000,0.0010,0.0806,0.0247,450,0,60000,0.0075,0.0625,0.0176,3812,6,216374,0.0176,0.0000,0.0192,4160,9,216374,0.0192,0.0000
13.50,0.0138,58,0,60000,0.0010,0.0806,0.0337,37,0,60000,0.0006,0.0757,0.0164,3555,6,216374,0.0164,0.0000,0.0237,5132,10,216374,0.0237,0.0000
14.00,0.0138,58,0,60000,0.0010,0.0806,0.0337,37,0,60000,0.0006,0.0757,0.0164,3555,6,216374,0.0164,0.0000,0.0237,5132,10,216374,0.0237,0.0000
14.50,0.0138,58,0,60000,0.0010,0.0806,0.0337,37,0,60000,0.0006,0.0757,0.0175,3795,6,216374,0.0175,0.0000,0.0256,5539,10,216374,0.0256,0.0000
15.00,0.0138,58,0,60000,0.0010,0.0806,0.0337,37,0,60000,0.0006,0.0757,0.0175,3795,6,216374,0.0175,0.0000,0.0256,5539,10,216374,0.0256,0.0000
15.50,0.0337,36,0,60000,0.0006,0.0614,0.0501,593,0,60000,0.0099,0.0725,0.0186,4035,6,216374,0.0186,0.0000,0.0302,6541,8,216374,0.0302,0.0000
16.00,0.0337,36,0,60000,0.0006,0.0614,0.0787,2347,0,60000,0.0391,0.0885,0.0186,4035,6,216374,0.0186,0.0000,0.0302,6541,8,216374,0.0302,0.0000
16.50,0.0337,36,0,60000,0.0006,0.0614,0.0787,2347,0,60000,0.0391,0.0885,0.0201,4348,6,216374,0.0201,0.0000,0.0295,6375,10,216374,0.0295,0.0000
17.00,0.0337,36,0,60000,0.0006,0.0614,0.0787,2347,0,60000,0.0391,0.0885,0.0201,4348,6,216374,0.0201,0.0000,0.0295,6375,10,216374,0.0295,0.0000
17.50,0.0337,36,0,60000,0.0006,0.0614,0.0787,2347,0,60000,0.0391,0.0885,0.0212,4588,6,216374,0.0212,0.0000,0.0313,6775,10,216374,0.0313,0.0000
18.00,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0212,4588,6,216374,0.0212,0.0000,0.0313,6775,10,216374,0.0313,0.0000
18.50,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0181,3909,5,216374,0.0181,0.0000,0.0375,8119,11,216374,0.0375,0.0000
19.00,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0181,3909,5,216374,0.0181,0.0000,0.0375,8119,11,216374,0.0375,0.0000
19.50,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0190,4109,5,216374,0.0190,0.0000,0.0396,8559,11,216374,0.0396,0.0000
20.00,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0199,4309,5,216374,0.0199,0.0000,0.0396,8559,11,216374,0.0396,0.0000
20.50,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0199,4309,5,216374,0.0199,0.0000,0.0416,8999,11,216374,0.0416,0.0000
21.00,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0208,4509,5,216374,0.0208,0.0000,0.0416,8999,11,216374,0.0416,0.0000
21.50,0.0517,1171,0,60000,0.0195,0.3584,0.0787,2347,0,60000,0.0391,0.0885,0.0208,4509,5,216374,0.0208,0.0000,0.0436,9439,11,216374,0.0436,0.0000
22.00,0.0517,1171,0,60000,0.0195,0.3584,0.0977,36,0,60000,0.0006,0.0360,0.0218,4709,5,216374,0.0218,0.0000,0.0436,9439,11,216374,0.0436,0.0000
22.50,0.0605,36,0,60000,0.0006,0.0424,0.0977,36,0,60000,0.0006,0.0360,0.0218,4709,5,216374,0.0218,0.0000,0.0457,9897,11,216374,0.0457,0.0000
23.00,0.0605,36,0,60000,0.0006,0.0424,0.0977,36,0,60000,0.0006,0.0360,0.0227,4909,5,216374,0.0227,0.0000,0.0457,9897,11,216374,0.0457,0.0000
23.50,0.0605,36,0,60000,0.0006,0.0424,0.1138,36,0,60000,0.0006,0.0228,0.0227,4909,5,216374,0.0227,0.0000,0.0478,10337,11,216374,0.0478,0.0000
24.00,0.0605,36,0,60000,0.0006,0.0424,0.1138,36,0,60000,0.0006,0.0228,0.0251,5439,5,216374,0.0251,0.0000,0.0478,10337,11,216374,0.0478,0.0000
24.50,0.0605,36,0,60000,0.0006,0.0424,0.1138,36,0,60000,0.0006,0.0228,0.0251,5439,5,216374,0.0251,0.0000,0.0498,10777,11,216374,0.0498,0.0000
25.00,0.0741,36,0,60000,0.0006,0.0341,0.1138,36,0,60000,0.0006,0.0228,0.0261,5648,4,216374,0.0261,0.0000,0.0498,10777,11,216374,0.0498,0.0000
25.50,0.0741,36,0,60000,0.0006,0.0341,0.1138,36,0,60000,0.0006,0.0228,0.0261,5648,4,216374,0.0261,0.0000,0.0498,10777,11,216374,0.0498,0.0000
26.00,0.1147,1521,0,60000,0.0254,0.5194,0.1138,36,0,60000,0.0006,0.0228,0.0367,7933,6,216374,0.0367,0.0000,0.0474,10254,11,216374,0.0474,0.0000
26.50,0.1147,1521,0,60000,0.0254,0.5194,0.1138,36,0,60000,0.0006,0.0228,0.0367,7933,6,216374,0.0367,0.0000,0.0474,10254,11,216374,0.0474,0.0000
27.00,0.1235,47,0,60000,0.0008,0.0456,0.1138,36,0,60000,0.0006,0.0228,0.0379,8209,7,216374,0.0379,0.0000,0.0394,8528,9,216374,0.0394,0.0000
27.50,0.1235,47,0,60000,0.0008,0.0456,0.1395,51,0,60000,0.0008,0.0477,0.0379,8209,7,216374,0.0379,0.0000,0.0394,8528,9,216374,0.0394,0.0000
28.00,0.1235,47,0,60000,0.0008,0.0456,0.1395,51,0,60000,0.0008,0.0477,0.0392,8489,7,216374,0.0392,0.0000,0.0459,9924,8,216374,0.0459,0.0000
28.50,0.1235,47,0,60000,0.0008,0.0456,0.1565,63,0,60000,0.0010,0.0560,0.0392,8489,7,216374,0.0392,0.0000,0.0459,9924,8,216374,0.0459,0.0000
29.00,0.1399,49,0,60000,0.0008,0.0375,0.1829,1650,0,60000,0.0275,0.5299,0.0296,6414,5,216374,0.0296,0.0000,0.0590,12762,9,216374,0.0590,0.0000
29.50,0.1609,74,0,60000,0.0012,0.0637,0.1917,584,0,60000,0.0097,0.5219,0.0296,6414,5,216374,0.0296,0.0000,0.0590,12762,9,216374,0.0590,0.0000
30.00,0.1790,1162,0,60000,0.0194,0.0307,0.1917,584,0,60000,0.0097,0.5219,0.0360,7786,6,216374,0.0360,0.0000,0.0557,12059,9,216374,0.0557,0.0000
30.50,0.1790,1162,0,60000,0.0194,0.0307,0.1917,584,0,60000,0.0097,0.5219,0.0360,7786,6,216374,0.0360,0.0000,0.0557,12059,9,216374,0.0557,0.0000
31.00,0.1790,1162,0,60000,0.0194,0.0307,0.2006,36,0,60000,0.0006,0.0249,0.0371,8026,6,216374,0.0371,0.0000,0.0575,12452,10,216374,0.0575,0.0000
31.50,0.1790,1162,0,60000,0.0194,0.0307,0.2006,36,0,60000,0.0006,0.0249,0.0371,8026,6,216374,0.0371,0.0000,0.0575,12452,10,216374,0.0575,0.0000
32.00,0.1790,1162,0,60000,0.0194,0.0307,0.2006,36,0,60000,0.0006,0.0249,0.0450,9734,7,216374,0.0450,0.0000,0.0527,11398,9,216374,0.0527,0.0000
