t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4789,,,,,,,,,,,,
3.50,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4789,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0023,132,0,60000,0.0022,0.0000,0.0015,75,0,60000,0.0013,0.4789,0.0059,857,10,145840,0.0059,0.0000,0.0037,572,6,154304,0.0037,0.0000
4.50,0.0023,132,0,60000,0.0022,0.0000,0.0047,82,0,60000,0.0014,0.8039,0.0059,857,10,145840,0.0059,0.0000,0.0037,572,6,154304,0.0037,0.0000
5.00,0.0023,132,0,60000,0.0022,0.0000,0.0047,82,0,60000,0.0014,0.8039,0.0087,1268,10,145840,0.0087,0.0000,0.0053,812,6,154304,0.0053,0.0000
5.50,0.0023,132,0,60000,0.0022,0.0000,0.0091,102,0,60000,0.0017,0.6182,0.0087,1268,10,145840,0.0087,0.0000,0.0053,812,6,154304,0.0053,0.0000
6.00,0.0023,132,0,60000,0.0022,0.0000,0.0091,102,0,60000,0.0017,0.6182,0.0103,1502,9,145840,0.0103,0.0000,0.0090,1382,7,154304,0.0090,0.0000
6.50,0.0023,132,0,60000,0.0022,0.0000,0.0091,102,0,60000,0.0017,0.6182,0.0103,1502,9,145840,0.0103,0.0000,0.0090,1382,7,154304,0.0090,0.0000
7.00,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0154,2248,10,145840,0.0154,0.0000,0.0094,1446,6,154304,0.0094,0.0000
7.50,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0154,2248,10,145840,0.0154,0.0000,0.0094,1446,6,154304,0.0094,0.0000
8.00,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0182,2648,10,145840,0.0182,0.0000,0.0109,1686,6,154304,0.0109,0.0000
8.50,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0182,2648,10,145840,0.0182,0.0000,0.0109,1686,6,154304,0.0109,0.0000
9.00,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0209,3048,10,145840,0.0209,0.0000,0.0125,1926,6,154304,0.0125,0.0000
9.50,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0209,3048,10,145840,0.0209,0.0000,0.0125,1926,6,154304,0.0125,0.0000
10.00,0.0045,36,0,60000,0.0006,0.0945,0.0091,102,0,60000,0.0017,0.6182,0.0236,3448,10,145840,0.0236,0.0000,0.0140,2166,6,154304,0.0140,0.0000
10.50,0.0045,36,0,60000,0.0006,0.0945,0.0150,336,0,60000,0.0056,0.9518,0.0236,3448,10,145840,0.0236,0.0000,0.0140,2166,6,154304,0.0140,0.0000
11.00,0.0157,366,0,60000,0.0061,0.5221,0.0150,336,0,60000,0.0056,0.9518,0.0289,4215,11,145840,0.0289,0.0000,0.0133,2054,5,154304,0.0133,0.0000
11.50,0.0157,366,0,60000,0.0061,0.5221,0.0150,336,0,60000,0.0056,0.9518,0.0289,4215,11,145840,0.0289,0.0000,0.0146,2254,5,154304,0.0146,0.0000
12.00,0.0157,366,0,60000,0.0061,0.5221,0.0150,336,0,60000,0.0056,0.9518,0.0341,4979,11,145840,0.0341,0.0000,0.0146,2254,5,154304,0.0146,0.0000
12.50,0.0213,132,0,60000,0.0022,0.2463,0.0150,336,0,60000,0.0056,0.9518,0.0341,4979,11,145840,0.0341,0.0000,0.0125,1930,5,154304,0.0125,0.0000
13.00,0.0357,565,0,60000,0.0094,0.0800,0.0150,336,0,60000,0.0056,0.9518,0.0372,5419,11,145840,0.0372,0.0000,0.0125,1930,5,154304,0.0125,0.0000
13.50,0.0357,565,0,60000,0.0094,0.0800,0.0150,336,0,60000,0.0056,0.9518,0.0372,5419,11,145840,0.0372,0.0000,0.0210,3243,6,154304,0.0210,0.0000
14.00,0.0357,565,0,60000,0.0094,0.0800,0.0150,336,0,60000,0.0056,0.9518,0.0366,5340,10,145840,0.0366,0.0000,0.0210,3243,6,154304,0.0210,0.0000
14.50,0.0357,565,0,60000,0.0094,0.0800,0.0150,336,0,60000,0.0056,0.9518,0.0366,5340,10,145840,0.0366,0.0000,0.0226,3483,6,154304,0.0226,0.0000
15.00,0.0357,565,0,60000,0.0094,0.0800,0.0150,336,0,60000,0.0056,0.9518,0.0394,5740,10,145840,0.0394,0.0000,0.0226,3483,6,154304,0.0226,0.0000
15.50,0.0357,565,0,60000,0.0094,0.0800,0.0237,547,0,60000,0.0091,0.9630,0.0394,5740,10,145840,0.0394,0.0000,0.0242,3740,5,154304,0.0242,0.0000
16.00,0.0609,36,0,60000,0.0006,0.0569,0.0326,1082,0,60000,0.0180,0.9632,0.0466,6789,10,145840,0.0466,0.0000,0.0242,3740,5,154304,0.0242,0.0000
16.50,0.0709,646,0,60000,0.0108,0.0730,0.0326,1082,0,60000,0.0180,0.9632,0.0466,6789,10,145840,0.0466,0.0000,0.0260,4015,6,154304,0.0260,0.0000
17.00,0.0709,646,0,60000,0.0108,0.0730,0.0585,1624,0,60000,0.0271,0.9675,0.0455,6634,9,145840,0.0455,0.0000,0.0260,4015,6,154304,0.0260,0.0000
17.50,0.0829,136,0,60000,0.0023,0.1671,0.0585,1624,0,60000,0.0271,0.9675,0.0455,6634,9,145840,0.0455,0.0000,0.0276,4255,6,154304,0.0276,0.0000
18.00,0.0829,136,0,60000,0.0023,0.1671,0.0585,1624,0,60000,0.0271,0.9675,0.0539,7857,11,145840,0.0539,0.0000,0.0276,4255,6,154304,0.0276,0.0000
18.50,0.0829,136,0,60000,0.0023,0.1671,0.0585,1624,0,60000,0.0271,0.9675,0.0539,7857,11,145840,0.0539,0.0000,0.0237,3662,5,154304,0.0237,0.0000
19.00,0.0829,136,0,60000,0.0023,0.1671,0.0585,1624,0,60000,0.0271,0.9675,0.0569,8297,11,145840,0.0569,0.0000,0.0237,3662,5,154304,0.0237,0.0000
19.50,0.0829,136,0,60000,0.0023,0.1671,0.0585,1624,0,60000,0.0271,0.9675,0.0569,8297,11,145840,0.0569,0.0000,0.0250,3862,5,154304,0.0250,0.0000
20.00,0.0942,381,0,60000,0.0063,0.4182,0.0585,1624,0,60000,0.0271,0.9675,0.0537,7831,10,145840,0.0537,0.0000,0.0250,3862,5,154304,0.0250,0.0000
20.50,0.0942,381,0,60000,0.0063,0.4182,0.0585,1624,0,60000,0.0271,0.9675,0.0537,7831,10,145840,0.0537,0.0000,0.0324,4993,6,154304,0.0324,0.0000
21.00,0.0942,381,0,60000,0.0063,0.4182,0.0585,1624,0,60000,0.0271,0.9675,0.0564,8231,10,145840,0.0564,0.0000,0.0324,4993,6,154304,0.0324,0.0000
21.50,0.0942,381,0,60000,0.0063,0.4182,0.0585,1624,0,60000,0.0271,0.9675,0.0564,8231,10,145840,0.0564,0.0000,0.0339,5233,6,154304,0.0339,0.0000
22.00,0.0942,381,0,60000,0.0063,0.4182,0.0585,1624,0,60000,0.0271,0.9675,0.0564,8231,10,145840,0.0564,0.0000,0.0339,5233,6,154304,0.0339,0.0000
22.50,0.1031,814,0,60000,0.0136,0.7973,0.0585,1624,0,60000,0.0271,0.9675,0.0592,8631,10,145840,0.0592,0.0000,0.0355,5473,6,154304,0.0355,0.0000
23.00,0.1031,814,0,60000,0.0136,0.7973,0.0585,1624,0,60000,0.0271,0.9675,0.0592,8631,10,145840,0.0592,0.0000,0.0355,5473,6,154304,0.0355,0.0000
23.50,0.1031,814,0,60000,0.0136,0.7973,0.0585,1624,0,60000,0.0271,0.9675,0.0549,8008,9,145840,0.0549,0.0000,0.0438,6763,7,154304,0.0438,0.0000
24.00,0.1031,814,0,60000,0.0136,0.7973,0.0680,864,0,60000,0.0144,0.9841,0.0549,8008,9,145840,0.0549,0.0000,0.0438,6763,7,154304,0.0438,0.0000
24.50,0.1065,701,0,60000,0.0117,0.4496,0.0680,864,0,60000,0.0144,0.9841,0.0513,7481,8,145840,0.0513,0.0000,0.0616,9500,8,154304,0.0616,0.0000
25.00,0.1065,701,0,60000,0.0117,0.4496,0.0680,864,0,60000,0.0144,0.9841,0.0513,7481,8,145840,0.0513,0.0000,0.0616,9500,8,154304,0.0616,0.0000
25.50,0.1065,701,0,60000,0.0117,0.4496,0.0851,1047,0,60000,0.0175,0.9868,0.0449,6553,7,145840,0.0449,0.0000,0.0571,8804,9,154304,0.0571,0.0000
26.00,0.1065,701,0,60000,0.0117,0.4496,0.1026,1076,0,60000,0.0179,0.9800,0.0449,6553,7,145840,0.0449,0.0000,0.0571,8804,9,154304,0.0571,0.0000
26.50,0.1208,450,0,60000,0.0075,0.4587,0.1026,1076,0,60000,0.0179,0.9800,0.0545,7942,8,145840,0.0545,0.0000,0.0591,9116,8,154304,0.0591,0.0000
27.00,0.1208,450,0,60000,0.0075,0.4587,0.1026,1076,0,60000,0.0179,0.9800,0.0545,7942,8,145840,0.0545,0.0000,0.0591,9116,8,154304,0.0591,0.0000
27.50,0.1208,450,0,60000,0.0075,0.4587,0.1106,1031,0,60000,0.0172,0.9627,0.0567,8273,8,145840,0.0567,0.0000,0.0614,9471,7,154304,0.0614,0.0000
28.00,0.1208,450,0,60000,0.0075,0.4587,0.1106,1031,0,60000,0.0172,0.9627,0.0567,8273,8,145840,0.0567,0.0000,0.0614,9471,7,154304,0.0614,0.0000
28.50,0.1208,450,0,60000,0.0075,0.4587,0.1106,1031,0,60000,0.0172,0.9627,0.0589,8593,8,145840,0.0589,0.0000,0.0634,9789,8,154304,0.0634,0.0000
29.00,0.1385,568,0,60000,0.0095,0.5201,0.1300,1159,0,60000,0.0193,0.9034,0.0589,8593,8,145840,0.0589,0.0000,0.0634,9789,8,154304,0.0634,0.0000
29.50,0.1385,568,0,60000,0.0095,0.5201,0.1863,2232,0,60000,0.0372,0.9753,0.0626,9126,7,145840,0.0626,0.0000,0.0651,10045,8,154304,0.0651,0.0000
30.00,0.1825,1084,0,60000,0.0181,0.9722,0.1863,2232,0,60000,0.0372,0.9753,0.0626,9126,7,145840,0.0626,0.0000,0.0651,10045,8,154304,0.0651,0.0000
30.50,0.1825,1084,0,60000,0.0181,0.9722,0.1868,594,0,60000,0.0099,0.5299,0.0498,7258,6,145840,0.0498,0.0000,0.0819,12634,10,154304,0.0819,0.0000
31.00,0.1825,1084,0,60000,0.0181,0.9722,0.1868,594,0,60000,0.0099,0.5299,0.0498,7258,6,145840,0.0498,0.0000,0.0819,12634,10,154304,0.0819,0.0000
31.50,0.1825,1084,0,60000,0.0181,0.9722,0.1868,594,0,60000,0.0099,0.5299,0.0514,7498,6,145840,0.0514,0.0000,0.0819,12634,10,154304,0.0819,0.0000
32.00,0.1825,1084,0,60000,0.0181,0.9722,0.1868,594,0,60000,0.0099,0.5299,0.0514,7498,6,145840,0.0514,0.0000,0.0845,13034,10,154304,0.0845,0.0000
32.50,0.1825,1084,0,60000,0.0181,0.9722,0.1868,594,0,60000,0.0099,0.5299,0.0531,7738,6,145840,0.0531,0.0000,0.0845,13034,10,154304,0.0845,0.0000
