t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0010,58,0,60000,0.0010,0.0000,0.0010,45,0,60000,0.0008,0.3378,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
3.50,0.0010,58,0,60000,0.0010,0.0000,0.0010,45,0,60000,0.0008,0.3378,0.0029,580,7,197558,0.0029,0.0000,0.0040,787,9,197558,0.0040,0.0000
4.00,0.0010,58,0,60000,0.0010,0.0000,0.0061,53,0,60000,0.0009,0.2103,0.0029,580,7,197558,0.0029,0.0000,0.0040,787,9,197558,0.0040,0.0000
4.50,0.0026,36,0,60000,0.0006,0.3529,0.0061,53,0,60000,0.0009,0.2103,0.0057,1128,8,197558,0.0057,0.0000,0.0052,1034,8,197558,0.0052,0.0000
5.00,0.0026,36,0,60000,0.0006,0.3529,0.0061,53,0,60000,0.0009,0.2103,0.0057,1128,8,197558,0.0057,0.0000,0.0052,1034,8,197558,0.0052,0.0000
5.50,0.0026,36,0,60000,0.0006,0.3529,0.0061,53,0,60000,0.0009,0.2103,0.0073,1448,8,197558,0.0073,0.0000,0.0069,1354,8,197558,0.0069,0.0000
6.00,0.0026,36,0,60000,0.0006,0.3529,0.0100,82,0,60000,0.0014,0.4970,0.0073,1448,8,197558,0.0073,0.0000,0.0069,1354,8,197558,0.0069,0.0000
6.50,0.0026,36,0,60000,0.0006,0.3529,0.0100,82,0,60000,0.0014,0.4970,0.0090,1779,8,197558,0.0090,0.0000,0.0085,1674,8,197558,0.0085,0.0000
7.00,0.0026,36,0,60000,0.0006,0.3529,0.0113,36,0,60000,0.0006,0.0945,0.0090,1779,8,197558,0.0090,0.0000,0.0085,1674,8,197558,0.0085,0.0000
7.50,0.0026,36,0,60000,0.0006,0.3529,0.0113,36,0,60000,0.0006,0.0945,0.0094,1862,7,197558,0.0094,0.0000,0.0121,2400,9,197558,0.0121,0.0000
8.00,0.0026,36,0,60000,0.0006,0.3529,0.0113,36,0,60000,0.0006,0.0945,0.0094,1862,7,197558,0.0094,0.0000,0.0121,2400,9,197558,0.0121,0.0000
8.50,0.0026,36,0,60000,0.0006,0.3529,0.0113,36,0,60000,0.0006,0.0945,0.0108,2142,7,197558,0.0108,0.0000,0.0140,2760,9,197558,0.0140,0.0000
9.00,0.0026,36,0,60000,0.0006,0.3529,0.0113,36,0,60000,0.0006,0.0945,0.0108,2142,7,197558,0.0108,0.0000,0.0140,2760,9,197558,0.0140,0.0000
9.50,0.0026,36,0,60000,0.0006,0.3529,0.0113,36,0,60000,0.0006,0.0945,0.0123,2422,7,197558,0.0123,0.0000,0.0158,3120,9,197558,0.0158,0.0000
10.00,0.0087,336,0,60000,0.0056,0.9518,0.0113,36,0,60000,0.0006,0.0945,0.0123,2422,7,197558,0.0123,0.0000,0.0158,3120,9,197558,0.0158,0.0000
10.50,0.0087,336,0,60000,0.0056,0.9518,0.0113,36,0,60000,0.0006,0.0945,0.0119,2346,6,197558,0.0119,0.0000,0.0195,3843,10,197558,0.0195,0.0000
11.00,0.0087,336,0,60000,0.0056,0.9518,0.0113,36,0,60000,0.0006,0.0945,0.0119,2346,6,197558,0.0119,0.0000,0.0195,3843,10,197558,0.0195,0.0000
11.50,0.0087,336,0,60000,0.0056,0.9518,0.0286,825,0,60000,0.0138,0.2672,0.0148,2918,5,197558,0.0148,0.0000,0.0190,3761,10,197558,0.0190,0.0000
12.00,0.0087,336,0,60000,0.0056,0.9518,0.0286,825,0,60000,0.0138,0.2672,0.0148,2918,5,197558,0.0148,0.0000,0.0190,3761,10,197558,0.0190,0.0000
12.50,0.0153,420,0,60000,0.0070,0.9524,0.0286,825,0,60000,0.0138,0.2672,0.0208,4119,7,197558,0.0208,0.0000,0.0187,3695,8,197558,0.0187,0.0000
13.00,0.0233,499,0,60000,0.0083,0.8663,0.0286,825,0,60000,0.0138,0.2672,0.0208,4119,7,197558,0.0208,0.0000,0.0187,3695,8,197558,0.0187,0.0000
13.50,0.0233,499,0,60000,0.0083,0.8663,0.0286,825,0,60000,0.0138,0.2672,0.0198,3911,7,197558,0.0198,0.0000,0.0233,4610,9,197558,0.0233,0.0000
14.00,0.0233,499,0,60000,0.0083,0.8663,0.0286,825,0,60000,0.0138,0.2672,0.0198,3911,7,197558,0.0198,0.0000,0.0233,4610,9,197558,0.0233,0.0000
14.50,0.0233,499,0,60000,0.0083,0.8663,0.0286,825,0,60000,0.0138,0.2672,0.0212,4191,7,197558,0.0212,0.0000,0.0252,4970,9,197558,0.0252,0.0000
15.00,0.0233,499,0,60000,0.0083,0.8663,0.0286,825,0,60000,0.0138,0.2672,0.0212,4191,7,197558,0.0212,0.0000,0.0252,4970,9,197558,0.0252,0.0000
15.50,0.0233,499,0,60000,0.0083,0.8663,0.0347,37,0,60000,0.0006,0.0623,0.0226,4471,7,197558,0.0226,0.0000,0.0242,4772,9,197558,0.0242,0.0000
16.00,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0226,4471,7,197558,0.0226,0.0000,0.0242,4772,9,197558,0.0242,0.0000
16.50,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0203,4014,5,197558,0.0203,0.0000,0.0328,6487,5,197558,0.0328,0.0000
17.00,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0203,4014,5,197558,0.0203,0.0000,0.0328,6487,5,197558,0.0328,0.0000
17.50,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0215,4247,6,197558,0.0215,0.0000,0.0346,6827,10,197558,0.0346,0.0000
18.00,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0215,4247,6,197558,0.0215,0.0000,0.0346,6827,10,197558,0.0346,0.0000
18.50,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0227,4487,6,197558,0.0227,0.0000,0.0366,7227,10,197558,0.0366,0.0000
19.00,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0227,4487,6,197558,0.0227,0.0000,0.0366,7227,10,197558,0.0366,0.0000
19.50,0.0530,1790,0,60000,0.0298,0.5280,0.0440,627,0,60000,0.0104,0.0781,0.0239,4727,6,197558,0.0239,0.0000,0.0386,7627,10,197558,0.0386,0.0000
20.00,0.0530,1790,0,60000,0.0298,0.5280,0.0910,859,0,60000,0.0143,0.9717,0.0239,4727,6,197558,0.0239,0.0000,0.0386,7627,10,197558,0.0386,0.0000
20.50,0.0530,1790,0,60000,0.0298,0.5280,0.0910,859,0,60000,0.0143,0.9717,0.0298,5891,7,197558,0.0298,0.0000,0.0360,7115,9,197558,0.0360,0.0000
21.00,0.0530,1790,0,60000,0.0298,0.5280,0.0910,859,0,60000,0.0143,0.9717,0.0298,5891,7,197558,0.0298,0.0000,0.0360,7115,9,197558,0.0360,0.0000
21.50,0.0530,1790,0,60000,0.0298,0.5280,0.0910,859,0,60000,0.0143,0.9717,0.0312,6171,7,197558,0.0312,0.0000,0.0378,7475,9,197558,0.0378,0.0000
22.00,0.0530,1790,0,60000,0.0298,0.5280,0.0910,859,0,60000,0.0143,0.9717,0.0312,6171,7,197558,0.0312,0.0000,0.0378,7475,9,197558,0.0378,0.0000
22.50,0.0904,835,0,60000,0.0139,0.9847,0.0910,859,0,60000,0.0143,0.9717,0.0327,6451,7,197558,0.0327,0.0000,0.0354,6992,8,197558,0.0354,0.0000
23.00,0.0904,835,0,60000,0.0139,0.9847,0.0910,859,0,60000,0.0143,0.9717,0.0327,6451,7,197558,0.0327,0.0000,0.0354,6992,8,197558,0.0354,0.0000
23.50,0.0904,835,0,60000,0.0139,0.9847,0.0910,859,0,60000,0.0143,0.9717,0.0385,7605,8,197558,0.0385,0.0000,0.0370,7312,8,197558,0.0370,0.0000
24.00,0.0904,835,0,60000,0.0139,0.9847,0.0910,859,0,60000,0.0143,0.9717,0.0385,7605,8,197558,0.0385,0.0000,0.0370,7312,8,197558,0.0370,0.0000
24.50,0.1067,1005,0,60000,0.0168,0.9863,0.0915,729,0,60000,0.0121,0.4594,0.0368,7263,7,197558,0.0368,0.0000,0.0386,7632,8,197558,0.0386,0.0000
25.00,0.1067,1005,0,60000,0.0168,0.9863,0.0915,729,0,60000,0.0121,0.4594,0.0368,7263,7,197558,0.0368,0.0000,0.0386,7632,8,197558,0.0386,0.0000
25.50,0.1070,441,0,60000,0.0073,0.4570,0.0915,729,0,60000,0.0121,0.4594,0.0386,7630,8,197558,0.0386,0.0000,0.0452,8921,9,197558,0.0452,0.0000
26.00,0.1070,441,0,60000,0.0073,0.4570,0.1221,1087,0,60000,0.0181,0.9802,0.0386,7630,8,197558,0.0386,0.0000,0.0452,8921,9,197558,0.0452,0.0000
26.50,0.1070,441,0,60000,0.0073,0.4570,0.1221,1087,0,60000,0.0181,0.9802,0.0457,9024,8,197558,0.0457,0.0000,0.0364,7192,7,197558,0.0364,0.0000
27.00,0.1157,584,0,60000,0.0097,0.5776,0.1221,1087,0,60000,0.0181,0.9802,0.0457,9024,8,197558,0.0457,0.0000,0.0364,7192,7,197558,0.0364,0.0000
27.50,0.1157,584,0,60000,0.0097,0.5776,0.1221,1087,0,60000,0.0181,0.9802,0.0525,10374,9,197558,0.0525,0.0000,0.0378,7472,7,197558,0.0378,0.0000
28.00,0.1157,584,0,60000,0.0097,0.5776,0.1221,1087,0,60000,0.0181,0.9802,0.0525,10374,9,197558,0.0525,0.0000,0.0378,7472,7,197558,0.0378,0.0000
28.50,0.1157,584,0,60000,0.0097,0.5776,0.1306,1159,0,60000,0.0193,0.9034,0.0543,10734,9,197558,0.0543,0.0000,0.0398,7870,6,197558,0.0398,0.0000
29.00,0.1157,584,0,60000,0.0097,0.5776,0.1504,1660,0,60000,0.0277,0.5139,0.0543,10734,9,197558,0.0543,0.0000,0.0398,7870,6,197558,0.0398,0.0000
29.50,0.1311,1073,0,60000,0.0179,0.9826,0.1680,586,0,60000,0.0098,0.4996,0.0504,9963,8,197558,0.0504,0.0000,0.0398,7870,6,197558,0.0398,0.0000
30.00,0.1404,1709,0,60000,0.0285,0.5349,0.1680,586,0,60000,0.0098,0.4996,0.0504,9963,8,197558,0.0504,0.0000,0.0415,8191,7,197558,0.0415,0.0000
30.50,0.1404,1709,0,60000,0.0285,0.5349,0.1680,586,0,60000,0.0098,0.4996,0.0699,13815,11,197558,0.0699,0.0000,0.0415,8191,7,197558,0.0415,0.0000
31.00,0.1404,1709,0,60000,0.0285,0.5349,0.1680,586,0,60000,0.0098,0.4996,0.0699,13815,11,197558,0.0699,0.0000,0.0313,6174,5,197558,0.0313,0.0000
31.50,0.1404,1709,0,60000,0.0285,0.5349,0.1680,586,0,60000,0.0098,0.4996,0.0699,13815,11,197558,0.0699,0.0000,0.0313,6174,5,197558,0.0313,0.0000
32.00,0.1404,1709,0,60000,0.0285,0.5349,0.1680,586,0,60000,0.0098,0.4996,0.0722,14255,11,197558,0.0722,0.0000,0.0323,6374,5,197558,0.0323,0.0000
