t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0011,63,0,60000,0.0010,0.0000,0.0007,25,0,60000,0.0004,0.3661,,,,,,,,,,,,
3.50,0.0011,63,0,60000,0.0010,0.0000,0.0007,25,0,60000,0.0004,0.3661,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0011,63,0,60000,0.0010,0.0000,0.0007,25,0,60000,0.0004,0.3661,0.0045,700,7,154304,0.0045,0.0000,0.0050,764,9,154304,0.0050,0.0000
4.50,0.0011,63,0,60000,0.0010,0.0000,0.0046,36,0,60000,0.0006,0.3495,0.0045,700,7,154304,0.0045,0.0000,0.0050,764,9,154304,0.0050,0.0000
5.00,0.0011,63,0,60000,0.0010,0.0000,0.0046,36,0,60000,0.0006,0.3495,0.0064,995,7,154304,0.0064,0.0000,0.0073,1124,9,154304,0.0073,0.0000
5.50,0.0011,63,0,60000,0.0010,0.0000,0.0057,103,0,60000,0.0017,0.6205,0.0064,995,7,154304,0.0064,0.0000,0.0073,1124,9,154304,0.0073,0.0000
6.00,0.0011,63,0,60000,0.0010,0.0000,0.0057,103,0,60000,0.0017,0.6205,0.0072,1106,6,154304,0.0072,0.0000,0.0117,1806,9,154304,0.0117,0.0000
6.50,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0072,1106,6,154304,0.0072,0.0000,0.0117,1806,9,154304,0.0117,0.0000
7.00,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0112,1733,7,154304,0.0112,0.0000,0.0127,1966,9,154304,0.0127,0.0000
7.50,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0112,1733,7,154304,0.0112,0.0000,0.0127,1966,9,154304,0.0127,0.0000
8.00,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0130,2013,7,154304,0.0130,0.0000,0.0151,2326,9,154304,0.0151,0.0000
8.50,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0130,2013,7,154304,0.0130,0.0000,0.0151,2326,9,154304,0.0151,0.0000
9.00,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0149,2293,7,154304,0.0149,0.0000,0.0174,2686,9,154304,0.0174,0.0000
9.50,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0149,2293,7,154304,0.0149,0.0000,0.0174,2686,9,154304,0.0174,0.0000
10.00,0.0054,136,0,60000,0.0023,0.4595,0.0068,36,0,60000,0.0006,0.0945,0.0167,2573,7,154304,0.0167,0.0000,0.0197,3046,9,154304,0.0197,0.0000
10.50,0.0146,425,0,60000,0.0071,0.9703,0.0068,36,0,60000,0.0006,0.0945,0.0167,2573,7,154304,0.0167,0.0000,0.0197,3046,9,154304,0.0197,0.0000
11.00,0.0148,58,0,60000,0.0010,0.0826,0.0068,36,0,60000,0.0006,0.0945,0.0156,2409,6,154304,0.0156,0.0000,0.0250,3853,10,154304,0.0250,0.0000
11.50,0.0148,58,0,60000,0.0010,0.0826,0.0068,36,0,60000,0.0006,0.0945,0.0172,2649,6,154304,0.0172,0.0000,0.0250,3853,10,154304,0.0250,0.0000
12.00,0.0148,58,0,60000,0.0010,0.0826,0.0068,36,0,60000,0.0006,0.0945,0.0172,2649,6,154304,0.0172,0.0000,0.0297,4579,10,154304,0.0297,0.0000
12.50,0.0148,58,0,60000,0.0010,0.0826,0.0068,36,0,60000,0.0006,0.0945,0.0188,2896,5,154304,0.0188,0.0000,0.0297,4579,10,154304,0.0297,0.0000
13.00,0.0255,103,0,60000,0.0017,0.1823,0.0068,36,0,60000,0.0006,0.0945,0.0188,2896,5,154304,0.0188,0.0000,0.0323,4979,10,154304,0.0323,0.0000
13.50,0.0255,103,0,60000,0.0017,0.1823,0.0189,428,0,60000,0.0071,0.9661,0.0206,3178,6,154304,0.0206,0.0000,0.0323,4979,10,154304,0.0323,0.0000
14.00,0.0255,103,0,60000,0.0017,0.1823,0.0189,428,0,60000,0.0071,0.9661,0.0206,3178,6,154304,0.0206,0.0000,0.0349,5379,10,154304,0.0349,0.0000
14.50,0.0333,47,0,60000,0.0008,0.0925,0.0189,428,0,60000,0.0071,0.9661,0.0254,3926,6,154304,0.0254,0.0000,0.0349,5379,10,154304,0.0349,0.0000
15.00,0.0333,47,0,60000,0.0008,0.0925,0.0189,428,0,60000,0.0071,0.9661,0.0254,3926,6,154304,0.0254,0.0000,0.0308,4752,8,154304,0.0308,0.0000
15.50,0.0409,36,0,60000,0.0006,0.0580,0.0270,507,0,60000,0.0084,0.9602,0.0307,4739,8,154304,0.0307,0.0000,0.0308,4752,8,154304,0.0308,0.0000
16.00,0.0507,37,0,60000,0.0006,0.0630,0.0270,507,0,60000,0.0084,0.9602,0.0307,4739,8,154304,0.0307,0.0000,0.0408,6291,8,154304,0.0408,0.0000
16.50,0.0599,610,0,60000,0.0102,0.1010,0.0270,507,0,60000,0.0084,0.9602,0.0373,5749,7,154304,0.0373,0.0000,0.0408,6291,8,154304,0.0408,0.0000
17.00,0.0599,610,0,60000,0.0102,0.1010,0.0270,507,0,60000,0.0084,0.9602,0.0373,5749,7,154304,0.0373,0.0000,0.0308,4746,4,154304,0.0308,0.0000
17.50,0.0599,610,0,60000,0.0102,0.1010,0.0530,1635,0,60000,0.0272,0.5859,0.0391,6029,7,154304,0.0391,0.0000,0.0308,4746,4,154304,0.0308,0.0000
18.00,0.0599,610,0,60000,0.0102,0.1010,0.0530,1635,0,60000,0.0272,0.5859,0.0391,6029,7,154304,0.0391,0.0000,0.0318,4906,4,154304,0.0318,0.0000
18.50,0.0599,610,0,60000,0.0102,0.1010,0.0530,1635,0,60000,0.0272,0.5859,0.0409,6309,7,154304,0.0409,0.0000,0.0318,4906,4,154304,0.0318,0.0000
19.00,0.0599,610,0,60000,0.0102,0.1010,0.0530,1635,0,60000,0.0272,0.5859,0.0409,6309,7,154304,0.0409,0.0000,0.0328,5066,4,154304,0.0328,0.0000
19.50,0.0599,610,0,60000,0.0102,0.1010,0.0530,1635,0,60000,0.0272,0.5859,0.0483,7452,8,154304,0.0483,0.0000,0.0328,5066,4,154304,0.0328,0.0000
20.00,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0483,7452,8,154304,0.0483,0.0000,0.0291,4488,6,154304,0.0291,0.0000
20.50,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0506,7811,10,154304,0.0506,0.0000,0.0291,4488,6,154304,0.0291,0.0000
21.00,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0506,7811,10,154304,0.0506,0.0000,0.0306,4728,6,154304,0.0306,0.0000
21.50,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0532,8211,10,154304,0.0532,0.0000,0.0306,4728,6,154304,0.0306,0.0000
22.00,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0532,8211,10,154304,0.0532,0.0000,0.0322,4968,6,154304,0.0322,0.0000
22.50,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0558,8611,10,154304,0.0558,0.0000,0.0322,4968,6,154304,0.0322,0.0000
23.00,0.0915,1661,0,60000,0.0277,0.9787,0.0530,1635,0,60000,0.0272,0.5859,0.0558,8611,10,154304,0.0558,0.0000,0.0338,5208,6,154304,0.0338,0.0000
23.50,0.0921,438,0,60000,0.0073,0.4548,0.0530,1635,0,60000,0.0272,0.5859,0.0558,8611,10,154304,0.0558,0.0000,0.0338,5208,6,154304,0.0338,0.0000
24.00,0.1009,702,0,60000,0.0117,0.4500,0.0530,1635,0,60000,0.0272,0.5859,0.0584,9011,10,154304,0.0584,0.0000,0.0353,5453,6,154304,0.0353,0.0000
24.50,0.1009,702,0,60000,0.0117,0.4500,0.0530,1635,0,60000,0.0272,0.5859,0.0584,9011,10,154304,0.0584,0.0000,0.0353,5453,6,154304,0.0353,0.0000
25.00,0.1009,702,0,60000,0.0117,0.4500,0.0530,1635,0,60000,0.0272,0.5859,0.0712,10987,11,154304,0.0712,0.0000,0.0288,4441,5,154304,0.0288,0.0000
25.50,0.1009,702,0,60000,0.0117,0.4500,0.0530,1635,0,60000,0.0272,0.5859,0.0712,10987,11,154304,0.0712,0.0000,0.0288,4441,5,154304,0.0288,0.0000
26.00,0.1009,702,0,60000,0.0117,0.4500,0.0530,1635,0,60000,0.0272,0.5859,0.0604,9317,9,154304,0.0604,0.0000,0.0504,7774,4,154304,0.0504,0.0000
26.50,0.1009,702,0,60000,0.0117,0.4500,0.0530,1635,0,60000,0.0272,0.5859,0.0604,9317,9,154304,0.0604,0.0000,0.0504,7774,4,154304,0.0504,0.0000
27.00,0.1009,702,0,60000,0.0117,0.4500,0.1292,4298,0,60000,0.0716,0.9005,0.0559,8633,7,154304,0.0559,0.0000,0.0514,7934,4,154304,0.0514,0.0000
27.50,0.1009,702,0,60000,0.0117,0.4500,0.1292,4298,0,60000,0.0716,0.9005,0.0559,8633,7,154304,0.0559,0.0000,0.0514,7934,4,154304,0.0514,0.0000
28.00,0.1009,702,0,60000,0.0117,0.4500,0.1292,4298,0,60000,0.0716,0.9005,0.0512,7894,7,154304,0.0512,0.0000,0.0594,9158,7,154304,0.0594,0.0000
28.50,0.1237,1019,0,60000,0.0170,0.9705,0.1292,4298,0,60000,0.0716,0.9005,0.0512,7894,7,154304,0.0512,0.0000,0.0594,9158,7,154304,0.0594,0.0000
29.00,0.1237,1019,0,60000,0.0170,0.9705,0.1292,4298,0,60000,0.0716,0.9005,0.0530,8172,6,154304,0.0530,0.0000,0.0617,9525,8,154304,0.0617,0.0000
29.50,0.1493,2135,0,60000,0.0356,0.9806,0.1459,568,0,60000,0.0095,0.5067,0.0530,8172,6,154304,0.0530,0.0000,0.0617,9525,8,154304,0.0617,0.0000
30.00,0.1493,2135,0,60000,0.0356,0.9806,0.1459,568,0,60000,0.0095,0.5067,0.0473,7302,6,154304,0.0473,0.0000,0.0712,10991,10,154304,0.0712,0.0000
30.50,0.1493,2135,0,60000,0.0356,0.9806,0.1459,568,0,60000,0.0095,0.5067,0.0473,7302,6,154304,0.0473,0.0000,0.0712,10991,10,154304,0.0712,0.0000
31.00,0.1493,2135,0,60000,0.0356,0.9806,0.1459,568,0,60000,0.0095,0.5067,0.0489,7542,6,154304,0.0489,0.0000,0.0740,11419,9,154304,0.0740,0.0000
31.50,0.1500,51,0,60000,0.0008,0.0474,0.1459,568,0,60000,0.0095,0.5067,0.0489,7542,6,154304,0.0489,0.0000,0.0740,11419,9,154304,0.0740,0.0000
32.00,0.1671,63,0,60000,0.0010,0.0560,0.1459,568,0,60000,0.0095,0.5067,0.0428,6611,6,154304,0.0428,0.0000,0.0778,12001,10,154304,0.0778,0.0000
32.50,0.1671,63,0,60000,0.0010,0.0560,0.1459,568,0,60000,0.0095,0.5067,0.0428,6611,6,154304,0.0428,0.0000,0.0778,12001,10,154304,0.0778,0.0000
