t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
1.50,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
2.50,0.0007,25,0,60000,0.0004,0.4386,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
3.00,0.0014,45,0,60000,0.0008,0.5000,0.0040,44,0,60000,0.0007,0.6000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
3.50,0.0014,45,0,60000,0.0008,0.5000,0.0040,44,0,60000,0.0007,0.6000,,,,,,,0.0034,725,8,216374,0.0034,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
4.00,0.0043,36,0,60000,0.0006,0.3529,0.0040,44,0,60000,0.0007,0.6000,0.0038,815,8,216374,0.0038,0.0000,0.0034,725,8,216374,0.0034,0.0000
4.50,0.0043,36,0,60000,0.0006,0.3529,0.0040,44,0,60000,0.0007,0.6000,0.0038,815,8,216374,0.0038,0.0000,0.0043,928,7,216374,0.0043,0.0000
5.00,0.0054,36,0,60000,0.0006,0.1216,0.0043,49,0,60000,0.0008,0.2970,0.0055,1184,9,216374,0.0055,0.0000,0.0043,928,7,216374,0.0043,0.0000
5.50,0.0054,36,0,60000,0.0006,0.1216,0.0043,49,0,60000,0.0008,0.2970,0.0055,1184,9,216374,0.0055,0.0000,0.0063,1362,7,216374,0.0063,0.0000
6.00,0.0054,36,0,60000,0.0006,0.1216,0.0043,49,0,60000,0.0008,0.2970,0.0071,1547,9,216374,0.0071,0.0000,0.0063,1362,7,216374,0.0063,0.0000
6.50,0.0054,36,0,60000,0.0006,0.1216,0.0063,36,0,60000,0.0006,0.0945,0.0078,1681,8,216374,0.0078,0.0000,0.0093,2023,7,216374,0.0093,0.0000
7.00,0.0054,36,0,60000,0.0006,0.1216,0.0063,36,0,60000,0.0006,0.0945,0.0078,1681,8,216374,0.0078,0.0000,0.0093,2023,7,216374,0.0093,0.0000
7.50,0.0054,36,0,60000,0.0006,0.1216,0.0063,36,0,60000,0.0006,0.0945,0.0092,2001,8,216374,0.0092,0.0000,0.0108,2340,8,216374,0.0108,0.0000
8.00,0.0054,36,0,60000,0.0006,0.1216,0.0063,36,0,60000,0.0006,0.0945,0.0092,2001,8,216374,0.0092,0.0000,0.0108,2340,8,216374,0.0108,0.0000
8.50,0.0054,36,0,60000,0.0006,0.1216,0.0120,36,0,60000,0.0006,0.1254,0.0107,2324,7,216374,0.0107,0.0000,0.0123,2660,8,216374,0.0123,0.0000
9.00,0.0054,36,0,60000,0.0006,0.1216,0.0120,36,0,60000,0.0006,0.1254,0.0107,2324,7,216374,0.0107,0.0000,0.0123,2660,8,216374,0.0123,0.0000
9.50,0.0054,36,0,60000,0.0006,0.1216,0.0120,36,0,60000,0.0006,0.1254,0.0123,2652,8,216374,0.0123,0.0000,0.0138,2980,8,216374,0.0138,0.0000
10.00,0.0054,36,0,60000,0.0006,0.1216,0.0120,36,0,60000,0.0006,0.1254,0.0123,2652,8,216374,0.0123,0.0000,0.0138,2980,8,216374,0.0138,0.0000
10.50,0.0098,58,0,60000,0.0010,0.0827,0.0120,36,0,60000,0.0006,0.1254,0.0137,2972,8,216374,0.0137,0.0000,0.0153,3300,8,216374,0.0153,0.0000
11.00,0.0098,58,0,60000,0.0010,0.0827,0.0120,36,0,60000,0.0006,0.1254,0.0137,2972,8,216374,0.0137,0.0000,0.0153,3300,8,216374,0.0153,0.0000
11.50,0.0098,58,0,60000,0.0010,0.0827,0.0120,36,0,60000,0.0006,0.1254,0.0134,2890,7,216374,0.0134,0.0000,0.0200,4337,9,216374,0.0200,0.0000
12.00,0.0098,58,0,60000,0.0010,0.0827,0.0162,46,0,60000,0.0008,0.1055,0.0134,2890,7,216374,0.0134,0.0000,0.0200,4337,9,216374,0.0200,0.0000
12.50,0.0205,132,0,60000,0.0022,0.2514,0.0227,103,0,60000,0.0017,0.1823,0.0144,3105,7,216374,0.0144,0.0000,0.0200,4337,7,216374,0.0200,0.0000
13.00,0.0205,132,0,60000,0.0022,0.2514,0.0227,103,0,60000,0.0017,0.1823,0.0144,3105,7,216374,0.0144,0.0000,0.0200,4337,7,216374,0.0200,0.0000
13.50,0.0205,132,0,60000,0.0022,0.2514,0.0227,103,0,60000,0.0017,0.1823,0.0156,3385,7,216374,0.0156,0.0000,0.0241,5204,9,216374,0.0241,0.0000
14.00,0.0205,132,0,60000,0.0022,0.2514,0.0304,37,0,60000,0.0006,0.0728,0.0156,3385,7,216374,0.0156,0.0000,0.0241,5204,9,216374,0.0241,0.0000
14.50,0.0205,132,0,60000,0.0022,0.2514,0.0383,44,0,60000,0.0007,0.0819,0.0170,3672,7,216374,0.0170,0.0000,0.0257,5564,9,216374,0.0257,0.0000
15.00,0.0271,37,0,60000,0.0006,0.0651,0.0383,44,0,60000,0.0007,0.0819,0.0170,3672,7,216374,0.0170,0.0000,0.0257,5564,9,216374,0.0257,0.0000
15.50,0.0643,631,0,60000,0.0105,0.1192,0.0556,37,0,60000,0.0006,0.0551,0.0266,5765,8,216374,0.0266,0.0000,0.0248,5365,8,216374,0.0248,0.0000
16.00,0.0643,631,0,60000,0.0105,0.1192,0.0556,37,0,60000,0.0006,0.0551,0.0266,5765,8,216374,0.0266,0.0000,0.0248,5365,8,216374,0.0248,0.0000
16.50,0.0643,631,0,60000,0.0105,0.1192,0.0556,37,0,60000,0.0006,0.0551,0.0233,5035,8,216374,0.0233,0.0000,0.0264,5710,8,216374,0.0264,0.0000
17.00,0.0643,631,0,60000,0.0105,0.1192,0.0556,37,0,60000,0.0006,0.0551,0.0233,5035,8,216374,0.0233,0.0000,0.0279,6030,8,216374,0.0279,0.0000
17.50,0.0734,296,0,60000,0.0049,0.3584,0.0556,37,0,60000,0.0006,0.0551,0.0247,5355,8,216374,0.0247,0.0000,0.0279,6030,8,216374,0.0279,0.0000
18.00,0.0734,296,0,60000,0.0049,0.3584,0.0556,37,0,60000,0.0006,0.0551,0.0247,5355,8,216374,0.0247,0.0000,0.0255,5515,7,216374,0.0255,0.0000
18.50,0.0734,296,0,60000,0.0049,0.3584,0.0556,37,0,60000,0.0006,0.0551,0.0302,6527,9,216374,0.0302,0.0000,0.0255,5515,7,216374,0.0255,0.0000
19.00,0.0822,36,0,60000,0.0006,0.0395,0.0556,37,0,60000,0.0006,0.0551,0.0302,6527,9,216374,0.0302,0.0000,0.0268,5808,6,216374,0.0268,0.0000
19.50,0.0822,36,0,60000,0.0006,0.0395,0.0556,37,0,60000,0.0006,0.0551,0.0318,6887,9,216374,0.0318,0.0000,0.0268,5808,6,216374,0.0268,0.0000
20.00,0.0822,36,0,60000,0.0006,0.0395,0.0556,37,0,60000,0.0006,0.0551,0.0318,6887,9,216374,0.0318,0.0000,0.0281,6084,7,216374,0.0281,0.0000
20.50,0.0968,45,0,60000,0.0008,0.0570,0.0556,37,0,60000,0.0006,0.0551,0.0335,7247,9,216374,0.0335,0.0000,0.0281,6084,7,216374,0.0281,0.0000
21.00,0.0968,45,0,60000,0.0008,0.0570,0.0556,37,0,60000,0.0006,0.0551,0.0335,7247,9,216374,0.0335,0.0000,0.0331,7167,8,216374,0.0331,0.0000
21.50,0.0968,45,0,60000,0.0008,0.0570,0.0556,37,0,60000,0.0006,0.0551,0.0314,6799,8,216374,0.0314,0.0000,0.0331,7167,8,216374,0.0331,0.0000
22.00,0.0968,45,0,60000,0.0008,0.0570,0.0556,37,0,60000,0.0006,0.0551,0.0314,6799,8,216374,0.0314,0.0000,0.0346,7487,8,216374,0.0346,0.0000
22.50,0.0968,45,0,60000,0.0008,0.0570,0.0556,37,0,60000,0.0006,0.0551,0.0329,7119,8,216374,0.0329,0.0000,0.0346,7487,8,216374,0.0346,0.0000
23.00,0.0968,45,0,60000,0.0008,0.0570,0.0556,37,0,60000,0.0006,0.0551,0.0329,7119,8,216374,0.0329,0.0000,0.0361,7807,8,216374,0.0361,0.0000
23.50,0.0968,45,0,60000,0.0008,0.0570,0.0662,36,0,60000,0.0006,0.0231,0.0344,7439,8,216374,0.0344,0.0000,0.0361,7807,8,216374,0.0361,0.0000
24.00,0.0968,45,0,60000,0.0008,0.0570,0.0662,36,0,60000,0.0006,0.0231,0.0344,7439,8,216374,0.0344,0.0000,0.0318,6890,7,216374,0.0318,0.0000
24.50,0.1092,36,0,60000,0.0006,0.0375,0.0662,36,0,60000,0.0006,0.0231,0.0432,9337,9,216374,0.0432,0.0000,0.0318,6890,7,216374,0.0318,0.0000
25.00,0.1092,36,0,60000,0.0006,0.0375,0.0916,565,0,60000,0.0094,0.5146,0.0432,9337,9,216374,0.0432,0.0000,0.0332,7188,6,216374,0.0332,0.0000
25.50,0.1092,36,0,60000,0.0006,0.0375,0.1005,36,0,60000,0.0006,0.0343,0.0497,10755,9,216374,0.0497,0.0000,0.0332,7188,6,216374,0.0332,0.0000
26.00,0.1092,36,0,60000,0.0006,0.0375,0.1005,36,0,60000,0.0006,0.0343,0.0497,10755,9,216374,0.0497,0.0000,0.0295,6390,6,216374,0.0295,0.0000
26.50,0.1246,826,0,60000,0.0138,0.6878,0.1005,36,0,60000,0.0006,0.0343,0.0515,11151,10,216374,0.0515,0.0000,0.0295,6390,6,216374,0.0295,0.0000
27.00,0.1308,47,0,60000,0.0008,0.0448,0.1174,60,0,60000,0.0010,0.0561,0.0515,11151,10,216374,0.0515,0.0000,0.0258,5574,6,216374,0.0258,0.0000
27.50,0.1476,36,0,60000,0.0006,0.0339,0.1174,60,0,60000,0.0010,0.0561,0.0585,12662,11,216374,0.0585,0.0000,0.0258,5574,6,216374,0.0258,0.0000
28.00,0.1476,36,0,60000,0.0006,0.0339,0.1342,51,0,60000,0.0008,0.0455,0.0585,12662,11,216374,0.0585,0.0000,0.0316,6847,6,216374,0.0316,0.0000
28.50,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0563,12186,8,216374,0.0563,0.0000,0.0316,6847,6,216374,0.0316,0.0000
29.00,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0563,12186,8,216374,0.0563,0.0000,0.0329,7123,6,216374,0.0329,0.0000
29.50,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0581,12577,10,216374,0.0581,0.0000,0.0329,7123,6,216374,0.0329,0.0000
30.00,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0581,12577,10,216374,0.0581,0.0000,0.0340,7363,6,216374,0.0340,0.0000
30.50,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0600,12977,10,216374,0.0600,0.0000,0.0340,7363,6,216374,0.0340,0.0000
31.00,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0600,12977,10,216374,0.0600,0.0000,0.0351,7603,6,216374,0.0351,0.0000
31.50,0.2030,1708,0,60000,0.0285,0.5344,0.1697,1163,0,60000,0.0194,0.0639,0.0600,12977,10,216374,0.0600,0.0000,0.0351,7603,6,216374,0.0351,0.0000
32.00,0.2030,1708,0,60000,0.0285,0.5344,0.1880,381,0,60000,0.0063,0.2637,0.0618,13377,10,216374,0.0618,0.0000,0.0297,6416,5,216374,0.0297,0.0000
