ts,tier,src_gpu,tokens,bytes,ms,sync
1785919337.914,peer,3,417,54657024,2.953,1
1785919340.269,local,2,538,70516736,0.716,1
1785919341.277,local,2,550,72089600,0.671,1
1785919341.278,local,2,523,68550656,0.636,1
1785919348.862,peer,1,848,111149056,6.572,1
1785919349.496,peer,1,772,101187584,6.101,1
1785919349.593,peer,1,869,113901568,10.340,1
1785919350.974,peer,1,511,66977792,4.545,1
1785919352.510,peer,3,508,66584576,3.093,1
1785919354.294,peer,1,1058,138674176,7.855,1
1785919354.882,peer,1,511,66977792,4.498,1
1785919357.846,peer,1,511,66977792,4.524,1
1785919363.037,peer,1,511,66977792,4.526,1
1785919363.223,peer,3,508,66584576,3.040,1
1785919364.456,peer,3,502,65798144,2.951,1
1785919365.621,peer,3,161,21102592,2.713,1
1785919366.933,peer,3,1041,136445952,4.567,1
1785919367.932,peer,3,511,66977792,3.086,1
1785919368.509,peer,3,511,66977792,3.026,1
1785919374.548,peer,3,66,8650752,2.751,1
1785919375.187,peer,3,1380,180879360,5.605,1
1785919375.232,peer,3,403,52822016,5.756,1
1785919376.083,peer,3,45,5898240,2.714,1
1785919377.108,peer,1,1022,133955584,7.719,1
1785919378.857,peer,1,511,66977792,4.649,1
1785919379.104,local,2,126,16515072,1.676,1
1785919379.380,peer,1,483,63307776,6.504,1
1785919381.855,local,2,511,66977792,0.645,1
1785919382.264,local,2,1559,204341248,1.086,1
1785919382.428,local,2,511,66977792,0.630,1
1785919384.965,peer,3,780,102236160,3.911,1
1785919391.671,peer,1,511,66977792,4.564,1
1785919398.747,peer,1,418,54788096,3.938,1
1785919399.194,peer,1,322,42205184,3.397,1
1785919400.738,peer,1,229,30015488,2.904,1
1785919404.022,peer,1,511,66977792,8.560,1
1785919410.291,peer,0,306,40108032,151.581,1
1785919411.717,peer,0,78,10223616,422.981,1
1785919415.319,peer,0,1764,231211008,10.577,1
1785919418.401,peer,0,40,5242880,5.396,1
1785919420.540,peer,3,67,8781824,6.765,1
1785919422.025,peer,3,18,2359296,2.753,1
1785919427.283,peer,1,193,25296896,7.345,1
1785919427.343,peer,3,508,66584576,10.357,1
1785919437.606,peer,3,542,71041024,3.252,1
1785919443.803,peer,1,843,110493696,10.390,1
1785919445.893,peer,1,855,112066560,6.551,1
1785919448.200,peer,1,546,71565312,4.758,1
1785919453.699,peer,1,511,66977792,4.616,1
1785919462.419,peer,1,444,58195968,4.123,1
1785919465.350,peer,1,511,66977792,4.520,1
1785919468.280,peer,1,511,66977792,4.638,1
1785919476.035,peer,1,1088,142606336,8.168,1
1785919481.334,peer,1,8,1048576,2.757,1
1785919483.263,peer,1,396,51904512,3.874,1
1785919490.477,peer,1,12,1572864,2.745,1
1785919491.043,peer,1,483,63307776,4.369,1
1785919495.131,peer,1,511,66977792,4.580,1
1785919496.031,local,2,511,66977792,0.665,1
1785919497.188,peer,3,225,29491200,2.817,1
1785919501.506,peer,3,1303,170786816,5.341,1
1785919501.552,peer,3,513,67239936,6.504,1
1785919503.200,peer,3,511,66977792,2.967,1
1785919505.498,peer,3,2119,277741568,7.832,1
1785919507.412,peer,3,1032,135266304,4.566,1
1785919508.233,peer,3,499,65404928,2.955,1
1785919509.776,peer,3,511,66977792,2.983,1
1785919510.301,peer,1,1050,137625600,7.830,1
1785919517.838,peer,3,1303,170786816,5.382,1
1785919522.669,peer,1,235,30801920,6.474,1
1785919525.935,peer,1,810,106168320,6.438,1
1785919526.124,peer,1,531,69599232,8.647,1
1785919531.401,peer,3,511,66977792,3.152,1
1785919537.128,peer,1,303,39714816,3.458,1
1785919539.276,peer,1,1046,137101312,7.729,1
1785919543.367,peer,1,209,27394048,2.915,1
1785919553.328,peer,1,1440,188743680,10.066,1
1785919555.491,peer,1,825,108134400,6.467,1
1785919559.089,peer,1,203,26607616,2.932,1
1785919561.918,peer,1,1340,175636480,9.548,1
1785919565.060,peer,3,905,118620160,4.178,1
1785919565.282,peer,3,511,66977792,3.120,1
1785919579.959,peer,1,1049,137494528,7.724,1
1785919580.310,peer,1,713,93454336,5.733,1
1785919580.728,peer,1,317,41549824,3.402,1
1785919583.405,peer,1,589,77201408,4.968,1
1785919590.849,peer,1,511,66977792,4.633,1
1785919590.854,peer,1,471,61734912,4.203,1
1785919594.193,peer,1,511,66977792,4.449,1
1785919595.091,peer,1,511,66977792,4.604,1
1785919595.978,peer,1,396,51904512,3.850,1
1785919599.110,peer,1,343,44957696,3.627,1
1785919603.296,peer,1,1034,135528448,7.658,1
1785919604.686,peer,1,116,15204352,2.821,1
1785919606.852,peer,3,1041,136445952,4.668,1
1785919607.616,peer,3,511,66977792,2.998,1
1785919610.379,peer,3,237,31064064,2.827,1
1785919613.043,peer,3,448,58720256,2.899,1
1785919613.249,peer,3,503,65929216,5.894,1
1785919615.280,peer,3,2099,275120128,7.922,1
1785919617.989,peer,1,491,64356352,4.395,1
1785919623.706,peer,3,1036,135790592,4.554,1
1785919626.617,peer,3,436,57147392,2.840,1
1785919630.929,peer,3,444,58195968,2.886,1
1785919632.315,peer,3,511,66977792,2.987,1
1785919634.681,peer,3,534,69992448,3.090,1
1785919636.672,peer,3,1114,146014208,4.794,1
1785919646.056,peer,3,511,66977792,2.962,1
1785919647.058,peer,3,424,55574528,3.085,1
1785919648.692,peer,3,511,66977792,2.992,1
1785919650.264,peer,3,564,73924608,3.236,1
1785919655.591,peer,1,1011,132513792,7.511,1
1785919656.124,local,2,68,8912896,0.682,1
1785919657.673,peer,3,491,64356352,2.984,1
1785919659.733,peer,1,536,70254592,4.612,1
1785919663.944,peer,1,35,4587520,2.807,1
1785919664.160,peer,3,511,66977792,6.423,1
1785919669.563,peer,1,428,56098816,7.572,1
1785919679.139,peer,1,30,3932160,2.758,1
1785919683.811,peer,1,73,9568256,2.836,1
1785919692.124,peer,1,168,22020096,3.055,1
1785919697.528,peer,1,1202,157548544,8.728,1
1785919700.765,local,2,43,5636096,0.664,1
1785919701.300,peer,1,332,43515904,3.486,1
1785919702.085,peer,1,130,17039360,2.886,1
1785919703.634,peer,1,511,66977792,4.484,1
1785919710.017,peer,1,672,88080384,5.495,1
1785919714.354,peer,1,201,26345472,2.969,1
1785919714.478,peer,1,511,66977792,7.952,1
1785919718.403,peer,3,511,66977792,3.027,1
1785919721.671,peer,1,331,43384832,3.522,1
1785919723.700,peer,3,435,57016320,2.966,1
1785919725.122,peer,3,511,66977792,3.271,1
1785919725.973,peer,1,511,66977792,4.591,1
1785919730.023,peer,1,1046,137101312,7.658,1
1785919730.949,peer,1,1043,136708096,7.638,1
1785919731.574,peer,1,511,66977792,4.650,1
1785919732.754,peer,1,391,51249152,3.898,1
1785919737.955,peer,1,1060,138936320,7.853,1
1785919738.252,peer,1,122,15990784,2.802,1
1785919739.678,peer,1,511,66977792,4.510,1
1785919743.750,peer,3,629,82444288,3.461,1
1785919751.548,peer,1,511,66977792,4.617,1
1785919756.221,peer,3,511,66977792,3.087,1
1785919759.991,peer,1,1059,138805248,7.821,1
1785919778.672,peer,1,17,2228224,9.848,1
1785919778.844,peer,1,81,10616832,2.669,1
1785919782.342,peer,1,394,51642368,3.921,1
1785919790.054,peer,1,314,41156608,3.418,1
1785919799.608,peer,3,1582,207355904,6.236,1
1785919800.273,peer,3,543,71172096,3.114,1
1785919801.880,peer,3,511,66977792,3.033,1
1785919802.053,peer,3,403,52822016,2.818,1
1785919808.992,peer,1,511,66977792,4.602,1
1785919812.991,peer,3,781,102367232,3.897,1
1785919813.681,peer,3,511,66977792,3.087,1
1785919816.217,peer,1,1066,139722752,7.903,1
1785919817.857,peer,1,1049,137494528,7.764,1
1785919819.949,peer,1,1588,208142336,11.099,1
1785919820.549,peer,1,511,66977792,4.576,1
1785919822.760,peer,1,511,66977792,4.555,1
1785919823.440,peer,1,511,66977792,4.551,1
1785919823.835,peer,1,403,52822016,3.993,1
1785919824.168,peer,1,511,66977792,4.571,1
1785919825.282,peer,1,507,66453504,4.534,1
1785919827.736,peer,1,532,69730304,4.803,1
1785919829.726,peer,1,511,66977792,4.505,1
1785919831.043,peer,1,511,66977792,4.583,1
1785919834.700,peer,1,511,66977792,4.600,1
1785919835.934,peer,1,319,41811968,3.456,1
1785919838.141,peer,1,511,66977792,4.569,1
1785919839.056,peer,1,515,67502080,4.626,1
1785919839.086,peer,1,254,33292288,8.414,1
1785919839.334,peer,1,1571,205914112,10.969,1
1785919842.818,peer,1,148,19398656,2.858,1
1785919843.716,peer,1,294,38535168,3.307,1
1785919847.172,peer,1,307,40239104,3.350,1
1785919847.277,peer,1,372,48758784,3.732,1
1785919852.041,peer,3,570,74711040,3.311,1
1785919853.458,peer,3,405,53084160,2.790,1
1785919854.420,peer,3,393,51511296,2.856,1
1785919855.857,peer,1,511,66977792,4.548,1
1785919855.970,peer,1,345,45219840,6.783,1
1785919863.338,peer,1,620,81264640,11.390,1
1785919867.703,peer,3,511,66977792,3.105,1
1785919869.350,peer,3,511,66977792,3.138,1
1785919869.577,peer,3,466,61079552,3.033,1
1785919874.559,peer,3,1237,162136064,5.210,1
1785919874.756,peer,1,586,76808192,8.517,1
1785919876.873,peer,3,511,66977792,3.051,1
1785919881.007,peer,3,21,2752512,2.928,1
1785919883.560,peer,3,511,66977792,3.030,1
1785919885.763,peer,3,122,15990784,2.836,1
1785919885.854,peer,3,904,118489088,4.140,1
1785919886.191,peer,3,531,69599232,3.110,1
1785919886.380,peer,3,131,17170432,2.724,1
1785919887.384,peer,3,458,60030976,2.897,1
1785919890.549,peer,3,1034,135528448,4.529,1
1785919894.063,peer,1,511,66977792,4.526,1
1785919894.712,peer,1,674,88342528,5.491,1
1785919895.248,peer,1,549,71958528,4.925,1
1785919912.992,peer,1,298,39059456,3.341,1
1785919914.322,peer,1,531,69599232,4.761,1
1785919916.476,peer,1,520,68157440,4.621,1
1785919925.556,peer,1,874,114556928,6.615,1
1785919926.936,peer,1,470,61603840,4.336,1
1785919929.688,peer,1,511,66977792,4.586,1
1785919930.859,peer,1,573,75104256,4.858,1
1785919931.342,peer,1,511,66977792,4.542,1
1785919936.412,peer,1,511,66977792,4.613,1
1785919937.773,peer,1,645,84541440,5.348,1
1785919940.847,peer,1,511,66977792,4.485,1
1785919941.901,peer,1,511,66977792,4.647,1
1785919942.367,peer,1,1056,138412032,7.750,1
1785919942.727,peer,1,511,66977792,7.438,1
1785919943.873,peer,1,511,66977792,4.513,1
1785919945.514,peer,1,511,66977792,4.520,1
1785919949.292,peer,1,511,66977792,8.048,1
1785919952.120,peer,3,426,55836672,2.909,1
1785919954.731,peer,3,965,126484480,4.383,1
1785919963.068,peer,3,511,66977792,2.957,1
1785919969.539,peer,3,1053,138018816,4.616,1
1785919969.954,peer,3,1039,136183808,4.559,1
