ts,tier,src_gpu,tokens,bytes,ms,sync
1785920072.030,host,-1,482,63176704,4.801,1
1785920073.070,host,-1,440,57671680,4.200,1
1785920073.075,host,-1,440,57671680,4.040,1
1785920075.078,host,-1,538,70516736,4.623,1
1785920084.709,host,-1,934,122421248,6.555,1
1785920086.449,host,-1,511,66977792,4.527,1
1785920088.267,host,-1,1069,140115968,7.390,1
1785920091.323,host,-1,511,66977792,4.555,1
1785920091.328,host,-1,511,66977792,4.368,1
1785920091.333,host,-1,511,66977792,4.344,1
1785920091.341,host,-1,1200,157286400,7.888,1
1785920095.689,host,-1,903,118358016,6.397,1
1785920099.579,host,-1,939,123076608,6.559,1
1785920102.099,host,-1,444,58195968,4.107,1
1785920104.904,host,-1,1016,133169152,7.166,1
1785920104.906,host,-1,72,9437184,2.176,1
1785920107.168,host,-1,984,128974848,6.953,1
1785920109.980,host,-1,506,66322432,4.674,1
1785920110.572,host,-1,511,66977792,4.462,1
1785920113.498,host,-1,140,18350080,2.678,1
1785920114.660,host,-1,383,50200576,3.916,1
1785920120.712,host,-1,1043,136708096,7.179,1
1785920122.501,host,-1,461,60424192,4.282,1
1785920124.520,host,-1,511,66977792,4.535,1
1785920125.482,host,-1,511,66977792,4.444,1
1785920127.568,host,-1,2485,325713920,15.102,1
1785920128.254,host,-1,2562,335806464,15.444,1
1785920129.340,host,-1,2636,345505792,15.776,1
1785920137.178,host,-1,125,16384000,2.515,1
1785920139.193,host,-1,46,6029312,2.172,1
1785920141.929,host,-1,40,5242880,2.039,1
1785920141.934,host,-1,524,68681728,4.561,1
1785920141.937,host,-1,136,17825792,2.467,1
1785920141.943,host,-1,727,95289344,5.419,1
1785920148.282,host,-1,425,55705600,4.029,1
1785920150.813,host,-1,232,30408704,3.147,1
1785920151.133,host,-1,248,32505856,3.082,1
1785920152.682,host,-1,1303,170786816,8.585,1
1785920159.461,host,-1,1287,168689664,8.827,1
1785920160.949,host,-1,1,131072,1.866,1
1785920168.400,host,-1,163,21364736,2.724,1
1785920169.765,host,-1,287,37617664,3.600,1
